Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,259,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,24444,13,Successful,50.0,50.7,51,51.1,OpenPlay
Pass,0,2,13756,13,Successful,50.7,50.7,35.1,44,OpenPlay
Pass,0,4,69738,13,Successful,34.9,44.0,25.7,10.2,OpenPlay
Pass,0,6,125211,13,Successful,25.7,10.2,8.5,36.3,OpenPlay
Pass,0,8,6292,13,Successful,8.5,36.3,1.9,73.7,OpenPlay
Pass,0,11,6775,13,Successful,1.9,73.7,58.9,54.2,OpenPlay
Pass,0,14,24444,13,Successful,59.6,54.2,63.2,45.3,OpenPlay
Pass,0,18,13756,13,Successful,59.9,35.8,55.6,53.6,OpenPlay
Pass,0,19,4522,13,Unsuccessful,55.6,53.6,73.4,75.2,OpenPlay
Pass,0,21,34131,259,Successful,25.1,22.1,29.5,27.2,OpenPlay
BallRecovery,0,22,40027,259,Successful,31.1,28.0,,,OpenPlay
Pass,0,25,40027,259,Successful,43.4,28.5,55.8,38.2,OpenPlay
Pass,0,26,14308,259,Successful,58.9,37.7,48.3,34.7,OpenPlay
Pass,0,29,40027,259,Successful,46.3,36.4,34.3,57.9,OpenPlay
Pass,0,30,8408,259,Successful,33.4,59.0,38,43.7,OpenPlay
Pass,0,35,40027,259,Successful,43.5,49.9,58.5,25.9,OpenPlay
BallTouch,0,37,69346,259,Unsuccessful,61.8,21.3,,,OpenPlay
BallRecovery,0,37,23072,13,Successful,35.1,88.0,,,OpenPlay
Pass,0,38,23072,13,Successful,35.1,88.0,36.1,78.5,OpenPlay
Pass,0,39,4522,13,Successful,32.3,70.9,33.8,48.9,OpenPlay
Pass,0,41,69738,13,Successful,34.1,42.9,25.7,33.2,OpenPlay
Pass,0,44,6292,13,Unsuccessful,25.7,33.2,70.1,37.7,OpenPlay
BallRecovery,0,47,8408,259,Successful,30.3,58.3,,,OpenPlay
Pass,0,49,8408,259,Successful,26.7,59.6,13.9,35.5,OpenPlay
Pass,0,52,20973,259,Successful,14.2,39.8,22.3,66,OpenPlay
Pass,0,57,8408,259,Successful,26.1,66.8,25.2,47.8,OpenPlay
Pass,1,1,42916,259,Successful,29.8,47.5,30.5,63.4,OpenPlay
Pass,1,6,8408,259,Unsuccessful,37.9,76.8,56.1,74.1,OpenPlay
Pass,1,7,69738,13,Successful,43.2,19.3,53.6,13.7,OpenPlay
BallRecovery,1,8,13756,13,Successful,53.6,13.7,,,OpenPlay
Pass,1,9,13756,13,Unsuccessful,53.6,14.0,55.7,32.6,OpenPlay
Pass,1,12,69346,259,Successful,45.3,68.2,61.8,95.6,OpenPlay
BallTouch,1,14,28416,259,Unsuccessful,62.8,96.1,,,OpenPlay
Pass,1,14,6292,13,Successful,30.3,8.2,45.2,12.3,OpenPlay
Challenge,1,17,40027,259,Unsuccessful,54.5,89.2,,,OpenPlay
TakeOn,1,17,69738,13,Successful,45.5,10.8,,,OpenPlay
Pass,1,19,69738,13,Successful,60.2,4.2,54.3,35.2,OpenPlay
Pass,1,26,4522,13,Successful,41.0,33.2,37.1,68,OpenPlay
Pass,1,30,30051,13,Successful,35.4,62.8,36.3,26.9,OpenPlay
Pass,1,35,6292,13,Successful,38.5,28.8,39.8,62.6,OpenPlay
Pass,1,42,30051,13,Successful,44.5,53.3,39.4,27.7,OpenPlay
Pass,1,46,6292,13,Successful,42.2,34.5,41.5,63.3,OpenPlay
Pass,1,49,30051,13,Successful,43.6,65.2,54.7,97.6,OpenPlay
Pass,1,52,23072,13,Unsuccessful,55.3,97.5,59.7,100,OpenPlay
Pass,2,12,34131,259,Successful,35.7,0.0,53.3,16.9,OpenPlay
Pass,2,16,14308,259,Successful,45.7,15.5,35.3,2.8,OpenPlay
Pass,2,18,34131,259,Unsuccessful,34.1,2.4,36.1,2.9,OpenPlay
BlockedPass,2,18,25244,13,Successful,56.9,97.9,,,OpenPlay
Pass,2,40,34131,259,Successful,30.2,0.0,30.2,8.6,OpenPlay
Pass,2,42,40027,259,Unsuccessful,31.6,6.7,55.5,13.1,OpenPlay
Pass,2,43,30051,13,Unsuccessful,43.4,85.5,81.6,78.5,OpenPlay
Clearance,2,47,44847,259,Unsuccessful,19.3,21.0,27.1,0,OpenPlay
Pass,2,55,23072,13,Successful,72.5,100.0,76,92.2,OpenPlay
Pass,2,57,24444,13,Successful,76.0,92.2,71.5,98.8,OpenPlay
Pass,2,58,23072,13,Successful,71.3,98.8,78.4,98.3,OpenPlay
Dispossessed,3,0,25244,13,Successful,78.4,94.8,,,OpenPlay
Tackle,3,0,34131,259,Successful,21.6,5.2,,,OpenPlay
BallRecovery,3,2,30060,259,Successful,30.7,6.3,,,OpenPlay
Pass,3,2,30060,259,Successful,30.7,6.3,22.3,3.2,OpenPlay
Pass,3,3,34131,259,Unsuccessful,22.4,3.1,47.8,0,OpenPlay
Pass,3,15,23072,13,Successful,57.1,100.0,61.9,92.2,OpenPlay
Pass,3,18,25244,13,Successful,58.4,83.1,54.5,65.3,OpenPlay
Pass,3,21,4522,13,Successful,57.3,61.4,71.5,5.8,OpenPlay
Pass,3,24,125211,13,Successful,72.5,10.4,71.7,25.5,OpenPlay
Pass,3,28,13756,13,Successful,72.2,11.3,68.7,26.3,OpenPlay
Pass,3,29,4522,13,Successful,69.2,25.3,71.8,8.2,OpenPlay
Pass,3,31,13756,13,Successful,72.6,14.7,69.4,27.4,OpenPlay
Pass,3,33,4522,13,Successful,69.4,27.4,84.9,2.4,OpenPlay
Pass,3,36,13756,13,Unsuccessful,84.9,2.8,85.1,5.3,OpenPlay
BlockedPass,3,37,31558,259,Successful,13.7,93.9,,,OpenPlay
BallTouch,3,37,42916,259,Successful,16.7,95.6,,,OpenPlay
BallRecovery,3,38,31558,259,Successful,13.2,96.1,,,OpenPlay
Pass,3,39,31558,259,Unsuccessful,13.9,95.8,60.5,75.6,OpenPlay
BallRecovery,3,42,6292,13,Successful,35.2,24.4,,,OpenPlay
Pass,3,42,6292,13,Successful,35.2,24.4,52.4,20.5,OpenPlay
Pass,3,46,4522,13,Successful,57.5,12.9,62.3,3.1,OpenPlay
TakeOn,3,48,125211,13,Unsuccessful,59.9,4.9,,,OpenPlay
Tackle,3,48,28416,259,Successful,40.1,95.1,,,OpenPlay
BallRecovery,3,51,28416,259,Successful,42.2,94.2,,,OpenPlay
Pass,3,51,28416,259,Successful,42.2,94.1,46.8,85,OpenPlay
Pass,3,52,69346,259,Successful,46.8,84.4,40.3,80.4,OpenPlay
Pass,3,53,42916,259,Successful,40.6,80.1,31.2,75.3,OpenPlay
Pass,3,58,8408,259,Successful,27.2,67.4,43.9,5.8,OpenPlay
Pass,4,2,34131,259,Successful,44.7,5.6,56.8,19.3,OpenPlay
Pass,4,4,30060,259,Successful,60.0,24.8,70.5,34.7,OpenPlay
Pass,4,5,14308,259,Unsuccessful,70.9,34.5,70.1,0,OpenPlay
Pass,4,19,23072,13,Successful,30.0,100.0,35,97.2,OpenPlay
Pass,4,21,25244,13,Successful,35.0,97.2,27.5,61.5,OpenPlay
Pass,4,24,4522,13,Unsuccessful,27.6,56.3,38.2,0,OpenPlay
Pass,4,33,31558,259,Successful,59.9,100.0,53.4,86.8,OpenPlay
Pass,4,35,42916,259,Successful,53.4,86.4,47.6,97.1,OpenPlay
Pass,4,36,31558,259,Successful,47.5,97.4,33.3,72.9,OpenPlay
Pass,4,38,8408,259,Successful,31.1,75.5,30.8,43.3,OpenPlay
Pass,4,40,44847,259,Successful,29.1,41.3,45.2,34.2,OpenPlay
Pass,4,42,40027,259,Successful,44.8,34.4,48.7,8,OpenPlay
Pass,4,44,34131,259,Successful,48.8,7.5,48.3,17.4,OpenPlay
Pass,4,47,40027,259,Successful,53.9,23.7,71.3,51.2,OpenPlay
Pass,4,49,14308,259,Successful,71.7,50.2,71.8,33.2,OpenPlay
Pass,4,50,30060,259,Successful,72.1,34.7,67.9,41.3,OpenPlay
Pass,4,52,69346,259,Successful,64.5,42.8,59.1,57.4,OpenPlay
Pass,4,57,42916,259,Successful,65.8,49.1,54.7,50.2,OpenPlay
Pass,5,1,40027,259,Successful,67.7,55.2,66.3,93.9,OpenPlay
