Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,27,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,13796,13,Successful,50.0,50.7,50.7,50.1,OpenPlay
Pass,0,2,13756,13,Successful,50.4,50.3,37.4,44.6,OpenPlay
Pass,0,4,69738,13,Successful,37.4,44.6,37.5,57.8,OpenPlay
Pass,0,6,4522,13,Successful,38.1,56.9,40.1,74.2,OpenPlay
Pass,0,8,23072,13,Successful,40.1,74.5,38.8,59.9,OpenPlay
Pass,0,10,4522,13,Successful,39.5,58.2,92.1,8,OpenPlay
Dispossessed,0,17,26820,13,Successful,91.9,5.4,,,OpenPlay
Tackle,0,17,122945,27,Successful,8.1,94.6,,,OpenPlay
BallRecovery,0,19,18600,27,Successful,22.0,94.1,,,OpenPlay
Pass,0,19,18600,27,Successful,21.1,94.1,2.2,85.3,OpenPlay
Pass,0,21,122945,27,Successful,2.2,85.3,5.1,94.4,OpenPlay
Pass,0,23,18600,27,Unsuccessful,4.8,95.0,8.5,94.4,OpenPlay
BlockedPass,0,24,125211,13,Successful,91.7,6.8,,,OpenPlay
BallTouch,0,25,26820,13,Successful,94.3,9.2,,,OpenPlay
Pass,0,33,122945,27,Successful,3.4,100.0,27.5,96.3,OpenPlay
BallRecovery,0,38,125211,13,Successful,67.2,5.6,,,OpenPlay
Pass,0,38,125211,13,Unsuccessful,67.2,5.6,72.1,26.2,OpenPlay
Pass,0,40,10254,27,Unsuccessful,25.9,70.2,30.3,69.6,OpenPlay
BlockedPass,0,41,69738,13,Successful,69.9,26.5,,,OpenPlay
Pass,0,43,4522,13,Successful,61.1,39.8,46.6,61.4,OpenPlay
Pass,0,47,23072,13,Successful,43.3,83.3,27.8,58.5,OpenPlay
Pass,0,49,30051,13,Successful,27.3,58.7,37.4,58.7,OpenPlay
Pass,0,52,4522,13,Successful,34.6,46.4,43,40.8,OpenPlay
Pass,0,54,69738,13,Successful,44.1,41.6,36.4,46.1,OpenPlay
Pass,0,56,4522,13,Successful,36.4,46.1,38.2,4.7,OpenPlay
Pass,0,58,125211,13,Successful,38.2,4.7,24.6,35.5,OpenPlay
Pass,0,59,6292,13,Successful,24.6,35.5,26.6,67,OpenPlay
Pass,1,1,30051,13,Successful,27.7,69.4,41.9,85.6,OpenPlay
Pass,1,5,23072,13,Successful,40.9,84.7,17.7,72.7,OpenPlay
Pass,1,8,30051,13,Successful,17.7,72.7,5.1,58.8,OpenPlay
Pass,1,13,6775,13,Successful,7.6,40.1,55.1,21,OpenPlay
Pass,1,18,26820,13,Successful,48.9,21.2,44.9,30.6,OpenPlay
Pass,1,19,69738,13,Successful,45.5,35.5,61.3,37.3,OpenPlay
Pass,1,24,13756,13,Successful,54.0,55.7,68,97.7,OpenPlay
Pass,1,31,25244,13,Successful,72.8,73.6,86.2,13.1,OpenPlay
Challenge,1,36,122945,27,Unsuccessful,11.7,83.4,,,OpenPlay
TakeOn,1,36,125211,13,Successful,88.3,16.6,,,OpenPlay
Pass,1,38,125211,13,Unsuccessful,91.5,20.3,94.7,56.7,OpenPlay
Clearance,1,40,91434,27,Unsuccessful,4.5,44.0,0,38,OpenPlay
CornerAwarded,1,41,91434,27,Unsuccessful,2.2,40.6,,,OpenPlay
CornerAwarded,1,41,125211,13,Successful,97.8,59.4,,,OpenPlay
Pass,2,8,4522,13,Unsuccessful,99.5,99.5,86.5,47.6,OpenPlay
Aerial,2,12,18600,27,Successful,11.8,52.1,,,OpenPlay
Aerial,2,12,26820,13,Unsuccessful,88.2,47.9,,,OpenPlay
Clearance,2,13,18600,27,Successful,10.2,51.8,6.7,47,OpenPlay
Foul,2,16,10133,27,Successful,5.6,49.1,,,OpenPlay
Foul,2,16,6292,13,Unsuccessful,94.4,50.9,,,OpenPlay
Pass,2,53,10133,27,Successful,6.9,42.5,59,55.5,OpenPlay
