Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
Start,0,0,,175,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,13756,13,Successful,50.0,49.5,50.9,48.7,OpenPlay
Pass,0,2,25244,13,Successful,51.1,48.9,37,48.9,OpenPlay
Pass,0,4,4522,13,Successful,39.6,42.5,36.1,33.6,OpenPlay
Pass,0,6,69738,13,Successful,36.1,33.6,27.8,66.3,OpenPlay
Pass,0,8,30051,13,Successful,32.3,73.1,41.2,97.4,OpenPlay
Pass,0,10,23072,13,Unsuccessful,41.2,97.4,90,78.5,OpenPlay
BallRecovery,0,15,8462,175,Successful,11.0,20.7,,,OpenPlay
Pass,0,20,8462,175,Successful,13.3,23.7,19.4,13.4,OpenPlay
Pass,0,23,22079,175,Unsuccessful,20.9,7.4,70.7,42.6,OpenPlay
Pass,0,27,30051,13,Successful,27.4,51.2,36.5,61.5,OpenPlay
Aerial,0,29,5835,175,Unsuccessful,62.5,36.0,,,OpenPlay
Aerial,0,29,27550,13,Successful,37.5,64.0,,,OpenPlay
Pass,0,30,27550,13,Unsuccessful,36.5,61.5,43.5,63.6,OpenPlay
Pass,0,32,73063,175,Unsuccessful,55.4,31.3,78.3,43.3,OpenPlay
Pass,0,33,6292,13,Successful,23.6,52.0,7.1,51.5,OpenPlay
KeeperPickup,0,35,6775,13,Successful,7.1,51.5,,,OpenPlay
Pass,0,36,6775,13,Successful,8.9,54.0,23.1,74.1,OpenPlay
Pass,0,41,30051,13,Successful,23.9,72.3,29.8,25.2,OpenPlay
Pass,0,47,6292,13,Successful,38.8,32.3,41.2,41.3,OpenPlay
Pass,0,51,4522,13,Successful,51.2,57.1,54.7,67.2,OpenPlay
Pass,0,55,27550,13,Successful,48.8,76.6,33,60.1,OpenPlay
Pass,0,58,30051,13,Successful,32.0,56.6,7.5,49.4,OpenPlay
Pass,1,4,6775,13,Successful,10.5,50.4,26.8,48.8,OpenPlay
Pass,1,7,4522,13,Successful,27.4,46.9,30.5,7.5,OpenPlay
Pass,1,8,6292,13,Successful,30.5,6.3,35.3,19.9,OpenPlay
Foul,1,15,76050,175,Unsuccessful,57.4,85.1,,,OpenPlay
Foul,1,15,69738,13,Successful,42.6,14.9,,,OpenPlay
Pass,1,16,69738,13,Successful,42.2,16.3,36.3,38.6,OpenPlay
Pass,1,22,4522,13,Successful,55.0,48.7,56.7,75.2,OpenPlay
Pass,1,23,27550,13,Successful,56.7,75.3,56.5,66.8,OpenPlay
Pass,1,26,13756,13,Successful,57.8,74.8,60.8,92,OpenPlay
