Event,Minute,Second,Player,Team,Outcome,x,y,endX,endY,passtype
OffsideGiven,0,,89998,29,Unsuccessful,94.1,47.8,,,OpenPlay
Start,0,0,,29,Successful,0.0,0.0,,,OpenPlay
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay
Pass,0,1,8247,29,Successful,50.1,49.9,51.5,46.9,OpenPlay
Pass,0,3,89998,29,Successful,56.8,63.1,39.6,93.8,OpenPlay
Pass,0,6,68049,29,Successful,40.0,93.0,27.4,66.6,OpenPlay
Pass,0,13,23547,29,Successful,32.4,66.7,36.7,58.5,OpenPlay
Pass,0,16,8247,29,Successful,31.8,57.2,19.9,58.5,OpenPlay
Pass,0,20,19277,29,Successful,23.1,61.7,20.6,80.3,OpenPlay
Pass,0,23,23547,29,Unsuccessful,20.6,80.2,52.5,60.2,OpenPlay
Pass,0,24,69738,13,Unsuccessful,45.7,39.5,58.8,38,OpenPlay
Pass,0,26,8247,29,Successful,43.0,63.3,54.6,52.5,OpenPlay
Pass,0,28,23383,29,Successful,54.3,55.7,53.7,85.3,OpenPlay
Pass,0,31,68049,29,Successful,53.7,85.3,54.3,77,OpenPlay
Pass,0,35,14058,29,Unsuccessful,53.0,55.7,68.1,42.4,OpenPlay
Pass,0,38,30051,13,Unsuccessful,35.8,58.2,68.6,57.2,OpenPlay
Pass,0,41,19277,29,Successful,30.1,43.6,50.4,39.1,OpenPlay
Pass,0,43,23383,29,Successful,47.5,39.1,41.4,32.2,OpenPlay
Pass,0,44,66741,29,Successful,41.4,32.2,48,3.2,OpenPlay
Pass,0,46,69517,29,Successful,46.7,3.5,47.5,9.7,OpenPlay
Pass,0,47,66741,29,Successful,47.5,9.7,59.8,8.3,OpenPlay
Pass,0,49,14058,29,Successful,59.8,8.3,63.1,4,OpenPlay
Pass,0,55,69517,29,Successful,84.5,17.4,86.7,70,OpenPlay
MissedShots,0,57,68049,29,Successful,86.7,70.0,,,Assisted
OffsideProvoked,0,58,30051,13,Successful,10.3,53.4,,,OpenPlay
OffsidePass,0,58,68049,29,Successful,85.0,71.7,94.1,47.8,OpenPlay
Pass,1,29,36745,13,Unsuccessful,14.1,54.0,71.4,72.3,OpenPlay
Pass,1,32,33930,29,Successful,33.4,27.9,14.8,23.3,OpenPlay
Clearance,1,36,69517,29,Unsuccessful,14.8,23.3,22.4,0,OpenPlay
Pass,1,41,136824,13,Successful,78.8,100.0,79.2,91.1,OpenPlay
Pass,1,42,13756,13,Successful,79.1,91.1,78.7,97.1,OpenPlay
Pass,1,43,136824,13,Successful,78.7,97.1,82.4,87.7,OpenPlay
Pass,1,44,39308,13,Successful,82.4,87.7,81.3,92.4,OpenPlay
Dispossessed,1,46,13756,13,Successful,83.5,89.8,,,OpenPlay
Tackle,1,46,33930,29,Successful,16.5,10.2,,,OpenPlay
Pass,1,53,23072,13,Successful,84.9,100.0,80,97.2,OpenPlay
Pass,1,58,13756,13,Unsuccessful,82.7,98.9,85.7,100,OpenPlay
Pass,2,24,69517,29,Unsuccessful,13.2,0.0,48.7,13.5,OpenPlay
Pass,2,27,125209,13,Successful,52.0,88.1,53.5,92.3,OpenPlay
BallRecovery,2,29,30051,13,Successful,53.5,92.3,,,OpenPlay
Pass,2,30,30051,13,Successful,47.9,85.9,34.8,67,OpenPlay
Pass,2,34,76810,13,Successful,40.8,59.1,54,23.9,OpenPlay
Pass,2,40,125211,13,Successful,60.9,35.5,44.1,40.4,OpenPlay
Pass,2,44,76810,13,Successful,45.7,40.3,62.3,12.5,OpenPlay
