Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,24,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,50.1,49.7,42,51.1,OpenPlay,False
Pass,0,2,89401,13,Successful,42.4,48.7,37.7,36.5,OpenPlay,False
Pass,0,4,328983,13,Successful,39.6,34.2,47.3,32,OpenPlay,False
Pass,0,6,239872,13,Successful,43.4,30.7,32.8,29.2,OpenPlay,False
Pass,0,7,328983,13,Successful,32.7,29.2,29.2,67.5,OpenPlay,False
Pass,0,12,27586,13,Successful,35.2,66.7,30,43.1,OpenPlay,False
Pass,0,15,22210,13,Successful,32.1,47.5,29.5,66.7,OpenPlay,False
Pass,0,18,27586,13,Successful,27.9,75.7,6.7,52.5,OpenPlay,False
Pass,0,22,92173,13,Successful,7.5,51.0,12.1,37.1,OpenPlay,False
Pass,0,25,22210,13,Successful,12.9,37.0,15.8,66,OpenPlay,False
Pass,0,32,27586,13,Successful,31.2,70.3,82.3,57.1,OpenPlay,False
BallTouch,0,35,44120,13,Unsuccessful,82.2,55.9,,,OpenPlay,False
BallRecovery,0,38,123167,24,Successful,3.9,27.4,,,OpenPlay,False
Clearance,0,39,123167,24,Successful,3.5,25.3,23.3,0,OpenPlay,False
Pass,0,44,144890,13,Successful,80.2,100.0,58.6,95.6,ThrowIn,False
Pass,0,51,27586,13,Successful,56.8,93.2,67.1,96.8,OpenPlay,False
Pass,0,54,144890,13,Successful,71.5,94.4,71.7,88.6,OpenPlay,False
Pass,0,55,44120,13,Successful,72.6,89.4,64.3,86.3,OpenPlay,False
Pass,0,56,89401,13,Successful,65.6,86.5,80.9,97.7,OpenPlay,False
Pass,0,58,110260,13,Successful,82.5,96.6,95.7,85.9,OpenPlay,False
Pass,1,1,367185,13,Successful,96.6,85.6,91,47.5,BigChanceCreated,False
MissedShots,1,3,255169,13,Successful,91.0,47.5,,,OpenPlay,False
Pass,1,49,17708,24,Successful,5.3,49.0,65.8,67,OpenPlay,False
Pass,1,54,328362,24,Unsuccessful,63.4,65.3,73.8,72.1,OpenPlay,False
Interception,1,55,255169,13,Successful,27.2,26.7,,,OpenPlay,False
Pass,1,57,328362,24,Unsuccessful,65.9,73.2,88,100,OpenPlay,False
Pass,2,9,255169,13,Successful,14.7,0.0,17.5,8.3,ThrowIn,False
Pass,2,10,328983,13,Successful,17.7,10.2,14,2.3,OpenPlay,False
Pass,2,11,255169,13,Successful,16.3,3.5,13.3,49.3,OpenPlay,False
Pass,2,14,27586,13,Successful,13.3,49.3,4.6,43.9,OpenPlay,False
KeeperPickup,2,16,92173,13,Successful,4.6,43.9,,,OpenPlay,False
Pass,2,17,92173,13,Successful,7.7,43.9,28.9,93.6,OpenPlay,False
Pass,2,21,110260,13,Successful,36.0,92.7,48.9,97.3,OpenPlay,False
Pass,2,24,367185,13,Successful,48.9,97.7,38.3,95.6,OpenPlay,False
Pass,2,26,110260,13,Successful,36.1,95.6,31.3,83.8,OpenPlay,False
Pass,2,29,27586,13,Successful,39.3,67.3,68.7,9.4,OpenPlay,False
TakeOn,2,37,255169,13,Unsuccessful,84.6,8.6,,,OpenPlay,False
BallRecovery,2,38,232261,24,Successful,9.2,90.9,,,OpenPlay,False
