Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,183,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,50.0,49.9,27.6,51.5,OpenPlay,False
Pass,0,3,27586,13,Unsuccessful,27.4,45.7,63.6,9.8,OpenPlay,False
Pass,0,6,81026,183,Successful,35.6,88.3,24.5,75.6,OpenPlay,False
BallRecovery,0,8,122945,183,Successful,23.3,75.0,,,OpenPlay,False
Pass,0,8,122945,183,Successful,23.3,75.0,26,94.2,OpenPlay,False
Pass,0,10,323352,183,Unsuccessful,26.3,94.4,56.1,90.5,OpenPlay,False
Interception,0,11,22210,13,Successful,42.0,9.7,,,OpenPlay,False
Pass,0,12,134115,183,Unsuccessful,59.5,90.1,59.7,93.4,OpenPlay,False
BallTouch,0,13,22210,13,Successful,41.5,6.4,,,OpenPlay,False
Pass,0,15,134115,183,Unsuccessful,57.6,93.8,63.8,94.2,OpenPlay,False
BallTouch,0,16,22210,13,Successful,36.3,7.0,,,OpenPlay,False
Pass,0,25,323352,183,Successful,63.4,100.0,67.7,95.7,ThrowIn,False
BallTouch,0,27,81026,183,Unsuccessful,67.7,95.7,,,OpenPlay,False
Pass,0,28,239872,13,Unsuccessful,32.3,2.9,31.8,4.2,OpenPlay,False
BlockedPass,0,28,81026,183,Successful,66.5,96.9,,,OpenPlay,False
Pass,0,40,124316,13,Successful,32.9,0.0,36.5,12.8,ThrowIn,False
Pass,0,41,328983,13,Successful,36.5,12.8,30.5,3.4,OpenPlay,False
Pass,0,42,124316,13,Successful,28.5,4.6,19.1,9.7,OpenPlay,False
Pass,0,44,22210,13,Unsuccessful,19.9,9.5,58.3,23.5,OpenPlay,False
Pass,0,45,122945,183,Successful,42.3,79.3,55.4,90.8,OpenPlay,False
BallRecovery,0,46,81026,183,Successful,55.4,90.9,,,OpenPlay,False
Pass,0,51,81026,183,Unsuccessful,62.4,97.2,69.4,75.6,OpenPlay,False
BallRecovery,0,52,89401,13,Successful,29.5,20.6,,,OpenPlay,False
Pass,0,55,89401,13,Successful,27.3,41.5,22.2,50.6,OpenPlay,False
Pass,0,59,27586,13,Unsuccessful,26.2,43.0,72.8,52.4,OpenPlay,False
BallRecovery,1,3,68662,183,Successful,23.2,45.2,,,OpenPlay,False
Pass,1,4,68662,183,Unsuccessful,26.5,52.4,44.1,100,OpenPlay,False
Pass,1,13,124316,13,Successful,56.9,0.0,32.7,7.6,ThrowIn,False
Pass,1,18,22210,13,Successful,33.2,9.1,30.6,44.5,OpenPlay,False
Pass,1,24,27586,13,Successful,32.9,38.3,30.6,18.5,OpenPlay,False
Pass,1,26,22210,13,Unsuccessful,33.9,14.3,54.5,7,OpenPlay,False
Interception,1,27,81026,183,Successful,44.3,92.6,,,OpenPlay,False
Pass,1,35,124316,13,Successful,58.3,0.0,39.6,6.4,ThrowIn,False
Pass,1,37,22210,13,Successful,34.6,8.9,9.9,41.9,OpenPlay,False
Pass,1,43,92173,13,Unsuccessful,10.9,34.8,63.4,9.4,OpenPlay,False
Pass,1,48,323352,183,Successful,35.6,90.2,53.4,72.3,OpenPlay,False
Pass,1,50,133464,183,Successful,53.4,72.3,59.9,75.7,OpenPlay,False
Aerial,1,51,22210,13,Unsuccessful,37.2,24.6,,,OpenPlay,False
Aerial,1,51,136459,183,Successful,62.8,75.4,,,OpenPlay,False
Pass,1,52,136459,183,Unsuccessful,59.9,75.7,69.1,67.9,OpenPlay,False
Pass,1,53,27586,13,Successful,28.1,33.9,36.2,21.6,OpenPlay,False
BlockedPass,1,56,145277,183,Successful,54.5,93.6,,,OpenPlay,False
Pass,1,56,22210,13,Unsuccessful,40.2,8.9,41.6,8.9,OpenPlay,False
Pass,2,10,124316,13,Successful,55.5,0.0,33.5,6.4,ThrowIn,False
Pass,2,14,22210,13,Successful,33.3,10.0,26.5,55.2,OpenPlay,False
Pass,2,17,27586,13,Successful,25.5,57.9,7.2,52.5,OpenPlay,False
Pass,2,22,92173,13,Successful,8.2,46.3,15.2,9.5,OpenPlay,False
Pass,2,25,22210,13,Unsuccessful,19.1,7.9,42.2,10.9,OpenPlay,False
Aerial,2,27,239872,13,Unsuccessful,43.6,8.2,,,OpenPlay,False
Aerial,2,27,323352,183,Successful,56.4,91.8,,,OpenPlay,False
Pass,2,28,323352,183,Successful,55.1,94.4,69.2,96.6,OpenPlay,False
BallRecovery,2,29,136459,183,Successful,69.2,96.6,,,OpenPlay,False
Pass,2,30,136459,183,Unsuccessful,69.2,96.6,65.7,94.4,OpenPlay,False
BallTouch,2,31,124316,13,Successful,29.1,4.3,,,OpenPlay,False
BallRecovery,2,32,328983,13,Successful,32.6,10.6,,,OpenPlay,False
Pass,2,33,328983,13,Successful,37.2,13.8,62.8,32.1,OpenPlay,False
Pass,2,35,44120,13,Successful,62.7,29.4,71.6,12.9,OpenPlay,False
Pass,2,39,239872,13,Successful,73.8,20.7,92.1,31,OpenPlay,False
Pass,2,41,44120,13,Successful,92.1,31.0,90.4,29.2,OpenPlay,False
Pass,2,45,328983,13,Unsuccessful,98.3,32.8,98.2,33.9,OpenPlay,False
BlockedPass,2,45,122945,183,Successful,3.6,73.3,,,OpenPlay,False
BallTouch,2,46,328983,13,Successful,98.9,32.5,,,OpenPlay,False
Pass,3,8,316858,183,Unsuccessful,3.9,50.7,65.6,49.1,OpenPlay,False
Aerial,3,12,134115,183,Unsuccessful,66.3,49.1,,,OpenPlay,False
Aerial,3,12,89401,13,Successful,33.7,50.9,,,OpenPlay,False
Pass,3,13,89401,13,Successful,33.0,50.9,38.5,71.1,OpenPlay,False
Pass,3,14,110260,13,Successful,38.5,71.1,26.7,66.6,OpenPlay,False
BallRecovery,3,15,27586,13,Successful,26.7,66.6,,,OpenPlay,False
Pass,3,15,27586,13,Successful,27.3,69.0,32.3,91.7,OpenPlay,False
Pass,3,17,110260,13,Successful,32.3,94.7,42,92.7,OpenPlay,False
Pass,3,22,144890,13,Successful,53.8,96.8,87,97.1,OpenPlay,False
Pass,3,30,367185,13,Unsuccessful,96.7,80.6,96.7,78.3,OpenPlay,False
Clearance,3,30,231080,183,Successful,4.5,21.5,4.5,21.5,OpenPlay,False
CornerAwarded,3,32,231080,183,Unsuccessful,2.0,22.7,,,OpenPlay,False
CornerAwarded,3,32,367185,13,Successful,98.0,77.3,,,OpenPlay,False
Pass,3,48,144890,13,Successful,99.5,99.5,90.7,95.6,CornerTaken,False
Pass,3,53,239872,13,Successful,89.2,91.5,83.4,96.2,OpenPlay,False
Pass,4,1,144890,13,Successful,70.2,83.2,70,19.5,OpenPlay,False
Pass,4,4,328983,13,Successful,70.0,18.5,83.4,28.5,OpenPlay,False
Pass,4,12,44120,13,Unsuccessful,96.9,12.4,96.7,14.5,OpenPlay,False
Clearance,4,12,122945,183,Successful,3.5,91.1,3.5,91.1,OpenPlay,False
CornerAwarded,4,13,122945,183,Unsuccessful,1.2,87.6,,,OpenPlay,False
CornerAwarded,4,13,44120,13,Successful,98.8,12.4,,,OpenPlay,False
Pass,4,37,144890,13,Unsuccessful,99.5,0.5,94.4,39.1,CornerTaken,False
Clearance,4,39,145277,183,Successful,5.7,61.7,11.1,67.2,OpenPlay,False
Pass,4,43,89401,13,Unsuccessful,92.1,31.3,89.6,20.4,OpenPlay,False
Clearance,4,44,323352,183,Successful,12.2,82.7,28,100,OpenPlay,False
Pass,4,54,124316,13,Successful,71.4,0.0,51.8,3.5,ThrowIn,False
Pass,4,58,328983,13,Successful,41.4,9.4,15.2,44.3,OpenPlay,False
Pass,5,5,92173,13,Successful,15.2,46.4,25.1,52.1,OpenPlay,False
Pass,5,7,89401,13,Successful,23.0,45.7,15,11.4,OpenPlay,False
Pass,5,10,22210,13,Unsuccessful,16.6,8.6,43,8.8,OpenPlay,False
Interception,5,12,323352,183,Successful,56.5,89.3,,,OpenPlay,False
BallTouch,5,13,328983,13,Successful,30.6,13.7,,,OpenPlay,False
Pass,5,15,22210,13,Unsuccessful,17.1,8.3,34.5,5,OpenPlay,False
Aerial,5,18,239872,13,Unsuccessful,36.7,4.4,,,OpenPlay,False
Aerial,5,18,323352,183,Successful,63.3,95.6,,,OpenPlay,False
BallTouch,5,18,323352,183,Successful,59.4,96.8,,,OpenPlay,False
Pass,5,20,144890,13,Successful,54.7,7.6,59.9,41,OpenPlay,False
Pass,5,24,367185,13,Successful,68.9,50.6,77.9,76.9,ShotAssist,False
MissedShots,5,27,44120,13,Successful,80.1,70.3,,,OpenPlay,False
Pass,5,59,316858,183,Successful,4.5,51.8,6.6,75.7,OpenPlay,False
Pass,6,1,122945,183,Successful,7.6,75.9,22.5,70.9,OpenPlay,False
Pass,6,3,145277,183,Successful,22.5,70.9,10.8,75.3,OpenPlay,False
Pass,6,7,122945,183,Successful,20.0,82.9,30.1,96.3,OpenPlay,False
Pass,6,9,323352,183,Successful,31.7,95.9,43.5,95.6,OpenPlay,False
Pass,6,10,81026,183,Successful,43.5,95.6,36.3,85.7,OpenPlay,False
Pass,6,12,323352,183,Successful,35.0,85.0,37.1,67.6,OpenPlay,False
Pass,6,14,133464,183,Successful,37.2,66.9,56.9,18.3,OpenPlay,False
Pass,6,20,333044,183,Successful,60.6,24.3,54.4,36,OpenPlay,False
Pass,6,21,133464,183,Successful,54.4,36.0,54.7,49.7,OpenPlay,False
Pass,6,24,145277,183,Successful,55.4,57.3,62.3,93.6,OpenPlay,False
Pass,6,28,323352,183,Successful,63.4,95.3,73.6,95.1,OpenPlay,False
BallTouch,6,32,81026,183,Unsuccessful,69.4,95.4,,,OpenPlay,False
Pass,6,33,124316,13,Unsuccessful,28.3,7.3,29.3,7.3,OpenPlay,False
BlockedPass,6,33,81026,183,Successful,68.0,92.1,,,OpenPlay,False
BallRecovery,6,36,22210,13,Successful,7.4,24.9,,,OpenPlay,False
Pass,6,39,22210,13,Successful,3.9,3.4,27.1,17,OpenPlay,False
Pass,6,44,239872,13,Successful,22.8,33.1,14,47.2,OpenPlay,False
Pass,6,46,27586,13,Successful,14.1,49.4,33.4,91.1,OpenPlay,False
Pass,6,52,110260,13,Successful,63.6,94.1,52,86.2,OpenPlay,False
Pass,6,55,89401,13,Successful,55.0,82.7,46.2,69.6,OpenPlay,False
Pass,6,58,27586,13,Successful,46.4,67.9,51.7,59.9,OpenPlay,False
Pass,6,59,144890,13,Successful,51.7,59.9,55.7,77.8,OpenPlay,False
Pass,7,4,89401,13,Successful,61.3,80.2,67.4,99.2,OpenPlay,False
Pass,7,7,110260,13,Successful,66.5,97.5,56.5,93.8,OpenPlay,False
Pass,7,8,89401,13,Successful,56.5,93.8,44.9,67.8,OpenPlay,False
Pass,7,15,27586,13,Successful,49.2,49.6,42.8,30.7,OpenPlay,False
Pass,7,17,22210,13,Successful,43.0,29.2,43.1,71.4,OpenPlay,False
Pass,7,21,89401,13,Successful,46.1,74.4,51.9,88.9,OpenPlay,False
Pass,7,25,144890,13,Successful,56.5,80.0,83.8,15.6,OpenPlay,False
Pass,7,29,124316,13,Successful,83.8,15.6,78,24,OpenPlay,False
Pass,7,30,44120,13,Successful,78.0,24.0,88.9,12.9,OpenPlay,False
Pass,7,34,124316,13,Unsuccessful,96.2,15.0,97.5,37.4,OpenPlay,False
Clearance,7,36,122945,183,Successful,2.1,61.1,0,59.3,OpenPlay,False
CornerAwarded,7,37,122945,183,Unsuccessful,0.4,61.0,,,OpenPlay,False
CornerAwarded,7,37,124316,13,Successful,99.6,39.0,,,OpenPlay,False
Pass,8,3,239872,13,Successful,99.5,0.5,92,43.4,CornerTaken,False
Aerial,8,5,134115,183,Unsuccessful,8.1,55.8,,,OpenPlay,False
Aerial,8,5,27586,13,Successful,91.9,44.2,,,OpenPlay,True
Goal,8,6,27586,13,Successful,92.0,43.4,,,OpenPlay,False
Pass,9,11,136459,183,Successful,50.1,50.0,39.3,56.6,OpenPlay,False
Pass,9,13,145277,183,Successful,39.3,56.6,26.3,36,OpenPlay,False
Pass,9,15,68662,183,Successful,26.3,36.0,25.6,67.5,OpenPlay,False
Pass,9,18,122945,183,Successful,25.6,67.5,34.1,66.7,OpenPlay,False
Pass,9,23,145277,183,Successful,25.6,59.9,14.7,33.4,OpenPlay,False
Pass,9,25,68662,183,Successful,19.4,29.4,33.9,4.6,OpenPlay,False
Pass,9,29,231080,183,Unsuccessful,38.8,2.8,65.7,11.1,OpenPlay,False
Pass,9,31,27586,13,Successful,33.2,87.1,36.5,98.4,OpenPlay,False
BallRecovery,9,33,110260,13,Successful,36.5,98.4,,,OpenPlay,False
Pass,9,33,110260,13,Successful,36.5,98.4,37.8,94.4,OpenPlay,False
Pass,9,34,27586,13,Successful,38.2,94.2,41.9,98.6,OpenPlay,False
Dispossessed,9,36,367185,13,Successful,42.8,96.8,,,OpenPlay,False
Tackle,9,36,231080,183,Unsuccessful,57.2,3.2,,,OpenPlay,False
Pass,9,37,110260,13,Successful,34.1,96.3,38,87.7,OpenPlay,False
Pass,9,38,89401,13,Successful,38.0,87.7,46.5,93,OpenPlay,False
Dispossessed,9,39,144890,13,Successful,46.2,92.4,,,OpenPlay,False
Tackle,9,39,231080,183,Successful,53.8,7.6,,,OpenPlay,False
BallRecovery,9,41,68662,183,Successful,43.5,12.3,,,OpenPlay,False
Pass,9,41,68662,183,Unsuccessful,43.5,12.3,62.8,8.2,OpenPlay,False
Aerial,9,43,136459,183,Unsuccessful,63.7,7.0,,,OpenPlay,False
Aerial,9,43,110260,13,Successful,36.3,93.0,,,OpenPlay,False
Pass,9,44,110260,13,Successful,35.9,93.5,40.5,82.7,OpenPlay,False
BallRecovery,9,45,89401,13,Successful,40.5,82.7,,,OpenPlay,False
Pass,9,45,89401,13,Successful,39.6,82.4,28.5,82.3,OpenPlay,False
Pass,9,47,27586,13,Successful,25.0,76.6,10.4,34.2,OpenPlay,False
Pass,9,51,92173,13,Successful,10.4,34.2,23.7,10.4,OpenPlay,False
Pass,9,55,328983,13,Successful,26.6,11.0,32.1,48.1,OpenPlay,False
Pass,9,58,89401,13,Successful,36.0,57.0,53.9,95.9,OpenPlay,False
Pass,10,1,110260,13,Successful,53.9,95.9,54,75.9,OpenPlay,False
Pass,10,6,144890,13,Successful,61.2,85.4,50.3,66.9,OpenPlay,False
Pass,10,9,89401,13,Successful,51.1,59.9,48,38,OpenPlay,False
Pass,10,12,328983,13,Successful,52.3,30.9,60.5,5.2,OpenPlay,False
Pass,10,15,124316,13,Successful,59.1,7.3,44,7.1,OpenPlay,False
Pass,10,18,22210,13,Successful,43.7,8.0,39.4,32.8,OpenPlay,False
Pass,10,21,89401,13,Successful,39.4,34.0,44.8,72.1,OpenPlay,False
Pass,10,25,27586,13,Unsuccessful,47.7,70.2,92.2,61.8,OpenPlay,False
KeeperPickup,10,28,316858,183,Successful,8.6,35.5,,,OpenPlay,False
Pass,10,37,316858,183,Successful,11.8,39.8,15,24.7,OpenPlay,False
Pass,10,38,68662,183,Successful,15.0,24.7,22.5,36,OpenPlay,False
Pass,10,42,145277,183,Successful,22.3,30.3,24.9,4,OpenPlay,False
Pass,10,44,231080,183,Successful,24.9,4.0,5.8,17.7,OpenPlay,False
Pass,10,46,68662,183,Successful,5.8,17.7,2.9,52.7,OpenPlay,False
Pass,10,49,316858,183,Unsuccessful,3.0,54.3,11.1,100,OpenPlay,False
Pass,10,59,124316,13,Successful,85.5,0.0,89.6,20.3,ThrowIn,False
BallTouch,11,2,44120,13,Unsuccessful,86.8,15.8,,,OpenPlay,False
Pass,11,3,81026,183,Unsuccessful,14.8,93.1,15,91.1,OpenPlay,False
BallTouch,11,4,44120,13,Successful,85.1,12.3,,,OpenPlay,False
BallRecovery,11,5,133464,183,Successful,14.7,85.1,,,OpenPlay,False
Pass,11,5,133464,183,Successful,15.3,84.4,25.5,74.2,OpenPlay,False
Dispossessed,11,8,136459,183,Successful,27.5,76.5,,,OpenPlay,False
Tackle,11,8,89401,13,Successful,72.5,23.5,,,OpenPlay,False
Pass,11,22,323352,183,Successful,23.3,100.0,43,97.4,ThrowIn,False
Dispossessed,11,26,136459,183,Successful,41.3,97.3,,,OpenPlay,False
Tackle,11,26,239872,13,Successful,58.7,2.7,,,OpenPlay,False
Pass,11,43,323352,183,Successful,46.0,100.0,46.5,88.6,ThrowIn,False
Pass,11,44,133464,183,Successful,46.5,88.6,46,97.4,OpenPlay,False
Pass,11,45,323352,183,Unsuccessful,46.0,97.4,71.2,86,OpenPlay,False
Aerial,11,47,134115,183,Unsuccessful,73.2,84.6,,,OpenPlay,False
Aerial,11,47,22210,13,Successful,26.8,15.4,,,OpenPlay,False
Pass,11,48,22210,13,Successful,24.8,16.7,22.6,1.9,OpenPlay,False
Pass,11,49,124316,13,Unsuccessful,22.6,1.9,33.6,0,OpenPlay,False
Pass,12,5,323352,183,Successful,66.5,100.0,69.5,86,ThrowIn,False
Dispossessed,12,7,333044,183,Successful,72.2,83.0,,,OpenPlay,False
Tackle,12,7,328983,13,Successful,27.8,17.0,,,OpenPlay,False
BallRecovery,12,8,144890,13,Successful,26.7,16.5,,,OpenPlay,False
Pass,12,8,144890,13,Successful,26.7,16.5,26.7,27.6,OpenPlay,False
Pass,12,9,328983,13,Successful,26.7,28.8,29.3,62.3,OpenPlay,False
Pass,12,13,110260,13,Successful,42.5,69.6,56.2,54.2,OpenPlay,False
Pass,12,16,44120,13,Successful,56.8,67.2,67.1,96.3,OpenPlay,False
Pass,12,19,110260,13,Successful,67.1,96.2,68.3,88.1,OpenPlay,False
Pass,12,26,367185,13,Successful,70.6,92.4,61.3,92.3,OpenPlay,False
Pass,12,28,89401,13,Successful,61.3,92.3,66.3,95.1,OpenPlay,False
Pass,12,30,144890,13,Unsuccessful,68.6,91.4,91.9,79.7,OpenPlay,False
Interception,12,33,231080,183,Successful,9.2,18.8,,,OpenPlay,False
Foul,12,34,231080,183,Successful,8.6,19.6,,,OpenPlay,False
Foul,12,34,110260,13,Unsuccessful,91.4,80.4,,,OpenPlay,False
Card,12,43,145277,183,Successful,0.0,0.0,,,OpenPlay,False
Pass,13,16,316858,183,Successful,9.4,20.6,62.2,18.6,OpenPlay,False
Aerial,13,19,110260,13,Unsuccessful,34.4,84.4,,,OpenPlay,False
Aerial,13,19,136459,183,Successful,65.6,15.6,,,OpenPlay,False
Pass,13,20,136459,183,Unsuccessful,62.2,18.6,64.9,17.1,OpenPlay,False
BallTouch,13,21,110260,13,Successful,30.2,87.4,,,OpenPlay,False
BallTouch,13,24,367185,13,Unsuccessful,32.5,96.9,,,OpenPlay,False
Pass,13,26,333044,183,Successful,59.0,4.6,56,20.4,OpenPlay,False
Pass,13,29,133464,183,Successful,55.4,27.1,43.4,54.2,OpenPlay,False
Pass,13,33,122945,183,Successful,42.6,65.2,47.2,55.4,OpenPlay,False
Pass,13,35,133464,183,Successful,47.1,55.8,66.6,34.8,OpenPlay,False
Challenge,13,40,22210,13,Unsuccessful,23.0,34.6,,,OpenPlay,False
TakeOn,13,40,136459,183,Successful,77.0,65.4,,,OpenPlay,False
Pass,13,41,136459,183,Successful,74.6,76.6,90.5,86.3,OpenPlay,False
Pass,13,44,323352,183,Unsuccessful,90.5,86.3,91.3,84.1,OpenPlay,False
Clearance,13,44,328983,13,Successful,7.0,17.9,7,17.9,OpenPlay,False
CornerAwarded,13,45,323352,183,Successful,93.8,82.2,,,OpenPlay,False
CornerAwarded,13,45,328983,13,Unsuccessful,6.2,17.8,,,OpenPlay,False
Pass,14,5,323352,183,Successful,99.5,99.5,90.4,39.8,CornerTaken,False
MissedShots,14,7,81026,183,Successful,90.3,44.5,,,OpenPlay,False
Pass,14,30,92173,13,Successful,5.0,43.4,55.7,8.8,OpenPlay,False
Aerial,14,35,323352,183,Unsuccessful,43.2,93.2,,,OpenPlay,False
Aerial,14,35,124316,13,Successful,56.8,6.8,,,OpenPlay,False
Pass,14,36,124316,13,Unsuccessful,55.7,8.8,77.2,0,OpenPlay,False
Pass,14,56,323352,183,Successful,20.6,100.0,28.9,94.8,ThrowIn,False
Challenge,14,58,124316,13,Unsuccessful,69.8,7.0,,,OpenPlay,False
TakeOn,14,58,81026,183,Successful,30.2,93.0,,,OpenPlay,False
Pass,14,59,81026,183,Successful,28.7,93.2,10.8,90.8,OpenPlay,False
