Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,211,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,49.9,50.0,26.7,49.3,OpenPlay,False
Pass,0,3,27586,13,Successful,27.2,45.4,38.3,5.5,OpenPlay,False
Pass,0,6,125211,13,Successful,39.1,4.6,56.3,7.4,OpenPlay,False
Pass,0,9,44120,13,Unsuccessful,46.3,7.3,44.4,5.8,OpenPlay,False
BlockedPass,0,9,318153,211,Successful,54.4,94.0,,,OpenPlay,False
Pass,0,20,125211,13,Unsuccessful,46.9,0.0,53.8,18.2,ThrowIn,False
Interception,0,22,86441,211,Successful,46.2,80.9,,,OpenPlay,False
BallRecovery,0,23,86441,211,Successful,53.3,74.8,,,OpenPlay,False
Pass,0,24,86441,211,Unsuccessful,51.9,71.1,85.6,63.7,OpenPlay,False
KeeperPickup,0,28,92173,13,Successful,14.3,35.7,,,OpenPlay,False
Pass,0,29,92173,13,Successful,14.3,35.7,27.1,6.4,OpenPlay,False
Pass,0,32,125211,13,Successful,26.5,6.9,35.9,2.7,OpenPlay,False
Pass,0,34,44120,13,Unsuccessful,35.0,5.9,31.3,16.1,OpenPlay,False
BallRecovery,0,36,24238,211,Successful,68.5,79.4,,,OpenPlay,False
Pass,0,38,24238,211,Successful,69.7,62.7,65.9,59,OpenPlay,False
Pass,0,39,77429,211,Successful,65.9,59.0,69.6,64.5,OpenPlay,False
Pass,0,40,71824,211,Successful,68.8,66.1,64.7,92.7,OpenPlay,False
Pass,0,41,82277,211,Successful,64.7,92.7,71.1,95.4,OpenPlay,False
Pass,0,43,318153,211,Successful,70.9,95.9,60.6,96.8,OpenPlay,False
Pass,0,45,82277,211,Successful,60.6,96.8,43.7,88.1,OpenPlay,False
Pass,0,47,86441,211,Successful,41.7,83.8,35,38.2,OpenPlay,False
Pass,0,53,109922,211,Successful,35.8,38.0,33.5,59.4,OpenPlay,False
Pass,0,55,86441,211,Successful,33.6,58.2,33.5,36,OpenPlay,False
Pass,1,2,109922,211,Successful,48.0,27.1,52.3,2.8,OpenPlay,False
Pass,1,6,362146,211,Successful,44.7,7.0,26.3,23.3,OpenPlay,False
Pass,1,10,109922,211,Successful,25.4,24.4,27,55.8,OpenPlay,False
Pass,1,12,86441,211,Successful,25.7,55.8,16.4,29.1,OpenPlay,False
Pass,1,15,109922,211,Successful,21.3,23.6,32.9,2,OpenPlay,False
Pass,1,17,362146,211,Successful,32.9,2.0,30.4,16.2,OpenPlay,False
BallTouch,1,18,77429,211,Unsuccessful,30.4,16.2,,,OpenPlay,False
BallRecovery,1,19,73078,13,Successful,75.7,70.3,,,OpenPlay,False
Pass,1,20,73078,13,Unsuccessful,75.1,67.2,86.6,46.3,OpenPlay,False
