Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,184,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,79050,184,Successful,50.1,50.0,33.9,45.4,OpenPlay,False
Pass,0,3,131464,184,Unsuccessful,35.5,44.5,68.8,82.8,OpenPlay,False
Aerial,0,6,33386,184,Unsuccessful,68.5,82.0,,,OpenPlay,False
Aerial,0,6,342563,13,Successful,31.5,18.0,,,OpenPlay,False
Pass,0,7,342563,13,Unsuccessful,33.0,17.4,33.3,17,OpenPlay,False
BallTouch,0,8,33386,184,Successful,68.5,83.5,,,OpenPlay,False
Pass,0,23,255169,13,Successful,41.9,0.0,21.4,11.6,ThrowIn,False
Pass,0,32,22210,13,Successful,28.4,37.6,31.2,30.6,OpenPlay,False
Pass,0,35,342563,13,Successful,30.5,47.6,27.3,83.9,OpenPlay,False
Pass,0,38,27586,13,Successful,26.6,82.6,10,61.5,OpenPlay,False
Pass,0,42,92173,13,Successful,11.4,55.2,17.7,28.8,OpenPlay,False
Pass,0,45,22210,13,Successful,20.1,31.6,26.1,41.8,OpenPlay,False
Pass,0,47,328983,13,Successful,26.1,41.8,20.9,31.5,OpenPlay,False
Pass,0,49,22210,13,Successful,21.4,32.8,26,44.8,OpenPlay,False
Pass,0,51,328983,13,Successful,24.9,36.1,18.9,31.5,OpenPlay,False
Pass,0,52,22210,13,Successful,18.9,31.5,37.4,96.3,OpenPlay,False
Pass,0,57,23072,13,Successful,34.5,95.3,24.4,87.4,OpenPlay,False
Pass,1,5,27586,13,Successful,29.6,53.3,29.3,11.3,OpenPlay,False
Pass,1,8,255169,13,Successful,30.0,4.9,45.1,2.9,OpenPlay,False
Pass,1,9,44120,13,Unsuccessful,45.1,2.9,42.2,11.6,OpenPlay,False
BallTouch,1,10,33386,184,Unsuccessful,56.3,87.7,,,OpenPlay,False
Challenge,1,11,22847,184,Unsuccessful,56.0,84.8,,,OpenPlay,False
TakeOn,1,11,342563,13,Successful,44.0,15.2,,,OpenPlay,False
Pass,1,13,342563,13,Successful,55.0,23.7,50.2,41,OpenPlay,False
Pass,1,15,328983,13,Successful,53.8,48.4,64.9,95.4,OpenPlay,False
Pass,1,18,23072,13,Successful,67.4,95.0,75.6,98.6,OpenPlay,False
Pass,1,22,73078,13,Successful,74.5,92.3,73.1,77.2,OpenPlay,False
Pass,1,25,144890,13,Successful,73.8,70.3,90.2,25.5,OpenPlay,False
Pass,1,27,44120,13,Unsuccessful,90.2,25.5,90,40.7,OpenPlay,False
Clearance,1,29,94935,184,Successful,9.2,56.8,15.7,66.3,OpenPlay,False
Clearance,1,32,94935,184,Successful,15.1,64.5,36,63.9,OpenPlay,False
Aerial,1,34,33386,184,Unsuccessful,31.9,66.0,,,OpenPlay,False
Aerial,1,34,22210,13,Successful,68.1,34.0,,,OpenPlay,False
Pass,1,35,22210,13,Successful,71.4,32.2,65.3,50.1,OpenPlay,False
Pass,1,39,27586,13,Successful,67.2,66.6,68.6,95.4,OpenPlay,False
Pass,1,41,23072,13,Successful,66.8,95.0,53.3,70.8,OpenPlay,False
Pass,1,44,328983,13,Successful,53.6,69.1,61.6,64.5,OpenPlay,False
Pass,1,46,144890,13,Successful,61.0,67.8,56.4,91.7,OpenPlay,False
Pass,1,49,27586,13,Successful,60.9,85.6,68.4,69.1,OpenPlay,False
Pass,1,51,73078,13,Unsuccessful,68.4,69.1,70.8,73.2,OpenPlay,False
BallTouch,1,53,73078,13,Unsuccessful,70.6,76.9,,,OpenPlay,False
BallRecovery,1,54,41868,184,Successful,25.1,18.6,,,OpenPlay,False
Pass,1,55,41868,184,Unsuccessful,25.1,18.6,63.1,40,OpenPlay,False
Pass,1,59,22210,13,Unsuccessful,37.0,62.9,36.3,98.1,OpenPlay,False
Pass,2,4,73380,184,Successful,66.5,1.9,90.1,7,OpenPlay,False
Pass,2,9,41868,184,Unsuccessful,91.0,13.2,93,55.4,OpenPlay,False
Clearance,2,11,255169,13,Successful,5.3,48.4,14.2,55.8,OpenPlay,False
Clearance,2,14,27586,13,Successful,14.2,55.8,24.1,38,OpenPlay,False
MissedShots,2,15,24148,184,Successful,75.4,61.6,,,OpenPlay,False
Pass,2,29,92173,13,Successful,5.2,39.2,22.5,5,OpenPlay,False
Pass,2,32,255169,13,Successful,27.7,8.6,36.6,26.2,OpenPlay,False
Pass,2,34,342563,13,Successful,36.6,26.2,39.1,5.5,OpenPlay,False
BallTouch,2,35,44120,13,Unsuccessful,39.1,5.5,,,OpenPlay,False
Pass,2,36,22847,184,Successful,71.3,82.1,71.5,89.3,OpenPlay,False
BallRecovery,2,37,357427,184,Successful,70.5,95.7,,,OpenPlay,False
Pass,2,38,357427,184,Successful,70.5,95.7,66.5,88.4,OpenPlay,False
Pass,2,39,79050,184,Successful,66.5,88.4,67.5,96.2,OpenPlay,False
Pass,2,41,357427,184,Successful,65.8,96.3,47.7,90.2,OpenPlay,False
Pass,2,42,94935,184,Successful,46.7,89.3,54.5,66.7,OpenPlay,False
Pass,2,45,79050,184,Successful,53.8,59.9,67.6,3.4,OpenPlay,False
Pass,2,50,80067,184,Unsuccessful,71.9,3.1,100,57.7,OpenPlay,False
OffsideGiven,3,,342564,13,Unsuccessful,51.9,87.4,,,OpenPlay,False
Pass,3,10,92173,13,Successful,5.2,51.8,5.1,72.7,OpenPlay,False
Pass,3,12,27586,13,Successful,5.0,73.8,16.8,96.2,OpenPlay,False
OffsideProvoked,3,13,131464,184,Successful,48.0,21.9,,,OpenPlay,False
OffsidePass,3,13,23072,13,Successful,18.3,97.4,51.9,87.4,OpenPlay,False
Pass,3,51,105720,184,Unsuccessful,46.4,21.5,96.5,48.1,OpenPlay,False
KeeperPickup,3,54,92173,13,Successful,3.7,51.3,,,OpenPlay,False
Pass,3,57,92173,13,Successful,11.8,61.4,26.6,62,OpenPlay,False
Pass,4,0,144890,13,Successful,27.1,74.4,21.5,91.5,OpenPlay,False
Pass,4,2,23072,13,Successful,19.9,89.4,8.7,76,OpenPlay,False
Pass,4,6,27586,13,Successful,1.7,70.0,3.9,29.2,OpenPlay,False
Pass,4,8,22210,13,Successful,4.1,24.6,14.5,31.8,OpenPlay,False
Pass,4,10,342563,13,Successful,13.8,27.9,17.1,1.7,OpenPlay,False
Pass,4,13,255169,13,Successful,17.1,1.5,26.6,13.4,OpenPlay,False
Dispossessed,4,15,44120,13,Successful,29.4,11.2,,,OpenPlay,False
Tackle,4,15,24148,184,Successful,70.6,88.8,,,OpenPlay,False
BallTouch,4,16,22847,184,Successful,66.0,91.1,,,OpenPlay,False
BallRecovery,4,17,24148,184,Successful,65.3,90.9,,,OpenPlay,False
Pass,4,18,24148,184,Successful,65.3,90.9,57.5,96.8,OpenPlay,False
Pass,4,20,94935,184,Successful,58.9,96.6,81.1,69.7,OpenPlay,False
Pass,4,21,73380,184,Unsuccessful,81.1,69.7,74.1,68.5,OpenPlay,False
Interception,4,23,328983,13,Successful,23.9,37.0,,,OpenPlay,False
Pass,4,24,23072,13,Successful,26.2,56.6,31.6,50.4,OpenPlay,False
BallRecovery,4,25,144890,13,Successful,31.6,50.4,,,OpenPlay,False
Pass,4,28,144890,13,Successful,40.8,35.7,54.3,30.4,OpenPlay,False
Pass,4,34,342563,13,Unsuccessful,76.3,30.6,86.1,41.2,OpenPlay,False
Interception,4,35,94935,184,Successful,15.7,61.8,,,OpenPlay,False
Clearance,4,37,79050,184,Successful,19.4,52.2,56.1,34.5,OpenPlay,False
Pass,4,48,22210,13,Successful,60.9,89.0,58.6,77.6,OpenPlay,False
Pass,4,54,144890,13,Successful,79.7,83.3,84.8,76.1,OpenPlay,False
Pass,4,55,342564,13,Successful,84.8,76.1,78.3,72.1,ShotAssist,False
MissedShots,4,56,144890,13,Successful,78.3,72.1,,,OpenPlay,False
Pass,5,32,105720,184,Unsuccessful,5.1,57.6,59.3,62,OpenPlay,False
BallRecovery,5,35,144890,13,Successful,42.4,37.3,,,OpenPlay,False
Pass,5,36,144890,13,Successful,44.3,39.8,39.3,63.1,OpenPlay,False
Pass,5,38,328983,13,Successful,39.3,63.1,41.3,86.3,OpenPlay,False
Pass,5,40,23072,13,Successful,40.9,90.8,37.6,82.4,OpenPlay,False
Pass,5,44,328983,13,Successful,41.6,84.5,44.9,97.2,OpenPlay,False
Pass,5,47,23072,13,Successful,45.3,95.3,38.6,73.6,OpenPlay,False
Pass,5,50,144890,13,Successful,38.1,66.1,40.8,24.9,OpenPlay,False
Pass,5,54,342563,13,Successful,45.1,22.2,61.2,2.5,OpenPlay,False
Pass,5,56,255169,13,Successful,59.1,6.5,41.7,6.4,OpenPlay,False
Pass,5,59,342563,13,Successful,41.7,6.4,33.4,24,OpenPlay,False
Pass,6,1,22210,13,Successful,34.1,26.2,43.3,85.6,OpenPlay,False
Pass,6,6,328983,13,Successful,48.6,90.5,61.5,98,OpenPlay,False
Pass,6,8,23072,13,Successful,61.5,96.8,64.2,91.4,OpenPlay,False
Pass,6,11,342564,13,Successful,66.5,89.0,85.8,71.4,OpenPlay,False
BallTouch,6,12,73078,13,Unsuccessful,85.8,71.4,,,OpenPlay,False
KeeperPickup,6,15,105720,184,Successful,4.7,38.6,,,OpenPlay,False
Pass,6,31,105720,184,Successful,16.3,38.0,64,27.4,OpenPlay,False
Pass,6,36,33386,184,Unsuccessful,63.8,25.3,77.5,25.5,OpenPlay,False
Clearance,6,37,27586,13,Successful,24.2,77.1,24.9,91.5,OpenPlay,False
Pass,6,39,73380,184,Successful,72.5,15.6,70.1,5.5,OpenPlay,False
Pass,6,42,41868,184,Successful,81.2,4.6,75.4,8.6,OpenPlay,False
Pass,6,44,79050,184,Unsuccessful,77.8,8.2,90.1,100,OpenPlay,False
Pass,7,5,255169,13,Successful,14.3,0.0,26.3,4.7,ThrowIn,False
Pass,7,6,44120,13,Unsuccessful,25.7,3.4,23.5,1.6,OpenPlay,False
Interception,7,7,33386,184,Successful,82.6,97.7,,,OpenPlay,False
BallRecovery,7,8,33386,184,Successful,82.6,97.7,,,OpenPlay,False
Pass,7,9,33386,184,Unsuccessful,82.6,97.7,92,95.3,OpenPlay,False
Challenge,7,11,357427,184,Unsuccessful,92.6,95.2,,,OpenPlay,False
TakeOn,7,11,342563,13,Successful,7.4,4.8,,,OpenPlay,False
BallRecovery,7,12,342563,13,Successful,8.1,4.4,,,OpenPlay,False
Pass,7,13,342563,13,Successful,8.8,4.4,22.1,4.4,OpenPlay,False
Pass,7,14,44120,13,Successful,23.0,5.2,28.6,11.1,OpenPlay,False
Pass,7,18,73078,13,Successful,27.9,2.1,29.8,17.4,OpenPlay,False
Pass,7,21,144890,13,Successful,29.9,30.4,29.8,55.1,OpenPlay,False
Pass,7,25,328983,13,Successful,29.8,57.0,48.5,67.6,OpenPlay,False
Pass,7,26,342564,13,Successful,48.5,67.6,34.9,84.1,OpenPlay,False
Pass,7,29,328983,13,Successful,43.8,91.4,60.3,68.2,OpenPlay,False
Pass,7,31,44120,13,Unsuccessful,60.3,68.2,75,81.8,OpenPlay,False
Foul,7,35,131464,184,Successful,30.0,21.8,,,OpenPlay,False
Foul,7,35,342564,13,Unsuccessful,70.0,78.2,,,OpenPlay,False
Pass,7,48,80067,184,Successful,32.5,16.8,28.3,47.5,OpenPlay,False
Pass,7,50,94935,184,Successful,29.2,50.3,38.4,53.9,OpenPlay,False
Pass,7,53,22847,184,Successful,40.5,59.6,46.5,67.3,OpenPlay,False
Pass,7,54,357427,184,Successful,46.5,67.3,35,72.9,OpenPlay,False
Pass,7,55,22847,184,Successful,34.9,73.0,40.1,96.2,OpenPlay,False
Pass,7,58,24148,184,Successful,41.1,97.1,68.3,64,OpenPlay,False
BallTouch,8,0,73380,184,Unsuccessful,69.1,63.0,,,OpenPlay,False
BallRecovery,8,1,27586,13,Successful,31.6,34.0,,,OpenPlay,False
Pass,8,2,27586,13,Successful,31.9,33.0,28.8,18.5,OpenPlay,False
Foul,8,4,357427,184,Unsuccessful,70.7,82.9,,,OpenPlay,False
Foul,8,4,255169,13,Successful,29.3,17.1,,,OpenPlay,False
Pass,8,15,22210,13,Successful,28.8,24.6,28.6,70.2,OpenPlay,False
Pass,8,22,23072,13,Successful,18.1,81.1,19.5,75.6,OpenPlay,False
Pass,8,29,27586,13,Successful,27.5,53.1,31.9,12.8,OpenPlay,False
Pass,8,33,342563,13,Successful,38.2,8.5,41.2,28.3,OpenPlay,False
Pass,8,35,144890,13,Successful,41.2,28.3,43.7,37.7,OpenPlay,False
Pass,8,36,328983,13,Successful,43.7,37.7,25.5,28.6,OpenPlay,False
Pass,8,39,22210,13,Successful,28.6,33.1,26.4,62,OpenPlay,False
Pass,8,43,27586,13,Successful,30.3,57.2,90.7,19.8,OpenPlay,False
BallTouch,8,47,44120,13,Unsuccessful,91.8,20.0,,,OpenPlay,False
Clearance,8,49,24148,184,Successful,5.3,75.9,0,74.5,OpenPlay,False
CornerAwarded,8,50,24148,184,Unsuccessful,2.3,75.0,,,OpenPlay,False
CornerAwarded,8,50,44120,13,Successful,97.7,25.0,,,OpenPlay,False
Pass,9,26,144890,13,Successful,99.5,0.5,94.1,40.4,CornerTaken,False
Aerial,9,28,94935,184,Unsuccessful,5.1,56.1,,,OpenPlay,False
Aerial,9,28,73078,13,Successful,94.9,43.9,,,OpenPlay,False
Pass,9,29,73078,13,Unsuccessful,96.0,43.3,94.6,50.3,OpenPlay,False
BallTouch,9,30,80067,184,Successful,4.3,53.4,,,OpenPlay,False
CornerAwarded,9,31,80067,184,Unsuccessful,1.8,40.6,,,OpenPlay,False
CornerAwarded,9,31,73078,13,Successful,98.2,59.4,,,OpenPlay,False
Pass,9,50,144890,13,Successful,99.5,99.3,97,95.6,CornerTaken,False
Pass,9,52,342564,13,Unsuccessful,96.1,92.6,95.1,87.5,OpenPlay,False
Clearance,9,52,79050,184,Successful,8.3,15.3,8.3,15.3,OpenPlay,False
Pass,10,10,23072,13,Successful,84.9,100.0,77.9,94.7,ThrowIn,False
Pass,10,11,144890,13,Unsuccessful,77.9,94.7,84.7,92.1,OpenPlay,False
Interception,10,12,22847,184,Successful,16.4,10.9,,,OpenPlay,False
Pass,10,13,22847,184,Successful,16.3,8.6,12.3,16.7,OpenPlay,False
BallRecovery,10,14,80067,184,Successful,13.2,16.1,,,OpenPlay,False
Pass,10,15,80067,184,Unsuccessful,13.2,16.1,44.2,11.4,OpenPlay,False
BallRecovery,10,17,342563,13,Successful,66.3,90.2,,,OpenPlay,False
Pass,10,20,342563,13,Successful,69.8,49.9,75.1,12.4,OpenPlay,False
TakeOn,10,24,44120,13,Unsuccessful,77.2,16.8,,,OpenPlay,False
BallRecovery,10,26,24148,184,Successful,13.1,93.8,,,OpenPlay,False
BallTouch,10,27,24148,184,Unsuccessful,12.7,96.9,,,OpenPlay,False
ShieldBallOpp,10,28,44120,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,10,39,255169,13,Unsuccessful,84.9,0.0,91.7,18.3,ThrowIn,False
Foul,10,41,94935,184,Unsuccessful,9.2,83.0,,,OpenPlay,False
Foul,10,41,,13,Successful,90.8,17.0,,,OpenPlay,False
Pass,11,24,144890,13,Unsuccessful,91.7,18.3,94.5,41.6,OpenPlay,False
Clearance,11,26,24148,184,Successful,7.1,59.9,18.5,46.7,OpenPlay,False
Pass,11,28,22210,13,Successful,82.6,50.6,91.8,47.3,BigChanceCreated,False
SavedShot,11,29,73078,13,Successful,91.8,47.3,,,OpenPlay,False
Save,11,29,105720,184,Successful,2.2,50.5,,,OpenPlay,False
CornerAwarded,11,30,105720,184,Unsuccessful,0.0,55.6,,,OpenPlay,False
CornerAwarded,11,30,73078,13,Successful,100.0,44.4,,,OpenPlay,False
Pass,11,59,144890,13,Successful,99.5,0.5,94.7,37,CornerTaken,True
Goal,12,3,73078,13,Successful,96.2,39.7,,,OpenPlay,False
Pass,13,5,79050,184,Successful,50.1,50.3,33.9,47.4,OpenPlay,False
Pass,13,7,131464,184,Successful,36.2,47.8,70.1,85.9,OpenPlay,False
Aerial,13,8,342563,13,Unsuccessful,26.9,16.4,,,OpenPlay,False
Aerial,13,8,33386,184,Successful,73.1,83.6,,,OpenPlay,False
Pass,13,9,33386,184,Successful,70.5,84.7,75.3,81.8,OpenPlay,False
Pass,13,11,73380,184,Successful,74.6,76.1,73,91.1,OpenPlay,False
Pass,13,13,357427,184,Successful,93.4,90.9,94.5,10.4,OpenPlay,False
Pass,13,17,41868,184,Successful,93.1,7.7,82.7,4.6,OpenPlay,False
Pass,13,20,80067,184,Successful,82.7,4.6,76.2,20.4,OpenPlay,False
Pass,13,21,79050,184,Unsuccessful,76.5,21.0,86.8,43.9,OpenPlay,False
Clearance,13,22,342563,13,Successful,13.1,53.9,64.8,97.1,OpenPlay,False
Pass,13,35,131464,184,Successful,44.4,5.2,55.2,20.4,OpenPlay,False
Pass,13,37,80067,184,Successful,55.2,20.4,21.4,37.6,OpenPlay,False
Pass,13,40,105720,184,Successful,22.9,39.2,28,59.4,OpenPlay,False
Pass,13,44,94935,184,Successful,32.8,65.4,37.3,81.7,OpenPlay,False
Pass,13,46,79050,184,Successful,35.6,78.8,29.9,64.5,OpenPlay,False
Pass,13,49,94935,184,Successful,27.5,63.6,11.9,41.2,OpenPlay,False
Pass,13,52,105720,184,Successful,15.5,41.2,88.1,64.3,ShotAssist,False
MissedShots,13,59,33386,184,Successful,87.9,65.1,,,OpenPlay,False
Pass,14,23,92173,13,Unsuccessful,4.3,50.9,37.6,62.4,OpenPlay,False
Pass,14,24,22847,184,Successful,59.4,39.4,65.2,38,OpenPlay,False
Pass,14,26,79050,184,Successful,65.2,38.0,62.6,11.1,OpenPlay,False
BallRecovery,14,27,41868,184,Successful,64.0,10.7,,,OpenPlay,False
Pass,14,32,41868,184,Unsuccessful,88.6,5.9,82.5,5.6,OpenPlay,False
BallRecovery,14,33,342564,13,Successful,24.1,92.4,,,OpenPlay,False
Pass,14,35,342564,13,Successful,15.3,97.2,9.7,93.9,OpenPlay,False
Pass,14,38,144890,13,Successful,9.8,76.9,7.7,83.9,OpenPlay,False
Pass,14,40,23072,13,Successful,9.3,84.4,17.7,81.7,OpenPlay,False
Pass,14,42,328983,13,Successful,16.7,80.0,19.8,74.5,OpenPlay,False
Pass,14,46,144890,13,Successful,22.9,69.7,25.7,24.7,OpenPlay,False
Pass,14,50,255169,13,Successful,28.9,24.3,38.8,27.3,OpenPlay,False
Pass,14,52,342563,13,Successful,38.8,27.3,34.7,4.4,OpenPlay,False
Pass,14,53,44120,13,Successful,34.5,5.9,24.7,20,OpenPlay,False
Pass,14,55,22210,13,Successful,24.7,20.0,28.7,33,OpenPlay,False
Pass,14,59,144890,13,Successful,28.4,17.3,30,30.1,OpenPlay,False
Pass,15,1,342563,13,Successful,29.2,34.0,23.5,67.2,OpenPlay,False
Pass,15,7,27586,13,Successful,33.0,76.9,29.8,64.8,OpenPlay,False
Pass,15,10,328983,13,Successful,30.8,54.9,30.8,33.3,OpenPlay,False
Pass,15,13,22210,13,Successful,33.0,26.8,37.7,5.2,OpenPlay,False
Pass,15,15,255169,13,Unsuccessful,38.1,4.3,72.3,8.8,OpenPlay,False
Clearance,15,20,94935,184,Successful,24.4,94.8,28.9,100,OpenPlay,False
Pass,15,30,255169,13,Successful,68.5,0.0,68.5,9.3,ThrowIn,False
Pass,15,31,144890,13,Successful,68.0,10.4,68.1,3.6,OpenPlay,False
Pass,15,32,255169,13,Unsuccessful,67.5,1.9,68.2,2.8,OpenPlay,False
BallTouch,15,33,357427,184,Successful,34.5,97.2,,,OpenPlay,False
BallTouch,15,34,255169,13,Successful,67.8,2.8,,,OpenPlay,False
BallRecovery,15,35,357427,184,Successful,37.1,96.5,,,OpenPlay,False
Pass,15,36,357427,184,Unsuccessful,37.1,96.5,42.9,65.1,OpenPlay,False
BallRecovery,15,37,328983,13,Successful,59.1,31.2,,,OpenPlay,False
Pass,15,38,328983,13,Successful,58.8,33.0,57.6,71.1,OpenPlay,False
Pass,15,42,23072,13,Successful,63.4,82.3,70.9,96.8,OpenPlay,False
