Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,15,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,343346,15,Successful,50.2,50.1,30.3,49.7,OpenPlay,False
Pass,0,3,106086,15,Unsuccessful,31.6,49.0,73.8,87.5,OpenPlay,False
Clearance,0,7,124316,13,Successful,22.7,19.8,27.4,0,OpenPlay,False
Pass,0,12,101955,15,Successful,75.8,100.0,67.2,96.2,ThrowIn,False
Pass,0,15,29463,15,Successful,65.2,94.4,48.4,64.9,OpenPlay,False
Pass,0,19,106086,15,Successful,51.9,57.9,53.3,33.7,OpenPlay,False
Pass,0,21,104010,15,Successful,55.0,33.7,74.7,95.3,OpenPlay,False
Pass,0,26,101955,15,Successful,74.3,88.7,67.5,88.1,OpenPlay,False
Pass,0,29,93894,15,Successful,67.6,85.3,85.8,12,OpenPlay,False
Pass,0,33,25931,15,Unsuccessful,87.7,8.3,88.4,11.6,OpenPlay,False
BallTouch,0,34,367185,13,Successful,11.6,84.2,,,OpenPlay,False
BallRecovery,0,35,328983,13,Successful,13.1,68.4,,,OpenPlay,False
Pass,0,36,328983,13,Successful,13.9,71.1,23.3,77.8,OpenPlay,False
BallTouch,0,39,44120,13,Unsuccessful,38.5,85.0,,,OpenPlay,False
BallRecovery,0,40,104010,15,Successful,56.2,4.9,,,OpenPlay,False
Pass,0,42,104010,15,Successful,41.8,7.3,32.8,39.8,OpenPlay,False
Pass,0,46,106086,15,Successful,34.0,44.9,32.1,63.9,OpenPlay,False
Pass,0,51,317507,15,Successful,35.0,68.8,44.2,95.3,OpenPlay,False
Pass,0,53,101955,15,Successful,41.4,95.7,27.7,88.6,OpenPlay,False
Pass,0,56,317507,15,Successful,28.1,86.2,24,58.5,OpenPlay,False
Pass,1,0,106086,15,Successful,32.0,54.9,34.2,77.5,OpenPlay,False
Pass,1,3,317507,15,Successful,34.3,72.4,26.6,54.6,OpenPlay,False
Pass,1,5,106086,15,Successful,25.5,51.9,7,42.4,OpenPlay,False
Pass,1,10,113880,15,Successful,8.3,42.8,12.7,62.7,OpenPlay,False
Pass,1,14,106086,15,Successful,14.9,65.4,21.3,71.4,OpenPlay,False
Pass,1,16,93894,15,Successful,20.7,71.7,11.7,80.9,OpenPlay,False
Pass,1,18,106086,15,Unsuccessful,11.0,82.4,12.5,83.2,OpenPlay,False
BlockedPass,1,18,73078,13,Successful,84.4,9.7,,,OpenPlay,False
Pass,1,32,101955,15,Successful,17.0,100.0,30.1,92.7,ThrowIn,False
Pass,1,34,29463,15,Unsuccessful,30.1,92.7,35.3,91.4,OpenPlay,False
Pass,1,35,124316,13,Unsuccessful,65.6,3.8,70,13.2,OpenPlay,False
Pass,1,36,93894,15,Unsuccessful,31.1,82.4,30.6,57.5,OpenPlay,False
BallRecovery,1,37,44120,13,Successful,70.1,43.4,,,OpenPlay,False
Pass,1,38,44120,13,Successful,70.1,43.4,80.3,41.3,OpenPlay,False
Pass,1,39,73078,13,Unsuccessful,80.3,40.4,80.9,39.4,OpenPlay,False
BlockedPass,1,39,106086,15,Successful,26.3,58.4,,,OpenPlay,False
Pass,1,41,13756,13,Unsuccessful,73.5,33.9,83,47.5,OpenPlay,False
Aerial,1,42,73078,13,Unsuccessful,83.5,48.8,,,OpenPlay,False
Aerial,1,42,104010,15,Successful,16.5,51.2,,,OpenPlay,False
Clearance,1,43,104010,15,Successful,15.7,49.6,21.2,25.9,OpenPlay,False
Pass,1,45,328983,13,Successful,77.0,70.2,71.5,73.5,OpenPlay,False
Pass,1,46,367185,13,Successful,71.5,73.5,81.6,86.9,OpenPlay,False
Pass,1,51,328983,13,Successful,79.7,95.7,63.7,91.1,OpenPlay,False
Pass,2,0,248109,13,Successful,59.4,78.9,48.3,33.8,OpenPlay,False
Pass,2,1,124316,13,Successful,45.6,23.4,45.1,53.1,OpenPlay,False
Pass,2,2,27586,13,Successful,45.1,53.1,43.2,26.4,OpenPlay,False
Pass,2,5,124316,13,Successful,44.8,24.6,55.7,4.6,OpenPlay,False
Pass,2,7,342564,13,Successful,54.9,4.7,39,19.7,OpenPlay,False
Pass,2,9,124316,13,Successful,39.0,19.7,16.8,43.3,OpenPlay,False
Pass,2,13,92173,13,Successful,16.7,44.9,23.3,67.6,OpenPlay,False
Pass,2,15,27586,13,Successful,24.3,66.0,31.4,53.1,OpenPlay,False
Pass,2,18,248109,13,Successful,35.0,54.5,43.1,67.6,OpenPlay,False
Pass,2,20,328983,13,Successful,46.9,71.8,48.3,94.2,OpenPlay,False
Pass,2,23,367185,13,Successful,46.2,92.4,34.5,81.4,OpenPlay,False
Pass,2,30,27586,13,Successful,36.0,67.9,37.2,36.9,OpenPlay,False
Pass,2,32,124316,13,Successful,37.2,43.9,53.2,28.5,OpenPlay,False
Pass,2,35,13756,13,Successful,53.2,24.6,59.4,5.2,OpenPlay,False
Pass,2,38,342564,13,Successful,59.5,22.1,55.2,32.5,OpenPlay,False
Pass,2,40,248109,13,Successful,46.8,34.5,35.3,25.8,OpenPlay,False
Pass,2,44,124316,13,Successful,39.0,21.9,46.6,5.3,OpenPlay,False
Pass,2,46,255169,13,Successful,54.3,4.3,66.2,6.2,OpenPlay,False
Pass,2,48,13756,13,Successful,66.2,6.2,77.5,5.8,OpenPlay,False
Foul,2,53,317507,15,Unsuccessful,11.5,86.6,,,OpenPlay,False
Foul,2,53,342564,13,Successful,88.5,13.4,,,OpenPlay,False
Pass,3,37,13756,13,Unsuccessful,88.6,14.1,91.5,43.9,OpenPlay,False
Aerial,3,38,73078,13,Unsuccessful,91.5,41.0,,,OpenPlay,False
Aerial,3,38,25931,15,Successful,8.5,59.0,,,OpenPlay,False
Clearance,3,39,25931,15,Successful,8.4,61.4,13.1,59.4,OpenPlay,False
Clearance,3,41,114075,15,Successful,13.2,59.3,66.7,54,OpenPlay,False
Pass,3,46,92173,13,Successful,33.7,44.8,45.7,70.5,OpenPlay,False
Pass,3,49,367185,13,Unsuccessful,45.8,72.7,57.4,83.8,OpenPlay,False
Interception,3,51,25931,15,Successful,41.9,7.1,,,OpenPlay,False
BallRecovery,3,53,343346,15,Successful,54.6,9.1,,,OpenPlay,False
Dispossessed,3,53,343346,15,Successful,54.7,13.1,,,OpenPlay,False
Tackle,3,53,44120,13,Successful,45.3,86.9,,,OpenPlay,False
BallRecovery,3,55,328983,13,Successful,40.8,79.7,,,OpenPlay,False
Pass,3,58,328983,13,Successful,35.1,69.1,36.1,29.4,OpenPlay,False
Pass,4,1,124316,13,Successful,36.6,28.2,43.7,7,OpenPlay,False
Pass,4,3,342564,13,Successful,43.7,7.0,34.8,5.3,OpenPlay,False
Pass,4,4,255169,13,Successful,34.1,4.0,24.2,14.7,OpenPlay,False
Pass,4,9,124316,13,Successful,28.1,21.6,32.7,33.9,OpenPlay,False
Pass,4,11,248109,13,Successful,32.4,33.9,26.2,18.2,OpenPlay,False
Pass,4,12,124316,13,Successful,28.5,16.8,31.2,4,OpenPlay,False
Pass,4,14,255169,13,Successful,31.2,4.0,27.3,17,OpenPlay,False
Pass,4,16,124316,13,Successful,27.1,23.7,12.4,51.6,OpenPlay,False
Pass,4,21,92173,13,Unsuccessful,11.8,49.7,43.7,7.3,OpenPlay,False
BallRecovery,4,23,101955,15,Successful,60.6,90.6,,,OpenPlay,False
Pass,4,24,101955,15,Unsuccessful,60.6,90.6,63.3,85.6,OpenPlay,False
BallRecovery,4,25,13756,13,Successful,46.3,19.5,,,OpenPlay,False
Pass,4,26,13756,13,Successful,46.3,19.5,67.4,6.5,OpenPlay,False
Pass,4,33,342564,13,Unsuccessful,95.3,9.4,95.4,13.4,OpenPlay,False
Clearance,4,33,317507,15,Successful,5.9,90.3,5.9,90.3,OpenPlay,False
CornerAwarded,4,34,317507,15,Unsuccessful,2.2,86.9,,,OpenPlay,False
CornerAwarded,4,34,342564,13,Successful,97.8,13.1,,,OpenPlay,False
