Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
OffsideGiven,0,,255169,13,Unsuccessful,79.3,97.8,,,OpenPlay,False,False
Start,0,0,,15,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,0,24444,15,Successful,49.9,50.0,38,41.2,OpenPlay,False,False
Pass,0,2,106968,15,Successful,36.7,40.7,36.9,50.7,OpenPlay,False,False
Pass,0,3,93894,15,Successful,37.9,53.4,38.7,39.2,OpenPlay,False,False
Pass,0,4,106968,15,Successful,36.1,37.6,31.6,65.4,OpenPlay,False,False
Pass,0,5,104010,15,Successful,31.6,65.4,26.2,52.1,OpenPlay,False,False
Pass,0,8,106086,15,Successful,25.3,46.7,29.3,5,OpenPlay,False,False
Pass,0,11,25931,15,Unsuccessful,30.5,4.3,83.7,0,OpenPlay,False,False
Pass,0,32,297403,13,Successful,31.2,100.0,55.2,94.7,ThrowIn,False,False
Foul,0,38,73078,13,Successful,59.5,91.8,,,OpenPlay,False,False
Foul,0,38,106086,15,Unsuccessful,40.5,8.2,,,OpenPlay,False,False
Pass,0,52,89401,13,Successful,56.4,89.3,63.7,97.2,OpenPlay,False,False
OffsidePass,0,55,297403,13,Successful,71.6,97.8,79.3,97.8,OpenPlay,False,False
OffsideProvoked,0,55,361330,15,Successful,16.0,3.8,,,OpenPlay,False,False
Pass,1,19,25931,15,Successful,22.0,3.2,62.5,48.1,OpenPlay,False,False
Aerial,1,22,24444,15,Successful,62.0,45.6,,,OpenPlay,False,False
Pass,1,22,24444,15,Unsuccessful,62.5,48.1,64.8,48.8,OpenPlay,False,False
Aerial,1,22,288795,13,Unsuccessful,38.0,54.4,,,OpenPlay,False,False
BallTouch,1,23,288795,13,Successful,38.3,46.2,,,OpenPlay,False,False
Pass,1,25,84008,15,Successful,63.3,56.7,68.3,59.6,OpenPlay,False,False
Pass,1,28,302692,15,Successful,61.5,62.0,44,72.6,OpenPlay,False,False
Pass,1,29,104010,15,Successful,43.3,71.3,37.3,50.1,OpenPlay,False,False
Pass,1,31,106086,15,Successful,33.4,37.6,44.6,8,OpenPlay,False,False
Pass,1,32,25931,15,Unsuccessful,44.6,8.0,67.2,36.7,OpenPlay,False,False
Pass,1,33,27586,13,Successful,38.7,65.1,59,65.1,OpenPlay,False,False
BallTouch,1,35,73078,13,Unsuccessful,59.3,65.2,,,OpenPlay,False,False
Pass,1,38,25931,15,Unsuccessful,28.8,6.1,41.3,10.7,OpenPlay,False,False
Pass,1,39,89401,13,Successful,59.2,82.0,63.9,93.6,OpenPlay,False,False
BallRecovery,1,41,44120,13,Successful,64.1,93.6,,,OpenPlay,False,False
Pass,1,41,44120,13,Successful,64.1,93.6,60,87.4,OpenPlay,False,False
Pass,1,42,89401,13,Unsuccessful,60.0,87.4,65.6,76.3,OpenPlay,False,False
Pass,1,44,106086,15,Unsuccessful,34.3,18.6,75.8,0,OpenPlay,False,False
Pass,2,0,297403,13,Successful,31.1,100.0,19.6,96.6,ThrowIn,False,False
Pass,2,2,27586,13,Successful,19.6,96.6,25.3,97.5,OpenPlay,False,False
Pass,2,7,297403,13,Unsuccessful,35.0,97.9,38.7,97.9,OpenPlay,False,False
BallTouch,2,8,343346,15,Successful,64.2,3.1,,,OpenPlay,False,False
Pass,2,17,255169,13,Successful,95.4,95.3,92.6,56.4,ShotAssist,False,False
MissedShots,2,18,44120,13,Successful,92.6,56.4,,,OpenPlay,False,False
Pass,2,41,34749,15,Successful,4.6,49.4,6.3,28.8,OpenPlay,False,False
Pass,2,44,106086,15,Successful,6.3,28.8,18.5,3.7,OpenPlay,False,False
Pass,2,46,25931,15,Successful,18.5,3.7,21.3,17.6,OpenPlay,False,False
Pass,2,49,106968,15,Successful,23.5,24.0,23,91.1,OpenPlay,False,False
Pass,2,52,84008,15,Successful,23.0,90.5,14.3,73.8,OpenPlay,False,False
Pass,2,54,104010,15,Successful,14.3,73.8,2.8,63.6,OpenPlay,False,False
Pass,2,57,34749,15,Successful,2.5,63.4,35.4,90.5,OpenPlay,False,False
Aerial,3,0,84008,15,Successful,37.8,91.4,,,OpenPlay,False,False
Aerial,3,0,125211,13,Unsuccessful,62.2,8.6,,,OpenPlay,False,False
Pass,3,1,84008,15,Successful,36.3,92.3,49.1,84.7,OpenPlay,False,False
Pass,3,2,24444,15,Successful,48.7,83.5,45,84.9,OpenPlay,False,False
Pass,3,3,302692,15,Successful,48.6,78.5,54.3,69,OpenPlay,False,False
Dispossessed,3,4,343346,15,Successful,55.8,67.2,,,OpenPlay,False,False
Tackle,3,4,144890,13,Successful,44.2,32.8,,,OpenPlay,False,False
BallRecovery,3,5,27586,13,Successful,37.6,32.8,,,OpenPlay,False,False
Pass,3,5,27586,13,Successful,37.6,32.8,43.4,39.8,OpenPlay,False,False
Dispossessed,3,7,89401,13,Successful,35.6,51.4,,,OpenPlay,False,False
Tackle,3,7,343346,15,Successful,64.4,48.6,,,OpenPlay,False,False
BallRecovery,3,9,343346,15,Successful,70.8,45.2,,,OpenPlay,False,False
SavedShot,3,11,343346,15,Successful,76.2,42.5,,,OpenPlay,False,False
Save,3,12,102248,13,Successful,2.1,51.8,,,OpenPlay,False,False
CornerAwarded,3,13,102248,13,Unsuccessful,13.6,52.4,,,OpenPlay,False,False
CornerAwarded,3,13,343346,15,Successful,86.4,47.6,,,OpenPlay,False,False
Pass,3,48,343346,15,Successful,99.5,0.5,89.1,5.3,CornerTaken,False,False
Pass,3,50,302692,15,Successful,89.1,5.3,75.3,17.1,OpenPlay,False,False
Pass,3,51,361330,15,Unsuccessful,75.3,17.1,91.3,49.7,OpenPlay,False,False
Clearance,3,52,288795,13,Successful,7.9,57.6,7,33.4,OpenPlay,False,False
Pass,3,54,84008,15,Unsuccessful,93.9,68.1,92.2,63.4,OpenPlay,False,False
BallRecovery,3,56,44120,13,Successful,7.7,36.0,,,OpenPlay,False,False
BallTouch,3,56,44120,13,Unsuccessful,7.9,32.8,,,OpenPlay,False,False
