Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,162,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,50.1,49.9,29.1,55.7,OpenPlay,False
Pass,0,3,27586,13,Successful,31.4,55.8,61.8,98.1,OpenPlay,False
Pass,0,6,297403,13,Successful,61.8,98.1,68.9,94.7,OpenPlay,False
Pass,0,7,44120,13,Successful,68.9,94.7,61.1,89.6,OpenPlay,False
Pass,0,9,144890,13,Successful,61.1,89.6,58.1,98,OpenPlay,False
Pass,0,11,297403,13,Successful,58.1,98.0,42.2,93,OpenPlay,False
Pass,0,12,89401,13,Successful,42.2,93.0,32.7,71.4,OpenPlay,False
Pass,0,15,27586,13,Successful,32.0,69.6,28.7,42.4,OpenPlay,False
Pass,0,19,22210,13,Successful,28.8,37.9,32.8,6.8,OpenPlay,False
Pass,0,21,124316,13,Successful,32.8,6.8,21.5,28.3,OpenPlay,False
Pass,0,23,22210,13,Successful,21.9,28.5,27.4,31.6,OpenPlay,False
Pass,0,24,328983,13,Successful,27.4,31.6,31.5,6.2,OpenPlay,False
Pass,0,26,124316,13,Successful,34.7,4.9,55.9,20.1,OpenPlay,False
Dispossessed,0,29,73078,13,Successful,56.8,24.8,,,OpenPlay,False
Tackle,0,29,70493,162,Successful,43.2,75.2,,,OpenPlay,False
BallRecovery,0,32,20339,162,Successful,46.0,86.8,,,OpenPlay,False
TakeOn,0,33,20339,162,Unsuccessful,46.2,86.8,,,OpenPlay,False
Pass,0,37,124316,13,Successful,47.8,0.0,31.8,12.3,ThrowIn,False
Pass,0,41,22210,13,Successful,31.8,13.8,31.8,60.8,OpenPlay,False
Pass,0,47,27586,13,Successful,35.6,41.6,29.3,25,OpenPlay,False
Pass,0,53,22210,13,Successful,35.0,26.5,43.8,4.4,OpenPlay,False
Pass,0,56,124316,13,Successful,44.8,3.7,21.3,31.2,OpenPlay,False
Pass,1,1,22210,13,Successful,21.3,31.2,25.1,60.6,OpenPlay,False
Pass,1,3,27586,13,Successful,25.6,61.7,33.7,66.1,OpenPlay,False
Pass,1,5,89401,13,Successful,33.7,66.1,26.7,58.7,OpenPlay,False
Pass,1,9,27586,13,Successful,29.1,51.3,35.4,6.5,OpenPlay,False
Pass,1,12,124316,13,Successful,38.9,5.8,48.9,3.4,OpenPlay,False
Pass,1,14,239872,13,Successful,48.9,3.4,48.9,15.3,OpenPlay,False
Pass,1,15,328983,13,Unsuccessful,48.9,15.3,89.7,16.5,OpenPlay,False
Pass,1,20,21571,162,Unsuccessful,10.9,82.6,40,65.2,OpenPlay,False
Pass,1,21,89401,13,Successful,58.0,33.0,63.5,28.6,OpenPlay,False
BallTouch,1,22,328983,13,Unsuccessful,63.5,28.6,,,OpenPlay,False
BallRecovery,1,23,70493,162,Successful,35.2,70.2,,,OpenPlay,False
Pass,1,24,70493,162,Unsuccessful,35.0,70.0,46,73.9,OpenPlay,False
BallRecovery,1,25,124316,13,Successful,55.4,20.6,,,OpenPlay,False
Pass,1,26,124316,13,Successful,55.4,20.6,60.2,34,OpenPlay,False
Pass,1,27,89401,13,Successful,60.2,34.0,43.9,43.3,OpenPlay,False
Pass,1,30,27586,13,Unsuccessful,47.4,45.2,74,100,OpenPlay,False
Pass,1,59,43105,162,Successful,30.2,0.0,39.1,5.3,ThrowIn,False
Pass,2,0,71522,162,Successful,39.1,5.3,31.1,2.3,OpenPlay,False
Pass,2,1,43105,162,Unsuccessful,31.1,2.3,44.1,3.5,OpenPlay,False
