Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,31,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,69346,31,Successful,50.0,50.0,36,50.6,OpenPlay,False,False
Pass,0,3,29544,31,Unsuccessful,35.7,50.1,75.4,24.6,OpenPlay,False,False
Pass,0,5,89401,13,Successful,24.1,82.0,36.9,76.4,OpenPlay,False,False
BallRecovery,0,6,13756,13,Successful,37.2,76.3,,,OpenPlay,False,False
Pass,0,7,13756,13,Successful,37.2,76.3,41.4,96.3,OpenPlay,False,False
Pass,0,9,44120,13,Successful,41.4,96.3,47,86.5,OpenPlay,False,False
BallTouch,0,11,345845,13,Unsuccessful,45.8,86.5,,,OpenPlay,False,False
BallRecovery,0,12,136824,31,Successful,70.4,11.1,,,OpenPlay,False,False
Pass,0,13,136824,31,Unsuccessful,64.0,16.3,67.5,25.4,OpenPlay,False,False
Foul,0,15,317804,31,Successful,67.2,28.8,,,OpenPlay,False,False
Foul,0,15,144890,13,Unsuccessful,32.8,71.2,,,OpenPlay,False,False
Pass,0,45,69346,31,Unsuccessful,67.9,26.2,87.4,52.8,OpenPlay,False,True
BallTouch,0,46,27586,13,Successful,12.5,42.8,,,OpenPlay,False,False
Error,0,47,27586,13,Successful,11.9,49.4,,,OpenPlay,True,False
Goal,0,49,141469,31,Successful,91.8,48.8,,,OpenPlay,False,False
Pass,1,49,345845,13,Successful,50.1,49.9,29.2,62,OpenPlay,False,False
Pass,1,52,27586,13,Successful,27.4,62.7,27.3,41.2,OpenPlay,False,False
Pass,1,53,80921,13,Successful,29.1,27.0,43,28.7,OpenPlay,False,False
Pass,1,54,13756,13,Successful,45.4,30.7,39.6,30.7,OpenPlay,False,False
Pass,1,55,144890,13,Successful,41.2,29.9,48.3,8.7,OpenPlay,False,False
Pass,1,59,125211,13,Successful,53.5,7.1,67.4,10.7,OpenPlay,False,False
Pass,2,1,13756,13,Unsuccessful,73.4,3.8,73.8,7.1,OpenPlay,False,False
Interception,2,2,27213,31,Successful,27.4,90.9,,,OpenPlay,False,False
BallTouch,2,3,13756,13,Successful,76.7,2.6,,,OpenPlay,False,False
Pass,2,14,8222,31,Successful,26.4,100.0,44.1,93.5,ThrowIn,False,False
Aerial,2,15,125211,13,Unsuccessful,56.1,6.8,,,OpenPlay,False,False
Aerial,2,15,141469,31,Successful,43.9,93.2,,,OpenPlay,False,False
Pass,2,16,141469,31,Unsuccessful,42.0,92.1,48,94.2,OpenPlay,False,False
Interception,2,17,80921,13,Successful,51.6,5.2,,,OpenPlay,False,False
BallRecovery,2,18,144890,13,Successful,55.6,6.6,,,OpenPlay,False,False
Pass,2,19,144890,13,Successful,53.4,7.4,38.5,33.4,OpenPlay,False,False
Pass,2,28,27586,13,Successful,33.6,84.8,17.6,54.3,OpenPlay,False,False
Pass,2,33,92173,13,Successful,18.0,52.5,21.1,27.9,OpenPlay,False,False
Pass,2,37,80921,13,Successful,22.5,28.6,12.8,46.7,OpenPlay,False,False
Pass,2,39,92173,13,Successful,12.9,46.9,15.4,82.7,OpenPlay,False,False
Foul,2,44,141469,31,Unsuccessful,84.5,3.2,,,OpenPlay,False,False
Foul,2,44,27586,13,Successful,15.5,96.8,,,OpenPlay,False,False
Pass,2,59,27586,13,Successful,20.7,95.3,31.4,75.7,OpenPlay,False,False
Pass,3,2,89401,13,Successful,25.4,74.2,5.7,68.4,OpenPlay,False,False
Pass,3,12,92173,13,Successful,11.9,56.6,24.2,68.7,OpenPlay,False,False
Pass,3,14,89401,13,Successful,26.8,64.6,29.3,2.6,OpenPlay,False,False
Pass,3,17,125211,13,Successful,29.4,2.8,46.3,20.6,OpenPlay,False,False
Tackle,3,21,29544,31,Successful,55.7,84.3,,,OpenPlay,False,False
Dispossessed,3,21,13756,13,Successful,44.3,15.7,,,OpenPlay,False,False
Pass,3,28,125211,13,Successful,35.4,0.0,14.9,12,ThrowIn,False,False
Pass,3,30,80921,13,Successful,15.7,12.9,23.2,43.4,OpenPlay,False,False
Pass,3,35,27586,13,Successful,32.3,58.4,54.6,98.1,OpenPlay,False,False
Pass,3,39,110260,13,Successful,57.0,97.2,52.7,89.1,OpenPlay,False,False
Pass,3,42,89401,13,Successful,56.0,89.0,65.2,97.8,OpenPlay,False,False
Pass,3,45,110260,13,Successful,68.3,96.3,63.2,86.5,OpenPlay,False,False
Pass,3,48,89401,13,Successful,62.7,71.4,46.4,65.1,OpenPlay,False,False
Pass,3,51,27586,13,Successful,45.4,64.0,37.7,31,OpenPlay,False,False
Pass,3,53,80921,13,Successful,38.2,12.3,48.1,3.4,OpenPlay,False,False
Pass,3,54,125211,13,Successful,47.4,6.1,46.8,29.5,OpenPlay,False,False
Pass,3,55,144890,13,Successful,46.8,29.5,57.8,16.5,OpenPlay,False,False
Pass,3,56,13756,13,Unsuccessful,57.6,16.4,72.3,12.3,OpenPlay,False,False
Pass,3,59,8222,31,Unsuccessful,38.3,92.6,61.4,96.3,OpenPlay,False,False
Pass,4,2,80921,13,Successful,32.4,12.9,42.1,9.5,OpenPlay,False,False
Pass,4,4,125211,13,Successful,42.0,10.3,25.7,36.6,OpenPlay,False,False
Pass,4,6,27586,13,Successful,24.9,36.1,19.2,11.4,OpenPlay,False,False
Pass,4,7,80921,13,Successful,19.2,11.4,27.4,36.6,OpenPlay,False,False
Pass,4,13,144890,13,Unsuccessful,46.6,54.0,64.9,74.7,OpenPlay,False,False
BallRecovery,4,14,136824,31,Successful,37.7,27.0,,,OpenPlay,False,False
Pass,4,15,136824,31,Successful,36.8,30.4,30.4,50.3,OpenPlay,False,False
Pass,4,18,297544,31,Successful,27.2,54.3,5.4,54.3,OpenPlay,False,False
Pass,4,21,110189,31,Unsuccessful,5.4,54.3,79.6,17,OpenPlay,False,False
BallRecovery,4,27,92173,13,Successful,20.5,88.1,,,OpenPlay,False,False
Pass,4,28,92173,13,Successful,20.5,88.0,32.9,94.7,OpenPlay,False,False
Pass,4,31,89401,13,Successful,34.6,85.0,31.7,61.4,OpenPlay,False,False
Pass,4,34,27586,13,Successful,32.9,61.8,42.2,72.4,OpenPlay,False,False
Pass,4,36,89401,13,Successful,42.3,70.3,31.3,56.3,OpenPlay,False,False
Pass,4,40,27586,13,Successful,31.3,46.0,42.9,10.6,OpenPlay,False,False
Pass,4,43,80921,13,Successful,42.9,10.4,58,3.2,OpenPlay,False,False
Pass,4,46,125211,13,Successful,61.1,10.1,65.7,24.3,OpenPlay,False,False
Pass,4,48,239872,13,Successful,64.8,24.0,46.1,23.9,OpenPlay,False,False
Pass,4,49,80921,13,Successful,46.1,23.9,38,40.7,OpenPlay,False,False
Pass,4,53,27586,13,Successful,45.3,41.5,71.7,97.8,OpenPlay,False,False
Pass,4,57,110260,13,Successful,80.1,95.8,75.2,77.5,OpenPlay,False,False
Pass,5,0,44120,13,Successful,72.3,69.9,66.7,53.1,OpenPlay,False,False
Pass,5,2,144890,13,Successful,67.4,48.2,79.9,28.8,OpenPlay,False,False
Pass,5,6,239872,13,Successful,90.6,30.3,85,37.7,ShotAssist,False,False
MissedShots,5,7,125211,13,Successful,84.6,36.3,,,OpenPlay,False,False
Pass,5,28,110189,31,Successful,5.0,54.8,7.5,56.7,OpenPlay,False,False
Pass,5,30,297544,31,Successful,9.8,52.0,21.2,38.2,OpenPlay,False,False
Pass,5,32,29544,31,Successful,18.4,29.7,18.4,7.7,OpenPlay,False,False
Pass,5,36,318432,31,Successful,19.5,4.4,48.7,12,OpenPlay,False,False
Aerial,5,37,110260,13,Unsuccessful,51.0,81.2,,,OpenPlay,False,False
Aerial,5,37,141469,31,Successful,49.0,18.8,,,OpenPlay,False,False
BallTouch,5,38,141469,31,Successful,49.3,14.1,,,OpenPlay,False,False
Pass,5,41,144890,13,Successful,43.3,69.7,33.2,65.1,OpenPlay,False,False
BallRecovery,5,42,80921,13,Successful,33.3,65.2,,,OpenPlay,False,False
Pass,5,43,80921,13,Successful,33.3,65.2,32.9,75.3,OpenPlay,False,False
Pass,5,44,27586,13,Successful,32.9,75.3,41.4,68.4,OpenPlay,False,False
Pass,5,47,144890,13,Successful,44.2,68.4,80.4,79.3,OpenPlay,False,False
Pass,5,51,44120,13,Unsuccessful,91.7,73.2,91.6,70.6,OpenPlay,False,False
BlockedPass,5,51,10454,31,Successful,11.7,27.4,,,OpenPlay,False,False
CornerAwarded,5,53,10454,31,Unsuccessful,5.2,30.8,,,OpenPlay,False,False
CornerAwarded,5,53,44120,13,Successful,94.8,69.2,,,OpenPlay,False,False
Pass,6,28,144890,13,Unsuccessful,99.5,99.5,93.8,51.5,CornerTaken,False,False
Clearance,6,30,141469,31,Successful,4.1,43.3,31.5,49.1,OpenPlay,False,False
Pass,6,33,110260,13,Successful,63.6,59.1,79.2,94.7,OpenPlay,False,False
Pass,6,37,144890,13,Unsuccessful,77.8,93.6,93.8,81.8,OpenPlay,False,False
Interception,6,40,29544,31,Successful,11.4,19.2,,,OpenPlay,False,False
CornerAwarded,6,42,29544,31,Unsuccessful,5.0,19.2,,,OpenPlay,False,False
CornerAwarded,6,42,144890,13,Successful,95.0,80.8,,,OpenPlay,False,False
Pass,7,7,144890,13,Successful,99.5,99.5,90.4,96.5,CornerTaken,False,False
Pass,7,9,239872,13,Successful,89.2,95.9,78.1,94.4,OpenPlay,False,False
Pass,7,11,13756,13,Successful,78.1,94.4,85.9,94.8,OpenPlay,False,False
Pass,7,13,144890,13,Unsuccessful,85.5,91.7,90.7,57.9,OpenPlay,False,False
