Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,19,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,109670,19,Successful,49.9,50.0,41.5,47.8,OpenPlay,False,False
Pass,0,2,69638,19,Successful,39.9,45.4,54.3,14.3,OpenPlay,False,False
Pass,0,5,317896,19,Unsuccessful,54.5,18.9,57.7,22.8,OpenPlay,False,False
BallTouch,0,6,110260,13,Successful,44.6,82.0,,,OpenPlay,False,False
Pass,0,7,69638,19,Successful,57.9,25.5,66.5,14.7,OpenPlay,False,False
Challenge,0,8,110260,13,Unsuccessful,35.2,86.4,,,OpenPlay,False,False
TakeOn,0,8,109670,19,Successful,64.8,13.6,,,OpenPlay,False,False
Pass,0,9,109670,19,Successful,63.8,13.5,71.9,2.9,OpenPlay,False,False
TakeOn,0,11,82877,19,Unsuccessful,71.5,2.5,,,OpenPlay,False,False
Tackle,0,11,342564,13,Unsuccessful,28.5,97.5,,,OpenPlay,False,False
BallTouch,0,12,82877,19,Successful,71.9,3.1,,,OpenPlay,False,False
BallRecovery,0,13,342564,13,Successful,28.6,95.7,,,OpenPlay,False,False
Pass,0,14,342564,13,Successful,28.6,94.7,38.8,70.8,OpenPlay,False,False
Pass,0,16,13756,13,Successful,38.8,70.8,42.2,28,OpenPlay,False,False
Pass,0,22,239872,13,Successful,60.5,13.8,48.8,22.4,OpenPlay,False,False
Pass,0,26,328983,13,Successful,46.3,15.8,34.1,51.5,OpenPlay,False,False
Pass,0,29,27586,13,Successful,31.6,53.6,6.9,49,OpenPlay,False,False
Pass,0,33,102248,13,Successful,6.9,49.0,12.2,18.6,OpenPlay,False,False
Pass,0,36,288795,13,Successful,13.0,15.7,30.8,15.9,OpenPlay,False,False
Pass,0,37,13756,13,Unsuccessful,30.8,15.9,46.8,12.9,OpenPlay,False,False
BallRecovery,0,39,42637,19,Successful,52.5,78.8,,,OpenPlay,False,False
Pass,0,40,42637,19,Successful,52.5,78.8,32.6,75.3,OpenPlay,False,False
Pass,0,44,52407,19,Successful,31.2,69.0,27.1,34,OpenPlay,False,False
