Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,14,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,0,135366,14,Successful,50.0,50.0,41.4,46.1,OpenPlay,False
Pass,0,4,136345,14,Unsuccessful,43.0,46.6,73.6,76.9,OpenPlay,False
Aerial,0,4,106981,14,Unsuccessful,75.9,80.5,,,OpenPlay,False
Aerial,0,5,80921,13,Successful,24.1,19.5,,,OpenPlay,False
Pass,0,6,80921,13,Unsuccessful,22.8,15.5,48.3,11.1,OpenPlay,False
Pass,0,12,42147,14,Successful,60.6,96.3,35.1,87.2,OpenPlay,False
Pass,0,12,317998,14,Successful,53.2,86.6,60.6,96.3,OpenPlay,False
Pass,0,16,317998,14,Successful,35.1,87.2,6.6,45.7,OpenPlay,False
Pass,0,21,19545,14,Successful,6.6,45.7,38.9,10,OpenPlay,False
Pass,0,22,301441,14,Successful,38.9,10.0,40.2,17.7,OpenPlay,False
Pass,0,24,289253,14,Successful,40.8,17.6,34.9,23.3,OpenPlay,False
Pass,0,24,136345,14,Successful,37.3,26.6,40,32,OpenPlay,False
Pass,0,26,327683,14,Successful,39.9,35.7,43.9,31.4,OpenPlay,False
BallTouch,0,27,289253,14,Unsuccessful,44.7,29.9,,,OpenPlay,False
Pass,0,29,110260,13,Successful,58.5,68.7,62.7,82,OpenPlay,False
BallRecovery,0,30,44120,13,Successful,62.4,81.2,,,OpenPlay,False
Pass,0,31,44120,13,Successful,62.4,81.2,55.5,63.4,OpenPlay,False
Pass,0,32,144890,13,Successful,56.6,64.1,51,69.5,OpenPlay,False
Pass,0,34,89401,13,Successful,50.0,71.7,32.8,69.9,OpenPlay,False
Pass,0,35,27586,13,Successful,31.0,67.2,30.8,34.9,OpenPlay,False
Pass,0,37,80921,13,Successful,29.6,34.6,33.6,6.8,OpenPlay,False
Pass,0,40,125211,13,Successful,38.2,12.0,52.5,2.2,OpenPlay,False
Pass,0,43,367185,13,Successful,45.0,3.2,28.4,2.9,OpenPlay,False
Pass,0,46,80921,13,Unsuccessful,28.3,3.1,68.3,26.5,OpenPlay,False
Pass,0,48,317998,14,Successful,30.8,71.5,47.7,78.8,OpenPlay,False
Pass,0,49,327683,14,Successful,47.7,78.8,38.9,70.6,OpenPlay,False
BallRecovery,0,51,136345,14,Successful,38.9,70.6,,,OpenPlay,False
Pass,0,51,136345,14,Successful,38.9,70.6,34.7,91.5,OpenPlay,False
Pass,0,52,317998,14,Successful,33.5,93.6,35.4,77.3,OpenPlay,False
Pass,0,55,136345,14,Unsuccessful,37.7,73.8,70,45.8,OpenPlay,False
Foul,0,59,110260,13,Successful,30.2,53.5,,,OpenPlay,False
Foul,0,59,289253,14,Unsuccessful,69.8,46.5,,,OpenPlay,False
Pass,1,25,27586,13,Unsuccessful,31.3,51.3,76.5,86.9,OpenPlay,False
Clearance,1,29,301441,14,Successful,13.6,8.9,15,0,OpenPlay,False
Pass,1,35,297403,13,Successful,80.6,100.0,75.7,92.1,ThrowIn,False
Pass,1,36,89401,13,Successful,75.7,92.3,85.8,97.4,OpenPlay,False
Pass,1,40,297403,13,Unsuccessful,97.5,97.5,96.6,94.1,OpenPlay,False
Clearance,1,40,301441,14,Successful,2.6,3.8,2.6,3.8,OpenPlay,False
BallRecovery,1,42,327683,14,Successful,13.1,3.4,,,OpenPlay,False
Pass,1,44,327683,14,Successful,26.6,1.6,33,10.7,OpenPlay,False
BallTouch,1,47,289253,14,Unsuccessful,32.7,10.0,,,OpenPlay,False
BallTouch,1,47,110260,13,Successful,68.1,92.3,,,OpenPlay,False
Pass,1,48,297403,13,Successful,68.9,98.0,78.9,83.5,OpenPlay,False
Pass,1,49,110260,13,Successful,77.9,75.6,77.9,65.5,OpenPlay,False
BallRecovery,1,49,110260,13,Successful,78.2,76.7,,,OpenPlay,False
Pass,1,50,73078,13,Successful,78.9,65.5,88.3,77.7,OpenPlay,False
Pass,1,52,44120,13,Unsuccessful,91.5,73.8,87.5,46.2,OpenPlay,False
Clearance,1,54,317998,14,Successful,12.8,55.1,24.1,37.6,OpenPlay,False
Aerial,1,57,327683,14,Successful,25.9,42.0,,,OpenPlay,False
Aerial,1,57,89401,13,Unsuccessful,74.1,58.0,,,OpenPlay,False
Pass,1,57,327683,14,Successful,24.1,37.6,30.9,33.1,OpenPlay,False
BallRecovery,1,59,289253,14,Successful,30.9,33.1,,,OpenPlay,False
Pass,2,32,327683,14,Successful,34.4,33.1,26.8,12.5,OpenPlay,False
Pass,2,35,25834,14,Successful,26.8,12.5,40.5,4,OpenPlay,False
Pass,2,36,301441,14,Unsuccessful,40.5,4.0,48.3,11.3,OpenPlay,False
Pass,2,37,110260,13,Unsuccessful,53.3,83.7,64.8,83.9,OpenPlay,False
BallRecovery,2,38,44120,13,Successful,65.6,86.0,,,OpenPlay,False
Pass,2,39,44120,13,Successful,66.4,85.3,60.3,73.8,OpenPlay,False
Pass,2,41,89401,13,Successful,60.2,67.9,63.8,38.3,OpenPlay,False
Pass,2,42,367185,13,Successful,67.7,35.8,67.6,18.8,OpenPlay,False
Pass,2,45,125211,13,Unsuccessful,69.0,30.4,71.4,31.9,OpenPlay,False
BlockedPass,2,45,136345,14,Successful,26.8,76.0,,,OpenPlay,False
Pass,3,0,125211,13,Successful,72.9,0.0,68.5,15.2,ThrowIn,False
Pass,3,2,89401,13,Successful,68.3,15.2,68.7,4.6,OpenPlay,False
Pass,3,3,125211,13,Successful,68.5,4.4,62.5,9.3,OpenPlay,False
Pass,3,4,144890,13,Successful,61.7,16.2,44.8,50.3,OpenPlay,False
Pass,3,7,27586,13,Successful,45.3,50.4,56,91.5,OpenPlay,False
Pass,3,10,297403,13,Successful,56.3,90.0,33.4,71.8,OpenPlay,False
Pass,3,14,27586,13,Successful,32.8,69.9,32.3,25.8,OpenPlay,False
Pass,3,17,80921,13,Successful,31.4,23.7,38.4,6.2,OpenPlay,False
Pass,3,18,125211,13,Successful,37.7,5.6,36.9,22.7,OpenPlay,False
Pass,3,21,144890,13,Unsuccessful,37.8,18.6,75.6,12.8,OpenPlay,False
Clearance,3,25,22079,14,Successful,24.6,85.1,26.5,100,OpenPlay,False
Pass,3,43,125211,13,Successful,67.9,0.0,57.1,13.4,ThrowIn,False
Pass,3,45,89401,13,Successful,55.4,14.4,53,44.9,OpenPlay,False
Pass,3,49,110260,13,Successful,51.6,51.0,39.2,57.8,OpenPlay,False
Pass,3,51,27586,13,Successful,36.6,60.3,32.6,34.5,OpenPlay,False
Pass,3,54,80921,13,Successful,32.0,38.2,18.5,47.4,OpenPlay,False
Pass,3,57,102248,13,Successful,18.4,52.8,28.9,97.5,OpenPlay,False
OffsideGiven,4,,125211,13,Unsuccessful,90.5,30.7,,,OpenPlay,False
Pass,4,0,110260,13,Successful,28.2,98.3,80.9,95.8,OpenPlay,False
Challenge,4,6,301441,14,Unsuccessful,9.2,5.6,,,OpenPlay,False
TakeOn,4,6,297403,13,Successful,90.8,94.4,,,OpenPlay,False
Pass,4,7,297403,13,Successful,97.6,94.8,86.8,42.5,OpenPlay,False
BallTouch,4,10,367185,13,Unsuccessful,87.5,42.2,,,OpenPlay,False
BallRecovery,4,12,317998,14,Successful,4.9,64.8,,,OpenPlay,False
Pass,4,17,317998,14,Unsuccessful,5.4,98.3,30.2,62.6,OpenPlay,False
BallRecovery,4,19,89401,13,Successful,63.4,38.9,,,OpenPlay,False
Pass,4,20,89401,13,Successful,66.8,46.4,70.9,66.2,OpenPlay,False
Pass,4,23,44120,13,Successful,73.0,61.7,67.4,51,OpenPlay,False
Pass,4,25,89401,13,Successful,66.6,49.6,62.9,29.2,OpenPlay,False
OffsideProvoked,4,28,317998,14,Successful,20.8,63.7,,,OpenPlay,False
OffsidePass,4,28,144890,13,Successful,63.5,7.1,90.5,30.7,OpenPlay,False
