Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
OffsideGiven,0,,109915,26,Unsuccessful,83.8,89.6,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,26,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,84146,26,Successful,50.1,50.1,31.8,46.6,OpenPlay,False
Pass,0,4,136451,26,Successful,32.2,46.6,74.8,97.2,OpenPlay,False
Pass,0,7,109915,26,Unsuccessful,75.1,97.1,73.4,94.5,OpenPlay,False
BallTouch,0,7,69945,13,Successful,28.9,2.8,,,OpenPlay,False
Pass,0,17,115726,26,Successful,73.5,100.0,56.3,93.6,ThrowIn,False
Pass,0,19,95408,26,Successful,52.7,74.5,46,52.2,OpenPlay,False
Pass,0,22,136451,26,Successful,46.0,52.2,43.4,74.4,OpenPlay,False
Pass,0,24,95408,26,Successful,43.4,74.4,56.4,95.9,OpenPlay,False
Pass,0,27,115726,26,Unsuccessful,60.5,96.3,73.2,48.8,OpenPlay,False
BallRecovery,0,30,297403,13,Successful,31.7,52.5,,,OpenPlay,False
Pass,0,32,297403,13,Successful,32.2,52.1,41.3,52.1,OpenPlay,False
Pass,0,33,239872,13,Unsuccessful,41.0,53.4,37.9,53.8,OpenPlay,False
BallRecovery,0,33,84146,26,Successful,56.3,38.0,,,OpenPlay,False
Pass,0,34,84146,26,Successful,56.3,38.0,47.8,24.6,OpenPlay,False
Pass,0,35,318871,26,Unsuccessful,49.1,25.5,96.5,90.3,OpenPlay,False
BallRecovery,0,40,69945,13,Successful,6.7,10.1,,,OpenPlay,False
Pass,0,42,69945,13,Unsuccessful,7.7,9.8,25.2,4.6,OpenPlay,False
Aerial,0,43,115726,26,Successful,68.6,93.2,,,OpenPlay,False
Aerial,0,43,342564,13,Unsuccessful,31.4,6.8,,,OpenPlay,False
OffsideProvoked,0,44,288795,13,Successful,9.4,23.7,,,OpenPlay,False
OffsidePass,0,44,115726,26,Successful,70.1,97.1,83.8,89.6,OpenPlay,False
Pass,0,57,288795,13,Successful,13.5,17.2,7.3,45.2,OpenPlay,False
Pass,0,59,102248,13,Successful,9.4,53.6,10.6,74.1,OpenPlay,False
Pass,1,1,27586,13,Successful,10.7,74.1,22.7,94.8,OpenPlay,False
Pass,1,2,297403,13,Successful,23.7,94.5,41,93.2,OpenPlay,False
Pass,1,8,367185,13,Successful,34.8,84.9,27.8,64.1,OpenPlay,False
Pass,1,13,248109,13,Successful,26.6,48.5,41.2,31.6,OpenPlay,False
Pass,1,14,73078,13,Successful,40.1,32.1,32.7,39.7,OpenPlay,False
Pass,1,15,248109,13,Successful,32.5,39.8,25.3,20.7,OpenPlay,False
Pass,1,18,288795,13,Successful,26.1,19.7,19.3,47.3,OpenPlay,False
Pass,1,23,27586,13,Unsuccessful,26.6,42.4,63.4,100,OpenPlay,False
Pass,1,33,318871,26,Successful,29.3,0.0,22.9,26.4,ThrowIn,False
Pass,1,36,136451,26,Successful,24.3,28.8,33.4,24.3,OpenPlay,False
Pass,1,38,115916,26,Successful,27.5,23.1,28.1,5.2,OpenPlay,False
Pass,1,40,318871,26,Unsuccessful,28.5,4.6,57.4,7.6,OpenPlay,False
Interception,1,42,89401,13,Successful,45.1,88.1,,,OpenPlay,False
BallRecovery,1,45,297403,13,Successful,46.5,92.7,,,OpenPlay,False
Pass,1,46,297403,13,Unsuccessful,46.6,92.7,66,100,OpenPlay,False
Pass,2,6,318871,26,Successful,28.0,0.0,30.2,6.7,ThrowIn,False
Pass,2,8,115916,26,Successful,30.2,6.7,27.6,2,OpenPlay,False
Pass,2,10,318871,26,Successful,28.5,2.6,44.7,46.3,OpenPlay,False
Pass,2,16,109915,26,Successful,41.8,30.9,63.3,8.2,OpenPlay,False
