Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,167,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,77464,167,Successful,50.0,50.0,36,51.2,OpenPlay,False
Pass,0,2,303139,167,Unsuccessful,35.5,49.9,67.4,0,OpenPlay,False
Pass,0,21,110260,13,Successful,29.4,100.0,38.5,97.1,ThrowIn,False
Pass,0,22,44120,13,Successful,38.5,97.1,34.4,95.7,OpenPlay,False
Pass,0,23,248109,13,Successful,34.4,95.7,64.9,81.1,OpenPlay,False
TakeOn,0,28,380706,13,Unsuccessful,67.1,77.5,,,OpenPlay,False
BallTouch,0,29,19119,167,Successful,23.2,36.4,,,OpenPlay,False
SavedShot,0,32,380706,13,Successful,92.3,66.8,,,OpenPlay,False
Save,0,32,121774,167,Successful,5.3,37.9,,,OpenPlay,False
CornerAwarded,0,33,121774,167,Unsuccessful,5.1,34.8,,,OpenPlay,False
CornerAwarded,0,33,380706,13,Successful,94.9,65.2,,,OpenPlay,False
Pass,0,50,13756,13,Successful,99.5,99.5,94.9,95.9,CornerTaken,False
Pass,0,52,239872,13,Successful,94.9,95.9,90.6,61.2,OpenPlay,False
BallTouch,0,53,380706,13,Unsuccessful,90.6,61.2,,,OpenPlay,False
BallRecovery,0,56,69778,167,Successful,11.8,76.7,,,OpenPlay,False
Challenge,1,2,44120,13,Unsuccessful,77.4,29.6,,,OpenPlay,False
TakeOn,1,2,69778,167,Successful,22.6,70.4,,,OpenPlay,False
Pass,1,3,69778,167,Successful,27.8,63.1,29.3,59.7,OpenPlay,False
Pass,1,4,331254,167,Successful,29.3,59.7,29.4,66.1,OpenPlay,False
Pass,1,5,77464,167,Successful,29.4,66.1,26.3,32.1,OpenPlay,False
Pass,1,7,75691,167,Successful,35.4,21.9,48.1,4.4,OpenPlay,False
Pass,1,11,279379,167,Successful,44.7,9.1,36,15.6,OpenPlay,False
Pass,1,13,75691,167,Successful,35.7,25.8,38.5,37.6,OpenPlay,False
Pass,1,16,303139,167,Successful,38.4,39.2,35.1,70.3,OpenPlay,False
Pass,1,23,19119,167,Successful,62.4,70.5,88.9,74,OpenPlay,False
Pass,1,28,279379,167,Successful,98.3,71.9,86.5,38.6,ShotAssist,True
Goal,1,29,73084,167,Successful,86.0,37.7,,,OpenPlay,False
Pass,2,9,44120,13,Successful,50.0,50.1,43.6,54.6,OpenPlay,False
Pass,2,11,13756,13,Successful,46.4,50.3,41.7,14.3,OpenPlay,False
Pass,2,14,239872,13,Successful,40.3,9.3,26.6,28.9,OpenPlay,False
Pass,2,16,124316,13,Successful,23.1,31.4,7.3,55.5,OpenPlay,False
Pass,2,27,92173,13,Successful,8.3,54.8,8.1,25.4,OpenPlay,False
Pass,2,30,124316,13,Successful,12.7,24.0,25,30,OpenPlay,False
Pass,2,32,328983,13,Successful,23.2,32.1,5.1,49.3,OpenPlay,False
Pass,2,35,92173,13,Successful,6.7,50.0,32.1,99.2,OpenPlay,False
Pass,2,38,110260,13,Unsuccessful,32.1,99.2,39,100,OpenPlay,False
Pass,2,43,69778,167,Successful,61.4,0.0,43,6.4,ThrowIn,False
Pass,2,49,75691,167,Successful,40.1,34.5,36.1,65.1,OpenPlay,False
Pass,2,52,19119,167,Successful,36.9,68.4,43.4,92.3,OpenPlay,False
Pass,2,54,105962,167,Successful,44.4,92.4,46.5,78.7,OpenPlay,False
Pass,2,56,77464,167,Successful,45.3,85.0,39.7,95.3,OpenPlay,False
Pass,2,59,105962,167,Successful,35.3,92.9,23.1,87.8,OpenPlay,False
OffsideGiven,3,,44120,13,Unsuccessful,46.6,40.3,,,OpenPlay,False
Pass,3,3,19119,167,Successful,25.6,83.3,40.9,89.6,OpenPlay,False
Pass,3,7,331254,167,Successful,33.7,93.5,35.6,81.2,OpenPlay,False
Pass,3,8,77464,167,Successful,34.0,82.9,31.3,88,OpenPlay,False
Pass,3,9,331254,167,Successful,31.3,87.8,19.2,57.5,OpenPlay,False
Pass,3,14,75691,167,Successful,28.6,32.2,44.5,6.2,OpenPlay,False
Pass,3,17,69778,167,Successful,41.7,8.0,24.8,14.9,OpenPlay,False
Pass,3,26,75691,167,Successful,32.8,36.9,44.3,6.1,OpenPlay,False
Pass,3,29,69778,167,Successful,45.7,4.6,52.7,2.9,OpenPlay,False
Pass,3,30,97692,167,Unsuccessful,52.8,2.9,47.5,5.2,OpenPlay,False
BallRecovery,3,31,380706,13,Successful,52.0,95.4,,,OpenPlay,False
Pass,3,32,380706,13,Unsuccessful,43.2,94.4,38,86.6,OpenPlay,False
BallRecovery,3,33,73084,167,Successful,56.5,23.1,,,OpenPlay,False
Pass,3,34,73084,167,Unsuccessful,59.4,28.1,71.4,25.2,OpenPlay,False
Pass,3,35,22210,13,Successful,26.2,74.8,36.8,83.3,OpenPlay,False
BallRecovery,3,36,380706,13,Successful,35.0,88.6,,,OpenPlay,False
Pass,3,39,380706,13,Successful,33.0,87.1,27,79.3,OpenPlay,False
Pass,3,41,248109,13,Successful,26.4,76.4,18.2,41.2,OpenPlay,False
Pass,3,44,124316,13,Successful,18.2,41.2,22.5,20,OpenPlay,False
Pass,3,46,255169,13,Successful,22.6,16.4,28.9,4.6,OpenPlay,False
Pass,3,47,239872,13,Successful,28.9,4.6,14.3,13.2,OpenPlay,False
OffsidePass,3,49,255169,13,Successful,14.3,13.2,46.6,40.3,OpenPlay,False
OffsideProvoked,3,49,19119,167,Successful,43.4,64.9,,,OpenPlay,False
Pass,4,5,19119,167,Successful,30.2,65.5,34.2,33.4,OpenPlay,False
Pass,4,9,75691,167,Successful,34.5,33.0,31.8,63.3,OpenPlay,False
Pass,4,12,19119,167,Successful,33.3,73.6,42.4,80.2,OpenPlay,False
Pass,4,15,77464,167,Successful,47.6,81.4,55.1,95.2,OpenPlay,False
Pass,4,19,105962,167,Successful,67.7,95.7,70.2,76.1,OpenPlay,False
Pass,4,20,279379,167,Successful,70.2,76.1,62.4,78.4,OpenPlay,False
Pass,4,25,77464,167,Unsuccessful,68.6,66.1,80.2,69.3,OpenPlay,False
Interception,4,26,124316,13,Successful,19.2,34.5,,,OpenPlay,False
BallRecovery,4,30,255169,13,Successful,15.3,27.4,,,OpenPlay,False
Pass,4,32,255169,13,Successful,9.8,18.0,7.3,30.9,OpenPlay,False
Pass,4,35,124316,13,Successful,11.5,36.3,5,61.1,OpenPlay,False
Pass,4,38,22210,13,Unsuccessful,4.1,57.9,66.4,0,OpenPlay,False
Pass,4,46,105962,167,Successful,32.8,100.0,26.2,90.1,ThrowIn,False
Pass,4,49,19119,167,Successful,25.2,91.3,31.8,40.4,OpenPlay,False
Pass,4,52,75691,167,Successful,31.2,32.4,43.2,38.2,OpenPlay,False
Pass,4,54,303139,167,Successful,43.9,35.7,39.3,5,OpenPlay,False
Pass,4,58,69778,167,Unsuccessful,41.5,7.4,52,9.2,OpenPlay,False
Interception,4,59,248109,13,Successful,49.4,91.7,,,OpenPlay,False
Pass,5,0,248109,13,Successful,48.6,92.3,53,87.8,OpenPlay,False
BallRecovery,5,1,380706,13,Successful,54.1,89.7,,,OpenPlay,False
Pass,5,2,380706,13,Successful,46.7,88.1,44.6,69.1,OpenPlay,False
Pass,5,7,328983,13,Successful,52.2,74.4,33.2,49.7,OpenPlay,False
Pass,5,10,124316,13,Successful,32.6,41.8,37.4,16.7,OpenPlay,False
Pass,5,12,255169,13,Successful,37.8,14.3,49.3,3.7,OpenPlay,False
Pass,5,16,239872,13,Successful,46.3,5.0,32.7,5,OpenPlay,False
Pass,5,19,255169,13,Successful,31.0,7.1,22.2,30.6,OpenPlay,False
Pass,5,22,124316,13,Successful,24.1,34.6,24.1,77.2,OpenPlay,False
Pass,5,29,22210,13,Successful,25.1,71.8,25,37.7,OpenPlay,False
Pass,5,32,124316,13,Successful,25.0,32.1,33.9,2.6,OpenPlay,False
Pass,5,34,255169,13,Successful,35.0,3.7,35.1,16.5,OpenPlay,False
Pass,5,36,328983,13,Successful,34.7,20.9,27.5,52.4,OpenPlay,False
Pass,5,41,248109,13,Successful,34.9,61.4,41,71.1,OpenPlay,False
Pass,5,43,13756,13,Successful,41.0,71.1,44,63.1,OpenPlay,False
Foul,5,45,248109,13,Successful,46.0,55.0,,,OpenPlay,False
Foul,5,45,303139,167,Unsuccessful,54.0,45.0,,,OpenPlay,False
Pass,5,53,328983,13,Successful,52.0,46.6,57.4,63.3,OpenPlay,False
Pass,5,55,13756,13,Successful,58.9,67.2,81.2,83.9,OpenPlay,False
Pass,5,58,110260,13,Unsuccessful,89.6,81.8,89.9,80.6,OpenPlay,False
Clearance,5,58,69778,167,Successful,9.9,18.8,9.9,18.8,OpenPlay,False
KeeperPickup,6,1,121774,167,Successful,2.9,39.7,,,OpenPlay,False
Pass,6,5,121774,167,Successful,14.6,34.6,24.2,43.7,OpenPlay,False
Pass,6,7,77464,167,Successful,23.7,40.6,10.7,42.4,OpenPlay,False
Pass,6,8,75691,167,Successful,10.7,42.5,12.8,70.9,OpenPlay,False
Pass,6,11,19119,167,Successful,12.9,71.1,21.2,95.3,OpenPlay,False
Pass,6,13,105962,167,Successful,21.9,95.3,8.3,56.9,OpenPlay,False
Pass,6,23,75691,167,Successful,38.4,23.1,48.8,3.1,OpenPlay,False
Pass,6,25,69778,167,Successful,48.2,3.4,33,12.3,OpenPlay,False
Pass,6,27,75691,167,Successful,33.4,16.4,33.2,36.3,OpenPlay,False
Pass,6,31,303139,167,Successful,37.6,45.5,47,49.7,OpenPlay,False
Pass,6,32,77464,167,Successful,47.0,49.7,38.8,48.2,OpenPlay,False
Pass,6,35,303139,167,Successful,39.3,57.2,44.1,30.4,OpenPlay,False
Pass,6,37,75691,167,Successful,45.9,26.2,65.2,5.3,OpenPlay,False
Pass,6,40,97692,167,Successful,66.2,6.1,60.1,17.7,OpenPlay,False
Pass,6,43,69778,167,Successful,63.1,15.8,75.5,5,OpenPlay,False
Pass,6,46,97692,167,Successful,76.4,11.0,78.3,25.2,OpenPlay,False
Pass,6,47,73084,167,Unsuccessful,79.1,26.8,100,19.1,OpenPlay,False
Pass,6,59,92173,13,Successful,4.8,47.0,19.7,23.5,OpenPlay,False
Pass,7,1,124316,13,Successful,19.1,23.9,26.6,28.5,OpenPlay,False
Pass,7,3,328983,13,Successful,28.1,26.4,32.3,6,OpenPlay,False
Pass,7,11,255169,13,Successful,23.3,14.1,9.6,10.6,OpenPlay,False
Pass,7,13,124316,13,Successful,9.6,10.6,1.9,35.5,OpenPlay,False
Pass,7,15,92173,13,Successful,2.0,31.9,2,3.5,OpenPlay,False
Pass,7,18,124316,13,Unsuccessful,2.0,3.5,27.1,7.6,OpenPlay,False
BallRecovery,7,19,77464,167,Successful,71.1,94.1,,,OpenPlay,False
Pass,7,21,77464,167,Successful,75.3,96.9,84.3,91.8,OpenPlay,False
Pass,7,23,331254,167,Unsuccessful,90.1,89.1,95.5,49.4,OpenPlay,False
Aerial,7,24,97692,167,Unsuccessful,94.1,49.7,,,OpenPlay,False
Aerial,7,24,92173,13,Successful,5.9,50.3,,,OpenPlay,False
Punch,7,25,92173,13,Successful,5.1,50.1,15.4,38.8,OpenPlay,False
BallRecovery,7,26,248109,13,Successful,14.7,37.6,,,OpenPlay,False
Pass,7,27,248109,13,Successful,14.9,32.2,29.8,67.3,OpenPlay,False
Pass,7,31,13756,13,Successful,37.5,71.9,70.2,85.3,OpenPlay,False
Pass,7,37,380706,13,Unsuccessful,91.6,75.0,96.6,50.3,OpenPlay,False
Clearance,7,38,121774,167,Successful,2.6,45.8,17.4,65.5,OpenPlay,False
MissedShots,7,40,239872,13,Successful,81.8,36.4,,,OpenPlay,False
Clearance,7,41,75691,167,Successful,7.5,42.1,20,0,OpenPlay,False
Pass,7,56,110260,13,Successful,77.6,100.0,55.5,95.1,ThrowIn,False
Pass,8,0,22210,13,Successful,55.1,93.3,63.2,41.6,OpenPlay,False
Pass,8,4,328983,13,Successful,63.6,39.2,70.4,5.6,OpenPlay,False
Pass,8,8,239872,13,Successful,71.3,7.3,65.6,17,OpenPlay,False
Pass,8,9,328983,13,Successful,65.6,17.0,59.1,4.7,OpenPlay,False
Pass,8,11,255169,13,Successful,56.8,7.7,46.6,28,OpenPlay,False
Pass,8,15,124316,13,Successful,50.2,25.6,60.2,1.3,OpenPlay,False
Pass,8,16,255169,13,Successful,60.9,2.3,64.6,4.9,OpenPlay,False
Foul,8,18,239872,13,Successful,64.0,6.0,,,OpenPlay,False
Foul,8,18,105962,167,Unsuccessful,36.0,94.0,,,OpenPlay,False
Pass,8,25,328983,13,Successful,56.7,4.4,63.2,2.9,OpenPlay,False
Pass,8,26,255169,13,Successful,63.5,3.4,57.8,5,OpenPlay,False
Pass,8,28,328983,13,Successful,56.8,6.4,40.5,51.5,OpenPlay,False
Pass,8,34,22210,13,Successful,43.7,56.9,53.7,49.3,OpenPlay,False
Pass,8,36,248109,13,Successful,47.0,47.0,59.7,5.4,OpenPlay,False
Pass,8,41,255169,13,Successful,68.7,5.6,67.1,2.5,OpenPlay,False
Pass,8,43,239872,13,Successful,67.1,9.1,70.5,23.6,OpenPlay,False
Pass,8,46,328983,13,Successful,70.4,18.5,77.7,3.1,OpenPlay,False
TakeOn,8,50,255169,13,Unsuccessful,98.6,16.8,,,OpenPlay,False
Tackle,8,50,105962,167,Successful,1.4,83.2,,,OpenPlay,False
CornerAwarded,8,52,105962,167,Unsuccessful,1.1,83.2,,,OpenPlay,False
CornerAwarded,8,52,255169,13,Successful,98.9,16.8,,,OpenPlay,False
OffsideGiven,9,,13756,13,Unsuccessful,83.0,10.9,,,OpenPlay,False
Pass,9,12,13756,13,Unsuccessful,99.5,0.5,92.3,44.6,CornerTaken,False
Aerial,9,14,110260,13,Unsuccessful,92.1,44.6,,,OpenPlay,False
Aerial,9,14,19119,167,Successful,7.9,55.4,,,OpenPlay,False
Clearance,9,15,19119,167,Successful,8.8,54.6,25.3,57.2,OpenPlay,False
OffsideProvoked,9,16,279379,167,Successful,11.6,69.1,,,OpenPlay,False
OffsidePass,9,16,248109,13,Successful,76.3,36.6,83,10.9,OpenPlay,False
Pass,9,44,19119,167,Successful,23.2,66.8,8.5,59.2,OpenPlay,False
Pass,9,47,121774,167,Successful,10.7,56.4,26.2,74.2,OpenPlay,False
Pass,9,50,19119,167,Successful,26.6,74.8,35.4,93.8,OpenPlay,False
Pass,9,51,105962,167,Successful,35.3,93.9,38,78.4,OpenPlay,False
Pass,9,52,77464,167,Successful,37.6,78.4,18.2,91.7,OpenPlay,False
Pass,9,56,19119,167,Successful,14.2,89.1,3.4,55.5,OpenPlay,False
Pass,10,0,121774,167,Successful,4.2,51.3,13.4,26.5,OpenPlay,False
Pass,10,5,75691,167,Successful,14.0,23.4,29.1,2.6,OpenPlay,False
Pass,10,7,69778,167,Unsuccessful,29.9,2.6,43,8.8,OpenPlay,False
Interception,10,8,248109,13,Successful,59.0,94.4,,,OpenPlay,False
Pass,10,25,69778,167,Successful,46.2,0.0,40.3,8.1,ThrowIn,False
Pass,10,27,303139,167,Successful,37.8,8.8,15.9,7.9,OpenPlay,False
Pass,10,30,75691,167,Successful,19.7,21.5,23.5,66,OpenPlay,False
Pass,10,33,19119,167,Successful,29.0,66.9,51.1,96.8,OpenPlay,False
Pass,10,35,105962,167,Successful,51.0,96.8,43.3,86.2,OpenPlay,False
Pass,10,39,77464,167,Successful,36.5,94.4,13.1,42.1,OpenPlay,False
Pass,10,44,121774,167,Successful,15.3,38.6,29.7,27.1,OpenPlay,False
Pass,10,49,75691,167,Successful,35.9,35.1,41.9,73.5,OpenPlay,False
Pass,10,51,77464,167,Successful,46.5,74.5,61.4,96.8,OpenPlay,False
Pass,10,55,105962,167,Successful,66.8,94.1,67.8,69.6,OpenPlay,False
Foul,10,58,248109,13,Unsuccessful,28.8,33.5,,,OpenPlay,False
Foul,10,58,279379,167,Successful,71.2,66.5,,,OpenPlay,False
