Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,167,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,14102,167,Successful,50.5,50.0,36.8,51.6,OpenPlay,False,False
Pass,0,4,77464,167,Successful,36.8,51.8,41,74.8,OpenPlay,False,False
Pass,0,7,105962,167,Successful,41.3,73.9,31.8,62.6,OpenPlay,False,False
Pass,0,16,122117,167,Successful,38.6,66.0,61.4,6.1,OpenPlay,False,False
Pass,0,18,69778,167,Unsuccessful,64.7,7.1,72.8,30.7,OpenPlay,False,False
Interception,0,19,144890,13,Successful,30.5,74.9,,,OpenPlay,False,False
BallRecovery,0,21,89401,13,Successful,33.6,85.8,,,OpenPlay,False,False
Pass,0,21,89401,13,Successful,33.6,85.8,35.4,98.4,OpenPlay,False,False
Pass,0,23,44120,13,Successful,36.3,98.0,26.5,96.2,OpenPlay,False,False
Pass,0,25,255169,13,Unsuccessful,26.5,96.3,70.9,100,OpenPlay,False,False
Pass,0,34,368091,167,Successful,14.9,0.0,6.3,27.6,ThrowIn,False,False
Pass,0,37,121774,167,Successful,6.6,34.3,15.2,63.3,OpenPlay,False,False
Pass,0,42,122117,167,Successful,29.7,70.9,36,96.2,OpenPlay,False,False
Pass,0,45,105962,167,Successful,38.5,93.9,27.9,85.4,OpenPlay,False,False
Pass,0,50,122117,167,Successful,32.7,68.1,30.3,33.6,OpenPlay,False,False
Pass,0,52,368091,167,Successful,30.3,33.6,35.8,39.1,OpenPlay,False,False
Pass,0,53,73084,167,Successful,35.8,39.1,20.5,30,OpenPlay,False,False
Pass,0,55,368091,167,Successful,20.5,30.0,10.2,54.2,OpenPlay,False,False
Pass,1,0,121774,167,Unsuccessful,14.1,60.3,73.8,0,OpenPlay,False,False
Pass,1,14,297403,13,Unsuccessful,32.1,100.0,56.8,93.9,ThrowIn,False,False
BallRecovery,1,17,368091,167,Successful,34.3,3.5,,,OpenPlay,False,False
Pass,1,20,368091,167,Successful,31.1,11.0,32.7,32.4,OpenPlay,False,False
Pass,1,21,122117,167,Successful,32.7,32.4,32.3,21.8,OpenPlay,False,False
Pass,1,26,368091,167,Successful,40.0,27.4,31,47,OpenPlay,False,False
Pass,1,29,122117,167,Successful,32.2,53.0,65.7,97.7,OpenPlay,False,False
Pass,1,34,105962,167,Successful,69.0,95.6,71.5,83.8,OpenPlay,False,False
Pass,1,38,97692,167,Successful,76.8,82.0,69.7,88,OpenPlay,False,False
Pass,1,43,77464,167,Successful,71.6,94.1,60.5,75.9,OpenPlay,False,False
Pass,1,45,122117,167,Successful,60.6,73.6,66.1,47.8,OpenPlay,False,False
Pass,1,48,73084,167,Unsuccessful,67.4,47.8,90.4,64.8,OpenPlay,False,False
