Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,32,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,50.0,50.0,30.9,54.9,OpenPlay,False
Pass,0,3,27586,13,Unsuccessful,30.8,54.9,70,83.3,OpenPlay,False
Pass,0,7,100008,32,Successful,29.2,24.7,40.4,30.7,OpenPlay,False
Pass,0,8,109000,32,Unsuccessful,40.4,30.7,41.2,31.9,OpenPlay,False
BallTouch,0,9,248109,13,Successful,62.5,70.3,,,OpenPlay,False
BallRecovery,0,10,114397,32,Successful,41.9,29.7,,,OpenPlay,False
Pass,0,11,114397,32,Successful,39.9,29.8,43.5,16.7,OpenPlay,False
Pass,0,12,302313,32,Successful,43.6,16.1,24.8,10.4,OpenPlay,False
Pass,0,14,331924,32,Successful,24.8,10.4,29.5,15.8,OpenPlay,False
Pass,0,16,114397,32,Successful,29.5,15.8,27.3,6.5,OpenPlay,False
Pass,0,17,331924,32,Successful,27.3,6.5,35.8,2.3,OpenPlay,False
Pass,0,19,302313,32,Successful,35.8,2.3,41.7,11.3,OpenPlay,False
Pass,0,22,114397,32,Successful,45.7,15.8,65.3,39.4,OpenPlay,False
Pass,0,24,109000,32,Successful,65.3,39.4,69.5,59.4,ShotAssist,False
SavedShot,0,26,300299,32,Successful,70.8,58.8,,,OpenPlay,False
Save,0,26,92173,13,Successful,2.3,49.3,,,OpenPlay,False
KeeperPickup,0,27,92173,13,Successful,2.3,49.3,,,OpenPlay,False
Pass,0,35,92173,13,Successful,4.0,48.2,11.5,74,OpenPlay,False
Pass,0,40,27586,13,Successful,29.7,82.1,37.8,97.4,OpenPlay,False
Pass,0,41,110260,13,Successful,27.5,89.6,41.3,93.6,OpenPlay,False
Pass,0,43,44120,13,Unsuccessful,46.6,96.2,48.4,80.2,OpenPlay,False
BallRecovery,0,45,38128,32,Successful,52.0,28.2,,,OpenPlay,False
Pass,0,46,38128,32,Unsuccessful,52.0,28.2,63.4,41,OpenPlay,False
Interception,0,48,248109,13,Successful,36.0,56.1,,,OpenPlay,False
BallRecovery,0,50,13756,13,Successful,43.7,46.0,,,OpenPlay,False
Pass,0,54,13756,13,Successful,55.2,25.2,60.7,4.7,OpenPlay,False
Pass,0,56,239872,13,Successful,63.0,6.4,52.8,7.1,OpenPlay,False
Pass,0,58,255169,13,Successful,52.8,7.1,47.4,20.3,OpenPlay,False
Pass,1,0,248109,13,Successful,46.5,20.9,34.7,26.4,OpenPlay,False
