Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,23,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,345845,13,Successful,49.9,50.1,29.3,46.1,OpenPlay,False,False
Pass,0,3,27586,13,Unsuccessful,32.2,45.4,74.9,66.4,OpenPlay,False,False
Pass,0,7,44847,23,Successful,23.6,28.3,44,29.4,OpenPlay,False,False
Pass,0,8,303924,23,Unsuccessful,44.0,29.4,58.1,37.1,OpenPlay,False,False
Pass,0,11,27586,13,Successful,43.5,53.1,47.2,3.8,OpenPlay,False,False
Pass,0,14,125211,13,Successful,47.3,4.6,37.4,20.1,OpenPlay,False,False
Pass,0,18,80921,13,Successful,40.4,33.7,40.4,77.2,OpenPlay,False,False
Pass,0,23,27586,13,Successful,44.7,72.6,50.4,63.9,OpenPlay,False,False
Pass,0,26,144890,13,Successful,47.2,56.7,45,33.1,OpenPlay,False,False
Pass,0,29,80921,13,Successful,57.1,22.4,66.1,0.7,OpenPlay,False,False
Pass,0,32,125211,13,Successful,64.7,4.4,48.3,10.7,OpenPlay,False,False
Pass,0,35,80921,13,Successful,48.1,13.7,48.2,59.4,OpenPlay,False,False
Pass,0,39,27586,13,Successful,48.7,55.2,51.7,27,OpenPlay,False,False
Pass,0,42,80921,13,Successful,58.8,28.2,76.7,94.1,OpenPlay,False,False
Pass,0,46,367185,13,Successful,76.7,94.1,88.6,86,OpenPlay,False,False
Pass,0,48,44120,13,Successful,81.1,95.7,62.3,91.8,OpenPlay,False,False
Pass,0,51,89401,13,Successful,62.3,91.8,45,72,OpenPlay,False,False
Pass,0,54,27586,13,Successful,45.8,68.1,46.1,33.9,OpenPlay,False,False
Pass,0,59,80921,13,Successful,60.6,27.3,74.3,36.4,OpenPlay,False,False
OffsideGiven,1,,135891,23,Unsuccessful,51.4,79.1,,,OpenPlay,False,False
Pass,1,1,345845,13,Unsuccessful,74.3,36.4,77.1,12.5,OpenPlay,False,False
BallRecovery,1,2,24711,23,Successful,31.9,80.9,,,OpenPlay,False,False
Pass,1,3,24711,23,Successful,31.9,80.9,36.4,76.7,OpenPlay,False,False
Foul,1,5,135891,23,Successful,33.7,83.1,,,OpenPlay,False,False
Foul,1,5,125211,13,Unsuccessful,66.3,16.9,,,OpenPlay,False,False
Pass,1,16,137521,23,Successful,38.0,80.3,32.1,79.4,OpenPlay,False,False
Pass,1,17,70099,23,Successful,32.1,79.4,38.8,80.5,OpenPlay,False,False
Pass,1,18,137521,23,Successful,38.4,78.7,15.4,56.4,OpenPlay,False,False
OffsidePass,1,22,46092,23,Successful,15.4,54.8,51.4,79.1,OpenPlay,False,False
OffsideProvoked,1,22,367185,13,Successful,46.4,67.6,,,OpenPlay,False,False
Pass,1,35,144890,13,Successful,48.0,18.5,41.7,60.3,OpenPlay,False,False
Pass,1,40,27586,13,Successful,57.8,88.4,63.8,98.4,OpenPlay,False,False
Pass,1,43,367185,13,Successful,63.7,97.1,35.1,49.3,OpenPlay,False,False
Pass,1,47,80921,13,Successful,35.9,45.5,54.6,32.5,OpenPlay,False,False
Pass,1,50,144890,13,Successful,54.6,32.5,70.6,45.5,OpenPlay,False,False
Pass,1,53,13756,13,Successful,70.6,50.9,75.6,64.6,OpenPlay,False,False
Pass,1,54,44120,13,Successful,75.6,64.6,72.4,75.7,OpenPlay,False,False
Pass,1,57,13756,13,Successful,75.3,77.3,87.4,91.5,OpenPlay,False,False
Pass,1,59,367185,13,Successful,87.4,91.5,75.7,84.1,OpenPlay,False,False
Pass,2,1,13756,13,Successful,75.7,84.1,75.7,66.3,OpenPlay,False,False
Pass,2,2,89401,13,Successful,75.7,66.3,81.9,83.9,OpenPlay,False,False
Pass,2,7,44120,13,Successful,73.9,71.5,68.6,50,OpenPlay,False,False
Pass,2,9,144890,13,Successful,68.6,47.6,86.7,18.5,OpenPlay,False,False
Pass,2,11,125211,13,Unsuccessful,95.5,19.1,95.5,21.6,OpenPlay,False,False
Clearance,2,11,135891,23,Successful,5.9,78.7,5.9,78.7,OpenPlay,False,False
CornerAwarded,2,15,135891,23,Unsuccessful,5.2,78.6,,,OpenPlay,False,False
CornerAwarded,2,15,125211,13,Successful,94.8,21.4,,,OpenPlay,False,False
Pass,2,44,239872,13,Unsuccessful,99.5,0.5,96.8,45.4,CornerTaken,False,False
Clearance,2,46,342811,23,Successful,2.1,58.4,35.6,74.5,OpenPlay,False,False
Pass,2,49,125211,13,Unsuccessful,67.8,28.5,78.8,10,OpenPlay,False,False
BallTouch,2,52,303924,23,Unsuccessful,22.5,94.5,,,OpenPlay,False,False
Challenge,2,53,303924,23,Unsuccessful,27.2,97.2,,,OpenPlay,False,False
TakeOn,2,53,144890,13,Successful,72.8,2.8,,,OpenPlay,False,False
TakeOn,2,57,144890,13,Unsuccessful,88.2,7.2,,,OpenPlay,False,False
Tackle,2,57,24711,23,Successful,11.8,92.8,,,OpenPlay,False,False
BallRecovery,2,58,24711,23,Successful,10.0,97.4,,,OpenPlay,False,False
