Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,168,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,50.1,50.1,28.6,51.5,OpenPlay,False
Pass,0,4,27586,13,Successful,33.2,51.8,79.1,85.7,OpenPlay,False
Aerial,0,7,44120,13,Successful,73.4,83.6,,,OpenPlay,False
Aerial,0,7,362103,168,Unsuccessful,26.6,16.4,,,OpenPlay,False
Pass,0,8,44120,13,Unsuccessful,80.5,87.0,90.3,74.6,OpenPlay,False
BallRecovery,0,10,287504,168,Successful,12.5,17.6,,,OpenPlay,False
Pass,0,11,287504,168,Successful,9.3,17.2,21.1,26.2,OpenPlay,False
Pass,0,12,96853,168,Unsuccessful,24.1,24.4,44.9,15.9,OpenPlay,False
BallRecovery,0,15,110260,13,Successful,54.7,86.6,,,OpenPlay,False
Pass,0,16,110260,13,Successful,46.9,90.5,38.5,76.9,OpenPlay,False
Pass,0,18,27586,13,Successful,35.8,74.4,31.5,32,OpenPlay,False
Pass,0,21,80921,13,Successful,33.5,14.3,45.7,5.2,OpenPlay,False
Pass,0,24,125211,13,Successful,45.4,8.8,51.3,26.7,OpenPlay,False
Pass,0,29,144890,13,Successful,52.8,23.0,36.3,51.6,OpenPlay,False
Pass,0,33,27586,13,Successful,44.4,55.2,46.6,87.7,OpenPlay,False
Pass,0,37,110260,13,Successful,47.1,87.7,52.8,66.3,OpenPlay,False
Pass,0,39,89401,13,Successful,52.7,59.0,51.5,34,OpenPlay,False
Pass,0,42,144890,13,Unsuccessful,55.2,30.1,67.2,21.5,OpenPlay,False
Interception,0,44,350138,168,Successful,29.0,74.4,,,OpenPlay,False
Pass,0,47,144890,13,Successful,66.8,1.6,46.7,5.9,OpenPlay,False
Pass,0,50,80921,13,Successful,46.0,12.8,43.1,52.8,OpenPlay,False
Pass,0,53,27586,13,Successful,44.0,54.4,51.6,29.9,OpenPlay,False
Pass,1,0,144890,13,Successful,55.6,30.1,44.5,52.4,OpenPlay,False
Pass,1,4,27586,13,Successful,44.5,52.4,46.5,29.7,OpenPlay,False
Pass,1,9,80921,13,Successful,53.1,28.0,83.1,82,OpenPlay,False
Pass,1,14,297403,13,Unsuccessful,96.5,75.1,94.7,56,OpenPlay,False
Clearance,1,15,350138,168,Successful,8.0,39.2,23.2,50.9,OpenPlay,False
BallRecovery,1,16,82917,168,Successful,23.2,50.9,,,OpenPlay,False
Pass,1,17,79533,168,Successful,15.7,40.8,31.3,43.7,OpenPlay,False
Pass,1,17,82917,168,Successful,18.5,50.1,15.1,42.5,OpenPlay,False
Pass,1,18,25028,168,Successful,34.9,53.8,29.2,60.6,OpenPlay,False
Dispossessed,1,19,82917,168,Successful,29.2,60.1,,,OpenPlay,False
Tackle,1,19,125211,13,Successful,70.8,39.9,,,OpenPlay,False
Pass,1,21,80921,13,Unsuccessful,63.5,37.7,72.5,36.9,OpenPlay,False
Pass,1,27,96853,168,Unsuccessful,30.4,61.1,50.7,77.5,OpenPlay,False
Pass,1,28,80921,13,Successful,48.5,25.6,54.2,33.1,OpenPlay,False
BallRecovery,1,31,89401,13,Successful,54.9,31.3,,,OpenPlay,False
Pass,1,33,89401,13,Successful,53.7,34.6,51.8,67.2,OpenPlay,False
Pass,1,35,110260,13,Successful,58.3,75.6,70,96.5,OpenPlay,False
Pass,1,36,297403,13,Successful,71.3,96.0,87.4,82.3,OpenPlay,False
Pass,1,42,44120,13,Unsuccessful,93.2,81.2,95.6,54.4,OpenPlay,False
KeeperPickup,1,43,22319,168,Successful,4.9,43.9,,,OpenPlay,False
Pass,1,55,22319,168,Successful,14.0,54.0,27.8,94.5,OpenPlay,False
Pass,1,59,350138,168,Successful,27.8,94.5,15.3,85.3,OpenPlay,False
Pass,2,1,9342,168,Successful,15.3,85.3,4.7,64.6,OpenPlay,False
Pass,2,3,22319,168,Successful,4.7,64.6,47.1,67.6,OpenPlay,False
Pass,2,7,82917,168,Successful,47.1,67.3,45.1,73.6,OpenPlay,False
Pass,2,10,346738,168,Successful,44.6,73.6,36.9,73.5,OpenPlay,False
Pass,2,11,96853,168,Successful,36.9,73.5,53.1,73.5,OpenPlay,False
Pass,2,14,346738,168,Successful,56.9,81.4,59.4,70.2,OpenPlay,False
Pass,2,25,82917,168,Successful,53.4,70.0,15.5,57.8,OpenPlay,False
Pass,2,29,22319,168,Successful,14.7,55.7,20.3,30,OpenPlay,False
Pass,2,31,287504,168,Successful,20.3,30.0,14.6,51.6,OpenPlay,False
Pass,2,34,22319,168,Unsuccessful,15.1,59.7,48.7,82.9,OpenPlay,False
Pass,2,36,125211,13,Successful,52.0,12.2,56.1,24.4,OpenPlay,False
BallRecovery,2,38,144890,13,Successful,56.1,24.0,,,OpenPlay,False
Pass,2,38,144890,13,Successful,56.1,24.0,38.6,41.2,OpenPlay,False
Pass,2,42,27586,13,Successful,40.1,48.5,39.4,27.7,OpenPlay,False
Pass,2,45,80921,13,Successful,39.2,27.1,29.9,49.9,OpenPlay,False
Pass,2,49,27586,13,Successful,30.3,49.0,10.3,43.1,OpenPlay,False
Pass,2,51,102248,13,Successful,10.1,43.7,39.6,4.9,OpenPlay,False
BallTouch,2,55,125211,13,Unsuccessful,39.5,5.0,,,OpenPlay,False
BallRecovery,2,57,346738,168,Successful,67.8,90.9,,,OpenPlay,False
Pass,2,58,346738,168,Successful,67.7,94.2,58.7,95.9,OpenPlay,False
Pass,3,1,82917,168,Successful,58.6,95.7,62.6,89.9,OpenPlay,False
Pass,3,2,346738,168,Successful,62.6,89.9,46.5,90.9,OpenPlay,False
Pass,3,6,82917,168,Unsuccessful,56.3,92.7,57.5,95.3,OpenPlay,False
Interception,3,7,144890,13,Successful,42.9,3.7,,,OpenPlay,False
BallRecovery,3,8,144890,13,Successful,49.7,2.9,,,OpenPlay,False
Pass,3,11,144890,13,Successful,59.5,1.5,61.3,46.6,OpenPlay,False
Pass,3,13,73078,13,Successful,65.6,51.8,67.8,76.3,OpenPlay,False
Pass,3,17,297403,13,Unsuccessful,80.6,78.1,81.1,76.4,OpenPlay,False
Clearance,3,17,260592,168,Successful,20.1,26.8,20.1,26.8,OpenPlay,False
BallRecovery,3,19,260592,168,Successful,15.6,6.8,,,OpenPlay,False
Pass,3,22,260592,168,Successful,34.9,13.4,42.4,30.7,OpenPlay,False
Pass,3,24,25028,168,Successful,43.7,31.2,37.6,25.9,OpenPlay,False
Pass,3,26,79533,168,Successful,37.5,25.8,29.3,12.5,OpenPlay,False
Pass,3,28,362103,168,Successful,29.3,12.3,25.2,33.4,OpenPlay,False
Pass,3,30,287504,168,Successful,23.1,34.7,23.9,68.2,OpenPlay,False
Pass,3,33,9342,168,Successful,25.3,73.2,31.8,95.7,OpenPlay,False
Pass,3,35,350138,168,Successful,31.3,95.2,24.2,85.1,OpenPlay,False
Pass,3,38,9342,168,Successful,25.5,69.0,9.3,55.1,OpenPlay,False
Pass,3,48,22319,168,Unsuccessful,14.0,57.9,55.7,89.3,OpenPlay,False
Pass,3,51,125211,13,Unsuccessful,46.1,7.4,46.6,22.5,OpenPlay,False
Pass,3,54,82917,168,Successful,53.7,77.1,53.3,82.6,OpenPlay,False
Dispossessed,3,55,346738,168,Successful,53.8,79.3,,,OpenPlay,False
Tackle,3,55,73078,13,Successful,46.2,20.7,,,OpenPlay,False
BallRecovery,3,57,125211,13,Successful,45.7,20.6,,,OpenPlay,False
Pass,3,57,125211,13,Successful,45.0,17.2,44.4,26.6,OpenPlay,False
Pass,3,58,144890,13,Successful,44.6,27.1,23.9,51.9,OpenPlay,False
Pass,4,2,102248,13,Successful,23.9,51.9,26.9,57.3,OpenPlay,False
Pass,4,6,27586,13,Successful,25.9,57.8,27.7,30.7,OpenPlay,False
Pass,4,14,80921,13,Successful,48.1,27.9,69.4,7.3,OpenPlay,False
Pass,4,18,125211,13,Successful,78.0,11.3,86.8,16.4,OpenPlay,False
Pass,4,20,342564,13,Successful,86.9,10.2,80.1,10.6,OpenPlay,False
Pass,4,22,125211,13,Successful,79.3,10.8,67.8,13.2,OpenPlay,False
Pass,4,25,80921,13,Successful,69.4,17.3,70,29.8,OpenPlay,False
Pass,4,26,144890,13,Successful,70.0,29.8,69.7,16.2,OpenPlay,False
Pass,4,28,80921,13,Successful,70.0,15.6,51.2,38.6,OpenPlay,False
Pass,4,31,27586,13,Successful,51.2,38.6,55.5,68.8,OpenPlay,False
Pass,4,36,110260,13,Successful,46.9,68.5,33.6,58.2,OpenPlay,False
Pass,4,41,27586,13,Successful,27.3,59.0,43.3,18.6,OpenPlay,False
Pass,4,45,80921,13,Unsuccessful,43.1,18.5,63.4,66.1,OpenPlay,False
Pass,4,47,362103,168,Unsuccessful,34.3,33.6,47.5,31.5,OpenPlay,False
Pass,4,49,110260,13,Successful,54.2,68.5,53.4,56.9,OpenPlay,False
Pass,4,53,144890,13,Successful,56.5,65.2,64.4,71.7,OpenPlay,False
