Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,843,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,73078,13,Successful,50.1,49.9,28.1,59,OpenPlay,False,False
Pass,0,5,27586,13,Successful,34.2,53.6,68.5,87.4,OpenPlay,False,False
Aerial,0,7,94936,843,Unsuccessful,32.2,12.7,,,OpenPlay,False,False
Aerial,0,7,44120,13,Successful,67.8,87.3,,,OpenPlay,False,False
Pass,0,8,44120,13,Successful,69.2,87.5,88,89.4,OpenPlay,False,False
Pass,0,11,73078,13,Successful,88.5,89.6,82,94.7,OpenPlay,False,False
Pass,0,15,44120,13,Successful,90.9,97.4,86.6,84.8,OpenPlay,False,False
BlockedPass,0,19,392649,843,Successful,3.4,32.2,,,OpenPlay,False,False
Pass,0,19,73078,13,Unsuccessful,99.1,65.7,97.5,61.4,OpenPlay,False,False
CornerAwarded,0,22,392649,843,Unsuccessful,0.0,29.0,,,OpenPlay,False,False
CornerAwarded,0,22,73078,13,Successful,100.0,71.0,,,OpenPlay,False,False
Pass,0,41,144890,13,Successful,99.5,99.5,85.2,95.6,CornerTaken,False,False
Pass,0,43,239872,13,Successful,89.3,95.0,78.5,92.3,OpenPlay,False,False
Pass,0,48,144890,13,Unsuccessful,70.2,76.7,86,57.9,OpenPlay,False,False
Clearance,0,50,70080,843,Successful,12.4,37.7,44.9,50.4,OpenPlay,False,False
Pass,0,52,125211,13,Successful,56.0,46.7,60.3,27,OpenPlay,False,False
Pass,0,54,89401,13,Successful,56.3,26.5,39.9,35.8,OpenPlay,False,False
Pass,0,56,125211,13,Successful,35.7,38.3,21.2,44.8,OpenPlay,False,False
Pass,0,59,92173,13,Successful,21.3,44.3,28.5,31.3,OpenPlay,False,False
Pass,1,2,89401,13,Successful,29.0,29.8,39.3,4.7,OpenPlay,False,False
Pass,1,5,125211,13,Successful,38.3,7.1,24,7.4,OpenPlay,False,False
Pass,1,7,80921,13,Successful,23.7,8.0,8.1,43.3,OpenPlay,False,False
Pass,1,10,92173,13,Successful,9.8,45.5,14.9,67.5,OpenPlay,False,False
Pass,1,19,27586,13,Successful,32.0,75.0,27,30.1,OpenPlay,False,False
Pass,1,26,80921,13,Successful,43.3,31.3,33.2,57.3,OpenPlay,False,False
Pass,1,31,27586,13,Successful,40.0,68.4,46.5,90.2,OpenPlay,False,False
Pass,1,34,89401,13,Successful,53.0,88.6,60,98,OpenPlay,False,False
BallTouch,1,36,367185,13,Unsuccessful,60.0,98.0,,,OpenPlay,False,False
Pass,1,48,94936,843,Successful,43.3,0.0,44.1,16.8,ThrowIn,False,False
Pass,1,50,357900,843,Successful,41.4,2.9,34.3,3.2,OpenPlay,False,False
Pass,1,51,94936,843,Successful,34.3,3.2,17.2,13.1,OpenPlay,False,False
Pass,1,54,392649,843,Successful,14.7,14.9,3.9,44.8,OpenPlay,False,False
Pass,1,56,122714,843,Unsuccessful,3.9,44.8,46.7,25.3,OpenPlay,False,False
Pass,2,1,89401,13,Unsuccessful,53.0,71.8,68.3,58.2,OpenPlay,False,False
Pass,2,4,392649,843,Unsuccessful,40.8,32.7,53.1,73.2,OpenPlay,False,False
BallRecovery,2,6,125211,13,Successful,47.4,27.4,,,OpenPlay,False,False
Pass,2,8,125211,13,Successful,56.6,11.0,40.8,26.1,OpenPlay,False,False
Pass,2,13,80921,13,Successful,44.4,32.7,41.4,65.7,OpenPlay,False,False
Pass,2,17,27586,13,Successful,44.0,64.5,45,27.6,OpenPlay,False,False
Pass,2,22,80921,13,Successful,63.5,18.0,90.3,6.7,OpenPlay,False,False
TakeOn,2,26,125211,13,Unsuccessful,87.6,8.5,,,OpenPlay,False,False
Tackle,2,26,301455,843,Unsuccessful,12.4,91.5,,,OpenPlay,False,False
Pass,2,29,125211,13,Successful,87.0,8.5,74.6,28.3,OpenPlay,False,False
Pass,2,31,13756,13,Unsuccessful,75.1,30.0,97.3,52.5,OpenPlay,False,False
KeeperPickup,2,33,122714,843,Successful,3.9,47.6,,,OpenPlay,False,False
Pass,2,36,122714,843,Successful,13.3,41.5,29.9,28.6,OpenPlay,False,False
Pass,2,38,102044,843,Successful,30.8,28.8,39.6,3.8,OpenPlay,False,False
Challenge,2,43,367185,13,Unsuccessful,63.4,96.0,,,OpenPlay,False,False
TakeOn,2,43,377263,843,Successful,36.6,4.0,,,OpenPlay,False,False
Dispossessed,2,45,377263,843,Successful,46.8,2.2,,,OpenPlay,False,False
Tackle,2,45,89401,13,Successful,53.2,97.8,,,OpenPlay,False,False
Pass,3,2,94936,843,Successful,48.3,0.0,55,6.5,ThrowIn,False,False
Pass,3,3,102044,843,Successful,55.0,6.5,45.4,1.7,OpenPlay,False,False
Pass,3,4,94936,843,Successful,45.5,2.2,53.6,3.7,OpenPlay,False,False
Pass,3,7,102044,843,Successful,46.5,8.2,28.5,23,OpenPlay,False,False
Pass,3,11,392649,843,Successful,26.7,23.0,31.6,8.6,OpenPlay,False,False
Challenge,3,13,89401,13,Unsuccessful,66.6,89.2,,,OpenPlay,False,False
TakeOn,3,13,102044,843,Successful,33.4,10.8,,,OpenPlay,False,False
Pass,3,15,102044,843,Successful,35.3,21.6,24.8,33.4,OpenPlay,False,False
Pass,3,18,392649,843,Successful,29.8,28.7,27.5,55.9,OpenPlay,False,False
Pass,3,20,289330,843,Successful,33.3,72.3,43.6,93.5,OpenPlay,False,False
Pass,3,24,301455,843,Successful,41.5,94.2,27.4,75,OpenPlay,False,False
Pass,3,29,289330,843,Successful,29.2,59.9,33.4,17,OpenPlay,False,False
Pass,3,33,392649,843,Successful,35.7,13.2,39.3,28.6,OpenPlay,False,False
Pass,3,35,102044,843,Successful,40.7,31.8,37.3,65.8,OpenPlay,False,False
Pass,3,39,357900,843,Successful,42.8,69.7,55.7,94.4,OpenPlay,False,False
Pass,3,42,24929,843,Successful,58.7,91.8,56.6,78.7,OpenPlay,False,False
Pass,3,44,357900,843,Successful,56.7,78.2,46.2,66.1,OpenPlay,False,False
Pass,3,47,102044,843,Successful,46.7,67.5,55.6,75.1,OpenPlay,False,False
Pass,3,48,357900,843,Successful,53.5,74.1,53.3,64,OpenPlay,False,False
Pass,3,51,244784,843,Successful,52.5,58.2,36.9,49,OpenPlay,False,False
Pass,3,52,289330,843,Successful,36.9,49.0,38.9,24.1,OpenPlay,False,False
Pass,3,56,392649,843,Successful,41.2,24.0,35.1,42.4,OpenPlay,False,False
Pass,3,59,289330,843,Successful,36.0,50.9,39.6,85,OpenPlay,False,False
Pass,4,2,102044,843,Successful,39.6,85.0,55.7,90.6,OpenPlay,False,False
Pass,4,4,24929,843,Successful,57.9,82.6,66,78.5,OpenPlay,False,False
BallTouch,4,5,357900,843,Unsuccessful,65.3,79.4,,,OpenPlay,False,False
Pass,4,6,239872,13,Successful,38.7,18.6,34.2,25.2,OpenPlay,False,False
BallRecovery,4,8,144890,13,Successful,36.1,26.8,,,OpenPlay,False,False
Pass,4,10,144890,13,Unsuccessful,46.4,33.6,77.1,72.9,OpenPlay,False,False
Pass,4,14,392649,843,Unsuccessful,28.5,29.5,35.4,19.7,OpenPlay,False,False
Pass,4,16,89401,13,Successful,67.3,77.5,76.3,91.4,OpenPlay,False,False
Pass,4,17,44120,13,Successful,76.3,91.4,61.7,91.5,OpenPlay,False,False
Pass,4,18,367185,13,Successful,61.7,91.5,72.4,85.4,OpenPlay,False,False
Pass,4,19,89401,13,Successful,72.5,85.4,61.7,93.3,OpenPlay,False,False
Pass,4,20,367185,13,Successful,62.2,93.3,75.1,96.5,OpenPlay,False,False
Pass,4,22,44120,13,Successful,73.0,96.5,59,97.1,OpenPlay,False,False
Pass,4,24,367185,13,Successful,59.0,97.1,45.9,86.6,OpenPlay,False,False
Pass,4,27,27586,13,Successful,46.2,73.9,48.5,42.5,OpenPlay,False,False
Pass,4,31,144890,13,Successful,55.9,22.8,62.5,3.2,OpenPlay,False,False
Pass,4,33,125211,13,Successful,62.3,3.2,42.6,18,OpenPlay,False,False
Pass,4,40,80921,13,Unsuccessful,60.5,32.2,69.2,27.6,OpenPlay,False,False
Interception,4,41,102044,843,Successful,38.5,74.1,,,OpenPlay,False,False
BallTouch,4,42,70080,843,Successful,39.4,67.0,,,OpenPlay,False,False
BallTouch,4,43,102044,843,Successful,39.4,67.0,,,OpenPlay,False,False
BallRecovery,4,44,70080,843,Successful,43.5,63.4,,,OpenPlay,False,False
Foul,4,47,70080,843,Successful,38.5,57.6,,,OpenPlay,False,False
Foul,4,47,73078,13,Unsuccessful,61.5,42.4,,,OpenPlay,False,False
Pass,4,59,357900,843,Successful,35.5,53.2,35.9,12.4,OpenPlay,False,False
Pass,5,1,94936,843,Successful,31.5,8.0,20.6,22.4,OpenPlay,False,False
Pass,5,6,392649,843,Successful,25.4,23.1,5,51,OpenPlay,False,False
Pass,5,8,122714,843,Successful,5.5,51.8,16.6,83,OpenPlay,False,False
Pass,5,9,289330,843,Successful,16.8,83.0,26.1,94.5,OpenPlay,False,False
Pass,5,13,301455,843,Successful,29.0,93.5,21.5,81.7,OpenPlay,False,False
Pass,5,16,289330,843,Unsuccessful,23.9,73.5,56.4,4,OpenPlay,False,False
Aerial,5,21,377263,843,Unsuccessful,56.6,4.5,,,OpenPlay,False,False
Aerial,5,21,367185,13,Successful,43.4,95.5,,,OpenPlay,False,False
BallTouch,5,22,367185,13,Successful,44.7,95.0,,,OpenPlay,False,False
Pass,5,34,94936,843,Successful,56.4,0.0,41.7,13.9,ThrowIn,False,False
