Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,163,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,30448,163,Successful,50.0,50.0,38.2,48.8,OpenPlay,False
Pass,0,2,90324,163,Unsuccessful,36.9,45.2,75.2,17.9,OpenPlay,False
Pass,0,5,89401,13,Unsuccessful,26.6,84.4,42.4,76,OpenPlay,False
Pass,0,7,35607,163,Unsuccessful,57.2,23.7,69.8,37.1,OpenPlay,False
Aerial,0,9,138695,163,Unsuccessful,70.2,35.2,,,OpenPlay,False
Aerial,0,9,248109,13,Successful,29.8,64.8,,,OpenPlay,False
Pass,0,10,248109,13,Unsuccessful,29.3,66.6,34.9,60.8,OpenPlay,False
Pass,0,11,30448,163,Successful,66.4,45.7,69.1,63.6,OpenPlay,False
Aerial,0,12,239872,13,Unsuccessful,30.4,37.6,,,OpenPlay,False
Aerial,0,12,42266,163,Successful,69.6,62.4,,,OpenPlay,False
Pass,0,13,42266,163,Unsuccessful,69.1,63.6,76.1,53.9,OpenPlay,False
Pass,0,15,248109,13,Successful,26.0,47.0,15.3,45.2,OpenPlay,False
Clearance,0,17,80921,13,Successful,15.3,45.2,25.2,57,OpenPlay,False
Aerial,0,19,138695,163,Unsuccessful,73.4,45.1,,,OpenPlay,False
Aerial,0,19,89401,13,Successful,26.6,54.9,,,OpenPlay,False
BallTouch,0,20,89401,13,Successful,26.4,54.6,,,OpenPlay,False
Pass,0,21,126149,163,Successful,70.9,41.6,71.5,24.3,OpenPlay,False
BallTouch,0,25,134244,163,Unsuccessful,74.3,23.1,,,OpenPlay,False
Foul,0,26,,13,Successful,26.2,78.2,,,OpenPlay,False
Foul,0,26,134244,163,Unsuccessful,73.8,21.8,,,OpenPlay,False
Pass,0,40,89401,13,Successful,24.7,80.2,33.3,67.3,OpenPlay,False
Pass,0,41,248109,13,Successful,33.3,67.3,23.7,86.9,OpenPlay,False
Pass,0,44,89401,13,Unsuccessful,24.3,91.2,60.7,91.1,OpenPlay,False
Pass,0,48,35607,163,Unsuccessful,39.6,11.3,61.6,20.1,OpenPlay,False
Pass,0,50,248109,13,Unsuccessful,40.0,79.6,57.5,93.8,OpenPlay,False
Pass,0,53,134244,163,Unsuccessful,44.4,16.5,89.9,6.5,OpenPlay,False
Pass,0,56,27586,13,Successful,9.6,93.3,0.9,72.3,OpenPlay,False
Pass,0,59,92173,13,Successful,3.1,69.1,7.7,28.9,OpenPlay,False
Pass,1,2,80921,13,Successful,8.1,26.4,13.4,3.5,OpenPlay,False
