Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,18,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,101859,18,Successful,50.0,50.0,35.4,40.1,OpenPlay,False
Pass,0,4,92550,18,Unsuccessful,37.4,41.0,72.6,94.1,OpenPlay,False
Aerial,0,5,125211,13,Successful,30.7,5.4,,,OpenPlay,False
Aerial,0,5,22846,18,Unsuccessful,69.3,94.6,,,OpenPlay,False
BallTouch,0,6,125211,13,Successful,34.0,5.0,,,OpenPlay,False
Pass,0,14,22846,18,Successful,72.7,100.0,68,96.8,ThrowIn,False
Pass,0,19,86425,18,Unsuccessful,66.5,92.4,72.4,30.9,OpenPlay,False
BallRecovery,0,22,297403,13,Successful,33.9,75.0,,,OpenPlay,False
BallTouch,0,23,297403,13,Unsuccessful,32.5,75.1,,,OpenPlay,False
BallRecovery,0,24,93677,18,Successful,76.1,35.2,,,OpenPlay,False
Error,0,25,297403,13,Successful,29.3,76.0,,,OpenPlay,False
MissedShots,0,26,93677,18,Successful,78.5,35.2,,,OpenPlay,False
Pass,0,40,92173,13,Successful,4.9,40.9,13.1,74.4,OpenPlay,False
Pass,0,42,22210,13,Successful,20.3,88.7,31.1,94.8,OpenPlay,False
Pass,0,43,297403,13,Unsuccessful,31.1,94.8,45.9,93.8,OpenPlay,False
BallRecovery,0,44,69945,18,Successful,54.5,4.4,,,OpenPlay,False
Pass,0,45,69945,18,Successful,54.5,4.4,63.6,4,OpenPlay,False
BallTouch,0,48,93677,18,Unsuccessful,62.3,2.6,,,OpenPlay,False
Pass,0,57,297403,13,Successful,38.5,100.0,11,91.5,ThrowIn,False
Pass,1,1,22210,13,Successful,11.0,91.5,4.7,55.2,OpenPlay,False
Pass,1,7,92173,13,Successful,6.3,49.7,5.5,24.9,OpenPlay,False
Pass,1,9,124316,13,Successful,6.0,24.0,13.2,4.4,OpenPlay,False
Dispossessed,1,16,125211,13,Successful,27.2,6.2,,,OpenPlay,False
Tackle,1,16,86425,18,Unsuccessful,72.8,93.8,,,OpenPlay,False
BallTouch,1,17,125211,13,Successful,26.2,5.0,,,OpenPlay,False
Pass,1,23,22846,18,Successful,75.0,100.0,67.8,95.9,ThrowIn,False
Pass,1,27,101859,18,Successful,61.4,95.3,41.5,92.7,OpenPlay,False
Pass,1,30,136742,18,Successful,37.3,89.7,16,69,OpenPlay,False
Pass,1,33,38577,18,Unsuccessful,15.5,72.9,65.4,82.4,OpenPlay,False
Pass,1,36,124316,13,Unsuccessful,37.0,19.2,58.2,22.5,OpenPlay,False
Pass,1,38,101859,18,Successful,42.1,76.9,50.6,83.8,OpenPlay,False
Pass,1,40,86425,18,Successful,45.4,84.5,43.4,94.4,OpenPlay,False
Pass,1,42,22846,18,Successful,42.3,89.9,27.8,75.1,OpenPlay,False
Pass,1,43,136742,18,Successful,27.8,75.1,15.5,53.7,OpenPlay,False
Pass,1,47,38577,18,Successful,14.9,47.0,32.1,4.3,OpenPlay,False
Pass,1,50,69945,18,Successful,31.6,6.1,20.3,22.7,OpenPlay,False
Pass,1,53,92550,18,Successful,19.6,24.1,10.1,47.5,OpenPlay,False
Pass,2,3,38577,18,Unsuccessful,11.6,37.3,58.9,15,OpenPlay,False
Pass,2,5,297403,13,Unsuccessful,39.5,87.4,56.4,86.8,OpenPlay,False
Pass,2,7,69945,18,Successful,45.4,14.0,55.7,6.2,OpenPlay,False
Pass,2,9,93677,18,Successful,56.1,6.5,54.5,14,OpenPlay,False
Pass,2,10,105172,18,Successful,55.0,14.0,51.9,3.4,OpenPlay,False
Pass,2,15,93677,18,Unsuccessful,52.1,21.5,74.9,32.4,OpenPlay,False
BallTouch,2,16,27586,13,Successful,29.4,61.2,,,OpenPlay,False
BallTouch,2,19,91762,18,Unsuccessful,71.7,34.0,,,OpenPlay,False
BallRecovery,2,20,248109,13,Successful,25.2,53.7,,,OpenPlay,False
Pass,2,22,248109,13,Successful,25.5,51.3,17.3,49.7,OpenPlay,False
Pass,2,23,124316,13,Successful,17.3,49.7,49.2,87.5,OpenPlay,False
Aerial,2,27,92550,18,Unsuccessful,52.6,12.8,,,OpenPlay,False
Aerial,2,27,44120,13,Successful,47.4,87.2,,,OpenPlay,False
Pass,2,27,44120,13,Unsuccessful,49.2,87.5,61.6,94.2,OpenPlay,False
BallRecovery,2,29,69945,18,Successful,39.0,6.7,,,OpenPlay,False
Pass,2,30,69945,18,Unsuccessful,39.8,5.9,67.9,0,OpenPlay,False
Pass,2,44,297403,13,Successful,38.4,100.0,40.4,89.6,ThrowIn,False
Pass,2,46,328983,13,Successful,40.4,89.6,35.1,95.7,OpenPlay,False
Pass,2,48,297403,13,Unsuccessful,35.1,95.7,53.8,61.5,OpenPlay,False
Pass,2,50,101859,18,Unsuccessful,47.5,38.3,52.8,46.6,OpenPlay,False
BallTouch,2,54,248109,13,Unsuccessful,52.5,50.7,,,OpenPlay,False
Foul,2,55,248109,13,Unsuccessful,52.0,51.2,,,OpenPlay,False
Foul,2,55,,18,Successful,48.0,48.8,,,OpenPlay,False
Pass,3,2,136742,18,Successful,38.9,59.3,36.7,39.7,OpenPlay,False
Dispossessed,3,8,92550,18,Successful,44.8,45.0,,,OpenPlay,False
Tackle,3,8,44120,13,Unsuccessful,55.2,55.0,,,OpenPlay,False
BallTouch,3,9,92550,18,Successful,45.7,44.3,,,OpenPlay,False
BallRecovery,3,11,125211,13,Successful,43.2,23.1,,,OpenPlay,False
Pass,3,12,125211,13,Successful,43.2,23.1,43.1,35.7,OpenPlay,False
Challenge,3,13,91762,18,Unsuccessful,56.0,63.9,,,OpenPlay,False
TakeOn,3,13,248109,13,Successful,44.0,36.1,,,OpenPlay,False
Pass,3,15,248109,13,Successful,52.8,46.4,66.3,60.2,OpenPlay,False
Pass,3,17,44120,13,Unsuccessful,66.3,59.9,87.9,56.6,OpenPlay,False
KeeperPickup,3,20,38577,18,Successful,10.6,42.8,,,OpenPlay,False
Pass,3,22,38577,18,Successful,13.9,42.5,29.7,41.9,OpenPlay,False
Pass,3,25,101859,18,Successful,32.4,40.9,39,28.2,OpenPlay,False
Pass,3,29,105172,18,Successful,43.0,23.3,78.1,28.8,OpenPlay,False
BallTouch,3,32,351355,18,Unsuccessful,78.1,28.8,,,OpenPlay,False
Pass,3,52,92173,13,Unsuccessful,4.8,50.9,74.3,100,OpenPlay,False
Pass,4,11,69945,18,Successful,32.8,0.0,40.7,2.8,ThrowIn,False
Pass,4,13,93677,18,Successful,38.3,5.0,46.9,11,OpenPlay,False
Pass,4,15,101859,18,Unsuccessful,47.4,19.5,55.8,24.3,OpenPlay,False
Interception,4,16,248109,13,Successful,48.0,75.4,,,OpenPlay,False
BallRecovery,4,17,248109,13,Successful,47.5,75.7,,,OpenPlay,False
Pass,4,18,248109,13,Successful,44.6,77.3,30.5,72.6,OpenPlay,False
Pass,4,23,27586,13,Successful,28.3,52.5,32.4,10,OpenPlay,False
Pass,4,26,125211,13,Successful,35.2,8.6,25,19.1,OpenPlay,False
Pass,4,29,124316,13,Successful,25.0,19.1,6.4,52.2,OpenPlay,False
Pass,4,32,92173,13,Successful,6.4,52.2,18.1,89,OpenPlay,False
Pass,4,36,22210,13,Successful,18.5,88.3,30.1,73.8,OpenPlay,False
Pass,4,37,248109,13,Unsuccessful,30.1,73.8,33.5,59.9,OpenPlay,False
BallRecovery,4,38,105172,18,Successful,67.4,40.9,,,OpenPlay,False
Pass,4,39,105172,18,Successful,67.4,40.9,77.4,39.1,OpenPlay,False
Pass,4,40,91762,18,Unsuccessful,77.4,39.1,72.5,33.3,OpenPlay,False
BallRecovery,4,41,248109,13,Successful,30.5,65.1,,,OpenPlay,False
Pass,4,42,248109,13,Unsuccessful,28.8,67.9,32.9,69.3,OpenPlay,False
Interception,4,45,101859,18,Successful,69.5,32.7,,,OpenPlay,False
Pass,4,48,297403,13,Successful,37.8,95.9,34.9,79.6,OpenPlay,False
Pass,4,50,248109,13,Successful,35.8,74.4,56.1,72.7,OpenPlay,False
Pass,4,51,44120,13,Unsuccessful,53.4,71.9,48.9,76.7,OpenPlay,False
BallTouch,4,52,101859,18,Unsuccessful,51.8,21.9,,,OpenPlay,False
Foul,4,54,13756,13,Successful,56.7,81.2,,,OpenPlay,False
Foul,4,54,101859,18,Unsuccessful,43.3,18.8,,,OpenPlay,False
Pass,5,3,13756,13,Successful,60.0,84.2,60.5,73,OpenPlay,False
Pass,5,6,328983,13,Successful,62.6,70.6,47.3,63.3,OpenPlay,False
Pass,5,10,27586,13,Successful,46.8,65.7,48.6,90.3,OpenPlay,False
Pass,5,14,22210,13,Successful,47.4,79.0,40.8,21,OpenPlay,False
Pass,5,18,124316,13,Successful,40.8,21.0,54.7,3.2,OpenPlay,False
Pass,5,19,125211,13,Successful,54.9,3.2,70.6,4.4,OpenPlay,False
Challenge,5,29,136742,18,Unsuccessful,26.6,97.1,,,OpenPlay,False
TakeOn,5,29,73078,13,Successful,73.4,2.9,,,OpenPlay,False
Pass,5,31,73078,13,Successful,88.4,13.1,89.1,61.7,OpenPlay,False
Pass,5,35,13756,13,Unsuccessful,94.5,80.9,87.2,59.3,OpenPlay,False
BallRecovery,5,36,101859,18,Successful,12.9,32.4,,,OpenPlay,False
Pass,5,37,101859,18,Unsuccessful,11.6,36.6,59.6,28.3,OpenPlay,False
BallRecovery,5,42,27586,13,Successful,41.3,69.7,,,OpenPlay,False
Pass,5,44,27586,13,Successful,41.4,71.8,51.7,66.1,OpenPlay,False
Pass,5,46,328983,13,Successful,54.0,67.3,67.8,73,OpenPlay,False
Pass,5,48,13756,13,Unsuccessful,69.0,73.0,82.5,82.9,OpenPlay,False
Pass,5,51,69945,18,Unsuccessful,18.3,15.2,20.6,14.3,OpenPlay,False
BlockedPass,5,51,297403,13,Successful,82.5,81.7,,,OpenPlay,False
Pass,5,53,297403,13,Successful,85.2,79.1,86.2,41.8,OpenPlay,False
Pass,5,54,73078,13,Unsuccessful,86.5,42.3,90.7,35.5,OpenPlay,False
Challenge,5,57,125211,13,Unsuccessful,91.3,30.3,,,OpenPlay,False
TakeOn,5,57,86425,18,Successful,8.7,69.7,,,OpenPlay,False
BallRecovery,5,58,86425,18,Successful,7.5,88.3,,,OpenPlay,False
Pass,6,0,86425,18,Successful,6.4,90.6,5.8,81.1,OpenPlay,False
Pass,6,5,22846,18,Unsuccessful,9.3,84.1,53.6,74.7,OpenPlay,False
Pass,6,8,27586,13,Unsuccessful,49.9,25.5,53.4,21.2,OpenPlay,False
Interception,6,9,351355,18,Successful,42.8,88.5,,,OpenPlay,False
Pass,6,10,351355,18,Successful,44.5,85.6,39.7,79,OpenPlay,False
Pass,6,11,105172,18,Successful,39.7,79.0,33.2,90.9,OpenPlay,False
Pass,6,14,86425,18,Successful,30.8,89.0,8.1,59,OpenPlay,False
Pass,6,17,38577,18,Unsuccessful,8.1,59.0,48.1,81.7,OpenPlay,False
Aerial,6,20,91762,18,Unsuccessful,48.0,81.9,,,OpenPlay,False
Aerial,6,20,124316,13,Successful,52.0,18.1,,,OpenPlay,False
Pass,6,21,124316,13,Successful,52.2,17.9,60.1,19.7,OpenPlay,False
Foul,6,22,105172,18,Unsuccessful,42.2,83.0,,,OpenPlay,False
Foul,6,22,248109,13,Successful,57.8,17.0,,,OpenPlay,False
Pass,6,31,125211,13,Successful,64.0,8.7,53.8,8.9,OpenPlay,False
Pass,6,34,124316,13,Successful,53.0,8.7,47.2,31.8,OpenPlay,False
Pass,6,39,27586,13,Unsuccessful,52.1,29.2,97.3,43.3,OpenPlay,False
KeeperPickup,6,43,38577,18,Successful,2.1,58.2,,,OpenPlay,False
Pass,6,44,38577,18,Successful,3.4,53.7,14.1,26.4,OpenPlay,False
Pass,6,50,69945,18,Successful,27.4,6.5,39.9,7.1,OpenPlay,False
Pass,6,51,93677,18,Successful,39.9,7.1,41.5,22.2,OpenPlay,False
Pass,6,57,101859,18,Successful,58.8,6.5,44.1,9.2,OpenPlay,False
Pass,6,58,69945,18,Successful,44.1,9.2,47.5,17,OpenPlay,False
Pass,7,0,101859,18,Successful,46.1,19.8,31.6,31.6,OpenPlay,False
Pass,7,9,92550,18,Successful,40.2,35.1,57,3.5,OpenPlay,False
Pass,7,12,69945,18,Unsuccessful,60.8,4.7,62.9,11.7,OpenPlay,False
BallTouch,7,14,328983,13,Successful,38.8,85.9,,,OpenPlay,False
Pass,7,15,93677,18,Successful,61.0,14.7,67.1,3.2,OpenPlay,False
Pass,7,17,351355,18,Successful,67.3,5.9,65.5,18.2,OpenPlay,False
Pass,7,19,101859,18,Successful,66.2,13.7,74.3,3.8,OpenPlay,False
Pass,7,21,69945,18,Successful,74.3,3.8,73.9,26.8,OpenPlay,False
Pass,7,23,101859,18,Successful,72.9,29.1,64.3,46.1,OpenPlay,False
Pass,7,26,105172,18,Successful,66.5,50.1,72,93.9,OpenPlay,False
Pass,7,28,22846,18,Successful,72.0,93.9,73.5,83.6,OpenPlay,False
Foul,7,30,124316,13,Unsuccessful,28.9,14.6,,,OpenPlay,False
Foul,7,30,86425,18,Successful,71.1,85.4,,,OpenPlay,False
Pass,7,36,22846,18,Successful,71.7,87.4,81.2,82,BigChanceCreated,True
Goal,7,39,91762,18,Successful,91.2,64.3,,,OpenPlay,False
Pass,8,47,73078,13,Successful,49.7,49.9,43.7,49.9,OpenPlay,False
Pass,8,48,13756,13,Successful,44.9,46.3,37.1,41.9,OpenPlay,False
Pass,8,49,248109,13,Successful,37.1,41.9,28.3,57.9,OpenPlay,False
Pass,8,50,27586,13,Successful,28.4,60.0,31.6,88,OpenPlay,False
Pass,8,56,22210,13,Successful,29.3,70.2,29.4,15.3,OpenPlay,False
Pass,8,59,124316,13,Successful,29.4,15.3,33.9,3.2,OpenPlay,False
Pass,9,1,125211,13,Successful,33.9,3.2,58.9,3.5,OpenPlay,False
Pass,9,6,13756,13,Successful,59.1,13.4,61,29.8,OpenPlay,False
Pass,9,8,248109,13,Successful,62.0,38.9,62.2,63.4,OpenPlay,False
Pass,9,12,328983,13,Successful,69.4,67.9,88,86.5,OpenPlay,False
Pass,9,14,297403,13,Unsuccessful,88.0,86.5,92.4,54.8,OpenPlay,False
Clearance,9,15,92550,18,Successful,7.4,43.9,0,30.7,OpenPlay,False
CornerAwarded,9,16,92550,18,Unsuccessful,3.6,38.0,,,OpenPlay,False
CornerAwarded,9,16,297403,13,Successful,96.4,62.0,,,OpenPlay,False
Pass,9,29,248109,13,Successful,99.5,99.5,94.4,96.3,CornerTaken,False
Pass,9,32,13756,13,Successful,92.4,92.7,75.6,86.2,OpenPlay,False
Pass,9,34,297403,13,Successful,75.3,86.2,85.4,92.1,OpenPlay,False
Pass,9,37,248109,13,Successful,85.7,92.1,72.2,88.9,OpenPlay,False
Pass,9,39,297403,13,Successful,71.7,88.7,59.1,62.1,OpenPlay,False
Pass,9,44,328983,13,Successful,65.6,76.4,67.4,95.3,OpenPlay,False
Pass,9,47,297403,13,Successful,61.9,92.4,46,51.9,OpenPlay,False
Pass,9,52,27586,13,Successful,48.1,49.7,55.7,23.9,OpenPlay,False
Pass,9,58,124316,13,Successful,58.5,24.4,64.6,14.7,OpenPlay,False
TakeOn,10,2,44120,13,Unsuccessful,71.9,13.8,,,OpenPlay,False
Tackle,10,2,22846,18,Successful,28.1,86.2,,,OpenPlay,False
BallRecovery,10,3,105172,18,Successful,25.9,87.2,,,OpenPlay,False
Pass,10,6,105172,18,Unsuccessful,16.7,95.9,41.7,81.2,OpenPlay,False
BallRecovery,10,8,124316,13,Successful,62.0,16.8,,,OpenPlay,False
Pass,10,9,124316,13,Successful,62.7,23.1,48.4,59.3,OpenPlay,False
Pass,10,11,22210,13,Successful,48.4,59.3,60,88.6,OpenPlay,False
