Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,30,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,143990,30,Successful,50.0,50.0,26.8,58.7,OpenPlay,False,False
Pass,0,2,21778,30,Successful,26.8,58.7,26.5,38.9,OpenPlay,False,False
Pass,0,4,69933,30,Successful,26.5,38.9,25.3,62.1,OpenPlay,False,False
Pass,0,6,21778,30,Successful,25.6,61.4,24.1,36.1,OpenPlay,False,False
Pass,0,8,69933,30,Successful,24.1,36.1,8.1,47.8,OpenPlay,False,False
Pass,0,10,25604,30,Successful,8.1,47.8,27.2,10,OpenPlay,False,False
Pass,0,14,322655,30,Unsuccessful,27.0,8.5,54.1,0,OpenPlay,False,False
Pass,0,33,110260,13,Successful,54.4,100.0,63.6,92.3,ThrowIn,False,False
Pass,0,35,73078,13,Successful,63.6,92.3,68.6,99.5,OpenPlay,False,False
BallTouch,0,38,44120,13,Unsuccessful,68.6,99.5,,,OpenPlay,False,False
BallRecovery,0,39,69933,30,Successful,18.8,12.5,,,OpenPlay,False,False
Pass,0,40,69933,30,Unsuccessful,18.8,12.5,40.6,3.5,OpenPlay,False,False
Pass,0,42,110260,13,Successful,62.9,96.0,65,92.1,OpenPlay,False,False
BallRecovery,0,43,328983,13,Successful,65.0,92.1,,,OpenPlay,False,False
Pass,0,44,328983,13,Successful,65.0,92.1,71.7,81.8,OpenPlay,False,False
Aerial,0,45,69933,30,Unsuccessful,28.3,20.8,,,OpenPlay,False,False
Aerial,0,45,73078,13,Successful,71.7,79.2,,,OpenPlay,False,False
Aerial,0,46,29595,30,Unsuccessful,29.9,19.2,,,OpenPlay,False,False
Aerial,0,46,73078,13,Successful,70.1,80.8,,,OpenPlay,False,False
Pass,0,47,73078,13,Successful,71.3,82.3,75,93,OpenPlay,False,False
Pass,0,49,44120,13,Unsuccessful,74.9,94.0,84.3,94.4,OpenPlay,False,False
BallTouch,0,50,322655,30,Successful,16.4,12.8,,,OpenPlay,False,False
Pass,0,51,110260,13,Successful,89.3,88.7,83.4,55.1,ShotAssist,False,False
MissedShots,0,54,239872,13,Successful,83.2,57.3,,,OpenPlay,False,False
Pass,1,17,25604,30,Unsuccessful,3.6,50.3,61.4,35.3,OpenPlay,False,False
Aerial,1,20,83532,30,Unsuccessful,61.6,37.2,,,OpenPlay,False,False
Aerial,1,20,27586,13,Successful,38.4,62.8,,,OpenPlay,False,False
Pass,1,20,27586,13,Successful,38.7,61.1,46.6,51.5,OpenPlay,False,False
BallRecovery,1,22,248109,13,Successful,46.6,51.5,,,OpenPlay,False,False
Pass,1,23,248109,13,Unsuccessful,46.6,51.5,37,65.4,OpenPlay,False,False
TakeOn,1,25,83532,30,Unsuccessful,66.3,27.4,,,OpenPlay,False,False
Pass,1,26,89401,13,Unsuccessful,33.4,59.6,52.9,57.5,OpenPlay,False,False
Interception,1,29,21778,30,Successful,47.1,45.7,,,OpenPlay,False,False
Pass,1,30,248109,13,Unsuccessful,44.6,51.5,45,50.3,OpenPlay,False,False
Pass,1,31,69344,30,Successful,55.8,53.4,53.3,51.9,OpenPlay,False,False
BallTouch,1,32,29595,30,Successful,53.3,51.9,,,OpenPlay,False,False
BallRecovery,1,33,69344,30,Successful,58.7,60.8,,,OpenPlay,False,False
Pass,1,34,69344,30,Successful,58.7,60.8,32.1,73.8,OpenPlay,False,False
Pass,1,37,24711,30,Successful,32.1,73.8,9.9,59.1,OpenPlay,False,False
Pass,1,42,25604,30,Successful,6.6,54.5,13.1,32.2,OpenPlay,False,False
Pass,1,46,69933,30,Successful,11.6,33.0,28.1,4.1,OpenPlay,False,False
Foul,1,50,328983,13,Unsuccessful,69.6,97.1,,,OpenPlay,False,False
Foul,1,50,322655,30,Successful,30.4,2.9,,,OpenPlay,False,False
Pass,1,59,322655,30,Successful,32.1,5.0,27.1,17.9,OpenPlay,False,False
Pass,2,2,69933,30,Successful,26.5,20.3,24.8,53,OpenPlay,False,False
Pass,2,4,21778,30,Successful,24.4,55.4,28.4,91.1,OpenPlay,False,False
Pass,2,8,24711,30,Successful,28.4,91.1,22,69.9,OpenPlay,False,False
Pass,2,11,21778,30,Successful,22.0,69.9,25.4,34.2,OpenPlay,False,False
Pass,2,19,69933,30,Successful,37.5,35.1,30.2,62,OpenPlay,False,False
Pass,2,22,21778,30,Successful,30.5,64.3,35.1,89.3,OpenPlay,False,False
Pass,2,24,24711,30,Successful,35.1,89.3,39.1,78.8,OpenPlay,False,False
Pass,2,25,29595,30,Successful,39.1,78.8,26,72.4,OpenPlay,False,False
Pass,2,27,21778,30,Successful,25.9,70.8,26.6,39.1,OpenPlay,False,False
Pass,2,32,69933,30,Unsuccessful,29.6,40.0,46.1,64.9,OpenPlay,False,False
Pass,2,33,248109,13,Successful,51.8,36.4,69.2,54.5,OpenPlay,False,False
Aerial,2,35,69933,30,Unsuccessful,31.6,42.8,,,OpenPlay,False,False
Aerial,2,35,73078,13,Successful,68.4,57.2,,,OpenPlay,False,False
BallRecovery,2,36,73078,13,Successful,68.1,55.1,,,OpenPlay,False,False
Dispossessed,2,38,73078,13,Successful,65.7,53.6,,,OpenPlay,False,False
Tackle,2,38,69933,30,Successful,34.3,46.4,,,OpenPlay,False,False
BallRecovery,2,39,69344,30,Successful,44.7,64.2,,,OpenPlay,False,False
Dispossessed,2,40,69344,30,Successful,48.0,60.7,,,OpenPlay,False,False
Tackle,2,40,89401,13,Unsuccessful,52.0,39.3,,,OpenPlay,False,False
BallTouch,2,41,69344,30,Successful,47.4,60.5,,,OpenPlay,False,False
BallRecovery,2,42,22210,13,Successful,37.7,39.5,,,OpenPlay,False,False
Pass,2,43,22210,13,Successful,37.7,39.5,41.6,68.2,OpenPlay,False,False
Pass,2,45,110260,13,Successful,41.7,71.8,49.7,89.4,OpenPlay,False,False
Pass,2,48,328983,13,Successful,58.7,90.6,74.8,98,OpenPlay,False,False
Pass,2,53,44120,13,Successful,73.9,95.4,61.8,93.2,OpenPlay,False,False
Pass,2,55,110260,13,Successful,60.5,91.4,48.4,80,OpenPlay,False,False
Pass,2,59,27586,13,Successful,51.3,79.1,68.2,94.5,OpenPlay,False,False
Pass,3,3,328983,13,Successful,70.1,75.3,72.3,62.3,OpenPlay,False,False
Pass,3,5,73078,13,Unsuccessful,72.7,60.3,74,57.2,OpenPlay,False,False
Interception,3,7,69344,30,Successful,26.5,51.8,,,OpenPlay,False,False
Pass,3,8,24711,30,Successful,18.5,68.4,29.8,53.6,OpenPlay,False,False
Pass,3,9,75830,30,Successful,29.8,49.3,29.2,54,OpenPlay,False,False
