Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,107,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,382261,107,Successful,50.0,50.0,48.2,47.9,OpenPlay,False,False
Pass,0,3,293985,107,Successful,45.1,55.7,34.8,67.8,OpenPlay,False,False
Pass,0,4,369446,107,Successful,34.8,67.8,44.6,89.7,OpenPlay,False,False
Pass,0,7,124006,107,Unsuccessful,44.6,89.7,74.9,69.9,OpenPlay,False,False
Pass,0,8,80921,13,Successful,25.7,30.0,35.1,20.4,OpenPlay,False,False
BallRecovery,0,9,248109,13,Successful,35.1,20.4,,,OpenPlay,False,False
Pass,0,10,248109,13,Successful,35.1,20.4,31.5,13.4,OpenPlay,False,False
Pass,0,11,125211,13,Unsuccessful,31.5,13.4,32.3,14.1,OpenPlay,False,False
Pass,0,14,332558,107,Unsuccessful,73.5,95.0,72.2,92.6,OpenPlay,False,False
Pass,0,15,248109,13,Successful,29.3,9.1,35.2,7.7,OpenPlay,False,False
BallRecovery,0,16,255169,13,Successful,35.2,7.7,,,OpenPlay,False,False
Pass,0,17,255169,13,Successful,35.2,7.7,29.1,15.8,OpenPlay,False,False
Pass,0,18,248109,13,Successful,29.1,15.8,24.7,35.1,OpenPlay,False,False
Pass,0,20,342563,13,Successful,24.7,35.1,19.6,51.5,OpenPlay,False,False
Pass,0,22,288795,13,Successful,23.7,70.2,31.3,96.8,OpenPlay,False,False
Pass,0,26,297403,13,Successful,36.6,96.8,26.4,80.5,OpenPlay,False,False
Pass,0,30,288795,13,Successful,25.7,75.3,21.9,34.2,OpenPlay,False,False
Pass,0,34,80921,13,Successful,24.8,29.4,35,36.3,OpenPlay,False,False
Pass,0,35,248109,13,Successful,35.0,36.3,27.3,25,OpenPlay,False,False
Pass,0,39,80921,13,Successful,31.5,28.2,34.2,85.6,OpenPlay,False,False
Pass,0,45,342563,13,Successful,31.3,92.4,17.9,75.7,OpenPlay,False,False
Pass,0,48,288795,13,Successful,14.6,71.7,14.4,26.5,OpenPlay,False,False
Pass,1,0,80921,13,Successful,40.2,12.5,35.4,5.2,OpenPlay,False,False
Pass,1,1,125211,13,Successful,35.4,5.2,27.7,50.9,OpenPlay,False,False
Pass,1,6,288795,13,Successful,33.7,59.7,43.8,93.9,OpenPlay,False,False
Pass,1,11,342563,13,Unsuccessful,44.0,81.2,71.4,60.3,OpenPlay,False,False
Pass,1,13,369446,107,Successful,26.9,42.7,32,44.9,OpenPlay,False,False
BallRecovery,1,14,293985,107,Successful,32.8,51.8,,,OpenPlay,False,False
Pass,1,21,293985,107,Successful,47.0,67.0,59.8,67.2,OpenPlay,False,False
Pass,1,22,332558,107,Successful,59.8,67.2,56.3,72.3,OpenPlay,False,False
Pass,1,24,293985,107,Unsuccessful,60.9,86.6,65.9,100,OpenPlay,False,False
Pass,1,40,125211,13,Successful,35.9,0.0,31,17.7,ThrowIn,False,False
Foul,1,42,293985,107,Unsuccessful,68.8,81.0,,,OpenPlay,False,False
Foul,1,42,248109,13,Successful,31.2,19.0,,,OpenPlay,False,False
Pass,1,52,248109,13,Successful,33.2,23.9,23.5,66.7,OpenPlay,False,False
Pass,1,57,288795,13,Successful,29.2,67.6,23.1,36,OpenPlay,False,False
Pass,2,0,80921,13,Successful,24.5,33.0,31,2.2,OpenPlay,False,False
Pass,2,5,125211,13,Successful,33.3,13.5,24.4,26.5,OpenPlay,False,False
Pass,2,7,80921,13,Successful,24.4,26.5,32.2,69.9,OpenPlay,False,False
Pass,2,10,342563,13,Successful,27.7,68.7,21.8,35.2,OpenPlay,False,False
Pass,2,16,80921,13,Successful,37.6,14.4,46.7,23.1,OpenPlay,False,False
Pass,2,18,73078,13,Successful,46.7,23.1,37.2,28.8,OpenPlay,False,False
Pass,2,20,248109,13,Unsuccessful,37.2,29.7,56,87.8,OpenPlay,False,False
Interception,2,22,279177,107,Successful,46.9,27.6,,,OpenPlay,False,False
