Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,27,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,0,116317,27,Successful,49.9,49.9,29.4,45.8,OpenPlay,False
Pass,0,3,68393,27,Successful,29.5,42.1,69.4,87.3,OpenPlay,False
Pass,0,7,25832,27,Successful,69.4,87.3,76.5,69.9,OpenPlay,False
Aerial,0,10,39308,27,Successful,78.2,70.0,,,OpenPlay,False
Aerial,0,10,288795,13,Unsuccessful,21.8,30.0,,,OpenPlay,False
Pass,0,11,39308,27,Unsuccessful,78.7,73.1,79.8,74.1,OpenPlay,False
BallTouch,0,12,288795,13,Successful,20.1,28.3,,,OpenPlay,False
BallRecovery,0,13,255169,13,Successful,14.4,17.6,,,OpenPlay,False
Pass,0,14,255169,13,Successful,14.4,17.6,20.9,6.4,OpenPlay,False
Pass,0,15,239872,13,Successful,20.9,6.7,10.5,8.5,OpenPlay,False
Pass,0,16,255169,13,Unsuccessful,10.3,9.4,39.3,15.9,OpenPlay,False
Aerial,0,18,73063,27,Successful,57.7,84.8,,,OpenPlay,False
Aerial,0,18,73078,13,Unsuccessful,42.3,15.2,,,OpenPlay,False
Pass,0,18,73063,27,Successful,52.3,86.3,58.3,72.8,OpenPlay,False
BallTouch,0,19,116317,27,Unsuccessful,59.7,75.6,,,OpenPlay,False
Pass,0,21,89401,13,Successful,33.5,36.5,25.1,52.4,OpenPlay,False
Pass,0,27,27586,13,Successful,31.3,51.6,87,89.7,OpenPlay,False
Pass,0,33,44120,13,Unsuccessful,86.2,88.6,88.1,43.9,OpenPlay,False
Foul,0,35,73078,13,Successful,89.2,50.9,,,OpenPlay,False
Foul,0,35,73063,27,Unsuccessful,10.8,49.1,,,OpenPlay,False
PenaltyFaced,4,20,11530,27,Unsuccessful,0.0,0.0,,,OpenPlay,True
Goal,4,20,44120,13,Successful,88.4,49.9,,,OpenPlay,False
Pass,4,59,116317,27,Successful,50.4,49.7,29.2,39.2,OpenPlay,False
Pass,5,0,68393,27,Successful,29.5,47.0,32.8,74,OpenPlay,False
Pass,5,3,73063,27,Successful,30.8,78.5,45.6,95.9,OpenPlay,False
Pass,5,5,137512,27,Successful,45.6,95.9,77.3,67.7,ShotAssist,False
MissedShots,5,8,39308,27,Successful,92.2,73.2,,,OpenPlay,False
Pass,5,23,102248,13,Successful,4.2,47.9,13.9,41.8,OpenPlay,False
Pass,5,29,144890,13,Successful,15.0,41.3,14.6,23,OpenPlay,False
Pass,5,31,288795,13,Successful,22.7,15.3,36,16.1,OpenPlay,False
Pass,5,32,342563,13,Successful,36.1,15.5,35.1,4.4,OpenPlay,False
Pass,5,33,255169,13,Unsuccessful,35.0,4.4,44.6,0,OpenPlay,False
Pass,5,35,137512,27,Successful,41.8,100.0,27.3,86.7,ThrowIn,False
Pass,5,41,73063,27,Successful,24.1,77.3,7,62.1,OpenPlay,False
Pass,5,44,11530,27,Successful,7.5,65.1,63.2,71.7,OpenPlay,False
Aerial,5,47,25832,27,Successful,66.1,74.4,,,OpenPlay,False
Aerial,5,47,288795,13,Unsuccessful,33.9,25.6,,,OpenPlay,False
Pass,5,47,25832,27,Successful,63.2,71.7,71.2,72.3,OpenPlay,False
Dispossessed,5,48,39308,27,Successful,72.6,71.9,,,OpenPlay,False
Tackle,5,48,255169,13,Unsuccessful,27.4,28.1,,,OpenPlay,False
Pass,5,49,39308,27,Successful,75.5,63.1,74.2,56.3,OpenPlay,False
Pass,5,50,25832,27,Successful,74.0,59.0,76.9,48.8,OpenPlay,False
Pass,5,58,39308,27,Successful,83.6,9.8,79.1,5,OpenPlay,False
Pass,6,0,75919,27,Successful,79.0,5.0,76.3,9.4,OpenPlay,False
Pass,6,1,116317,27,Successful,76.3,9.4,82.3,2.9,OpenPlay,False
Pass,6,4,75919,27,Successful,82.3,2.9,74,5.5,OpenPlay,False
Pass,6,6,116317,27,Successful,74.0,5.5,84.9,47.3,ShotAssist,False
Save,6,7,102248,13,Successful,1.9,49.6,,,OpenPlay,False
KeeperPickup,6,7,102248,13,Successful,1.9,49.6,,,OpenPlay,False
SavedShot,6,7,322670,27,Successful,84.5,47.2,,,OpenPlay,False
Pass,6,12,102248,13,Successful,8.7,48.4,36.8,90.9,OpenPlay,False
Pass,6,17,297403,13,Successful,57.1,88.3,61.5,81.8,OpenPlay,False
Pass,6,19,44120,13,Successful,61.4,81.7,37.2,75.9,OpenPlay,False
Pass,6,26,89401,13,Successful,40.0,69.0,31.7,52.7,OpenPlay,False
Pass,6,31,27586,13,Successful,26.0,50.7,30.5,76.7,OpenPlay,False
Pass,6,35,89401,13,Successful,30.6,76.9,37.8,72.6,OpenPlay,False
Pass,6,37,144890,13,Successful,56.0,82.3,68.2,92.7,OpenPlay,False
Pass,6,41,297403,13,Successful,68.6,92.4,68.8,85.9,OpenPlay,False
Pass,6,43,44120,13,Successful,67.3,73.6,64.8,28.9,OpenPlay,False
Pass,6,46,255169,13,Successful,65.2,28.2,80.6,10,OpenPlay,False
BallTouch,6,50,239872,13,Unsuccessful,85.7,19.4,,,OpenPlay,False
BallRecovery,6,52,90000,27,Successful,23.3,76.7,,,OpenPlay,False
Pass,6,58,90000,27,Successful,42.2,72.3,56,54.3,OpenPlay,False
Pass,7,0,25832,27,Unsuccessful,56.6,53.9,72.3,46.1,OpenPlay,False
BallRecovery,7,5,89401,13,Successful,30.1,43.6,,,OpenPlay,False
Pass,7,5,89401,13,Successful,33.2,35.9,29.1,20.4,OpenPlay,False
Pass,7,7,255169,13,Unsuccessful,27.2,18.5,71.3,0,OpenPlay,False
Pass,7,16,137512,27,Successful,25.6,100.0,15.8,93.4,ThrowIn,False
Pass,7,23,73063,27,Successful,14.6,77.3,15,46.7,OpenPlay,False
Pass,7,26,68393,27,Successful,14.3,47.0,19.4,93.8,OpenPlay,False
Pass,7,30,137512,27,Successful,22.8,96.0,53.6,76.2,OpenPlay,False
Aerial,7,32,25832,27,Successful,55.0,75.8,,,OpenPlay,False
Aerial,7,32,288795,13,Unsuccessful,45.0,24.2,,,OpenPlay,False
Pass,7,32,25832,27,Unsuccessful,53.6,76.2,47.5,92.4,OpenPlay,False
Pass,7,34,255169,13,Unsuccessful,53.6,9.2,62.9,10,OpenPlay,False
Pass,7,35,137512,27,Successful,39.7,90.0,41.4,80.3,OpenPlay,False
Pass,7,37,116317,27,Successful,41.4,80.3,29,57.6,OpenPlay,False
Pass,7,39,68393,27,Successful,29.0,57.6,25,71.7,OpenPlay,False
Pass,7,40,73063,27,Successful,27.2,66.0,43.6,47.9,OpenPlay,False
Pass,7,43,25832,27,Successful,43.8,48.5,43.3,72.5,OpenPlay,False
Pass,7,47,116317,27,Successful,54.7,80.6,55.9,90,OpenPlay,False
Pass,7,48,90000,27,Successful,56.1,86.1,55.9,62.4,OpenPlay,False
Pass,7,51,25832,27,Unsuccessful,55.9,62.4,55.1,48.7,OpenPlay,False
BallRecovery,7,52,44120,13,Successful,45.5,54.9,,,OpenPlay,False
Pass,7,52,44120,13,Successful,45.1,54.5,44.3,49,OpenPlay,False
Pass,7,54,144890,13,Successful,44.4,58.1,38.2,68,OpenPlay,False
Pass,7,55,89401,13,Successful,37.8,68.7,44.1,65.8,OpenPlay,False
Pass,7,56,144890,13,Successful,44.1,65.8,42.2,59.6,OpenPlay,False
Pass,7,58,89401,13,Successful,48.0,51.8,48.1,18.8,OpenPlay,False
Pass,8,2,255169,13,Successful,55.7,17.6,65,6.1,OpenPlay,False
Pass,8,3,239872,13,Successful,65.0,6.1,65.8,17.4,OpenPlay,False
Pass,8,6,342563,13,Unsuccessful,65.0,15.8,64.2,15,OpenPlay,False
BlockedPass,8,6,116317,27,Successful,33.5,79.2,,,OpenPlay,False
Foul,8,9,25832,27,Successful,44.0,67.0,,,OpenPlay,False
Foul,8,9,144890,13,Unsuccessful,56.0,33.0,,,OpenPlay,False
Pass,8,44,11530,27,Successful,42.5,66.5,81.9,26.3,OpenPlay,False
Pass,8,47,73063,27,Successful,81.9,26.3,85.1,36.1,OpenPlay,False
BallTouch,8,50,25832,27,Unsuccessful,85.1,35.9,,,OpenPlay,False
Aerial,8,50,89401,13,Successful,14.6,68.0,,,OpenPlay,False
Aerial,8,50,25832,27,Unsuccessful,85.4,32.0,,,OpenPlay,False
Clearance,8,50,89401,13,Successful,14.3,69.1,22.8,67.3,OpenPlay,False
Pass,8,52,108638,27,Successful,74.1,26.9,82.3,7.3,OpenPlay,False
Pass,8,55,322670,27,Successful,82.3,7.3,86.1,14.5,OpenPlay,False
Pass,8,55,25832,27,Unsuccessful,86.1,14.5,87.2,11.2,OpenPlay,False
BallRecovery,8,56,297403,13,Successful,12.9,87.7,,,OpenPlay,False
Pass,9,2,297403,13,Successful,2.3,91.1,38.7,95,OpenPlay,False
BallTouch,9,7,73078,13,Unsuccessful,38.8,95.1,,,OpenPlay,False
Pass,9,15,75919,27,Successful,66.0,0.0,64.7,9.8,ThrowIn,False
Pass,9,17,108638,27,Successful,64.4,6.8,75.8,4.9,OpenPlay,False
Pass,9,20,322670,27,Successful,76.6,4.7,78.3,20.2,OpenPlay,False
Pass,9,21,116317,27,Successful,78.3,20.2,94.9,18.2,OpenPlay,False
Pass,9,24,322670,27,Unsuccessful,94.9,17.6,95.3,20.2,OpenPlay,False
Clearance,9,24,297403,13,Successful,4.6,84.5,,,OpenPlay,False
CornerAwarded,9,25,297403,13,Unsuccessful,4.4,83.2,,,OpenPlay,False
CornerAwarded,9,25,322670,27,Successful,95.6,16.8,,,OpenPlay,False
Pass,9,47,108638,27,Successful,99.5,0.5,93.2,47.9,CornerTaken,False
Foul,9,52,89401,13,Successful,7.8,51.0,,,OpenPlay,False
Foul,9,52,68393,27,Unsuccessful,92.2,49.0,,,OpenPlay,False
Pass,10,8,27586,13,Successful,13.8,47.2,20.3,18.5,OpenPlay,False
Pass,10,12,255169,13,Successful,46.7,33.7,42.5,57.2,OpenPlay,False
Pass,10,14,89401,13,Successful,45.4,65.8,42.6,78.4,OpenPlay,False
Pass,10,16,297403,13,Successful,41.2,76.4,36,59,OpenPlay,False
Pass,10,20,27586,13,Successful,36.1,53.1,78.7,22.8,OpenPlay,False
Challenge,10,26,137512,27,Unsuccessful,9.2,79.7,,,OpenPlay,False
TakeOn,10,26,239872,13,Successful,90.8,20.3,,,OpenPlay,False
Pass,10,28,239872,13,Successful,98.3,25.0,78.4,52.6,ShotAssist,False
SavedShot,10,32,44120,13,Successful,78.5,53.4,,,OpenPlay,False
Save,10,32,68393,27,Successful,9.2,50.4,,,OpenPlay,False
BallRecovery,10,34,68393,27,Successful,9.4,50.0,,,OpenPlay,False
Pass,10,34,68393,27,Successful,14.5,43.7,28.6,23.5,OpenPlay,False
Pass,10,42,322670,27,Successful,62.3,30.2,89.2,7.3,OpenPlay,False
Pass,10,51,39308,27,Successful,76.6,15.8,80.8,28.1,OpenPlay,False
Pass,10,53,90000,27,Unsuccessful,80.8,28.1,100,17.3,OpenPlay,False
Pass,11,17,102248,13,Successful,4.6,52.4,10.4,49,OpenPlay,False
Pass,11,21,144890,13,Successful,10.5,42.8,18.9,11,OpenPlay,False
Pass,11,25,288795,13,Unsuccessful,30.1,13.9,51.4,45.4,OpenPlay,False
Interception,11,27,68393,27,Successful,48.7,54.2,,,OpenPlay,False
Foul,11,28,116317,27,Successful,58.2,66.0,,,OpenPlay,False
Foul,11,29,73078,13,Unsuccessful,41.8,34.0,,,OpenPlay,False
Pass,11,50,137512,27,Successful,59.9,65.4,90.7,17.9,OpenPlay,False
Pass,11,53,73063,27,Successful,90.1,14.8,71.5,18.4,OpenPlay,False
