Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,29,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,8247,29,Successful,50.0,50.0,46.1,88.9,OpenPlay,False
Pass,0,4,68049,29,Unsuccessful,47.4,89.1,78.6,30.7,OpenPlay,False
Pass,0,7,367185,13,Successful,21.4,71.1,29.5,99.6,OpenPlay,False
BallRecovery,0,10,44120,13,Successful,29.5,99.6,,,OpenPlay,False
Pass,0,11,44120,13,Successful,33.7,98.0,35.7,95.4,OpenPlay,False
Pass,0,12,89401,13,Unsuccessful,35.7,95.4,37.7,96.2,OpenPlay,False
BlockedPass,0,12,390700,29,Successful,63.9,3.5,,,OpenPlay,False
Pass,0,21,367185,13,Successful,35.7,100.0,44.4,97.7,ThrowIn,False
Pass,0,23,44120,13,Successful,42.1,97.7,37.2,92,OpenPlay,False
Pass,0,25,89401,13,Successful,37.2,92.0,32.1,97.7,OpenPlay,False
Pass,0,27,367185,13,Successful,29.9,97.4,9.7,80.6,OpenPlay,False
Pass,0,30,141032,13,Successful,9.4,73.9,9.2,24,OpenPlay,False
Pass,0,36,27586,13,Successful,21.5,25.9,20.3,61.2,OpenPlay,False
Pass,0,41,141032,13,Successful,25.1,56.1,30,30,OpenPlay,False
Pass,0,43,27586,13,Successful,30.0,30.0,28.1,50,OpenPlay,False
Pass,0,45,141032,13,Successful,33.2,50.6,38.9,43.1,OpenPlay,False
Pass,0,47,144890,13,Successful,38.9,43.1,34.8,51.5,OpenPlay,False
Pass,0,48,141032,13,Successful,34.8,51.5,39.1,23.4,OpenPlay,False
Pass,0,52,27586,13,Successful,40.8,14.9,35.2,32.8,OpenPlay,False
Pass,0,56,141032,13,Successful,35.4,39.2,41.5,95.9,OpenPlay,False
Pass,0,59,367185,13,Successful,43.1,96.5,56.3,93.2,OpenPlay,False
Pass,1,1,89401,13,Successful,57.4,94.2,60.3,98.3,OpenPlay,False
Pass,1,2,44120,13,Successful,60.3,98.3,46.2,98.1,OpenPlay,False
Pass,1,4,367185,13,Successful,46.2,98.1,38.8,84.7,OpenPlay,False
