Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,161,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,235755,161,Successful,50.0,50.0,38.7,51.3,OpenPlay,False
Pass,0,2,238244,161,Unsuccessful,37.5,49.9,80.7,12.3,OpenPlay,False
BallRecovery,0,5,297403,13,Successful,18.9,95.3,,,OpenPlay,False
Pass,0,6,297403,13,Unsuccessful,19.4,94.5,37.1,26.1,OpenPlay,False
BallRecovery,0,10,115917,161,Successful,60.1,72.9,,,OpenPlay,False
Pass,0,12,115917,161,Successful,61.1,76.9,45.7,76.1,OpenPlay,False
Pass,0,14,236519,161,Successful,45.7,76.1,35.9,56,OpenPlay,False
Pass,0,17,97710,161,Successful,33.2,51.9,37.2,8.8,OpenPlay,False
Pass,0,24,124106,161,Successful,45.4,23.7,66.5,89.3,OpenPlay,False
Aerial,0,27,124316,13,Unsuccessful,31.6,8.2,,,OpenPlay,False
Aerial,0,27,115917,161,Successful,68.4,91.8,,,OpenPlay,False
Pass,0,28,115917,161,Successful,66.7,89.6,71.4,76.9,OpenPlay,False
Pass,0,31,235755,161,Successful,76.4,75.0,92.5,75,OpenPlay,False
Pass,0,32,115917,161,Unsuccessful,92.5,75.0,92.6,59,OpenPlay,False
Clearance,0,34,328983,13,Successful,7.7,41.6,14.2,30.1,OpenPlay,False
MissedShots,0,35,235755,161,Successful,87.2,72.3,,,OpenPlay,False
Pass,0,51,92173,13,Successful,5.3,56.4,10.5,72.4,OpenPlay,False
Pass,0,58,27586,13,Successful,11.7,75.7,4.9,44.6,OpenPlay,False
Pass,1,3,92173,13,Successful,7.8,42.7,23.8,35.5,OpenPlay,False
Pass,1,5,248109,13,Successful,23.8,35.5,5,23.7,OpenPlay,False
Pass,1,8,22210,13,Successful,6.7,21.9,17.1,5.3,OpenPlay,False
Pass,1,10,124316,13,Successful,18.5,5.8,7.9,19.2,OpenPlay,False
Pass,1,13,22210,13,Unsuccessful,9.5,14.3,65.3,34.9,OpenPlay,False
Pass,1,17,97710,161,Successful,42.8,72.4,46.1,64,OpenPlay,False
Pass,1,18,238244,161,Successful,46.1,64.0,38.4,90,OpenPlay,False
BallRecovery,1,22,236519,161,Successful,37.4,84.8,,,OpenPlay,False
Pass,1,23,236519,161,Successful,41.4,87.7,33.6,29.7,OpenPlay,False
Pass,1,30,124106,161,Successful,36.1,22.1,45.4,4,OpenPlay,False
Pass,1,31,94042,161,Successful,45.4,4.0,24.5,3.5,OpenPlay,False
Pass,1,33,124106,161,Successful,22.9,5.5,3.3,32.8,OpenPlay,False
Pass,1,40,23089,161,Successful,3.7,25.2,44.2,4.1,OpenPlay,False
Pass,1,43,94042,161,Unsuccessful,44.2,4.1,59.4,3.8,OpenPlay,False
Pass,1,44,297403,13,Unsuccessful,39.9,96.9,47.5,99.2,OpenPlay,False
Challenge,1,47,297403,13,Unsuccessful,32.6,93.4,,,OpenPlay,False
TakeOn,1,47,94042,161,Successful,67.4,6.6,,,OpenPlay,False
TakeOn,1,51,94042,161,Unsuccessful,89.4,20.9,,,OpenPlay,False
Pass,1,52,27586,13,Unsuccessful,7.6,79.4,12.5,83.2,OpenPlay,False
Pass,1,55,108186,161,Successful,85.9,6.5,72.1,6.1,OpenPlay,False
Pass,1,57,140088,161,Successful,72.1,6.1,59,23.9,OpenPlay,False
Pass,1,59,238244,161,Successful,61.1,25.2,55.2,75.4,OpenPlay,False
Pass,2,2,236519,161,Successful,55.2,75.4,70.4,90.3,OpenPlay,False
Pass,2,5,115917,161,Successful,70.4,90.3,66.6,73.2,OpenPlay,False
Pass,2,8,16161,161,Successful,64.8,69.4,85.7,7.4,OpenPlay,False
Pass,2,16,140088,161,Unsuccessful,94.0,13.2,89.2,49.9,OpenPlay,False
Aerial,2,17,108186,161,Unsuccessful,89.8,49.2,,,OpenPlay,False
Aerial,2,17,22210,13,Successful,10.2,50.8,,,OpenPlay,False
Clearance,2,18,22210,13,Successful,9.7,51.5,9.8,49.9,OpenPlay,False
BallTouch,2,19,108186,161,Successful,90.5,51.3,,,OpenPlay,False
Pass,2,25,115917,161,Successful,82.3,74.1,78.7,62.9,OpenPlay,False
Pass,2,26,238244,161,Successful,79.7,64.8,88.4,66.7,OpenPlay,False
Pass,2,29,235755,161,Successful,88.4,65.8,87.5,51.6,ShotAssist,False
SavedShot,2,31,94042,161,Successful,85.6,49.0,,,OpenPlay,False
Save,2,31,27586,13,Successful,12.0,53.6,,,OpenPlay,False
BallRecovery,2,34,44120,13,Successful,27.4,83.5,,,OpenPlay,False
Pass,2,38,44120,13,Successful,26.7,94.2,28.1,80.2,OpenPlay,False
Pass,2,39,328983,13,Successful,28.1,80.2,11.6,89.9,OpenPlay,False
Pass,2,40,297403,13,Successful,11.6,89.9,20.9,76.1,OpenPlay,False
Pass,2,43,144890,13,Successful,22.0,75.3,26.1,67.9,OpenPlay,False
Pass,2,44,328983,13,Successful,26.1,67.9,19.3,66.4,OpenPlay,False
Pass,2,47,144890,13,Successful,20.6,47.8,27.6,12.2,OpenPlay,False
Pass,2,51,124316,13,Successful,32.4,5.9,29.6,22.7,OpenPlay,False
Pass,2,55,248109,13,Successful,31.4,27.6,44.6,42.2,OpenPlay,False
Pass,2,56,328983,13,Unsuccessful,44.6,42.2,47.3,46.1,OpenPlay,False
BallRecovery,2,57,238244,161,Successful,54.5,55.2,,,OpenPlay,False
Pass,2,58,238244,161,Successful,54.5,55.2,63.9,49,ShotAssist,False
SavedShot,3,2,108186,161,Successful,75.9,47.6,,,OpenPlay,False
