Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,24,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,0,134172,24,Successful,49.9,50.0,35.2,52.7,OpenPlay,False
Pass,0,2,123167,24,Unsuccessful,35.4,52.7,69.9,10.7,OpenPlay,False
Aerial,0,6,110260,13,Successful,29.8,87.2,,,OpenPlay,False
Aerial,0,6,327685,24,Unsuccessful,70.2,12.8,,,OpenPlay,False
Pass,0,6,110260,13,Unsuccessful,28.7,80.8,42.4,72.4,OpenPlay,False
Pass,0,8,337883,24,Successful,55.6,29.1,55.6,9.7,OpenPlay,False
Pass,0,11,34876,24,Unsuccessful,53.8,2.3,80.8,3.1,OpenPlay,False
Aerial,0,12,110260,13,Successful,28.6,93.4,,,OpenPlay,False
Aerial,0,12,313545,24,Unsuccessful,71.4,6.6,,,OpenPlay,False
Clearance,0,13,110260,13,Successful,18.1,93.5,18.7,100,OpenPlay,False
Pass,0,28,34876,24,Successful,80.2,0.0,94.5,11.1,ThrowIn,False
Pass,0,30,318449,24,Successful,94.9,11.0,82.1,3.2,OpenPlay,False
Pass,0,32,34876,24,Unsuccessful,81.9,2.9,88.2,55.9,OpenPlay,False
Clearance,0,35,288795,13,Successful,8.8,46.0,21.9,48.2,OpenPlay,False
BallRecovery,0,36,345845,13,Successful,23.1,53.3,,,OpenPlay,False
Pass,0,37,345845,13,Successful,22.5,55.5,25.6,64.9,OpenPlay,False
Pass,0,39,144890,13,Successful,28.8,56.6,51.7,32.1,OpenPlay,False
Pass,0,42,73078,13,Successful,55.6,32.2,64.8,13.8,OpenPlay,False
Pass,0,46,69945,13,Unsuccessful,86.4,8.5,88,16.2,OpenPlay,False
BallTouch,0,48,136776,24,Successful,10.3,80.9,,,OpenPlay,False
BallRecovery,0,49,113069,24,Successful,14.8,75.7,,,OpenPlay,False
Pass,0,57,113069,24,Successful,52.9,75.4,55.9,50,OpenPlay,False
Pass,1,0,318449,24,Successful,56.1,50.0,52.1,42.1,OpenPlay,False
Pass,1,4,337883,24,Successful,54.4,34.9,57.9,9.7,OpenPlay,False
Pass,1,8,34876,24,Successful,70.7,8.8,75,2,OpenPlay,False
Pass,1,11,313545,24,Successful,78.4,4.1,84.9,4,OpenPlay,False
Pass,1,14,327685,24,Successful,81.6,2.7,70.1,3.1,OpenPlay,False
Pass,1,16,34876,24,Unsuccessful,74.0,3.4,94.6,48.5,OpenPlay,False
KeeperPickup,1,18,102248,13,Successful,4.7,53.6,,,OpenPlay,False
Pass,1,23,102248,13,Successful,10.8,52.1,9.8,60.6,OpenPlay,False
Pass,1,26,27586,13,Successful,9.8,60.6,4.6,46.6,OpenPlay,False
Pass,1,30,102248,13,Successful,4.3,37.6,7,13.1,OpenPlay,False
Pass,1,33,288795,13,Successful,7.2,12.2,31.9,17.3,OpenPlay,False
Pass,1,34,73078,13,Successful,31.3,17.4,28.8,26.1,OpenPlay,False
Foul,1,36,248109,13,Successful,28.0,31.5,,,OpenPlay,False
Foul,1,36,318449,24,Unsuccessful,72.0,68.5,,,OpenPlay,False
Pass,2,7,27586,13,Unsuccessful,31.1,38.3,93.1,51.9,OpenPlay,False
KeeperPickup,2,12,2987,24,Successful,7.4,44.2,,,OpenPlay,False
