Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,183,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,50.1,49.9,41.7,53.6,OpenPlay,False
Pass,0,3,248109,13,Unsuccessful,42.8,51.2,95.8,17.1,OpenPlay,False
BallRecovery,0,6,302862,183,Successful,6.1,86.5,,,OpenPlay,False
Pass,0,8,302862,183,Unsuccessful,7.2,89.4,40.8,66.1,OpenPlay,False
Pass,0,11,248109,13,Successful,56.4,33.0,70.8,44.9,OpenPlay,False
BallTouch,0,13,73078,13,Unsuccessful,75.1,42.3,,,OpenPlay,False
Clearance,0,14,68662,183,Successful,21.9,51.3,32.6,42.1,OpenPlay,False
BallTouch,0,16,136456,183,Unsuccessful,33.3,40.2,,,OpenPlay,False
Pass,0,17,367185,13,Successful,63.1,61.8,60.6,51.9,OpenPlay,False
Pass,0,19,248109,13,Successful,57.1,55.0,46,39.8,OpenPlay,False
Pass,0,20,22210,13,Successful,46.2,33.9,56.3,8,OpenPlay,False
Pass,0,23,255169,13,Unsuccessful,57.5,6.4,62.2,8,OpenPlay,False
Interception,0,24,81026,183,Successful,35.7,91.3,,,OpenPlay,False
Pass,0,25,13756,13,Successful,67.0,9.5,54.7,26.2,OpenPlay,False
Pass,0,27,248109,13,Successful,53.4,27.6,37.1,27.7,OpenPlay,False
Pass,0,29,22210,13,Successful,37.1,27.7,41,67.9,OpenPlay,False
Pass,0,31,27586,13,Successful,41.7,69.1,61.7,76.9,OpenPlay,False
Foul,0,33,133464,183,Unsuccessful,39.8,18.5,,,OpenPlay,False
Foul,0,33,89401,13,Successful,60.2,81.5,,,OpenPlay,False
Pass,0,46,89401,13,Successful,60.5,88.7,41.3,83.3,OpenPlay,False
Pass,0,50,27586,13,Successful,56.1,90.2,69.6,98.4,OpenPlay,False
Pass,0,52,44120,13,Successful,71.1,98.6,71.1,90.2,OpenPlay,False
Pass,0,53,89401,13,Successful,72.8,90.0,76.1,98.6,OpenPlay,False
Pass,0,54,44120,13,Unsuccessful,76.1,98.6,85.1,74.2,OpenPlay,False
Clearance,0,55,68662,183,Successful,15.7,24.9,35.8,26.1,OpenPlay,False
Pass,0,58,248109,13,Successful,61.5,77.0,56.8,93.3,OpenPlay,False
Pass,1,0,367185,13,Unsuccessful,56.7,92.6,50.5,85.4,OpenPlay,False
Pass,1,1,27586,13,Unsuccessful,51.6,79.0,57.2,87.3,OpenPlay,False
BallTouch,1,2,136456,183,Unsuccessful,44.1,15.9,,,OpenPlay,False
Pass,1,5,27586,13,Unsuccessful,56.6,95.1,57.4,94.7,OpenPlay,False
BlockedPass,1,5,136456,183,Successful,41.9,5.2,,,OpenPlay,False
Pass,1,11,367185,13,Successful,58.4,100.0,38.7,96,ThrowIn,False
Pass,1,14,27586,13,Successful,37.8,93.0,33.6,60.2,OpenPlay,False
Pass,1,18,22210,13,Successful,30.3,49.7,6.4,57.5,OpenPlay,False
Pass,1,26,92173,13,Successful,11.4,54.0,32.3,4.4,OpenPlay,False
Pass,1,29,255169,13,Successful,32.3,4.4,12.4,17.3,OpenPlay,False
Pass,1,32,22210,13,Successful,13.6,17.4,25.7,30.4,OpenPlay,False
Pass,1,34,248109,13,Successful,25.7,30.4,28.3,4.4,OpenPlay,False
Pass,1,37,255169,13,Successful,24.4,5.2,14.6,18,OpenPlay,False
Pass,1,39,22210,13,Successful,15.7,17.0,26.9,28,OpenPlay,False
Pass,1,41,248109,13,Successful,25.5,28.9,12.8,67.5,OpenPlay,False
Pass,1,44,27586,13,Successful,14.1,64.0,31.3,64.3,OpenPlay,False
Pass,1,45,89401,13,Unsuccessful,31.3,64.3,34.7,42.7,OpenPlay,False
BallRecovery,1,47,13846,183,Successful,63.4,51.6,,,OpenPlay,False
Pass,1,48,13846,183,Successful,63.3,51.6,73.3,54.9,OpenPlay,False
Pass,1,49,134115,183,Successful,71.3,54.5,65.2,42.7,OpenPlay,False
Pass,1,51,133464,183,Successful,64.6,41.0,71.5,31.9,OpenPlay,False
Pass,1,53,136456,183,Successful,72.4,28.9,87.4,10.6,OpenPlay,False
Pass,1,57,93160,183,Unsuccessful,80.2,20.7,97.1,47.8,OpenPlay,False
KeeperPickup,1,58,92173,13,Successful,1.8,53.1,,,OpenPlay,False
Pass,2,0,92173,13,Successful,10.0,47.2,27.5,34.5,OpenPlay,False
Pass,2,6,13756,13,Successful,49.5,24.3,66.3,5.8,OpenPlay,False
Challenge,2,13,302862,183,Unsuccessful,25.8,94.0,,,OpenPlay,False
TakeOn,2,13,342564,13,Successful,74.2,6.0,,,OpenPlay,False
Pass,2,16,342564,13,Successful,84.7,18.9,76.1,29.8,OpenPlay,False
Pass,2,19,13756,13,Successful,76.1,29.8,71.3,39.4,OpenPlay,False
Pass,2,21,248109,13,Successful,71.3,46.1,68.3,67.6,OpenPlay,False
Pass,2,23,89401,13,Successful,68.1,68.4,87.6,79.4,OpenPlay,False
Pass,2,25,367185,13,Unsuccessful,96.1,77.6,91.6,55.1,OpenPlay,False
Clearance,2,28,133464,183,Successful,9.3,43.1,19.1,65.5,OpenPlay,False
BallRecovery,2,30,81026,183,Successful,19.3,63.3,,,OpenPlay,False
Dispossessed,2,35,81026,183,Successful,32.6,11.3,,,OpenPlay,False
Tackle,2,35,367185,13,Successful,67.4,88.7,,,OpenPlay,False
BallRecovery,2,36,89401,13,Successful,63.9,83.9,,,OpenPlay,False
Pass,2,37,89401,13,Successful,63.9,83.9,72.7,94.2,OpenPlay,False
Pass,2,40,367185,13,Unsuccessful,75.6,94.1,100,12.3,OpenPlay,False
Pass,3,2,316858,183,Successful,4.6,56.1,5.6,70.7,OpenPlay,False
Pass,3,4,342842,183,Successful,15.3,81.0,17.3,96.2,OpenPlay,False
Pass,3,8,302862,183,Successful,7.8,91.9,2.8,88.5,OpenPlay,False
Pass,3,9,342842,183,Unsuccessful,8.2,83.0,26.4,80.8,OpenPlay,False
BallTouch,3,10,248109,13,Unsuccessful,69.1,14.6,,,OpenPlay,False
Pass,3,12,13846,183,Unsuccessful,31.1,84.1,32.7,84.4,OpenPlay,False
BlockedPass,3,12,248109,13,Successful,67.3,15.6,,,OpenPlay,False
BallRecovery,3,13,248109,13,Successful,69.5,15.0,,,OpenPlay,False
Dispossessed,3,14,248109,13,Successful,69.5,20.1,,,OpenPlay,False
Tackle,3,14,13846,183,Successful,30.5,79.9,,,OpenPlay,False
BallRecovery,3,15,133464,183,Successful,39.3,69.6,,,OpenPlay,False
Pass,3,18,133464,183,Successful,34.8,52.7,29,31.8,OpenPlay,False
Pass,3,20,68662,183,Successful,31.6,27.4,46.3,7.7,OpenPlay,False
Foul,3,24,231080,183,Successful,60.0,5.0,,,OpenPlay,False
Foul,3,24,44120,13,Unsuccessful,40.0,95.0,,,OpenPlay,False
Pass,3,44,231080,183,Successful,56.3,2.1,59.1,5,OpenPlay,False
Pass,3,45,133464,183,Successful,58.6,10.6,46,53.7,OpenPlay,False
Pass,3,48,342842,183,Successful,48.3,58.4,58,84.4,OpenPlay,False
Pass,3,50,302862,183,Successful,58.6,90.8,58.8,82.4,OpenPlay,False
Pass,3,51,13846,183,Unsuccessful,58.4,82.1,69.4,84.2,OpenPlay,False
BallTouch,3,53,255169,13,Successful,31.3,16.3,,,OpenPlay,False
BallRecovery,3,54,342564,13,Successful,29.6,5.9,,,OpenPlay,False
Pass,3,56,342564,13,Unsuccessful,30.0,5.0,70.4,5,OpenPlay,False
BallRecovery,4,0,342842,183,Successful,34.1,93.3,,,OpenPlay,False
Pass,4,4,342842,183,Successful,37.0,74.1,36,36.9,OpenPlay,False
Pass,4,8,68662,183,Successful,43.7,21.2,47.1,5.8,OpenPlay,False
Pass,4,10,231080,183,Successful,44.0,3.8,27.1,19.7,OpenPlay,False
Pass,4,14,68662,183,Successful,29.8,24.9,29.9,62.4,OpenPlay,False
Pass,4,20,342842,183,Successful,22.8,50.0,7.7,43.1,OpenPlay,False
Pass,4,23,316858,183,Successful,9.8,40.4,54.7,53,OpenPlay,False
Pass,4,27,134115,183,Successful,54.5,53.0,51.3,66.9,OpenPlay,False
Pass,4,28,13846,183,Unsuccessful,51.6,66.3,54.4,60.8,OpenPlay,False
Aerial,4,29,134115,183,Unsuccessful,54.6,62.8,,,OpenPlay,False
Aerial,4,29,248109,13,Successful,45.4,37.2,,,OpenPlay,False
Pass,4,30,248109,13,Unsuccessful,44.8,36.1,49.9,45.5,OpenPlay,False
Pass,4,31,133464,183,Successful,51.3,51.2,66,82.3,OpenPlay,False
Pass,4,37,13846,183,Successful,76.6,81.6,80.2,95,OpenPlay,False
Pass,4,42,81026,183,Successful,81.9,88.3,86.8,66.6,OpenPlay,False
Pass,4,45,136456,183,Successful,82.1,62.0,86.2,50.3,OpenPlay,False
Pass,4,46,134115,183,Successful,85.0,49.5,88.9,40.8,BigChanceCreated,False
SavedShot,4,47,93160,183,Successful,89.9,36.9,,,OpenPlay,False
Save,4,47,22210,13,Successful,7.0,59.4,,,OpenPlay,False
Pass,4,59,231080,183,Successful,94.9,0.0,82.8,4.9,ThrowIn,False
Pass,5,1,133464,183,Unsuccessful,87.9,4.4,89.1,8.5,OpenPlay,False
Clearance,5,1,73078,13,Successful,13.6,95.6,13.6,95.6,OpenPlay,False
CornerAwarded,5,3,133464,183,Successful,86.8,5.4,,,OpenPlay,False
CornerAwarded,5,3,73078,13,Unsuccessful,13.2,94.6,,,OpenPlay,False
Pass,5,25,93160,183,Unsuccessful,99.5,0.5,93.4,44.5,CornerTaken,False
Aerial,5,27,68662,183,Unsuccessful,93.1,42.6,,,OpenPlay,False
Aerial,5,27,27586,13,Successful,6.9,57.4,,,OpenPlay,False
Clearance,5,28,27586,13,Successful,7.2,59.4,22.8,65.5,OpenPlay,False
Pass,5,30,136456,183,Unsuccessful,77.5,37.0,89.7,49.3,OpenPlay,False
Aerial,5,31,68662,183,Unsuccessful,91.3,48.2,,,OpenPlay,False
Aerial,5,31,92173,13,Successful,8.7,51.8,,,OpenPlay,False
Claim,5,32,92173,13,Successful,7.8,52.8,,,OpenPlay,False
Pass,5,36,92173,13,Successful,11.2,54.5,29.4,75.3,OpenPlay,False
Pass,5,38,89401,13,Successful,32.5,78.1,47.7,78.1,OpenPlay,False
Pass,5,40,13756,13,Successful,49.6,78.1,70.7,54.3,OpenPlay,False
BallTouch,5,45,73078,13,Unsuccessful,86.8,48.8,,,OpenPlay,False
BallRecovery,5,46,231080,183,Successful,9.4,56.4,,,OpenPlay,False
Pass,5,47,231080,183,Successful,9.4,56.4,7.7,60.6,OpenPlay,False
Pass,5,48,302862,183,Unsuccessful,7.8,60.6,8.8,63.3,OpenPlay,False
BlockedPass,5,48,342564,13,Successful,91.7,35.9,,,OpenPlay,False
Pass,6,15,316858,183,Successful,4.8,47.4,15.5,22.3,OpenPlay,False
Pass,6,18,68662,183,Successful,14.3,22.5,28.5,2.3,OpenPlay,False
Pass,6,21,231080,183,Successful,22.3,6.4,15.3,11,OpenPlay,False
Pass,6,22,68662,183,Unsuccessful,14.7,11.8,56.4,23.1,OpenPlay,False
Aerial,6,25,134115,183,Unsuccessful,57.3,21.4,,,OpenPlay,False
Aerial,6,25,27586,13,Successful,42.7,78.6,,,OpenPlay,False
Pass,6,26,27586,13,Unsuccessful,41.6,80.8,61,87.5,OpenPlay,False
Pass,6,28,136456,183,Successful,37.6,18.0,37.7,35.5,OpenPlay,False
Pass,6,30,133464,183,Successful,40.5,39.7,44.8,73.5,OpenPlay,False
Pass,6,33,302862,183,Successful,48.1,75.1,62.5,94.2,OpenPlay,False
Pass,6,37,81026,183,Successful,68.4,87.7,74.7,93.2,OpenPlay,False
Pass,6,40,302862,183,Successful,73.7,94.5,64.3,87.7,OpenPlay,False
Pass,6,42,133464,183,Successful,63.1,84.8,68.5,66.6,OpenPlay,False
Pass,6,45,136456,183,Unsuccessful,71.5,71.5,75.6,73.8,OpenPlay,False
BlockedPass,6,45,248109,13,Successful,30.0,25.5,,,OpenPlay,False
BallRecovery,6,47,248109,13,Successful,31.1,23.9,,,OpenPlay,False
Pass,6,47,248109,13,Successful,31.1,23.9,36.9,28.8,OpenPlay,False
Pass,6,48,13756,13,Successful,37.4,29.1,46.7,40.3,OpenPlay,False
Pass,6,49,73078,13,Unsuccessful,46.7,40.3,71.5,0,OpenPlay,False
Pass,7,12,302862,183,Successful,26.6,100.0,38.5,95.7,ThrowIn,False
Pass,7,14,13846,183,Successful,38.4,95.7,33.6,96.3,OpenPlay,False
Pass,7,15,302862,183,Unsuccessful,33.2,95.7,41.9,84.5,OpenPlay,False
Pass,7,16,248109,13,Unsuccessful,64.1,18.6,75.1,34.6,OpenPlay,False
Pass,7,18,133464,183,Successful,27.5,68.5,32.9,61.8,OpenPlay,False
Pass,7,20,136456,183,Successful,32.3,55.2,34.7,33.6,OpenPlay,False
Pass,7,23,231080,183,Successful,45.3,28.6,58.5,6.4,OpenPlay,False
Pass,7,25,93160,183,Successful,59.0,4.6,55.7,25.6,OpenPlay,False
Pass,7,28,136456,183,Unsuccessful,57.2,23.9,74.5,28.5,OpenPlay,False
BallRecovery,7,30,22210,13,Successful,24.8,69.4,,,OpenPlay,False
Pass,7,31,22210,13,Successful,25.3,70.2,34,78.7,OpenPlay,False
Pass,7,38,89401,13,Successful,47.7,54.2,60.7,14,OpenPlay,False
Pass,7,42,342564,13,Successful,66.3,15.3,70.3,33.3,OpenPlay,False
Pass,7,44,13756,13,Successful,67.8,38.3,63.5,64.2,OpenPlay,False
Pass,7,46,89401,13,Successful,63.5,64.2,53.5,39.5,OpenPlay,False
Pass,7,47,248109,13,Successful,53.7,34.3,57.1,8.6,OpenPlay,False
Pass,7,51,255169,13,Successful,55.0,12.9,58.8,30.3,OpenPlay,False
Pass,7,53,248109,13,Successful,52.0,32.1,32,42.7,OpenPlay,False
Pass,7,57,22210,13,Successful,33.3,43.4,43.6,47.8,OpenPlay,False
Pass,7,59,248109,13,Successful,37.6,47.6,29.5,38.3,OpenPlay,False
Pass,8,1,22210,13,Successful,29.5,34.6,33.5,7.4,OpenPlay,False
Pass,8,3,255169,13,Successful,30.1,9.8,8.7,50,OpenPlay,False
Pass,8,7,92173,13,Successful,8.7,50.0,8.5,25.8,OpenPlay,False
Pass,8,10,22210,13,Successful,8.6,26.4,22.7,36.6,OpenPlay,False
Pass,8,11,248109,13,Successful,23.2,35.2,44.7,21,OpenPlay,False
Pass,8,18,13756,13,Successful,75.8,44.6,91.6,74.4,OpenPlay,False
Pass,8,19,367185,13,Unsuccessful,91.6,74.4,97,57.5,OpenPlay,False
KeeperPickup,8,23,316858,183,Successful,2.5,43.9,,,OpenPlay,False
Pass,8,40,316858,183,Successful,12.8,45.4,10.3,63.9,OpenPlay,False
Pass,8,42,342842,183,Successful,25.9,60.6,22.6,27,OpenPlay,False
Pass,8,44,68662,183,Successful,22.5,26.5,33.4,7.1,OpenPlay,False
Pass,8,49,231080,183,Successful,63.8,7.3,60.1,24,OpenPlay,False
Pass,8,52,136456,183,Successful,58.8,24.1,60.8,57.3,OpenPlay,False
Pass,8,53,13846,183,Successful,61.0,57.2,45.8,51.6,OpenPlay,False
Pass,8,56,342842,183,Successful,46.2,52.2,57.9,84.4,OpenPlay,False
Pass,8,58,302862,183,Successful,63.7,89.9,71.1,94.4,OpenPlay,False
Pass,8,59,81026,183,Successful,71.0,94.2,65.8,90.9,OpenPlay,False
Pass,9,3,302862,183,Successful,61.2,90.8,53.4,82.4,OpenPlay,False
Pass,9,6,133464,183,Unsuccessful,52.5,78.7,100,7.4,OpenPlay,False
Pass,9,52,92173,13,Unsuccessful,5.0,52.8,69.2,57,OpenPlay,False
Aerial,9,56,73078,13,Unsuccessful,69.3,57.2,,,OpenPlay,False
Aerial,9,56,68662,183,Successful,30.7,42.8,,,OpenPlay,False
Pass,9,57,68662,183,Unsuccessful,29.9,43.1,30.4,37.4,OpenPlay,False
Pass,9,59,44120,13,Successful,70.4,60.3,68.8,63,OpenPlay,False
Pass,10,0,73078,13,Successful,68.8,63.0,61.4,63,OpenPlay,False
Pass,10,2,89401,13,Successful,61.4,63.0,71.7,63.1,OpenPlay,False
Pass,10,3,73078,13,Successful,71.7,63.1,67.8,63.1,OpenPlay,False
Pass,10,5,89401,13,Successful,67.6,60.9,63.6,42.7,OpenPlay,False
Pass,10,6,248109,13,Successful,63.6,42.7,70.9,8.6,OpenPlay,False
Pass,10,10,255169,13,Successful,72.0,8.3,72.1,25.5,OpenPlay,False
Pass,10,11,248109,13,Unsuccessful,72.1,25.6,74.8,25.6,OpenPlay,False
BallTouch,10,12,13846,183,Successful,30.1,70.0,,,OpenPlay,False
BallRecovery,10,14,342842,183,Successful,23.3,65.4,,,OpenPlay,False
Pass,10,15,342842,183,Successful,23.3,65.4,39.4,66,OpenPlay,False
BallTouch,10,16,134115,183,Unsuccessful,40.6,65.8,,,OpenPlay,False
BallRecovery,10,17,22210,13,Successful,34.9,49.4,,,OpenPlay,False
Pass,10,18,22210,13,Successful,34.9,49.4,47.7,68.4,OpenPlay,False
Pass,10,22,27586,13,Successful,50.2,64.6,52.1,49.7,OpenPlay,False
Pass,10,24,248109,13,Successful,45.3,48.7,34.2,53.1,OpenPlay,False
Pass,10,26,22210,13,Successful,33.8,53.4,42,67,OpenPlay,False
Pass,10,29,27586,13,Successful,44.1,55.7,67.4,27.3,OpenPlay,False
Pass,10,34,13756,13,Successful,74.9,37.9,93.2,26.4,OpenPlay,False
Pass,10,38,342564,13,Successful,88.4,17.9,84.5,25.5,OpenPlay,False
Pass,10,40,13756,13,Successful,83.8,26.5,86.7,41.3,ShotAssist,False
MissedShots,10,42,73078,13,Successful,86.9,42.5,,,OpenPlay,False
Pass,11,10,316858,183,Successful,5.0,46.4,9.5,74.7,OpenPlay,False
Pass,11,13,342842,183,Successful,11.0,76.1,2.6,53.1,OpenPlay,False
Pass,11,17,316858,183,Successful,8.0,42.7,11.5,22.1,OpenPlay,False
Pass,11,20,68662,183,Successful,21.9,14.7,38.7,2.9,OpenPlay,False
Pass,11,23,231080,183,Unsuccessful,46.8,3.1,54.3,4.9,OpenPlay,False
BallRecovery,11,25,367185,13,Successful,45.0,97.7,,,OpenPlay,False
Pass,11,26,367185,13,Unsuccessful,45.0,97.7,59.5,94.7,OpenPlay,False
BallRecovery,11,27,231080,183,Successful,39.7,15.8,,,OpenPlay,False
Pass,11,28,231080,183,Successful,39.3,15.8,32.6,32.2,OpenPlay,False
Pass,11,29,133464,183,Successful,32.2,36.9,40.9,54,OpenPlay,False
Pass,11,33,13846,183,Successful,39.0,35.5,45.6,26.1,OpenPlay,False
Pass,11,34,136456,183,Successful,42.9,25.8,30.5,18.9,OpenPlay,False
Pass,11,36,68662,183,Successful,30.5,18.3,57.6,4.1,OpenPlay,False
Pass,11,39,231080,183,Successful,63.5,5.5,71.4,20.9,OpenPlay,False
Pass,11,40,134115,183,Unsuccessful,71.4,20.9,82.7,17.7,OpenPlay,False
Interception,11,41,367185,13,Successful,19.1,88.6,,,OpenPlay,False
Pass,11,42,93160,183,Unsuccessful,91.8,14.9,91.7,18.8,OpenPlay,False
Clearance,11,42,27586,13,Successful,8.0,82.3,8,82.3,OpenPlay,False
MissedShots,11,45,134115,183,Successful,83.9,44.3,,,OpenPlay,False
Pass,12,4,92173,13,Unsuccessful,3.8,58.5,36,96.9,OpenPlay,False
BallTouch,12,6,136456,183,Successful,71.2,5.3,,,OpenPlay,False
Pass,12,15,367185,13,Successful,31.0,100.0,35.2,92.1,ThrowIn,False
Pass,12,16,89401,13,Successful,35.2,92.1,31.4,96.8,OpenPlay,False
Pass,12,17,367185,13,Successful,31.4,96.8,39.2,98.4,OpenPlay,False
Pass,12,18,44120,13,Successful,39.2,98.4,36.6,95.7,OpenPlay,False
Pass,12,19,89401,13,Unsuccessful,38.0,95.6,39.2,94.6,OpenPlay,False
BallTouch,12,20,133464,183,Successful,65.1,6.8,,,OpenPlay,False
Pass,12,21,44120,13,Successful,40.2,98.4,47.3,90,OpenPlay,False
Pass,12,22,73078,13,Successful,47.3,90.0,41,81.8,OpenPlay,False
Pass,12,23,89401,13,Successful,41.0,81.8,53.3,53.9,OpenPlay,False
