Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,211,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,50.1,49.9,28.6,33.5,OpenPlay,False
Pass,0,3,80921,13,Unsuccessful,29.1,33.2,71.3,81.6,OpenPlay,False
Pass,0,7,79442,211,Successful,29.8,15.3,32.7,33.1,OpenPlay,False
Aerial,0,9,77429,211,Successful,30.4,37.8,,,OpenPlay,False
Aerial,0,9,73078,13,Unsuccessful,69.6,62.2,,,OpenPlay,False
BallTouch,0,10,77429,211,Successful,32.1,37.4,,,OpenPlay,False
BallRecovery,0,12,303096,211,Successful,32.4,56.9,,,OpenPlay,False
Pass,0,13,303096,211,Unsuccessful,36.0,73.5,42.3,84.8,OpenPlay,False
BallRecovery,0,14,125211,13,Successful,56.4,7.6,,,OpenPlay,False
Pass,0,15,125211,13,Unsuccessful,56.7,7.4,61,6.1,OpenPlay,False
BlockedPass,0,15,82277,211,Successful,41.5,93.6,,,OpenPlay,False
BallRecovery,0,19,119822,211,Successful,57.4,84.1,,,OpenPlay,False
Pass,0,19,119822,211,Successful,57.3,83.1,46.9,85.9,OpenPlay,False
Pass,0,21,318153,211,Successful,54.3,94.2,45,97.7,OpenPlay,False
Pass,0,22,82277,211,Unsuccessful,43.4,97.3,45,72.3,OpenPlay,False
Pass,0,23,73078,13,Successful,58.2,28.7,42.8,26.6,OpenPlay,False
BallRecovery,0,23,73078,13,Successful,58.2,28.7,,,OpenPlay,False
Pass,0,27,328983,13,Successful,62.4,22.1,90.1,11.5,OpenPlay,False
Pass,0,31,239872,13,Successful,90.8,11.5,96,55.4,ShotAssist,False
MissedShots,0,34,44120,13,Successful,95.6,53.8,,,OpenPlay,False
BallTouch,0,34,109922,211,Successful,3.3,49.9,,,OpenPlay,False
BallRecovery,0,36,77429,211,Successful,14.4,38.2,,,OpenPlay,False
Pass,0,37,77429,211,Successful,27.9,31.6,51.1,13.2,OpenPlay,False
Pass,0,47,113994,211,Successful,76.9,34.5,77.7,66.3,ShotAssist,False
Save,0,52,328983,13,Successful,22.5,32.9,,,OpenPlay,False
SavedShot,0,52,119822,211,Successful,77.4,62.6,,,OpenPlay,False
BallRecovery,0,54,367185,13,Successful,26.6,33.4,,,OpenPlay,False
Pass,0,54,367185,13,Unsuccessful,27.6,32.9,29.7,34.1,OpenPlay,False
BlockedPass,0,54,77429,211,Successful,69.5,51.5,,,OpenPlay,False
Pass,0,55,77429,211,Successful,67.7,57.2,62.4,63,OpenPlay,False
BallRecovery,0,57,303096,211,Successful,57.9,63.9,,,OpenPlay,False
Pass,0,57,303096,211,Successful,56.7,64.0,46,46.7,OpenPlay,False
Pass,1,1,109922,211,Successful,45.7,46.3,46.6,64.6,OpenPlay,False
