Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,184,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,49.9,50.1,28.9,47.9,OpenPlay,False
Pass,0,3,27586,13,Unsuccessful,30.9,48.7,85.5,76.3,OpenPlay,False
Clearance,0,7,80067,184,Successful,13.2,22.8,23.5,12,OpenPlay,False
BallTouch,0,11,73078,13,Successful,80.6,91.2,,,OpenPlay,False
Pass,0,12,44120,13,Successful,84.2,94.5,74.4,96.3,OpenPlay,False
Pass,0,14,367185,13,Successful,74.4,96.3,71,86,OpenPlay,False
Pass,0,15,89401,13,Successful,71.1,84.7,50,84.7,OpenPlay,False
Pass,0,17,27586,13,Unsuccessful,58.8,87.8,65.4,88,OpenPlay,False
Interception,0,18,86454,184,Successful,35.4,14.3,,,OpenPlay,False
Pass,0,19,89401,13,Successful,56.1,71.7,43.9,56.4,OpenPlay,False
Pass,0,25,80921,13,Successful,60.2,26.2,54.1,5,OpenPlay,False
Pass,0,27,125211,13,Successful,54.3,5.0,63.3,0.1,OpenPlay,False
Pass,0,29,380706,13,Successful,62.6,0.1,47.9,2.6,OpenPlay,False
Pass,0,30,125211,13,Successful,47.9,2.6,36.8,15.2,OpenPlay,False
Pass,0,33,80921,13,Successful,35.4,17.9,14.1,55.7,OpenPlay,False
Pass,0,37,92173,13,Successful,14.1,55.7,21.9,51.6,OpenPlay,False
Pass,0,40,328983,13,Successful,20.9,60.5,5.4,53.9,OpenPlay,False
Pass,0,43,92173,13,Successful,5.0,50.4,5.3,24.4,OpenPlay,False
Pass,0,45,80921,13,Successful,5.3,23.0,20.7,2,OpenPlay,False
Pass,0,46,125211,13,Successful,20.7,2.0,34.6,5.9,OpenPlay,False
Pass,0,49,13756,13,Successful,36.4,4.3,34,15.9,OpenPlay,False
Pass,0,51,328983,13,Successful,34.0,15.9,32.1,11,OpenPlay,False
Pass,0,52,125211,13,Successful,32.1,11.0,20.4,63.3,OpenPlay,False
Pass,1,0,27586,13,Successful,34.1,76.1,27.6,53.7,OpenPlay,False
Pass,1,3,80921,13,Successful,27.6,52.4,52.8,32.1,OpenPlay,False
Pass,1,7,13756,13,Successful,65.0,42.1,80.1,84.2,OpenPlay,False
Pass,1,12,44120,13,Successful,89.2,79.6,91,49.3,ShotAssist,False
MissedShots,1,13,73078,13,Successful,91.0,49.3,,,OpenPlay,False
Pass,1,50,105720,184,Successful,4.7,57.9,58.9,69.6,OpenPlay,False
Pass,1,52,33891,184,Unsuccessful,60.1,70.8,64.8,70.2,OpenPlay,False
BallTouch,1,53,80921,13,Successful,39.1,24.1,,,OpenPlay,False
BallTouch,1,59,357427,184,Successful,83.0,98.1,,,OpenPlay,False
Pass,2,1,107462,184,Successful,98.3,90.5,87,42.7,ShotAssist,False
Aerial,2,2,367185,13,Unsuccessful,11.6,56.8,,,OpenPlay,False
Aerial,2,2,86454,184,Successful,88.4,43.2,,,OpenPlay,False
MissedShots,2,3,86454,184,Successful,87.9,43.3,,,OpenPlay,False
BallTouch,2,3,367185,13,Successful,9.7,55.1,,,OpenPlay,False
BallRecovery,2,4,44120,13,Successful,17.7,70.6,,,OpenPlay,False
TakeOn,2,5,44120,13,Unsuccessful,24.4,73.9,,,OpenPlay,False
Tackle,2,5,80067,184,Unsuccessful,75.6,26.1,,,OpenPlay,False
BallTouch,2,6,44120,13,Successful,20.4,71.8,,,OpenPlay,False
Pass,2,8,89401,13,Successful,21.6,63.9,35.1,34.6,OpenPlay,False
Pass,2,11,13756,13,Successful,37.2,33.4,51.4,10.2,OpenPlay,False
Pass,2,23,380706,13,Successful,85.8,2.5,83,10.3,OpenPlay,False
Pass,2,25,13756,13,Successful,83.0,10.3,70.2,5.2,OpenPlay,False
Pass,2,27,125211,13,Successful,70.0,7.7,61,38.9,OpenPlay,False
Pass,2,29,89401,13,Successful,64.2,50.7,79.1,92.9,OpenPlay,False
Pass,2,32,367185,13,Unsuccessful,88.9,89.1,96.3,37.7,OpenPlay,False
Clearance,2,35,107462,184,Successful,5.0,60.6,0,76.7,OpenPlay,False
CornerAwarded,2,36,107462,184,Unsuccessful,1.2,69.5,,,OpenPlay,False
CornerAwarded,2,36,367185,13,Successful,98.8,30.5,,,OpenPlay,False
Pass,3,6,13756,13,Successful,99.5,0.5,96.5,24,CornerTaken,False
Pass,3,8,73078,13,Successful,96.5,24.0,84.5,7.7,OpenPlay,False
Pass,3,9,13756,13,Successful,84.5,7.7,74.1,29.2,OpenPlay,False
Pass,3,11,89401,13,Successful,73.7,29.7,66.6,43.7,OpenPlay,False
Pass,3,13,125211,13,Successful,66.6,43.7,72.3,70,OpenPlay,False
Pass,3,15,367185,13,Successful,72.9,72.9,79.3,96.8,OpenPlay,False
Pass,3,18,328983,13,Unsuccessful,78.3,93.6,92.1,51.9,OpenPlay,False
Aerial,3,20,380706,13,Unsuccessful,91.4,53.8,,,OpenPlay,False
Aerial,3,20,94935,184,Successful,8.6,46.2,,,OpenPlay,False
Clearance,3,21,94935,184,Successful,9.2,44.3,4.5,0,OpenPlay,False
Pass,3,37,367185,13,Successful,95.3,100.0,87.2,93.3,ThrowIn,False
Pass,3,39,89401,13,Successful,87.2,93.3,91.7,98.3,OpenPlay,False
Challenge,3,43,86454,184,Unsuccessful,12.0,2.2,,,OpenPlay,False
TakeOn,3,43,367185,13,Successful,88.0,97.8,,,OpenPlay,False
Foul,3,44,80067,184,Unsuccessful,8.0,9.5,,,OpenPlay,False
Foul,3,44,367185,13,Successful,92.0,90.5,,,OpenPlay,False
Pass,4,46,13756,13,Unsuccessful,92.2,89.1,92.2,50.3,OpenPlay,False
Aerial,4,48,27586,13,Unsuccessful,91.8,51.3,,,OpenPlay,False
Aerial,4,48,131464,184,Successful,8.2,48.7,,,OpenPlay,False
Clearance,4,49,131464,184,Successful,8.7,47.6,20.8,63,OpenPlay,False
Pass,4,51,328983,13,Unsuccessful,79.4,35.7,83.3,49.6,OpenPlay,False
Foul,4,53,33891,184,Successful,17.8,51.2,,,OpenPlay,False
Foul,4,53,80921,13,Unsuccessful,82.2,48.8,,,OpenPlay,False
OffsideGiven,5,,73380,184,Unsuccessful,71.1,81.2,,,OpenPlay,False
Pass,5,6,105720,184,Successful,18.8,52.1,26.7,77.6,OpenPlay,False
Pass,5,9,107462,184,Unsuccessful,31.3,79.4,72.5,79.9,OpenPlay,False
Aerial,5,12,73380,184,Unsuccessful,72.8,80.7,,,OpenPlay,False
Aerial,5,12,80921,13,Successful,27.2,19.3,,,OpenPlay,False
Pass,5,13,80921,13,Unsuccessful,26.8,18.5,36.6,10.6,OpenPlay,False
Pass,5,16,22847,184,Successful,70.3,93.0,65,97.8,OpenPlay,False
Pass,5,18,357427,184,Successful,64.0,97.8,51.1,96.9,OpenPlay,False
Pass,5,21,107462,184,Successful,45.8,96.2,36.2,79.7,OpenPlay,False
OffsidePass,5,24,94935,184,Successful,38.6,80.9,71.1,81.2,OpenPlay,False
OffsideProvoked,5,24,80921,13,Successful,35.0,31.5,,,OpenPlay,False
Pass,5,50,125211,13,Successful,32.8,16.5,26.4,36.4,OpenPlay,False
Pass,5,54,80921,13,Unsuccessful,30.0,43.0,59,89.7,OpenPlay,False
Pass,5,58,80067,184,Successful,40.5,12.9,57.1,33.1,OpenPlay,False
Pass,6,1,33891,184,Successful,57.1,33.1,52.5,33.3,OpenPlay,False
Interception,6,2,328983,13,Successful,44.6,60.8,,,OpenPlay,False
Pass,6,2,79050,184,Unsuccessful,52.5,33.3,55.7,38.9,OpenPlay,False
Pass,6,3,328983,13,Unsuccessful,47.4,53.0,54,46.9,OpenPlay,False
Dispossessed,6,5,22847,184,Successful,46.6,53.0,,,OpenPlay,False
Tackle,6,5,73078,13,Successful,53.4,47.0,,,OpenPlay,False
Pass,6,7,328983,13,Unsuccessful,48.1,45.7,48.1,44.9,OpenPlay,False
BlockedPass,6,7,357427,184,Successful,51.9,56.4,,,OpenPlay,False
Pass,6,8,125211,13,Successful,35.2,33.1,43.9,42.5,OpenPlay,False
Pass,6,10,89401,13,Successful,43.9,42.5,37.1,29.7,OpenPlay,False
Pass,6,11,125211,13,Successful,37.1,29.7,48.8,5.8,OpenPlay,False
Pass,6,16,13756,13,Successful,63.6,19.4,72.6,40,OpenPlay,False
Dispossessed,6,18,44120,13,Successful,72.4,43.8,,,OpenPlay,False
Tackle,6,18,79050,184,Unsuccessful,27.6,56.2,,,OpenPlay,False
Pass,6,19,44120,13,Successful,73.9,42.9,67.4,52.4,OpenPlay,False
Pass,6,20,89401,13,Successful,71.0,60.6,77.3,83.6,OpenPlay,False
Pass,6,22,367185,13,Unsuccessful,80.8,83.8,95,48.7,OpenPlay,False
Clearance,6,25,94935,184,Successful,4.5,50.4,5.9,52.2,OpenPlay,False
KeeperPickup,6,28,105720,184,Successful,5.9,52.2,,,OpenPlay,False
Pass,6,30,105720,184,Successful,15.5,47.6,59.9,89.7,OpenPlay,False
Pass,6,35,73380,184,Successful,56.8,92.7,46.3,92.1,OpenPlay,False
TakeOn,6,41,357427,184,Unsuccessful,60.0,63.0,,,OpenPlay,False
Tackle,6,41,380706,13,Successful,40.0,37.0,,,OpenPlay,False
BallRecovery,6,42,89401,13,Successful,37.7,49.1,,,OpenPlay,False
Pass,6,43,89401,13,Successful,37.7,49.1,50.4,41.5,OpenPlay,False
TakeOn,6,45,380706,13,Unsuccessful,52.4,42.1,,,OpenPlay,False
Tackle,6,45,22847,184,Successful,47.6,57.9,,,OpenPlay,False
Tackle,6,47,380706,13,Unsuccessful,54.2,42.1,,,OpenPlay,False
Dispossessed,6,47,22847,184,Successful,45.8,57.9,,,OpenPlay,False
BallRecovery,6,48,357427,184,Successful,47.5,49.4,,,OpenPlay,False
Pass,6,49,357427,184,Successful,47.5,49.4,43.4,45.5,OpenPlay,False
Pass,6,50,79050,184,Successful,43.4,45.5,39.4,20.1,OpenPlay,False
Pass,6,54,80067,184,Successful,41.3,30.9,35.1,54.5,OpenPlay,False
Pass,6,56,94935,184,Successful,36.0,57.9,47.3,93.8,OpenPlay,False
BallTouch,6,57,107462,184,Unsuccessful,46.8,92.5,,,OpenPlay,False
Pass,7,14,125211,13,Successful,45.7,0.0,55.9,4.3,ThrowIn,False
Pass,7,15,13756,13,Unsuccessful,55.9,4.3,39.6,0,OpenPlay,False
Pass,7,35,107462,184,Successful,59.1,100.0,55.2,92.9,ThrowIn,False
Pass,7,36,22847,184,Successful,55.2,92.9,57.1,99.2,OpenPlay,False
Pass,7,37,107462,184,Successful,57.1,99.2,38.7,91.7,OpenPlay,False
Pass,7,40,94935,184,Successful,33.4,78.8,31.4,49.4,OpenPlay,False
Pass,7,44,131464,184,Successful,32.1,37.4,35.9,31,OpenPlay,False
Pass,7,47,79050,184,Successful,37.3,25.5,60.6,5.2,OpenPlay,False
Pass,7,49,80067,184,Successful,60.6,5.2,58,15.9,OpenPlay,False
Pass,7,50,86454,184,Unsuccessful,57.7,21.5,57.2,45.4,OpenPlay,False
Interception,7,52,13756,13,Successful,44.8,57.3,,,OpenPlay,False
BallRecovery,7,54,328983,13,Successful,35.8,50.4,,,OpenPlay,False
Pass,7,56,328983,13,Successful,44.4,47.2,54.6,56.6,OpenPlay,False
Pass,7,57,73078,13,Unsuccessful,54.6,56.6,42.8,59.7,OpenPlay,False
BallRecovery,8,0,33891,184,Successful,57.2,43.0,,,OpenPlay,False
Pass,8,1,33891,184,Successful,62.4,47.2,75.9,67.5,OpenPlay,False
Pass,8,6,73380,184,Unsuccessful,88.4,65.7,89.5,42.7,OpenPlay,False
BallTouch,8,7,89401,13,Successful,10.9,53.0,,,OpenPlay,False
BallRecovery,8,8,13756,13,Successful,11.9,46.9,,,OpenPlay,False
Pass,8,9,13756,13,Successful,11.9,46.9,11.9,70.5,OpenPlay,False
Pass,8,16,367185,13,Successful,27.5,90.0,16.5,83.9,OpenPlay,False
Pass,8,19,27586,13,Successful,16.2,83.8,7.7,56.3,OpenPlay,False
Pass,8,21,92173,13,Successful,7.9,53.9,18.3,46.6,OpenPlay,False
Pass,8,25,328983,13,Successful,14.9,44.3,35.1,44.6,OpenPlay,False
Pass,8,31,13756,13,Successful,60.2,63.3,70.5,67.2,OpenPlay,False
Pass,8,33,44120,13,Successful,70.5,67.2,66.3,83.2,OpenPlay,False
Pass,8,37,13756,13,Successful,72.6,88.4,68.7,67.2,OpenPlay,False
Pass,8,39,89401,13,Successful,69.0,65.8,74.5,23.9,OpenPlay,False
Pass,8,46,380706,13,Unsuccessful,99.4,18.2,91.5,18.2,OpenPlay,False
BallRecovery,8,49,357427,184,Successful,11.7,83.2,,,OpenPlay,False
Pass,8,52,357427,184,Successful,27.5,92.0,51.4,93.8,OpenPlay,False
BallTouch,8,54,33891,184,Unsuccessful,50.9,93.9,,,OpenPlay,False
Pass,9,4,125211,13,Successful,52.1,0.0,39.2,8.6,ThrowIn,False
Pass,9,6,80921,13,Successful,38.8,11.0,35.8,59.1,OpenPlay,False
Pass,9,8,27586,13,Successful,36.8,61.2,43.9,77,OpenPlay,False
Pass,9,12,89401,13,Successful,46.4,74.8,40.5,61.5,OpenPlay,False
Pass,9,14,27586,13,Successful,45.9,52.4,77.1,1.3,OpenPlay,False
BallTouch,9,18,380706,13,Unsuccessful,77.1,1.3,,,OpenPlay,False
Pass,9,40,107462,184,Successful,26.2,100.0,45.5,96.5,ThrowIn,False
BallTouch,9,43,73380,184,Successful,45.1,95.9,,,OpenPlay,False
BallTouch,9,44,33891,184,Successful,43.5,88.3,,,OpenPlay,False
BallTouch,9,46,22847,184,Unsuccessful,42.2,98.1,,,OpenPlay,False
Pass,9,50,125211,13,Successful,59.1,0.0,38.1,3.1,ThrowIn,False
Pass,9,58,80921,13,Successful,38.8,24.3,38.8,5.9,OpenPlay,False
Pass,10,1,125211,13,Successful,38.9,4.9,59.8,0.8,OpenPlay,False
Pass,10,3,13756,13,Successful,62.7,4.4,55.8,24,OpenPlay,False
Pass,10,5,328983,13,Successful,56.9,28.2,60.3,56.1,OpenPlay,False
Pass,10,8,89401,13,Unsuccessful,66.2,60.0,74.8,68.1,OpenPlay,False
BallRecovery,10,10,86454,184,Successful,30.1,28.3,,,OpenPlay,False
Pass,10,17,86454,184,Successful,63.0,19.1,79.6,8.9,OpenPlay,False
TakeOn,10,19,80067,184,Unsuccessful,79.8,10.8,,,OpenPlay,False
Tackle,10,19,89401,13,Successful,20.2,89.2,,,OpenPlay,False
BallRecovery,10,20,89401,13,Successful,8.4,82.0,,,OpenPlay,False
Pass,10,21,89401,13,Successful,8.4,82.0,10.3,68.2,OpenPlay,False
Pass,10,22,27586,13,Unsuccessful,10.3,68.2,45.6,92,OpenPlay,False
Pass,10,26,131464,184,Successful,56.2,7.7,65.3,5.3,OpenPlay,False
BallRecovery,10,28,79050,184,Successful,65.9,6.1,,,OpenPlay,False
Pass,10,29,79050,184,Unsuccessful,65.9,6.1,94.8,23.6,OpenPlay,False
BallRecovery,10,32,92173,13,Successful,2.6,72.9,,,OpenPlay,False
Pass,10,46,92173,13,Successful,16.2,51.8,30.3,65.5,OpenPlay,False
Pass,10,48,89401,13,Successful,27.7,65.2,8.5,51.6,OpenPlay,False
Pass,10,50,92173,13,Unsuccessful,8.5,51.6,60.4,75.7,OpenPlay,False
Pass,10,55,80067,184,Successful,39.4,23.3,42.5,28.9,OpenPlay,False
BallRecovery,10,56,131464,184,Successful,41.9,28.9,,,OpenPlay,False
Pass,10,57,131464,184,Successful,41.9,28.9,39.2,18.3,OpenPlay,False
Pass,10,59,80067,184,Unsuccessful,38.5,11.6,40.1,10.4,OpenPlay,False
BlockedPass,10,59,44120,13,Successful,58.6,84.8,,,OpenPlay,False
Aerial,11,0,44120,13,Unsuccessful,60.9,91.8,,,OpenPlay,False
Aerial,11,0,80067,184,Successful,39.1,8.2,,,OpenPlay,False
Pass,11,1,80067,184,Successful,37.4,8.6,44.1,6.8,OpenPlay,False
Pass,11,2,86454,184,Unsuccessful,44.5,6.4,61.3,11,OpenPlay,False
BallRecovery,11,4,27586,13,Successful,39.6,90.5,,,OpenPlay,False
Pass,11,5,27586,13,Unsuccessful,39.6,90.5,84.4,73.3,OpenPlay,False
KeeperPickup,11,9,105720,184,Successful,14.4,27.9,,,OpenPlay,False
Pass,11,10,105720,184,Successful,14.4,30.9,19.8,57.5,OpenPlay,False
Pass,11,13,94935,184,Successful,24.5,63.6,33,97.1,OpenPlay,False
Pass,11,17,107462,184,Successful,32.4,90.5,26.3,81.8,OpenPlay,False
Pass,11,22,94935,184,Unsuccessful,31.1,91.5,65.9,100,OpenPlay,False
Pass,11,39,125211,13,Successful,34.2,0.0,36.1,6.5,ThrowIn,False
Pass,11,40,89401,13,Successful,36.1,6.5,31.9,1.1,OpenPlay,False
Pass,11,43,125211,13,Successful,28.6,10.7,14.6,11,OpenPlay,False
Pass,11,45,80921,13,Successful,13.9,13.2,5.7,44.2,OpenPlay,False
Pass,11,51,92173,13,Successful,9.6,35.8,39.4,9.1,OpenPlay,False
Pass,11,54,13756,13,Successful,39.4,9.1,42,34.6,OpenPlay,False
Challenge,11,57,22847,184,Unsuccessful,51.4,74.2,,,OpenPlay,False
TakeOn,11,57,89401,13,Successful,48.6,25.8,,,OpenPlay,False
Pass,11,58,89401,13,Successful,54.1,19.8,58.7,11.7,OpenPlay,False
Pass,12,2,13756,13,Successful,64.8,3.7,59.2,6.4,OpenPlay,False
Pass,12,6,89401,13,Successful,60.9,27.1,59.4,41.8,OpenPlay,False
Pass,12,9,328983,13,Successful,67.2,59.3,78.3,95.1,OpenPlay,False
Pass,12,13,367185,13,Successful,78.6,91.8,65.2,74.5,OpenPlay,False
Pass,12,16,328983,13,Successful,65.2,74.5,77.7,62.4,OpenPlay,False
Pass,12,17,73078,13,Unsuccessful,77.7,62.4,80.8,64.6,OpenPlay,False
BallRecovery,12,18,131464,184,Successful,19.7,35.7,,,OpenPlay,False
Pass,12,19,131464,184,Successful,19.7,35.7,31.8,48.1,OpenPlay,False
Pass,12,21,73380,184,Unsuccessful,32.7,48.2,31.1,47.9,OpenPlay,False
BlockedPass,12,21,125211,13,Successful,67.9,49.3,,,OpenPlay,False
Pass,12,23,22847,184,Successful,32.2,34.0,45.1,20.1,OpenPlay,False
Pass,12,27,33891,184,Successful,46.0,10.1,40.7,7.3,OpenPlay,False
Pass,12,30,79050,184,Unsuccessful,39.7,3.4,75.5,27.3,OpenPlay,False
BallRecovery,12,33,92173,13,Successful,20.3,74.2,,,OpenPlay,False
Pass,12,34,92173,13,Successful,20.3,74.2,28.9,81.7,OpenPlay,False
Pass,12,39,328983,13,Successful,34.7,73.3,33.9,84.2,OpenPlay,False
Pass,12,40,27586,13,Successful,34.1,75.4,34.1,18.5,OpenPlay,False
Pass,12,47,125211,13,Successful,40.1,9.7,33.3,39.2,OpenPlay,False
Pass,12,53,80921,13,Successful,40.2,49.7,59.8,49.7,OpenPlay,False
Dispossessed,12,55,73078,13,Successful,61.3,45.2,,,OpenPlay,False
Tackle,12,55,131464,184,Successful,38.7,54.8,,,OpenPlay,False
BallRecovery,12,57,357427,184,Successful,47.9,69.6,,,OpenPlay,False
TakeOn,12,59,357427,184,Unsuccessful,66.0,79.1,,,OpenPlay,False
Tackle,12,59,125211,13,Successful,34.0,20.9,,,OpenPlay,False
BallRecovery,13,0,125211,13,Successful,35.1,10.1,,,OpenPlay,False
Pass,13,3,125211,13,Successful,40.8,11.4,58,3.2,OpenPlay,False
Pass,13,8,13756,13,Successful,63.3,27.1,60,55.1,OpenPlay,False
Pass,13,10,89401,13,Successful,60.0,55.1,59.9,96.2,OpenPlay,False
Pass,13,16,367185,13,Successful,60.9,95.6,54.6,88.3,OpenPlay,False
Pass,13,17,89401,13,Successful,54.6,88.3,41.6,71.4,OpenPlay,False
Pass,13,20,27586,13,Successful,42.1,69.7,81,66,BigChanceCreated,False
MissedShots,13,24,44120,13,Successful,88.3,63.4,,,OpenPlay,False
Pass,14,2,105720,184,Successful,5.0,59.0,67.9,91.2,OpenPlay,False
