Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,15,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,50.1,49.9,26.6,50.1,OpenPlay,False
Pass,0,4,27586,13,Unsuccessful,29.4,50.4,73.7,92.6,OpenPlay,False
Aerial,0,6,380706,13,Unsuccessful,76.8,91.8,,,OpenPlay,False
Aerial,0,6,25931,15,Successful,23.2,8.2,,,OpenPlay,False
Pass,0,7,25931,15,Successful,20.2,10.7,29,9.1,OpenPlay,False
BallTouch,0,9,350088,15,Unsuccessful,29.0,9.1,,,OpenPlay,False
TakeOn,0,12,380706,13,Unsuccessful,80.6,98.8,,,OpenPlay,False
Tackle,0,12,25931,15,Successful,19.4,1.2,,,OpenPlay,False
Pass,0,17,367185,13,Successful,75.2,100.0,62.3,93.6,ThrowIn,False
Pass,0,18,89401,13,Successful,61.6,93.6,39.7,93.8,OpenPlay,False
Pass,0,22,27586,13,Successful,37.6,88.6,33,52.4,OpenPlay,False
Pass,0,26,80921,13,Successful,33.0,38.3,33,19.8,OpenPlay,False
Pass,0,27,125211,13,Unsuccessful,35.2,13.1,55.1,4.4,OpenPlay,False
Interception,0,28,101955,15,Successful,45.0,94.1,,,OpenPlay,False
Pass,0,29,125211,13,Unsuccessful,44.3,2.9,45.3,2.8,OpenPlay,False
BlockedPass,0,29,101955,15,Successful,54.0,96.2,,,OpenPlay,False
Pass,0,36,125211,13,Successful,41.3,0.0,25.4,15.3,ThrowIn,False
Pass,0,40,80921,13,Successful,24.7,27.1,27.9,13.1,OpenPlay,False
Pass,0,44,125211,13,Unsuccessful,31.8,6.5,54.1,13.8,OpenPlay,False
Interception,0,46,106968,15,Successful,45.9,81.1,,,OpenPlay,False
BallRecovery,0,47,104010,15,Successful,47.0,71.4,,,OpenPlay,False
Pass,0,48,104010,15,Unsuccessful,54.3,72.1,56.6,72.1,OpenPlay,False
BallTouch,0,49,248109,13,Unsuccessful,38.9,25.9,,,OpenPlay,False
BallTouch,0,50,93894,15,Unsuccessful,58.3,77.2,,,OpenPlay,False
BallRecovery,0,51,248109,13,Successful,38.8,25.3,,,OpenPlay,False
Pass,0,52,248109,13,Unsuccessful,38.8,25.3,45.1,6.7,OpenPlay,False
Interception,0,54,101955,15,Successful,54.5,91.2,,,OpenPlay,False
Pass,0,58,80921,13,Successful,12.1,19.2,3.9,61.2,OpenPlay,False
Pass,1,3,92173,13,Unsuccessful,5.8,70.2,41.5,80.6,OpenPlay,False
Aerial,1,6,380706,13,Unsuccessful,43.1,79.8,,,OpenPlay,False
Aerial,1,6,25931,15,Successful,56.9,20.2,,,OpenPlay,False
Pass,1,7,25931,15,Unsuccessful,53.4,21.0,55.1,24,OpenPlay,False
BallTouch,1,8,380706,13,Successful,40.7,80.6,,,OpenPlay,False
Pass,1,9,106968,15,Unsuccessful,53.9,31.6,63.2,21.5,OpenPlay,False
Pass,1,10,367185,13,Successful,31.3,85.1,38.9,90.6,OpenPlay,False
Pass,1,11,380706,13,Successful,37.6,83.6,32.3,87,OpenPlay,False
Challenge,1,12,25931,15,Unsuccessful,62.4,12.4,,,OpenPlay,False
TakeOn,1,12,367185,13,Successful,37.6,87.6,,,OpenPlay,False
Pass,1,13,367185,13,Successful,40.9,90.9,54.7,95.9,OpenPlay,False
Pass,1,18,380706,13,Successful,77.8,73.2,87.3,75.9,OpenPlay,False
Pass,1,20,367185,13,Unsuccessful,91.0,74.7,97.9,0,OpenPlay,False
Pass,1,44,101955,15,Unsuccessful,7.7,100.0,22.4,97.8,ThrowIn,False
Pass,1,45,125211,13,Unsuccessful,74.1,4.4,86.6,14.5,OpenPlay,False
Pass,1,48,106968,15,Unsuccessful,10.1,92.1,37.2,97.4,OpenPlay,False
Aerial,1,53,317506,15,Unsuccessful,40.2,98.2,,,OpenPlay,False
Aerial,1,53,80921,13,Successful,59.8,1.8,,,OpenPlay,False
Pass,1,54,80921,13,Unsuccessful,56.7,1.1,63.9,0,OpenPlay,False
Pass,2,4,101955,15,Successful,35.2,100.0,45.1,91.5,ThrowIn,False
Pass,2,6,29463,15,Unsuccessful,44.3,91.4,55.1,85,OpenPlay,False
Pass,2,7,80921,13,Successful,40.5,22.7,45.7,32.1,OpenPlay,False
BallRecovery,2,8,89401,13,Successful,45.7,32.1,,,OpenPlay,False
Pass,2,9,89401,13,Unsuccessful,45.7,32.1,60.9,25.6,OpenPlay,False
Pass,2,11,106968,15,Successful,37.4,80.3,33.6,93.2,OpenPlay,False
BallRecovery,2,12,101955,15,Successful,33.6,93.2,,,OpenPlay,False
Pass,2,13,101955,15,Successful,36.4,92.0,54.2,72.6,OpenPlay,False
Foul,2,16,317506,15,Successful,55.0,70.2,,,OpenPlay,False
Foul,2,16,27586,13,Unsuccessful,45.0,29.8,,,OpenPlay,False
Pass,2,43,104010,15,Successful,54.0,66.4,75.4,8.6,OpenPlay,False
Pass,2,48,350088,15,Unsuccessful,92.6,18.3,93,23.6,OpenPlay,False
Clearance,2,48,27586,13,Successful,5.4,75.6,5.4,75.6,OpenPlay,False
CornerAwarded,2,49,350088,15,Successful,93.8,24.0,,,OpenPlay,False
CornerAwarded,2,49,27586,13,Unsuccessful,6.2,76.0,,,OpenPlay,False
Pass,3,11,101955,15,Unsuccessful,99.5,0.5,94.7,50.7,CornerTaken,False
Clearance,3,13,80921,13,Successful,5.6,50.1,21.8,96.9,OpenPlay,False
Pass,3,17,350088,15,Successful,76.8,8.9,72.9,16.7,OpenPlay,False
Pass,3,19,93894,15,Successful,73.4,25.5,72.4,38.8,OpenPlay,False
Pass,3,20,106968,15,Successful,72.4,38.8,64.7,28.5,OpenPlay,False
Pass,3,27,93894,15,Successful,55.0,39.7,56.8,75.9,OpenPlay,False
Pass,3,30,104010,15,Successful,53.1,82.7,18.1,67.3,OpenPlay,False
Pass,3,34,113880,15,Unsuccessful,19.7,68.2,21.4,67.6,OpenPlay,False
BlockedPass,3,34,73078,13,Successful,77.7,32.8,,,OpenPlay,False
Pass,3,36,73078,13,Successful,77.2,33.3,67.5,21.6,OpenPlay,False
BallRecovery,3,37,239872,13,Successful,67.5,21.6,,,OpenPlay,False
Pass,3,40,239872,13,Unsuccessful,72.8,13.7,73.5,15,OpenPlay,False
BallTouch,3,41,93894,15,Successful,23.9,85.1,,,OpenPlay,False
Clearance,3,42,104010,15,Successful,18.9,76.1,0,89.1,OpenPlay,False
CornerAwarded,3,43,104010,15,Unsuccessful,12.6,87.0,,,OpenPlay,False
CornerAwarded,3,43,239872,13,Successful,87.4,13.0,,,OpenPlay,False
Pass,4,6,239872,13,Unsuccessful,99.6,0.5,97.3,36.1,CornerTaken,False
Clearance,4,8,93894,15,Successful,3.3,62.0,0,61.8,OpenPlay,False
CornerAwarded,4,9,93894,15,Unsuccessful,0.9,62.8,,,OpenPlay,False
CornerAwarded,4,9,239872,13,Successful,99.1,37.2,,,OpenPlay,False
Pass,4,18,239872,13,Successful,99.5,0.5,84.8,19.1,CornerTaken,False
Pass,4,21,13756,13,Successful,84.8,19.1,90.9,13.2,OpenPlay,False
Pass,4,23,239872,13,Unsuccessful,89.3,13.4,94,53.8,OpenPlay,False
Clearance,4,26,114075,15,Successful,7.0,42.7,27.3,35.2,OpenPlay,False
Pass,4,29,367185,13,Successful,66.0,76.0,73.3,92,OpenPlay,False
Pass,4,31,380706,13,Successful,68.5,96.5,45.6,73.2,OpenPlay,False
Pass,4,35,125211,13,Successful,41.5,68.4,35.8,52.2,OpenPlay,False
Pass,4,37,89401,13,Successful,35.8,52.5,45.1,57.3,OpenPlay,False
Pass,4,38,248109,13,Successful,45.1,57.3,42.8,37.9,OpenPlay,False
Pass,4,40,80921,13,Successful,43.6,30.4,58.5,7.6,OpenPlay,False
Pass,4,47,239872,13,Unsuccessful,75.9,11.3,80.9,27.1,OpenPlay,False
Pass,4,48,106968,15,Successful,20.8,77.0,21.8,85.3,OpenPlay,False
