Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,162,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,49.9,50.0,27.8,49,OpenPlay,False
Pass,0,3,27586,13,Successful,32.6,49.3,71.4,98,OpenPlay,False
Pass,0,7,110260,13,Successful,71.4,98.0,79.4,86.5,OpenPlay,False
Pass,0,8,44120,13,Successful,79.4,86.5,77,96.6,OpenPlay,False
Pass,0,9,110260,13,Successful,77.0,96.6,99.8,85.3,OpenPlay,False
Pass,0,11,44120,13,Unsuccessful,99.8,85.3,99.8,68.1,OpenPlay,False
BallTouch,0,13,44687,162,Successful,1.1,14.3,,,OpenPlay,False
BallTouch,0,14,20339,162,Unsuccessful,1.4,27.3,,,OpenPlay,False
CornerAwarded,0,15,20339,162,Unsuccessful,0.0,30.2,,,OpenPlay,False
CornerAwarded,0,15,44120,13,Successful,100.0,69.8,,,OpenPlay,False
Pass,0,43,13756,13,Unsuccessful,99.5,99.5,89.7,60.5,CornerTaken,False
Foul,0,48,11981,162,Successful,10.9,51.0,,,OpenPlay,False
Foul,0,48,22210,13,Unsuccessful,89.1,49.0,,,OpenPlay,False
Pass,1,8,33866,162,Unsuccessful,13.0,48.8,66.5,84.5,OpenPlay,False
Pass,1,13,255169,13,Unsuccessful,27.6,6.7,36.6,6.7,OpenPlay,False
Pass,1,14,141246,162,Successful,60.3,88.4,71.5,96.8,OpenPlay,False
Pass,1,16,85059,162,Unsuccessful,71.5,96.8,66.3,94.4,OpenPlay,False
BallRecovery,1,17,239872,13,Successful,37.3,5.3,,,OpenPlay,False
Pass,1,18,239872,13,Unsuccessful,37.3,5.2,37.7,5.2,OpenPlay,False
BlockedPass,1,18,31281,162,Successful,62.2,94.4,,,OpenPlay,False
Pass,1,25,255169,13,Successful,32.7,0.0,13.4,15.9,ThrowIn,False
Pass,1,26,22210,13,Successful,13.4,15.9,1.5,51.2,OpenPlay,False
Pass,1,29,92173,13,Successful,1.5,51.2,9.1,76.4,OpenPlay,False
Pass,1,34,27586,13,Successful,9.1,75.4,2.4,55.1,OpenPlay,False
Pass,1,36,92173,13,Successful,3.9,45.5,21.4,4,OpenPlay,False
Pass,1,41,255169,13,Successful,38.0,3.2,41.2,30.1,OpenPlay,False
Pass,1,44,13756,13,Successful,41.2,30.1,41.5,57.5,OpenPlay,False
Pass,1,46,89401,13,Successful,44.8,66.7,67.1,94.8,OpenPlay,False
Pass,1,50,110260,13,Unsuccessful,74.7,89.9,87.6,36.6,OpenPlay,False
BallRecovery,1,52,141246,162,Successful,10.4,59.7,,,OpenPlay,False
Clearance,1,53,141246,162,Successful,10.7,60.3,16.6,100,OpenPlay,False
Pass,2,2,255169,13,Successful,76.7,0.0,66,5.8,ThrowIn,False
Pass,2,4,248109,13,Unsuccessful,66.3,4.9,65.9,5,OpenPlay,False
BlockedPass,2,4,67491,162,Successful,33.0,96.8,,,OpenPlay,False
Pass,2,13,255169,13,Successful,69.5,0.0,74.8,4.7,ThrowIn,False
Pass,2,14,13756,13,Successful,74.8,4.7,70.7,0.8,OpenPlay,False
Pass,2,16,255169,13,Successful,70.7,0.8,68.9,6.8,OpenPlay,False
Pass,2,17,248109,13,Successful,68.9,6.8,34.9,7,OpenPlay,False
Pass,2,21,22210,13,Successful,33.7,11.1,31.1,45.5,OpenPlay,False
Pass,2,28,27586,13,Successful,46.8,58.8,87.7,94.5,OpenPlay,False
BallTouch,2,31,110260,13,Unsuccessful,87.7,94.5,,,OpenPlay,False
