Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,45,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,44120,13,Successful,49.9,49.9,39.9,51.9,OpenPlay,False,False
Pass,0,2,89401,13,Successful,40.0,51.8,34.4,9.8,OpenPlay,False,False
Pass,0,5,124316,13,Successful,34.7,8.8,19.3,30.9,OpenPlay,False,False
Pass,0,8,80921,13,Successful,19.3,30.9,6.6,58.5,OpenPlay,False,False
Pass,0,11,102248,13,Unsuccessful,5.9,70.8,53,93,OpenPlay,False,False
Pass,0,15,23199,45,Successful,46.0,9.7,59.2,18.8,OpenPlay,False,False
Pass,0,17,344166,45,Unsuccessful,59.2,18.8,58.4,32.8,OpenPlay,False,False
Challenge,0,18,110165,45,Unsuccessful,61.2,32.6,,,OpenPlay,False,False
TakeOn,0,18,342563,13,Successful,38.8,67.4,,,OpenPlay,False,False
BallTouch,0,19,342563,13,Unsuccessful,46.0,62.9,,,OpenPlay,False,False
BallRecovery,0,21,16954,45,Successful,46.1,42.8,,,OpenPlay,False,False
Pass,0,22,16954,45,Successful,46.1,42.8,48.9,32.8,OpenPlay,False,False
Pass,0,23,110165,45,Successful,51.2,33.0,48.3,41.5,OpenPlay,False,False
Pass,0,25,16954,45,Successful,48.3,41.5,57.7,7.6,OpenPlay,False,False
Pass,0,28,94934,45,Successful,57.6,6.7,38.2,13.7,OpenPlay,False,False
Pass,0,31,23199,45,Successful,41.3,13.7,31.7,31.9,OpenPlay,False,False
Pass,0,35,16954,45,Successful,31.7,31.9,40.5,42.8,OpenPlay,False,False
Pass,0,39,317630,45,Successful,40.2,56.1,34.6,86.3,OpenPlay,False,False
Pass,0,40,83659,45,Unsuccessful,34.7,86.3,68.4,65.8,OpenPlay,False,False
Aerial,0,41,34323,45,Unsuccessful,68.8,66.2,,,OpenPlay,False,False
Aerial,0,41,80921,13,Successful,31.2,33.8,,,OpenPlay,False,False
Pass,0,42,80921,13,Unsuccessful,30.8,33.4,42.9,29.8,OpenPlay,False,False
Dispossessed,0,46,317630,45,Successful,72.3,74.2,,,OpenPlay,False,False
Tackle,0,46,248109,13,Successful,27.7,25.8,,,OpenPlay,False,False
