Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,31,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,49.9,50.1,30.8,55.8,OpenPlay,False
Pass,0,3,27586,13,Successful,28.6,55.4,31.9,84.2,OpenPlay,False
Pass,0,5,367185,13,Successful,32.0,84.8,20.7,71.2,OpenPlay,False
Pass,0,9,27586,13,Successful,16.3,83.6,5.3,53,OpenPlay,False
Pass,0,12,92173,13,Successful,5.1,47.2,13.1,18.2,OpenPlay,False
Pass,0,16,124316,13,Unsuccessful,13.1,18.2,53.5,2.2,OpenPlay,False
Aerial,0,17,342564,13,Unsuccessful,53.2,2.4,,,OpenPlay,False
Aerial,0,17,89925,31,Successful,46.8,97.6,,,OpenPlay,False
Pass,0,18,89925,31,Successful,46.8,97.8,58.6,98.3,OpenPlay,False
BallTouch,0,20,136824,31,Unsuccessful,58.6,97.4,,,OpenPlay,False
Pass,0,22,255169,13,Successful,40.5,5.5,38.4,10,OpenPlay,False
Pass,0,23,89401,13,Successful,38.4,10.0,34.3,5,OpenPlay,False
Pass,0,24,124316,13,Unsuccessful,34.3,5.0,78.2,5,OpenPlay,False
Pass,0,32,297544,31,Unsuccessful,1.7,97.2,8.6,100,OpenPlay,False
Pass,0,47,255169,13,Successful,91.9,0.0,87.9,8,ThrowIn,False
Pass,0,48,363686,13,Unsuccessful,87.9,8.1,90.3,0.7,OpenPlay,False
Interception,0,49,89925,31,Successful,9.2,94.5,,,OpenPlay,False
Pass,0,55,255169,13,Successful,87.2,0.0,93.5,9.5,ThrowIn,False
Pass,0,56,342564,13,Successful,91.6,9.3,84.3,2.3,OpenPlay,False
Pass,0,57,255169,13,Successful,84.3,4.9,84.1,13,OpenPlay,False
Pass,0,58,363686,13,Successful,84.1,13.0,89.2,11.3,OpenPlay,False
Pass,0,59,342564,13,Unsuccessful,89.2,11.3,86.5,13,OpenPlay,False
BallTouch,1,0,27213,31,Successful,16.9,86.3,,,OpenPlay,False
BallTouch,1,2,317804,31,Unsuccessful,27.5,85.1,,,OpenPlay,False
Pass,1,4,89401,13,Successful,74.8,23.9,92,91.5,OpenPlay,False
Pass,1,11,367185,13,Successful,84.2,95.0,71.7,89.7,OpenPlay,False
Pass,1,13,248109,13,Successful,70.7,89.7,50.8,89.6,OpenPlay,False
Pass,1,17,27586,13,Successful,47.8,82.7,44.1,42.8,OpenPlay,False
Pass,1,19,124316,13,Successful,44.0,43.6,44.1,69.9,OpenPlay,False
Pass,1,22,27586,13,Successful,44.4,72.9,56.2,69,OpenPlay,False
Pass,1,23,248109,13,Successful,56.2,69.0,48.1,27.3,OpenPlay,False
Pass,1,28,124316,13,Successful,60.5,14.3,66.3,10,OpenPlay,False
Pass,1,29,342564,13,Successful,66.3,10.0,57.7,6.5,OpenPlay,False
Pass,1,31,124316,13,Successful,56.7,6.4,40.9,48.2,OpenPlay,False
Pass,1,36,27586,13,Successful,43.9,46.4,50.2,17.6,OpenPlay,False
Pass,1,41,124316,13,Successful,60.5,6.4,69.8,10.3,OpenPlay,False
Pass,1,43,342564,13,Successful,70.4,10.3,66.4,24,OpenPlay,False
Pass,1,45,89401,13,Successful,66.4,25.9,73.6,40,OpenPlay,False
Pass,1,46,44120,13,Unsuccessful,73.6,40.0,80.8,31.6,OpenPlay,False
Clearance,1,47,297544,31,Successful,18.5,70.5,22.5,76.7,OpenPlay,False
BallRecovery,1,48,136824,31,Successful,23.2,75.0,,,OpenPlay,False
Pass,1,49,136824,31,Successful,23.2,75.0,27.3,64.9,OpenPlay,False
