Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,14,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,106981,14,Successful,50.0,50.0,41.9,60.6,OpenPlay,False
Pass,0,2,137015,14,Successful,42.0,61.2,34.3,92.4,OpenPlay,False
Pass,0,4,299272,14,Successful,33.6,92.1,23,66.6,OpenPlay,False
Pass,0,10,317998,14,Successful,23.8,62.4,24,37.1,OpenPlay,False
Pass,0,12,22079,14,Successful,24.9,35.4,22.6,61.7,OpenPlay,False
Pass,0,17,317998,14,Successful,25.1,62.6,27.5,36.4,OpenPlay,False
Pass,0,23,22079,14,Unsuccessful,34.2,31.3,90.5,28.6,OpenPlay,False
KeeperPickup,0,27,92173,13,Successful,8.3,69.4,,,OpenPlay,False
Pass,0,42,92173,13,Unsuccessful,9.1,40.3,49.5,11.4,OpenPlay,False
BallRecovery,0,45,299272,14,Successful,56.3,89.6,,,OpenPlay,False
Pass,0,46,299272,14,Successful,58.9,92.3,69.9,93.6,OpenPlay,False
Pass,0,48,331382,14,Successful,69.9,93.6,87.5,89.7,OpenPlay,False
BallTouch,0,52,106981,14,Unsuccessful,97.3,85.6,,,OpenPlay,False
Pass,1,5,92173,13,Successful,4.8,44.5,10.8,82.2,OpenPlay,False
Pass,1,8,288795,13,Successful,13.6,84.1,28,97.2,OpenPlay,False
Pass,1,10,110260,13,Successful,27.1,96.2,12.9,86.6,OpenPlay,False
Pass,1,12,288795,13,Unsuccessful,19.2,90.2,79.6,89.1,OpenPlay,False
BallRecovery,1,18,317998,14,Successful,29.0,14.1,,,OpenPlay,False
Pass,1,19,317998,14,Successful,26.4,14.1,4.1,31.9,OpenPlay,False
Pass,1,25,19545,14,Successful,12.5,41.5,15,63,OpenPlay,False
Pass,1,32,22079,14,Successful,29.5,71.1,38.9,70.2,OpenPlay,False
Pass,1,33,137015,14,Successful,38.9,70.2,27.7,72.6,OpenPlay,False
Pass,1,40,22079,14,Successful,35.6,75.4,32.2,38.5,OpenPlay,False
Pass,1,43,317998,14,Successful,31.0,38.0,5.2,44.8,OpenPlay,False
Pass,1,55,19545,14,Unsuccessful,28.0,46.9,40.7,100,OpenPlay,False
Pass,2,9,125211,13,Successful,61.6,0.0,80.2,2.8,ThrowIn,False
TakeOn,2,12,73078,13,Unsuccessful,77.0,3.3,,,OpenPlay,False
Tackle,2,12,327683,14,Successful,23.0,96.7,,,OpenPlay,False
Pass,2,20,125211,13,Successful,77.1,0.0,79.3,6.8,ThrowIn,False
Pass,2,21,13756,13,Successful,79.3,6.8,73,2.2,OpenPlay,False
Pass,2,24,125211,13,Successful,65.2,5.8,55.9,1.9,OpenPlay,False
Pass,2,26,124316,13,Successful,59.2,2.0,70.2,2.3,OpenPlay,False
Pass,2,27,73078,13,Unsuccessful,70.2,2.3,70.9,3.1,OpenPlay,False
BallTouch,2,28,299272,14,Successful,30.3,93.2,,,OpenPlay,False
BallRecovery,2,29,22079,14,Successful,26.4,84.1,,,OpenPlay,False
Pass,2,30,22079,14,Unsuccessful,26.9,84.1,40.3,97.1,OpenPlay,False
BallTouch,2,31,124316,13,Unsuccessful,60.8,2.0,,,OpenPlay,False
Dispossessed,2,32,137015,14,Successful,35.3,96.2,,,OpenPlay,False
Tackle,2,32,124316,13,Successful,64.7,3.8,,,OpenPlay,False
Pass,2,41,299272,14,Successful,32.8,100.0,20.3,85.7,ThrowIn,False
Pass,2,53,317998,14,Successful,28.9,77.7,49,85.7,OpenPlay,False
Foul,2,56,248109,13,Unsuccessful,52.7,15.6,,,OpenPlay,False
Foul,2,56,137015,14,Successful,47.3,84.4,,,OpenPlay,False
Pass,3,8,327683,14,Successful,44.0,64.5,42.7,49.9,OpenPlay,False
Pass,3,10,22079,14,Successful,43.2,46.6,38.4,70.6,OpenPlay,False
Pass,3,13,317998,14,Successful,46.7,73.5,58.8,95.7,OpenPlay,False
Pass,3,22,299272,14,Successful,90.1,95.6,82,90.6,OpenPlay,False
Pass,3,24,137015,14,Successful,82.0,90.6,80,96,OpenPlay,False
Pass,3,26,299272,14,Successful,74.8,94.8,57.7,90,OpenPlay,False
Pass,3,29,317998,14,Successful,57.9,81.7,45.8,66.1,OpenPlay,False
Pass,3,34,22079,14,Successful,47.2,68.1,42.6,88.6,OpenPlay,False
Pass,3,35,317998,14,Successful,42.6,88.6,55.5,96.5,OpenPlay,False
Pass,3,38,299272,14,Successful,56.9,95.3,59.8,84.8,OpenPlay,False
Pass,3,39,137015,14,Successful,59.9,84.7,63.9,94.5,OpenPlay,False
Pass,3,43,299272,14,Successful,61.5,77.8,52.8,66,OpenPlay,False
Pass,3,45,327683,14,Successful,48.3,58.1,42.4,29.1,OpenPlay,False
Pass,3,49,22079,14,Successful,43.2,29.8,46.9,60,OpenPlay,False
Pass,3,52,317998,14,Successful,47.2,59.6,57.4,70.2,OpenPlay,False
Pass,3,53,137015,14,Successful,57.4,70.2,63.1,57.3,OpenPlay,False
Challenge,3,56,328983,13,Unsuccessful,33.8,47.9,,,OpenPlay,False
TakeOn,3,56,327683,14,Successful,66.2,52.1,,,OpenPlay,False
Dispossessed,3,57,327683,14,Successful,65.2,42.5,,,OpenPlay,False
Tackle,3,57,13756,13,Successful,34.8,57.5,,,OpenPlay,False
Pass,3,58,110260,13,Successful,27.5,69.6,20.5,65.4,OpenPlay,False
BallRecovery,3,59,288795,13,Successful,20.5,65.4,,,OpenPlay,False
Pass,4,0,288795,13,Successful,20.5,65.4,26.2,73.3,OpenPlay,False
Pass,4,1,110260,13,Unsuccessful,26.7,75.3,54.2,51.2,OpenPlay,False
BallRecovery,4,3,317998,14,Successful,46.9,52.7,,,OpenPlay,False
Foul,4,7,44120,13,Unsuccessful,46.2,42.8,,,OpenPlay,False
Foul,4,7,317998,14,Successful,53.8,57.2,,,OpenPlay,False
Pass,4,13,317998,14,Successful,51.6,74.2,55.8,95,OpenPlay,False
Pass,4,18,299272,14,Successful,59.9,93.5,60,79.3,OpenPlay,False
Pass,4,20,137015,14,Successful,60.4,80.0,59.3,93.3,OpenPlay,False
Pass,4,22,299272,14,Successful,56.0,89.4,39.5,60.5,OpenPlay,False
Pass,4,27,22079,14,Successful,41.2,62.6,43.4,77.6,OpenPlay,False
Pass,4,29,317998,14,Successful,44.1,78.1,52.6,71.4,OpenPlay,False
Pass,4,31,137015,14,Successful,51.8,71.4,42.9,81.1,OpenPlay,False
Pass,4,33,317998,14,Successful,41.9,77.6,37.1,50.6,OpenPlay,False
Pass,4,37,22079,14,Successful,44.5,52.5,41.8,72.7,OpenPlay,False
Pass,4,41,317998,14,Successful,46.4,73.5,61.7,60.6,OpenPlay,False
Pass,4,43,137015,14,Successful,63.1,58.2,65.4,35.4,OpenPlay,False
Pass,4,45,136345,14,Successful,65.4,35.4,64.6,14.4,OpenPlay,False
Pass,4,48,120763,14,Successful,70.0,14.1,81.8,6.2,OpenPlay,False
Pass,4,50,135366,14,Successful,81.5,6.1,72.4,12.6,OpenPlay,False
Pass,4,51,136345,14,Successful,73.8,14.7,88,39.4,ShotAssist,False
Save,4,54,92173,13,Successful,2.3,51.4,,,OpenPlay,False
SavedShot,4,54,137015,14,Successful,88.6,38.8,,,OpenPlay,False
KeeperPickup,4,55,92173,13,Successful,0.8,54.5,,,OpenPlay,False
Pass,5,0,92173,13,Successful,11.4,57.9,10.3,71.3,OpenPlay,False
Pass,5,4,27586,13,Successful,19.8,71.5,27.5,92.5,OpenPlay,False
Pass,5,7,110260,13,Successful,29.5,96.2,18.5,89.6,OpenPlay,False
Pass,5,10,288795,13,Successful,17.6,88.7,3,63.4,OpenPlay,False
Pass,5,13,92173,13,Successful,2.3,72.0,10,94.7,OpenPlay,False
Pass,5,16,288795,13,Unsuccessful,8.6,85.9,39.6,18.3,OpenPlay,False
