Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,26,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,68659,26,Successful,50.2,49.9,28.4,49.4,OpenPlay,False
Pass,0,3,74341,26,Unsuccessful,28.4,49.4,61.9,100,OpenPlay,False
Pass,0,13,255169,13,Successful,38.9,0.0,38.2,8.3,ThrowIn,False
Pass,0,14,89401,13,Successful,38.2,8.3,34.4,1.4,OpenPlay,False
Pass,0,15,255169,13,Successful,34.4,1.4,19,12.2,OpenPlay,False
Pass,0,18,22210,13,Successful,19.0,12.2,4.7,34.3,OpenPlay,False
Pass,0,20,92173,13,Successful,4.7,34.3,19.6,26.5,OpenPlay,False
Pass,0,21,89401,13,Successful,19.6,26.5,8.5,4.6,OpenPlay,False
Pass,0,23,22210,13,Successful,8.5,4.6,21.9,0.5,OpenPlay,False
Pass,0,26,255169,13,Unsuccessful,18.0,2.5,29.2,7.3,OpenPlay,False
Pass,0,27,115916,26,Successful,69.7,82.8,75.8,73.6,OpenPlay,False
BallRecovery,0,29,68659,26,Successful,73.5,70.9,,,OpenPlay,False
Pass,0,30,68659,26,Unsuccessful,75.3,72.0,75.6,71.7,OpenPlay,False
BlockedPass,0,30,328983,13,Successful,23.9,30.4,,,OpenPlay,False
BallRecovery,0,33,89401,13,Successful,26.3,34.9,,,OpenPlay,False
Pass,0,34,89401,13,Unsuccessful,31.4,53.4,40.6,68.4,OpenPlay,False
Pass,0,35,318871,26,Unsuccessful,54.2,29.5,75.9,31.2,OpenPlay,False
Pass,0,37,23072,13,Unsuccessful,26.0,72.0,32.3,66,OpenPlay,False
Pass,0,38,144890,13,Successful,30.9,75.8,29.1,87.3,OpenPlay,False
Pass,0,41,342563,13,Successful,31.0,91.8,42.1,89.7,OpenPlay,False
Pass,0,42,44120,13,Successful,42.1,89.7,39.4,96.9,OpenPlay,False
BallTouch,0,45,342563,13,Unsuccessful,55.7,98.7,,,OpenPlay,False
Pass,0,52,318871,26,Successful,42.3,0.0,25.1,9.5,ThrowIn,False
Pass,0,54,74341,26,Successful,25.3,16.8,23.9,33.4,OpenPlay,False
Pass,0,56,95408,26,Successful,24.9,31.9,33.2,5.8,OpenPlay,False
Pass,1,1,318871,26,Successful,42.5,4.9,57,30.7,OpenPlay,False
Pass,1,3,96182,26,Unsuccessful,60.8,34.9,61.3,35.7,OpenPlay,False
BallTouch,1,4,328983,13,Successful,40.0,66.1,,,OpenPlay,False
Pass,1,5,342563,13,Successful,35.8,90.3,43.4,84.2,OpenPlay,False
BallRecovery,1,6,144890,13,Successful,43.4,84.2,,,OpenPlay,False
Dispossessed,1,8,144890,13,Successful,47.6,90.2,,,OpenPlay,False
Tackle,1,8,68659,26,Successful,52.4,9.8,,,OpenPlay,False
BallRecovery,1,9,318871,26,Successful,43.7,12.2,,,OpenPlay,False
Pass,1,10,318871,26,Successful,43.7,12.2,55.1,20.6,OpenPlay,False
