Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,167,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,0,345845,13,Successful,49.9,50.0,29.9,33.9,OpenPlay,False
Pass,0,5,80921,13,Unsuccessful,30.1,34.0,79.3,100,OpenPlay,False
Pass,0,17,69778,167,Successful,18.5,0.0,1.8,34.6,ThrowIn,False
Pass,0,19,121774,167,Successful,2.7,44.9,10.1,58.8,OpenPlay,False
Pass,0,24,122117,167,Successful,15.2,62.4,21.4,48.4,OpenPlay,False
Pass,0,26,77464,167,Successful,21.5,47.8,17.9,29.5,OpenPlay,False
Pass,0,29,368091,167,Successful,21.9,16.7,36.2,4.4,OpenPlay,False
TakeOn,0,33,69778,167,Unsuccessful,43.2,10.2,,,OpenPlay,False
Tackle,0,33,44120,13,Unsuccessful,56.8,89.8,,,OpenPlay,False
Pass,0,34,69778,167,Successful,43.9,9.5,37.3,16.7,OpenPlay,False
Pass,0,37,73084,167,Successful,32.7,28.5,44.6,92.4,OpenPlay,False
Pass,0,40,105962,167,Successful,46.3,91.8,45.5,68.4,OpenPlay,False
Dispossessed,0,43,77464,167,Successful,44.8,74.1,,,OpenPlay,False
Tackle,0,43,328983,13,Successful,55.2,25.9,,,OpenPlay,False
TakeOn,0,45,367185,13,Unsuccessful,53.4,21.2,,,OpenPlay,False
Tackle,0,45,77464,167,Unsuccessful,46.6,78.8,,,OpenPlay,False
BallRecovery,0,48,328983,13,Successful,50.1,26.7,,,OpenPlay,False
Pass,0,49,328983,13,Successful,45.9,21.3,36.9,16.3,OpenPlay,False
Pass,0,52,125211,13,Successful,36.8,14.1,26.8,33,OpenPlay,False
Pass,0,55,80921,13,Successful,27.2,32.1,25.4,58.4,OpenPlay,False
Pass,0,58,141032,13,Successful,25.5,60.6,8.7,46.1,OpenPlay,False
OffsideGiven,1,,345845,13,Unsuccessful,71.5,33.4,,,OpenPlay,False
OffsidePass,1,2,92173,13,Successful,9.5,43.5,71.5,33.4,OpenPlay,False
OffsideProvoked,1,2,122117,167,Successful,47.4,59.8,,,OpenPlay,False
Pass,1,39,121774,167,Successful,20.0,59.4,21.1,31.8,OpenPlay,False
Pass,1,45,368091,167,Successful,30.0,30.0,46,33.1,OpenPlay,False
Pass,1,46,279379,167,Unsuccessful,46.0,33.3,47.3,18.9,OpenPlay,False
BallRecovery,1,48,44120,13,Successful,44.7,76.3,,,OpenPlay,False
Pass,1,49,44120,13,Successful,44.7,76.3,58.5,71.4,OpenPlay,False
BallTouch,1,51,345845,13,Unsuccessful,57.4,71.5,,,OpenPlay,False
TakeOn,1,51,77464,167,Successful,43.2,32.8,,,OpenPlay,False
Challenge,1,51,89401,13,Unsuccessful,56.8,67.2,,,OpenPlay,False
BallRecovery,1,52,77464,167,Successful,42.5,30.1,,,OpenPlay,False
Pass,1,53,77464,167,Unsuccessful,48.3,25.0,52.6,30.1,OpenPlay,False
