Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,32,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,50.0,50.0,38,66.1,OpenPlay,False
Pass,0,2,328983,13,Successful,38.0,67.3,25.4,72.6,OpenPlay,False
Pass,0,5,27586,13,Successful,23.7,70.2,19,32.5,OpenPlay,False
Pass,0,7,22210,13,Successful,19.5,30.4,25.7,4.1,OpenPlay,False
Pass,0,10,124316,13,Successful,24.9,4.2,41.7,3.8,OpenPlay,False
Pass,0,11,239872,13,Unsuccessful,40.6,5.5,45.4,5.5,OpenPlay,False
BallRecovery,0,12,299271,32,Successful,53.9,94.1,,,OpenPlay,False
Pass,0,13,299271,32,Successful,53.9,94.1,59.1,94.4,OpenPlay,False
Pass,0,14,97752,32,Unsuccessful,59.0,94.7,55.9,95.6,OpenPlay,False
Interception,0,15,44120,13,Successful,47.8,2.6,,,OpenPlay,False
Pass,0,24,299271,32,Successful,56.5,100.0,57.2,91.5,ThrowIn,False
Pass,0,25,97752,32,Successful,57.5,89.3,41.1,63,OpenPlay,False
Pass,0,29,100008,32,Successful,40.6,57.5,50.6,11,OpenPlay,False
Pass,0,32,8166,32,Successful,54.2,9.1,85.9,17.1,OpenPlay,False
Pass,0,38,300299,32,Unsuccessful,94.5,13.4,90.3,33.6,OpenPlay,False
BallTouch,0,39,328983,13,Successful,8.7,67.5,,,OpenPlay,False
Clearance,0,41,89401,13,Successful,22.0,62.4,53.6,34.8,OpenPlay,False
Pass,0,46,99487,32,Successful,45.7,66.1,53,46.6,OpenPlay,False
Pass,0,49,336915,32,Successful,47.0,44.3,41.7,20.3,OpenPlay,False
Pass,0,51,100008,32,Successful,41.8,18.6,55.9,4.4,OpenPlay,False
Pass,0,54,8166,32,Unsuccessful,56.0,4.0,70.1,4.9,OpenPlay,False
Pass,0,55,110260,13,Successful,25.5,95.7,34.1,97.8,OpenPlay,False
BallRecovery,0,56,367185,13,Successful,34.1,97.8,,,OpenPlay,False
Pass,0,57,367185,13,Successful,34.1,97.8,30.6,71.8,OpenPlay,False
Pass,0,58,89401,13,Successful,32.9,69.1,53,61.8,OpenPlay,False
BallTouch,1,0,44120,13,Unsuccessful,53.1,63.1,,,OpenPlay,False
Pass,1,1,336915,32,Unsuccessful,43.6,28.9,43.5,31.5,OpenPlay,False
BallTouch,1,2,44120,13,Successful,53.0,69.4,,,OpenPlay,False
BallRecovery,1,4,8166,32,Successful,37.7,4.4,,,OpenPlay,False
Pass,1,5,8166,32,Successful,38.3,3.4,30.9,20.4,OpenPlay,False
Pass,1,8,100008,32,Successful,30.5,21.6,24.3,41.8,OpenPlay,False
Pass,1,9,99487,32,Successful,24.3,41.8,27.6,21.9,OpenPlay,False
Pass,1,12,100008,32,Successful,31.1,17.4,33.8,4.3,OpenPlay,False
Dispossessed,1,17,8166,32,Successful,35.8,3.5,,,OpenPlay,False
