Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
OffsideGiven,0,,44120,13,Unsuccessful,89.9,24.2,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,23,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,50.0,49.7,38.9,51.3,OpenPlay,False
Pass,0,2,89401,13,Successful,39.6,51.9,44.8,90,OpenPlay,False
Pass,0,6,342564,13,Successful,44.8,90.0,36.7,86.5,OpenPlay,False
Pass,0,7,23072,13,Successful,36.7,86.5,26.9,62.3,OpenPlay,False
Pass,0,8,22210,13,Successful,27.1,56.3,34.1,20.7,OpenPlay,False
Pass,0,11,255169,13,Successful,32.2,23.7,23.5,25.3,OpenPlay,False
Pass,0,13,124316,13,Successful,23.9,22.7,67.4,17,OpenPlay,False
Pass,0,17,44120,13,Successful,67.4,17.0,64.6,20.9,OpenPlay,False
OffsideProvoked,0,19,82726,23,Successful,14.5,69.9,,,OpenPlay,False
OffsidePass,0,19,342563,13,Successful,70.8,25.0,89.9,24.2,OpenPlay,False
Pass,0,44,105171,23,Successful,25.1,61.8,19.1,26.8,OpenPlay,False
Pass,0,45,82726,23,Successful,20.2,27.3,27.3,8.2,OpenPlay,False
Pass,0,47,109227,23,Successful,27.3,8.2,17,18.5,OpenPlay,False
Pass,0,50,82726,23,Successful,16.9,18.5,9.3,30.7,OpenPlay,False
Pass,0,51,46092,23,Unsuccessful,9.3,30.7,52.9,30.7,OpenPlay,False
Aerial,0,55,201755,23,Unsuccessful,53.6,31.6,,,OpenPlay,False
Aerial,0,55,89401,13,Successful,46.4,68.4,,,OpenPlay,False
Pass,0,56,89401,13,Successful,45.6,67.5,62.7,69.6,OpenPlay,False
BallRecovery,0,58,342563,13,Successful,62.7,69.6,,,OpenPlay,False
Pass,0,59,342563,13,Unsuccessful,62.7,69.6,62.8,71.5,OpenPlay,False
Pass,1,0,40027,23,Unsuccessful,35.4,23.4,36.6,23.6,OpenPlay,False
BlockedPass,1,0,89401,13,Successful,57.9,73.0,,,OpenPlay,False
Pass,1,17,109227,23,Successful,32.8,0.0,40.9,3.2,ThrowIn,False
Aerial,1,18,23072,13,Unsuccessful,57.9,94.6,,,OpenPlay,False
Aerial,1,18,201755,23,Successful,42.1,5.4,,,OpenPlay,False
Pass,1,19,201755,23,Successful,40.9,3.2,41.7,6.2,OpenPlay,False
Challenge,1,21,89401,13,Unsuccessful,53.7,91.5,,,OpenPlay,False
TakeOn,1,21,136356,23,Successful,46.3,8.5,,,OpenPlay,False
Pass,1,23,136356,23,Successful,56.0,4.7,69.4,7.4,OpenPlay,False
TakeOn,1,27,303924,23,Unsuccessful,75.7,8.9,,,OpenPlay,False
ShieldBallOpp,1,30,124316,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,1,48,92173,13,Successful,5.1,49.4,8.5,28.3,OpenPlay,False
Pass,1,49,124316,13,Successful,8.5,28.3,4.5,51.5,OpenPlay,False
Pass,1,51,92173,13,Successful,4.5,51.5,25.9,76.3,OpenPlay,False
Pass,1,55,89401,13,Unsuccessful,27.5,78.8,46.4,70.2,OpenPlay,False
BallRecovery,1,57,82726,23,Successful,61.8,28.6,,,OpenPlay,False
Pass,1,58,82726,23,Successful,61.8,28.6,72.5,37.1,OpenPlay,False
Pass,1,59,201755,23,Successful,72.5,37.1,75.7,28,OpenPlay,False
Pass,2,0,303924,23,Unsuccessful,75.7,28.0,85.2,44.5,OpenPlay,False
Clearance,2,1,124316,13,Successful,15.8,52.7,39,77.5,OpenPlay,False
Pass,2,2,105171,23,Successful,59.5,15.9,67.7,30.7,OpenPlay,False
Pass,2,3,82726,23,Unsuccessful,64.2,30.1,75.6,30.3,OpenPlay,False
Aerial,2,4,303924,23,Unsuccessful,77.2,32.3,,,OpenPlay,False
