Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,168,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,73078,13,Successful,50.1,50.3,28.3,60.5,OpenPlay,False
Pass,0,4,27586,13,Successful,30.1,58.1,33.4,27.3,OpenPlay,False
Pass,0,7,80921,13,Successful,34.3,23.7,45.6,1.6,OpenPlay,False
Pass,0,10,124316,13,Successful,44.3,2.8,30.2,12.9,OpenPlay,False
Pass,0,13,80921,13,Successful,30.6,15.9,27.5,51.2,OpenPlay,False
Pass,0,15,27586,13,Successful,29.5,58.8,42,96,OpenPlay,False
Pass,0,19,110260,13,Successful,42.3,93.2,40.8,82.1,OpenPlay,False
Pass,0,20,328983,13,Unsuccessful,41.2,82.4,60.2,97.7,OpenPlay,False
Clearance,0,23,362103,168,Successful,37.8,4.9,36.7,0,OpenPlay,False
Pass,0,27,110260,13,Successful,60.1,100.0,54,94.8,ThrowIn,False
Pass,0,29,328983,13,Successful,54.2,92.6,45.8,42.4,OpenPlay,False
Pass,0,33,80921,13,Successful,47.0,38.9,66.5,2.8,OpenPlay,False
Pass,0,37,124316,13,Successful,68.6,2.5,97.2,22.5,OpenPlay,False
Pass,0,39,44120,13,Unsuccessful,97.2,22.5,93.2,51.3,OpenPlay,False
Clearance,0,43,362103,168,Successful,7.1,44.2,28.1,0,OpenPlay,False
Pass,0,57,110260,13,Successful,67.0,100.0,67.2,94.2,ThrowIn,False
Pass,0,58,328983,13,Successful,67.2,94.2,69.2,98.1,OpenPlay,False
Pass,0,59,110260,13,Successful,69.2,98.1,59.2,95.1,OpenPlay,False
Pass,1,1,328983,13,Successful,59.2,95.1,42,95,OpenPlay,False
Pass,1,4,27586,13,Successful,42.0,93.9,32.5,44.3,OpenPlay,False
Pass,1,7,80921,13,Successful,35.2,34.5,48.2,4.3,OpenPlay,False
Pass,1,11,124316,13,Successful,48.9,3.4,58.3,1.6,OpenPlay,False
Pass,1,13,44120,13,Unsuccessful,64.3,17.7,73.4,22.5,OpenPlay,False
