Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,163,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,50.1,49.9,25.2,58.4,OpenPlay,False
Pass,0,3,27586,13,Unsuccessful,26.7,56.1,68,100,OpenPlay,False
Pass,0,18,35607,163,Successful,31.4,0.0,57,2.6,ThrowIn,False
Pass,0,20,296332,163,Unsuccessful,57.6,2.7,54.4,9.7,OpenPlay,False
Dispossessed,0,22,89401,13,Successful,43.2,91.6,,,OpenPlay,False
Tackle,0,22,18501,163,Unsuccessful,56.8,8.4,,,OpenPlay,False
BallRecovery,0,23,367185,13,Successful,41.7,97.1,,,OpenPlay,False
Pass,0,24,367185,13,Successful,41.5,98.3,36.4,92.4,OpenPlay,False
Pass,0,25,110260,13,Successful,36.4,92.4,46.6,82.7,OpenPlay,False
Pass,0,26,342563,13,Successful,46.6,82.7,35.7,70.6,OpenPlay,False
Pass,0,28,328983,13,Successful,38.6,59.3,38.8,25.3,OpenPlay,False
Pass,0,30,124316,13,Successful,38.8,25.3,20,46.4,OpenPlay,False
Pass,0,33,22210,13,Successful,20.9,46.7,14.7,79.7,OpenPlay,False
Pass,0,35,27586,13,Successful,14.7,81.4,24.4,98.7,OpenPlay,False
Pass,0,37,110260,13,Successful,24.4,98.7,45.4,98,OpenPlay,False
BallTouch,0,39,367185,13,Unsuccessful,45.4,98.0,,,OpenPlay,False
BallTouch,0,40,126149,163,Successful,57.9,4.4,,,OpenPlay,False
Pass,0,58,110260,13,Successful,51.5,100.0,28.3,94.8,ThrowIn,False
Pass,1,2,27586,13,Successful,24.9,91.5,9.8,51.2,OpenPlay,False
Pass,1,7,92173,13,Successful,12.1,46.4,15.4,30,OpenPlay,False
Pass,1,9,22210,13,Successful,17.6,28.6,26.1,5.6,OpenPlay,False
Pass,1,12,124316,13,Unsuccessful,26.1,4.4,49.7,7.6,OpenPlay,False
BallRecovery,1,15,134473,163,Successful,54.7,93.2,,,OpenPlay,False
Foul,1,16,134473,163,Successful,58.7,92.9,,,OpenPlay,False
Foul,1,16,328983,13,Unsuccessful,41.3,7.1,,,OpenPlay,False
Pass,1,26,90324,163,Successful,62.5,93.5,71.2,94.8,OpenPlay,False
Pass,1,29,42266,163,Successful,72.3,94.8,80.4,95.9,OpenPlay,False
Dispossessed,1,30,18501,163,Successful,74.5,96.0,,,OpenPlay,False
Tackle,1,30,124316,13,Successful,25.5,4.0,,,OpenPlay,False
