Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,163,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,73078,13,Successful,50.0,50.0,30,52.4,OpenPlay,False,False
Pass,0,4,27586,13,Unsuccessful,28.7,50.6,75.1,43,OpenPlay,False,False
Pass,0,7,108632,163,Unsuccessful,25.9,60.6,40.1,65.7,OpenPlay,False,False
Pass,0,10,255169,13,Unsuccessful,58.1,24.0,68,20,OpenPlay,False,False
BallRecovery,0,12,42266,163,Successful,36.1,82.0,,,OpenPlay,False,False
Pass,0,13,42266,163,Successful,36.3,82.9,46.6,92.3,OpenPlay,False,False
Dispossessed,0,15,30448,163,Successful,56.9,94.8,,,OpenPlay,False,False
Tackle,0,15,255169,13,Successful,43.1,5.2,,,OpenPlay,False,False
Pass,0,30,42266,163,Successful,62.6,100.0,67.2,78.4,ThrowIn,False,False
BallTouch,0,32,126149,163,Unsuccessful,67.6,75.0,,,OpenPlay,False,False
Pass,0,34,89401,13,Successful,26.2,27.9,29.9,43.1,OpenPlay,False,False
BallRecovery,0,36,342563,13,Successful,30.6,44.9,,,OpenPlay,False,False
Pass,0,36,342563,13,Successful,30.6,44.9,20.4,44.2,OpenPlay,False,False
Pass,0,38,110260,13,Successful,22.7,57.0,3.5,46.1,OpenPlay,False,False
Pass,0,41,102248,13,Successful,2.6,44.3,6.1,16.5,OpenPlay,False,False
Pass,0,44,80921,13,Unsuccessful,7.1,14.1,9.6,14.4,OpenPlay,False,False
BlockedPass,0,44,138695,163,Successful,89.2,94.1,,,OpenPlay,False,False
Pass,1,1,255169,13,Successful,7.7,0.0,6.6,6.8,ThrowIn,False,False
Pass,1,2,80921,13,Successful,6.6,6.8,13.5,2.3,OpenPlay,False,False
Pass,1,4,255169,13,Successful,15.0,2.0,22.4,18.8,OpenPlay,False,False
Pass,1,6,89401,13,Successful,23.1,21.6,24.4,62.3,OpenPlay,False,False
Pass,1,9,110260,13,Successful,24.3,63.7,31.3,91.2,OpenPlay,False,False
Pass,1,11,297403,13,Unsuccessful,32.8,94.7,87.7,76,OpenPlay,False,False
KeeperPickup,1,16,304008,163,Successful,9.7,22.5,,,OpenPlay,False,False
Pass,1,28,304008,163,Unsuccessful,19.2,30.4,65.5,46.1,OpenPlay,False,False
Aerial,1,30,89401,13,Successful,35.9,53.4,,,OpenPlay,False,False
Aerial,1,30,138695,163,Unsuccessful,64.1,46.6,,,OpenPlay,False,False
Pass,1,30,89401,13,Unsuccessful,37.5,53.0,73.3,34.2,OpenPlay,False,False
Pass,1,38,108632,163,Successful,24.1,63.1,9.5,46,OpenPlay,False,False
Pass,1,42,304008,163,Unsuccessful,12.3,43.6,65.9,14.3,OpenPlay,False,False
Pass,1,45,110260,13,Successful,33.6,82.0,50.9,81.2,OpenPlay,False,False
Aerial,1,47,367185,13,Successful,52.0,79.0,,,OpenPlay,False,False
Aerial,1,47,90324,163,Unsuccessful,48.0,21.0,,,OpenPlay,False,False
Pass,1,48,367185,13,Unsuccessful,50.6,81.5,61.6,87.1,OpenPlay,False,False
Pass,1,52,35607,163,Successful,34.4,2.2,70.5,7.4,OpenPlay,False,False
Aerial,1,53,138695,163,Successful,65.4,10.6,,,OpenPlay,False,False
Aerial,1,53,110260,13,Unsuccessful,34.6,89.4,,,OpenPlay,False,False
Pass,1,55,138695,163,Unsuccessful,70.5,7.4,76.1,11.4,OpenPlay,False,False
Pass,1,55,27586,13,Unsuccessful,27.9,82.4,41.5,88.9,OpenPlay,False,False
Pass,1,57,134244,163,Successful,64.8,12.0,72.3,6.7,OpenPlay,False,False
Pass,1,58,126149,163,Successful,70.2,4.0,70.1,10.1,OpenPlay,False,False
Foul,1,59,138695,163,Successful,68.6,11.4,,,OpenPlay,False,False
Foul,1,59,89401,13,Unsuccessful,31.4,88.6,,,OpenPlay,False,False
Pass,2,28,90324,163,Unsuccessful,69.7,8.8,100,69.4,OpenPlay,False,False
Pass,2,57,102248,13,Successful,4.7,50.7,20.1,79.9,OpenPlay,False,False
Pass,3,2,110260,13,Unsuccessful,20.1,79.9,61.7,59.9,OpenPlay,False,False
BallRecovery,3,7,108632,163,Successful,29.5,44.0,,,OpenPlay,False,False
Pass,3,8,108632,163,Successful,29.3,44.2,9.2,54,OpenPlay,False,False
Pass,3,12,304008,163,Unsuccessful,10.2,52.4,66.7,60.8,OpenPlay,False,False
Aerial,3,14,80921,13,Successful,34.8,38.7,,,OpenPlay,False,False
Aerial,3,14,138695,163,Unsuccessful,65.2,61.3,,,OpenPlay,False,False
Pass,3,14,80921,13,Successful,36.1,38.0,46.4,39.5,OpenPlay,False,False
BallRecovery,3,16,342563,13,Successful,54.1,30.9,,,OpenPlay,False,False
Pass,3,17,342563,13,Successful,54.5,29.8,60.7,14.3,OpenPlay,False,False
Pass,3,21,239872,13,Successful,62.3,11.3,57.5,14.7,OpenPlay,False,False
Pass,3,26,342563,13,Successful,57.1,14.6,55.7,4,OpenPlay,False,False
Pass,3,27,255169,13,Successful,55.7,4.0,41.8,19.8,OpenPlay,False,False
Pass,3,29,80921,13,Successful,43.3,28.8,33.5,40.9,OpenPlay,False,False
Pass,3,32,27586,13,Successful,33.5,39.7,39.4,80.6,OpenPlay,False,False
Pass,3,34,110260,13,Successful,39.6,82.0,53.1,79.9,OpenPlay,False,False
Pass,3,36,367185,13,Successful,52.9,79.9,44,75.1,OpenPlay,False,False
Pass,3,40,89401,13,Successful,52.2,59.6,53.2,30.7,OpenPlay,False,False
Pass,3,43,255169,13,Successful,62.7,23.3,70.2,5.2,OpenPlay,False,False
Pass,3,49,239872,13,Successful,70.1,18.8,65,33.1,OpenPlay,False,False
Pass,3,51,89401,13,Successful,64.8,33.4,63.2,57.8,OpenPlay,False,False
Pass,3,56,110260,13,Successful,67.4,69.7,70.7,97.2,OpenPlay,False,False
TakeOn,4,1,297403,13,Unsuccessful,78.6,97.1,,,OpenPlay,False,False
Pass,4,19,35607,163,Successful,23.3,0.0,41.6,3.8,ThrowIn,False,False
Pass,4,20,18501,163,Successful,41.6,3.8,46.1,5.8,OpenPlay,False,False
Dispossessed,4,21,138695,163,Successful,45.4,5.5,,,OpenPlay,False,False
Tackle,4,21,110260,13,Unsuccessful,54.6,94.5,,,OpenPlay,False,False
BallTouch,4,22,138695,163,Successful,44.2,10.4,,,OpenPlay,False,False
BallRecovery,4,24,89401,13,Successful,54.2,88.0,,,OpenPlay,False,False
Pass,4,24,89401,13,Successful,54.2,88.0,44.7,75.9,OpenPlay,False,False
Pass,4,27,80921,13,Successful,52.1,52.8,65.2,49.4,OpenPlay,False,False
Pass,4,30,73078,13,Unsuccessful,65.4,49.3,66.8,50.7,OpenPlay,False,False
BlockedPass,4,30,108632,163,Successful,33.9,54.6,,,OpenPlay,False,False
BallRecovery,4,31,30448,163,Successful,35.6,60.8,,,OpenPlay,False,False
Pass,4,32,30448,163,Successful,36.9,64.1,37.2,68.8,OpenPlay,False,False
Pass,4,36,42266,163,Unsuccessful,40.0,70.7,85.2,59.2,OpenPlay,False,False
BallRecovery,4,36,102248,13,Successful,13.6,44.2,,,OpenPlay,False,False
Pass,4,37,102248,13,Successful,13.3,46.4,22.8,83.2,OpenPlay,False,False
Pass,4,40,110260,13,Successful,24.1,86.0,28.6,98.1,OpenPlay,False,False
Pass,4,41,297403,13,Successful,28.6,98.1,23,89,OpenPlay,False,False
Pass,4,42,110260,13,Successful,23.0,88.9,13.6,64,OpenPlay,False,False
Pass,4,45,27586,13,Successful,12.1,60.6,8.4,39.7,OpenPlay,False,False
Pass,4,47,102248,13,Successful,8.7,38.6,19.4,42.7,OpenPlay,False,False
Pass,4,49,89401,13,Successful,19.3,42.7,12.3,15.5,OpenPlay,False,False
Pass,4,51,80921,13,Successful,17.7,12.9,5.8,41.2,OpenPlay,False,False
Pass,4,54,102248,13,Successful,5.8,41.2,12.3,68.7,OpenPlay,False,False
Pass,4,59,27586,13,Successful,24.6,69.1,24.1,54,OpenPlay,False,False
Pass,5,2,89401,13,Successful,26.4,54.2,32.3,60.3,OpenPlay,False,False
Pass,5,4,367185,13,Successful,32.3,60.3,21.1,27.6,OpenPlay,False,False
Pass,5,11,80921,13,Successful,32.1,24.9,32,41.9,OpenPlay,False,False
Pass,5,13,89401,13,Successful,32.2,44.0,34.6,76,OpenPlay,False,False
Pass,5,18,110260,13,Successful,30.0,69.9,19.5,56.4,OpenPlay,False,False
Pass,5,21,27586,13,Successful,19.5,56.4,12.5,5.8,OpenPlay,False,False
