Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,18,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,105172,18,Successful,50.3,49.7,30.5,49.9,OpenPlay,False
Pass,0,2,92550,18,Successful,30.5,48.7,35.6,69.1,OpenPlay,False
Pass,0,7,136742,18,Successful,38.6,71.7,78,90.2,OpenPlay,False
Aerial,0,9,91762,18,Successful,78.2,89.2,,,OpenPlay,False
Aerial,0,9,125211,13,Unsuccessful,21.8,10.8,,,OpenPlay,False
Pass,0,10,91762,18,Unsuccessful,76.2,90.5,73.6,75.7,OpenPlay,False
Pass,0,10,144890,13,Unsuccessful,27.2,18.9,27.9,0,OpenPlay,False
Pass,0,29,22846,18,Successful,75.3,100.0,74,86,ThrowIn,False
Pass,0,30,86425,18,Successful,74.3,87.7,77.2,92.9,OpenPlay,False
Pass,0,31,22846,18,Unsuccessful,78.6,96.4,78.6,92.1,OpenPlay,False
BallTouch,0,32,125211,13,Successful,22.9,8.7,,,OpenPlay,False
Pass,0,33,86425,18,Successful,77.0,88.0,95.9,94.4,OpenPlay,False
Pass,0,35,22846,18,Successful,96.5,94.5,91.3,65.5,ShotAssist,False
MissedShots,0,37,91762,18,Successful,90.2,63.7,,,OpenPlay,False
Clearance,0,38,367185,13,Successful,8.3,48.2,10.1,44.5,OpenPlay,False
SavedShot,0,39,93677,18,Successful,90.2,53.8,,,OpenPlay,False
Save,0,39,288795,13,Successful,9.3,47.2,,,OpenPlay,False
Clearance,0,40,125211,13,Successful,7.8,37.9,39.7,54.5,OpenPlay,False
Pass,0,45,92550,18,Unsuccessful,62.4,33.2,100,76.9,OpenPlay,False
Pass,1,19,102248,13,Unsuccessful,5.1,44.0,59.5,24,OpenPlay,False
Aerial,1,19,136742,18,Successful,39.0,74.6,,,OpenPlay,False
Aerial,1,19,239872,13,Unsuccessful,61.0,25.4,,,OpenPlay,False
Pass,1,20,136742,18,Unsuccessful,36.3,73.2,38.2,72.8,OpenPlay,False
BallTouch,1,21,239872,13,Successful,62.6,20.4,,,OpenPlay,False
BallRecovery,1,24,101859,18,Successful,40.2,62.5,,,OpenPlay,False
Pass,1,24,101859,18,Successful,40.6,61.2,40.5,31.4,OpenPlay,False
Pass,1,30,323791,18,Successful,50.7,12.0,44.5,21.2,OpenPlay,False
Pass,1,33,101859,18,Successful,43.1,19.4,18.8,45.4,OpenPlay,False
Pass,1,38,38577,18,Unsuccessful,18.8,48.0,69.2,77.7,OpenPlay,False
Pass,1,41,125211,13,Unsuccessful,30.1,26.5,35.2,33,OpenPlay,False
TakeOn,1,42,91762,18,Unsuccessful,73.0,70.0,,,OpenPlay,False
Tackle,1,42,80921,13,Unsuccessful,27.0,30.0,,,OpenPlay,False
TakeOn,1,44,91762,18,Unsuccessful,74.8,70.6,,,OpenPlay,False
Tackle,1,44,80921,13,Unsuccessful,25.2,29.4,,,OpenPlay,False
Pass,1,46,91762,18,Successful,77.5,66.6,79.2,76.9,OpenPlay,False
Pass,1,47,86425,18,Unsuccessful,78.2,74.6,88.2,74.6,OpenPlay,False
Interception,1,47,125211,13,Successful,13.6,24.1,,,OpenPlay,False
BallRecovery,1,49,125211,13,Successful,11.5,17.6,,,OpenPlay,False
Pass,1,50,125211,13,Unsuccessful,15.4,15.3,31.5,41.5,OpenPlay,False
BallRecovery,1,52,101859,18,Successful,68.1,54.2,,,OpenPlay,False
Pass,1,53,101859,18,Successful,67.8,54.0,71.9,72.7,OpenPlay,False
Pass,1,54,105172,18,Successful,70.7,72.8,80.3,90.3,OpenPlay,False
Pass,1,58,86425,18,Unsuccessful,84.3,90.1,100,34.5,OpenPlay,False
Pass,2,19,102248,13,Successful,3.6,47.2,8,25.8,OpenPlay,False
Pass,2,21,80921,13,Successful,7.8,27.0,6.6,71.7,OpenPlay,False
Pass,2,24,288795,13,Successful,7.5,72.7,19.8,61.5,OpenPlay,False
Pass,2,26,89401,13,Unsuccessful,24.5,57.2,52.5,0,OpenPlay,False
Pass,2,53,22846,18,Successful,46.7,100.0,45,91.7,ThrowIn,False
Pass,2,54,105172,18,Successful,45.0,91.7,46.6,96.8,OpenPlay,False
Pass,2,56,22846,18,Successful,46.9,97.1,56.1,93.4,OpenPlay,False
Pass,2,56,91762,18,Successful,56.6,95.4,66.1,80.4,OpenPlay,False
Challenge,2,59,288795,13,Unsuccessful,31.1,24.8,,,OpenPlay,False
TakeOn,2,59,351355,18,Successful,68.9,75.2,,,OpenPlay,False
Pass,3,0,351355,18,Successful,66.0,72.0,79.5,24.7,OpenPlay,False
TakeOn,3,4,323791,18,Unsuccessful,88.4,23.6,,,OpenPlay,False
Tackle,3,4,44120,13,Successful,11.6,76.4,,,OpenPlay,False
BallRecovery,3,5,44120,13,Successful,10.7,87.5,,,OpenPlay,False
Pass,3,8,44120,13,Successful,8.8,90.5,19.6,95.9,OpenPlay,False
Pass,3,10,367185,13,Unsuccessful,20.2,97.9,24.9,96.6,OpenPlay,False
Pass,3,11,105172,18,Successful,75.6,3.4,58.1,21.1,OpenPlay,False
BallRecovery,3,13,101859,18,Successful,57.3,23.7,,,OpenPlay,False
Pass,3,14,101859,18,Successful,55.7,21.7,65.4,17.6,OpenPlay,False
Pass,3,15,86425,18,Successful,65.7,21.5,61.1,27.4,OpenPlay,False
Pass,3,20,101859,18,Successful,61.2,36.7,53.7,26.5,OpenPlay,False
Pass,3,23,92550,18,Successful,55.2,28.3,46.7,53.1,OpenPlay,False
Pass,3,27,136742,18,Successful,46.0,48.1,61.8,5.3,OpenPlay,False
Pass,3,30,323791,18,Unsuccessful,61.9,5.3,62.3,32.2,OpenPlay,False
BallRecovery,3,31,89401,13,Successful,38.7,62.7,,,OpenPlay,False
Pass,3,35,89401,13,Successful,53.9,34.3,53.4,11.4,OpenPlay,False
Pass,3,37,125211,13,Successful,53.5,11.6,52.8,27.4,OpenPlay,False
Pass,3,39,89401,13,Successful,51.8,24.9,38.2,25.9,OpenPlay,False
Pass,3,42,80921,13,Successful,38.5,27.6,33.8,49.3,OpenPlay,False
Pass,3,43,288795,13,Successful,33.8,54.5,34.5,79.7,OpenPlay,False
Pass,3,45,297403,13,Successful,34.4,81.5,51.5,98,OpenPlay,False
Pass,3,51,367185,13,Unsuccessful,71.1,82.6,71.7,56.1,OpenPlay,False
Pass,3,52,22846,18,Successful,25.4,46.0,33.9,29.7,OpenPlay,False
BallRecovery,3,53,93677,18,Successful,37.7,31.5,,,OpenPlay,False
TakeOn,3,55,93677,18,Successful,35.6,37.6,,,OpenPlay,False
Challenge,3,55,144890,13,Unsuccessful,64.4,62.4,,,OpenPlay,False
Pass,3,58,93677,18,Successful,34.0,41.6,41.2,30.4,OpenPlay,False
Pass,4,1,105172,18,Successful,39.0,29.8,27.7,30.4,OpenPlay,False
Pass,4,3,92550,18,Successful,28.3,31.6,29.3,79.1,OpenPlay,False
Pass,4,10,22846,18,Successful,33.5,80.5,36.9,64,OpenPlay,False
Pass,4,12,101859,18,Successful,37.2,64.8,23.5,65.5,OpenPlay,False
Pass,4,13,136742,18,Successful,22.9,65.4,12,48.8,OpenPlay,False
Pass,4,17,38577,18,Successful,12.9,42.1,48.5,4.4,OpenPlay,False
Pass,4,21,323791,18,Successful,48.1,2.6,43.3,9.1,OpenPlay,False
Pass,4,23,93677,18,Unsuccessful,42.6,2.2,58.4,2.3,OpenPlay,False
Pass,4,24,297403,13,Successful,41.9,96.9,63,94.2,OpenPlay,False
BallRecovery,4,26,44120,13,Successful,63.0,94.2,,,OpenPlay,False
Pass,4,26,44120,13,Successful,63.0,94.2,59.3,88.3,OpenPlay,False
Pass,4,28,144890,13,Successful,58.8,85.7,64.5,78.9,OpenPlay,False
Dispossessed,4,29,345845,13,Successful,66.9,78.2,,,OpenPlay,False
Tackle,4,29,136742,18,Successful,33.1,21.8,,,OpenPlay,False
BallRecovery,4,30,105172,18,Successful,32.7,21.0,,,OpenPlay,False
Pass,4,31,105172,18,Successful,32.7,21.0,47.9,41.8,OpenPlay,False
Pass,4,33,91762,18,Successful,42.4,31.0,41.1,40,OpenPlay,False
Pass,4,36,105172,18,Successful,44.9,48.5,31.4,73.2,OpenPlay,False
Pass,4,39,22846,18,Successful,36.8,78.3,42.4,96.6,OpenPlay,False
Pass,4,39,86425,18,Successful,42.0,97.1,28.5,87.2,OpenPlay,False
Pass,4,47,22846,18,Successful,30.6,77.0,28.8,33.7,OpenPlay,False
Pass,4,49,136742,18,Successful,29.0,34.0,17.7,24.3,OpenPlay,False
Pass,4,51,92550,18,Successful,17.7,24.3,5.9,43.3,OpenPlay,False
Pass,4,53,38577,18,Unsuccessful,6.5,43.7,56.6,21.5,OpenPlay,False
Pass,4,57,367185,13,Unsuccessful,44.7,78.7,57.8,78.9,OpenPlay,False
Pass,5,0,92550,18,Unsuccessful,40.0,21.7,49.3,20.7,OpenPlay,False
BallTouch,5,1,144890,13,Successful,51.7,77.3,,,OpenPlay,False
Pass,5,1,92550,18,Successful,45.3,27.7,40.6,29.7,OpenPlay,False
Pass,5,2,101859,18,Unsuccessful,40.9,35.1,74.8,94.2,OpenPlay,False
BallRecovery,5,9,125211,13,Successful,26.6,3.7,,,OpenPlay,False
Pass,5,11,125211,13,Successful,25.4,4.7,14.7,18.5,OpenPlay,False
Pass,5,14,80921,13,Successful,12.5,23.6,3.8,44.8,OpenPlay,False
Pass,5,16,102248,13,Successful,4.1,47.0,14.1,82.1,OpenPlay,False
Pass,5,20,288795,13,Successful,14.1,82.1,20.4,96,OpenPlay,False
Pass,5,20,297403,13,Successful,20.4,96.0,11.8,87.5,OpenPlay,False
Pass,5,23,288795,13,Successful,13.2,84.3,27.2,55.3,OpenPlay,False
Pass,5,25,89401,13,Unsuccessful,26.9,58.1,33.3,54.2,OpenPlay,False
Interception,5,27,105172,18,Successful,67.4,46.2,,,OpenPlay,False
Pass,5,28,105172,18,Successful,69.2,49.7,67.5,65.3,OpenPlay,False
BallRecovery,5,29,86425,18,Successful,69.4,68.2,,,OpenPlay,False
Pass,5,33,86425,18,Successful,66.2,82.0,73.3,95.1,OpenPlay,False
Pass,5,35,22846,18,Successful,68.5,88.4,61.3,79.3,OpenPlay,False
Pass,5,37,105172,18,Successful,62.0,84.4,41.2,82.7,OpenPlay,False
Pass,5,41,136742,18,Successful,40.6,82.6,25,50.6,OpenPlay,False
Pass,5,43,38577,18,Successful,25.0,50.6,38.3,49.9,OpenPlay,False
Pass,5,49,101859,18,Successful,36.7,51.0,23,50.7,OpenPlay,False
Pass,5,52,38577,18,Successful,27.3,50.3,64.2,6.5,OpenPlay,False
Aerial,5,53,323791,18,Successful,67.2,5.8,,,OpenPlay,False
Aerial,5,53,367185,13,Unsuccessful,32.8,94.2,,,OpenPlay,False
Pass,5,56,323791,18,Successful,63.7,5.4,52.1,10.2,OpenPlay,False
Pass,5,58,93677,18,Successful,52.6,8.3,35.9,7.3,OpenPlay,False
Pass,6,1,92550,18,Successful,32.8,7.9,18.5,34.3,OpenPlay,False
Pass,6,2,38577,18,Unsuccessful,18.2,33.6,30.2,21.9,OpenPlay,False
Interception,6,3,144890,13,Successful,68.7,78.7,,,OpenPlay,False
Pass,6,4,144890,13,Successful,69.4,78.7,76.5,49.9,OpenPlay,False
BallRecovery,6,6,44120,13,Successful,75.1,48.0,,,OpenPlay,False
SavedShot,6,8,44120,13,Successful,76.2,47.2,,,OpenPlay,False
Save,6,8,38577,18,Successful,3.5,49.9,,,OpenPlay,False
KeeperPickup,6,8,38577,18,Successful,3.5,49.9,,,OpenPlay,False
Pass,6,17,38577,18,Successful,9.0,48.0,27.5,43.1,OpenPlay,False
Pass,6,19,101859,18,Successful,29.2,41.5,34.9,27,OpenPlay,False
Pass,6,21,93677,18,Successful,34.9,25.6,44.3,31.6,OpenPlay,False
Pass,6,23,101859,18,Successful,47.7,26.6,68.7,5,OpenPlay,False
TakeOn,6,26,323791,18,Unsuccessful,68.1,4.8,,,OpenPlay,False
Pass,6,44,297403,13,Successful,25.7,100.0,34.2,95.3,ThrowIn,False
Pass,6,45,367185,13,Successful,34.2,95.3,24.8,98.1,OpenPlay,False
Pass,6,47,297403,13,Successful,25.5,98.0,44.4,76,OpenPlay,False
Foul,6,50,345845,13,Successful,44.4,72.4,,,OpenPlay,False
Foul,6,50,136742,18,Unsuccessful,55.6,27.6,,,OpenPlay,False
OffsideGiven,7,,367185,13,Unsuccessful,79.8,77.5,,,OpenPlay,False
Pass,7,3,89401,13,Successful,46.9,68.2,42.2,44.7,OpenPlay,False
Pass,7,5,144890,13,Successful,54.8,34.0,66.8,29.7,OpenPlay,False
Pass,7,6,239872,13,Successful,64.1,36.9,60.1,28.9,OpenPlay,False
