Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,30,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,143990,30,Successful,49.9,50.0,30.9,61.5,OpenPlay,False
Pass,0,4,69933,30,Successful,33.0,58.7,58.8,5.2,OpenPlay,False
Pass,0,6,83683,30,Unsuccessful,58.8,5.2,66.4,20.6,OpenPlay,False
Pass,0,8,89401,13,Successful,27.8,74.4,27.2,93.8,OpenPlay,False
Pass,0,9,297403,13,Unsuccessful,27.1,93.6,39,86.9,OpenPlay,False
Pass,0,11,83683,30,Unsuccessful,57.8,16.2,76,26.8,OpenPlay,False
BallRecovery,0,13,27586,13,Successful,20.7,74.0,,,OpenPlay,False
Dispossessed,0,15,27586,13,Successful,23.4,70.4,,,OpenPlay,False
Tackle,0,15,83532,30,Successful,76.6,29.6,,,OpenPlay,False
BallRecovery,0,16,92508,30,Successful,68.6,42.8,,,OpenPlay,False
SavedShot,0,17,92508,30,Successful,75.5,43.9,,,OpenPlay,False
Save,0,17,102248,13,Successful,3.2,51.2,,,OpenPlay,False
KeeperPickup,0,19,102248,13,Successful,3.2,51.2,,,OpenPlay,False
Pass,0,25,102248,13,Successful,9.3,53.0,9.7,29.9,OpenPlay,False
Pass,0,27,80921,13,Successful,9.5,29.3,3.8,46,OpenPlay,False
Pass,0,29,102248,13,Successful,2.6,48.7,7.2,81,OpenPlay,False
Pass,0,35,27586,13,Unsuccessful,14.7,88.4,57.7,82.2,OpenPlay,False
BallRecovery,0,40,322655,30,Successful,32.6,33.4,,,OpenPlay,False
Pass,0,42,322655,30,Successful,40.2,28.9,9.3,56.3,OpenPlay,False
Pass,0,46,25604,30,Unsuccessful,9.4,59.0,61.4,33.9,OpenPlay,False
BallRecovery,0,50,110260,13,Successful,42.7,64.8,,,OpenPlay,False
Pass,0,50,110260,13,Unsuccessful,45.2,70.9,54.3,46.4,OpenPlay,False
BallRecovery,0,52,143990,30,Successful,42.8,54.6,,,OpenPlay,False
Pass,0,53,143990,30,Successful,44.9,51.8,39.6,79.1,OpenPlay,False
Pass,0,56,103837,30,Successful,37.0,83.2,29.7,66.1,OpenPlay,False
Pass,1,0,69933,30,Unsuccessful,30.2,58.8,100,9.5,OpenPlay,False
ShieldBallOpp,1,7,297403,13,Successful,0.0,0.0,,,OpenPlay,False
Pass,1,25,102248,13,Successful,4.2,49.6,14.6,21.5,OpenPlay,False
Pass,1,29,80921,13,Unsuccessful,19.1,16.7,46.1,49.9,OpenPlay,False
BallRecovery,1,32,303908,30,Successful,46.3,57.0,,,OpenPlay,False
Pass,1,34,303908,30,Successful,45.0,71.8,42.2,93.2,OpenPlay,False
Pass,1,36,103837,30,Successful,41.4,96.8,63.7,63.9,ShotAssist,False
SavedShot,1,42,83532,30,Successful,74.1,56.3,,,OpenPlay,False
Save,1,42,89401,13,Successful,22.4,43.9,,,OpenPlay,False
BallTouch,1,43,80921,13,Successful,18.8,37.1,,,OpenPlay,False
BallRecovery,1,46,125211,13,Successful,5.7,22.7,,,OpenPlay,False
