Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,107,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,131079,107,Successful,50.0,50.0,51.8,51.2,OpenPlay,False,False
Pass,0,3,344716,107,Successful,47.9,43.4,39.3,30.9,OpenPlay,False,False
Pass,0,6,127129,107,Successful,39.3,30.9,32.1,61.5,OpenPlay,False,False
Pass,0,8,369446,107,Successful,31.5,61.4,38.2,33,OpenPlay,False,False
Pass,0,12,127129,107,Successful,40.2,9.3,59.1,7.3,OpenPlay,False,False
BallTouch,0,13,279177,107,Unsuccessful,61.8,6.9,,,OpenPlay,False,False
BallRecovery,0,15,288795,13,Successful,12.5,79.3,,,OpenPlay,False,False
Pass,0,16,288795,13,Successful,12.5,79.3,2.7,68.2,OpenPlay,False,False
Pass,0,18,102248,13,Successful,2.7,68.2,25.1,69.9,OpenPlay,False,False
Pass,0,19,144890,13,Unsuccessful,25.1,69.9,28.7,39.8,OpenPlay,False,False
BallRecovery,0,21,332558,107,Successful,74.3,59.1,,,OpenPlay,False,False
MissedShots,0,22,332558,107,Successful,71.5,56.3,,,OpenPlay,False,False
Pass,0,36,102248,13,Successful,5.1,58.8,27.1,84.8,OpenPlay,False,False
Pass,0,40,288795,13,Successful,31.2,83.7,22.6,35.9,OpenPlay,False,False
Pass,0,43,80921,13,Successful,31.9,26.2,56.6,22.4,OpenPlay,False,False
Foul,0,47,131079,107,Unsuccessful,56.6,82.6,,,OpenPlay,False,False
Foul,0,47,239872,13,Successful,43.4,17.4,,,OpenPlay,False,False
Pass,0,58,80921,13,Successful,44.1,21.8,29.4,37.4,OpenPlay,False,False
Pass,1,1,22210,13,Successful,29.4,37.4,34.9,81.7,OpenPlay,False,False
Pass,1,3,288795,13,Successful,35.1,78.8,28.8,53.6,OpenPlay,False,False
Pass,1,8,22210,13,Successful,28.1,46.0,34.4,18.9,OpenPlay,False,False
Pass,1,9,80921,13,Successful,35.7,17.0,52,2.5,OpenPlay,False,False
Pass,1,12,255169,13,Unsuccessful,52.2,5.0,81.7,5,OpenPlay,False,False
BallRecovery,1,16,369446,107,Successful,19.8,95.1,,,OpenPlay,False,False
Pass,1,17,369446,107,Successful,19.5,95.1,3.2,75.1,OpenPlay,False,False
Pass,1,19,39315,107,Successful,3.2,75.1,10.9,97.2,OpenPlay,False,False
Pass,1,21,369446,107,Successful,11.4,97.1,35.1,97.5,OpenPlay,False,False
BallTouch,1,23,332558,107,Unsuccessful,35.1,97.5,,,OpenPlay,False,False
Pass,1,28,255169,13,Successful,62.9,0.0,42.3,6.1,ThrowIn,False,False
Pass,1,31,80921,13,Successful,42.0,6.5,34.5,23.7,OpenPlay,False,False
Pass,1,35,22210,13,Successful,37.5,25.2,33.2,70.8,OpenPlay,False,False
Pass,1,38,288795,13,Successful,32.6,66.7,26.8,39.1,OpenPlay,False,False
Pass,1,41,22210,13,Successful,26.8,39.1,33.5,44,OpenPlay,False,False
Pass,1,44,144890,13,Successful,34.3,33.0,39,7.9,OpenPlay,False,False
Pass,1,47,80921,13,Successful,36.5,7.6,29.1,46,OpenPlay,False,False
Pass,1,54,22210,13,Successful,34.0,43.1,39.4,23,OpenPlay,False,False
Pass,1,56,80921,13,Successful,40.8,18.3,59.2,2.6,OpenPlay,False,False
Pass,1,59,255169,13,Successful,60.0,2.9,64.1,8.2,OpenPlay,False,False
Pass,2,0,239872,13,Successful,64.1,8.2,60.9,5.3,OpenPlay,False,False
BallTouch,2,1,255169,13,Unsuccessful,60.9,5.3,,,OpenPlay,False,False
BallRecovery,2,2,131079,107,Successful,40.7,93.3,,,OpenPlay,False,False
Pass,2,3,131079,107,Successful,39.7,92.9,39.7,95.3,OpenPlay,False,False
Pass,2,4,302664,107,Unsuccessful,39.7,95.3,56.8,73.6,OpenPlay,False,False
BallRecovery,2,5,22210,13,Successful,39.0,31.6,,,OpenPlay,False,False
