Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,27,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,50.1,49.9,44.1,52.5,OpenPlay,False
Pass,0,3,13756,13,Successful,43.9,47.6,35.3,31.9,OpenPlay,False
Pass,0,6,328983,13,Successful,35.6,26.2,52.7,3.2,OpenPlay,False
BallTouch,0,7,255169,13,Unsuccessful,56.6,2.9,,,OpenPlay,False
BallRecovery,0,8,98317,27,Successful,34.7,92.1,,,OpenPlay,False
Pass,0,9,98317,27,Successful,32.6,93.5,29.7,86.2,OpenPlay,False
Pass,0,10,21499,27,Successful,29.9,86.5,36.6,96.9,OpenPlay,False
Pass,0,12,69956,27,Successful,36.6,96.9,32,97.1,OpenPlay,False
Pass,0,13,98317,27,Successful,32.0,97.2,26.5,96.6,OpenPlay,False
Pass,0,14,21499,27,Unsuccessful,27.1,97.5,59.6,100,OpenPlay,False
Pass,0,28,255169,13,Successful,58.4,0.0,60,8.1,ThrowIn,False
Pass,0,30,13756,13,Successful,59.3,10.3,57.6,3.2,OpenPlay,False
Pass,0,31,255169,13,Successful,57.6,3.2,58.7,9.1,OpenPlay,False
Pass,0,32,13756,13,Unsuccessful,62.7,9.3,63.2,8.1,OpenPlay,False
BlockedPass,0,32,116317,27,Successful,39.0,91.0,,,OpenPlay,False
Pass,0,33,116317,27,Unsuccessful,41.9,96.2,46.7,94.8,OpenPlay,False
Pass,0,35,328983,13,Successful,46.6,3.4,34.3,8.5,OpenPlay,False
Pass,0,38,22210,13,Successful,32.4,13.8,28.8,55.7,OpenPlay,False
Pass,0,41,27586,13,Successful,32.1,59.9,44.4,97.1,OpenPlay,False
Pass,0,46,110260,13,Successful,52.9,96.2,46.2,91.7,OpenPlay,False
Pass,0,48,144890,13,Successful,44.0,92.4,35.6,92.4,OpenPlay,False
Pass,0,52,27586,13,Successful,37.3,76.6,67.9,5.8,OpenPlay,False
Pass,0,58,255169,13,Successful,68.2,14.0,62.3,13.8,OpenPlay,False
Pass,1,3,328983,13,Successful,62.9,53.7,58.3,70.9,OpenPlay,False
Pass,1,5,144890,13,Successful,58.7,75.4,64.2,97.5,OpenPlay,False
Pass,1,9,44120,13,Successful,61.3,96.0,59.2,91.2,OpenPlay,False
Pass,1,13,144890,13,Successful,59.9,86.5,44.6,42.7,OpenPlay,False
Pass,1,16,22210,13,Successful,45.1,41.3,60.5,15,OpenPlay,False
Pass,1,19,328983,13,Unsuccessful,61.2,12.9,67.3,5.6,OpenPlay,False
Interception,1,20,98317,27,Successful,34.6,96.3,,,OpenPlay,False
BallRecovery,1,21,98317,27,Successful,39.2,98.3,,,OpenPlay,False
Challenge,1,23,328983,13,Unsuccessful,52.5,7.4,,,OpenPlay,False
TakeOn,1,23,98317,27,Successful,47.5,92.6,,,OpenPlay,False
Pass,1,26,98317,27,Unsuccessful,68.2,95.3,69,90.2,OpenPlay,False
BallTouch,1,27,89401,13,Successful,29.7,10.3,,,OpenPlay,False
Pass,1,48,21499,27,Successful,67.5,100.0,78.6,95.3,ThrowIn,False
Pass,1,49,98317,27,Successful,78.7,95.3,74,98.3,OpenPlay,False
Pass,1,50,21499,27,Unsuccessful,75.3,97.1,87.9,83,OpenPlay,False
Aerial,1,51,131487,27,Unsuccessful,90.4,81.8,,,OpenPlay,False
Aerial,1,51,22210,13,Successful,9.6,18.2,,,OpenPlay,False
Clearance,1,52,22210,13,Successful,7.0,19.4,10.3,16.1,OpenPlay,False
Pass,1,56,98317,27,Successful,94.7,91.2,87.8,92.3,OpenPlay,False
Pass,2,0,21499,27,Unsuccessful,88.5,93.2,84.1,96.5,OpenPlay,False
BallTouch,2,1,328983,13,Unsuccessful,18.0,4.0,,,OpenPlay,False
Pass,2,7,21499,27,Successful,72.0,95.6,62.9,98.3,OpenPlay,False
Pass,2,9,33590,27,Successful,62.5,98.3,45.6,94.1,OpenPlay,False
Pass,2,12,68393,27,Unsuccessful,44.6,85.9,61.2,23.4,OpenPlay,False
BallRecovery,2,16,110260,13,Successful,36.9,84.1,,,OpenPlay,False
Pass,2,18,110260,13,Unsuccessful,61.7,86.6,75.1,46.7,OpenPlay,False
Interception,2,20,33590,27,Successful,22.9,52.4,,,OpenPlay,False
Clearance,2,21,33590,27,Successful,20.2,52.5,33.8,57,OpenPlay,False
BallRecovery,2,22,69956,27,Successful,33.8,57.0,,,OpenPlay,False
Pass,2,23,69956,27,Successful,33.8,57.0,27.9,52.4,OpenPlay,False
Pass,2,26,116317,27,Successful,30.3,39.1,31.6,31.9,OpenPlay,False
Pass,2,31,108638,27,Successful,53.9,20.4,56.3,4.7,OpenPlay,False
Pass,2,33,75919,27,Successful,56.2,5.0,52.9,10.1,OpenPlay,False
Pass,2,36,116317,27,Unsuccessful,55.2,17.6,71,62.7,OpenPlay,False
BallRecovery,2,39,255169,13,Successful,27.1,28.0,,,OpenPlay,False
Pass,2,44,255169,13,Successful,58.1,26.2,72.3,6.5,OpenPlay,False
Pass,2,49,239872,13,Unsuccessful,74.7,11.4,100,36.7,OpenPlay,False
Pass,3,20,11530,27,Unsuccessful,4.6,47.3,59.9,32.4,OpenPlay,False
Aerial,3,24,131487,27,Unsuccessful,59.6,32.8,,,OpenPlay,False
Aerial,3,24,89401,13,Successful,40.4,67.2,,,OpenPlay,False
Pass,3,25,89401,13,Unsuccessful,40.8,66.7,52.3,66.9,OpenPlay,False
Pass,3,26,116317,27,Successful,45.7,28.2,47.5,7.9,OpenPlay,False
Pass,3,28,75919,27,Successful,47.5,7.6,55.5,8.3,OpenPlay,False
Pass,3,29,108638,27,Successful,55.7,8.3,52,2.2,OpenPlay,False
Pass,3,30,75919,27,Unsuccessful,52.0,2.2,75.3,2.9,OpenPlay,False
BallRecovery,3,32,27586,13,Successful,20.8,98.6,,,OpenPlay,False
Pass,3,33,27586,13,Successful,20.8,98.6,1.7,76.7,OpenPlay,False
Pass,3,36,92173,13,Unsuccessful,1.7,76.7,44.3,89.3,OpenPlay,False
Pass,3,39,73063,27,Unsuccessful,53.6,15.0,73.8,0,OpenPlay,False
Pass,3,54,110260,13,Successful,28.6,100.0,36.4,93.9,ThrowIn,False
Pass,3,56,144890,13,Successful,34.4,95.1,26.9,98.9,OpenPlay,False
Pass,3,58,110260,13,Unsuccessful,29.0,98.4,40.5,96.2,OpenPlay,False
BallRecovery,4,0,116317,27,Successful,58.7,4.4,,,OpenPlay,False
Pass,4,1,116317,27,Successful,56.1,5.8,58,2.3,OpenPlay,False
Pass,4,2,108638,27,Successful,60.0,3.1,54.7,7.7,OpenPlay,False
Pass,4,3,75919,27,Successful,53.8,8.2,43.6,8.6,OpenPlay,False
Pass,4,5,73063,27,Unsuccessful,45.6,2.8,100,20.9,OpenPlay,False
Pass,4,24,92173,13,Successful,5.5,50.9,2.2,37.4,OpenPlay,False
Pass,4,27,22210,13,Successful,2.2,35.5,10.3,4.1,OpenPlay,False
Pass,4,28,255169,13,Unsuccessful,10.8,3.4,14.2,3.5,OpenPlay,False
Interception,4,29,33590,27,Successful,84.4,97.1,,,OpenPlay,False
Pass,4,37,255169,13,Successful,21.4,0.0,12.6,15,ThrowIn,False
Pass,4,40,22210,13,Successful,13.3,24.0,15.9,64.5,OpenPlay,False
Pass,4,42,27586,13,Unsuccessful,18.3,69.1,39.8,95.9,OpenPlay,False
BallRecovery,4,45,108638,27,Successful,59.1,5.2,,,OpenPlay,False
Pass,4,51,108638,27,Successful,63.9,5.2,61.7,1.9,OpenPlay,False
Pass,4,52,75919,27,Successful,61.7,1.9,62.4,8.6,OpenPlay,False
Pass,4,54,108638,27,Successful,64.7,19.8,77.5,8.6,OpenPlay,False
Pass,4,58,75919,27,Successful,86.2,6.5,94,20.7,OpenPlay,False
Pass,5,0,69956,27,Unsuccessful,94.0,20.7,92.6,43.6,OpenPlay,False
Clearance,5,1,27586,13,Successful,7.4,59.4,47.8,94.8,OpenPlay,False
Pass,5,6,73063,27,Successful,51.6,8.5,37.3,34.9,OpenPlay,False
Pass,5,10,68393,27,Successful,36.0,42.1,42.2,89.4,OpenPlay,False
Pass,5,13,21499,27,Successful,45.9,89.1,57.1,96.5,OpenPlay,False
Pass,5,20,98317,27,Successful,44.6,90.3,40.6,67.9,OpenPlay,False
Pass,5,26,116317,27,Successful,35.0,43.3,27.1,35.2,OpenPlay,False
Pass,5,27,73063,27,Successful,27.1,35.2,37.2,6.7,OpenPlay,False
Pass,5,30,75919,27,Unsuccessful,39.4,2.3,60,4.9,OpenPlay,False
Aerial,5,31,69956,27,Unsuccessful,60.6,4.4,,,OpenPlay,False
Aerial,5,31,89401,13,Successful,39.4,95.6,,,OpenPlay,False
Interception,5,32,89401,13,Successful,37.6,91.9,,,OpenPlay,False
Pass,5,37,116317,27,Successful,66.0,43.9,73.8,68.7,ShotAssist,False
SavedShot,5,41,98317,27,Successful,79.8,62.0,,,OpenPlay,False
Save,5,41,92173,13,Successful,1.8,53.3,,,OpenPlay,False
KeeperPickup,5,44,92173,13,Successful,4.4,54.2,,,OpenPlay,False
Pass,5,46,92173,13,Successful,8.5,56.0,26.1,71.4,OpenPlay,False
Pass,5,51,144890,13,Successful,51.9,93.3,55.5,98.6,OpenPlay,False
Pass,5,52,44120,13,Successful,55.5,98.6,56.9,95.7,OpenPlay,False
Pass,5,54,144890,13,Successful,56.7,94.2,50.4,94.8,OpenPlay,False
Pass,5,56,44120,13,Unsuccessful,44.9,90.3,46,84.7,OpenPlay,False
BallTouch,5,57,69956,27,Successful,53.7,23.4,,,OpenPlay,False
Pass,6,0,144890,13,Successful,54.9,93.3,56.7,82.1,OpenPlay,False
Foul,6,3,89401,13,Successful,56.8,85.2,,,OpenPlay,False
Foul,6,3,33590,27,Unsuccessful,43.2,14.8,,,OpenPlay,False
Pass,6,13,89401,13,Successful,57.4,87.8,41.3,78.7,OpenPlay,False
Pass,6,17,27586,13,Successful,41.6,70.9,51.4,57.8,OpenPlay,False
Pass,6,19,13756,13,Successful,53.1,52.7,52.8,22.1,OpenPlay,False
Pass,6,22,328983,13,Successful,52.9,18.5,64.1,18.2,OpenPlay,False
Challenge,6,25,98317,27,Unsuccessful,32.3,92.8,,,OpenPlay,False
TakeOn,6,25,239872,13,Successful,67.7,7.2,,,OpenPlay,False
Pass,6,28,239872,13,Successful,80.6,13.1,89.9,17.7,OpenPlay,False
Foul,6,30,21499,27,Unsuccessful,8.8,81.4,,,OpenPlay,False
Foul,6,30,255169,13,Successful,91.2,18.6,,,OpenPlay,False
Pass,7,42,13756,13,Unsuccessful,90.6,17.6,95.5,51.3,OpenPlay,False
