Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,29,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,44120,13,Successful,49.9,50.1,45.7,53,OpenPlay,False
Pass,0,2,13756,13,Successful,45.8,51.0,40.1,37.4,OpenPlay,False
Pass,0,4,89401,13,Successful,37.0,35.8,22.7,66.7,OpenPlay,False
Pass,0,8,22210,13,Successful,22.7,65.8,22.4,34.2,OpenPlay,False
Pass,0,11,124316,13,Successful,26.7,28.6,38.3,1.9,OpenPlay,False
Pass,0,15,255169,13,Successful,28.6,7.1,10.1,19.8,OpenPlay,False
Pass,0,18,124316,13,Successful,10.1,19.8,2.9,43.9,OpenPlay,False
Pass,0,20,92173,13,Successful,2.9,43.9,15.9,40.4,OpenPlay,False
Pass,0,23,89401,13,Successful,15.6,29.7,27.8,1.7,OpenPlay,False
Pass,0,25,255169,13,Unsuccessful,27.8,1.7,36.5,0,OpenPlay,False
Pass,0,35,68049,29,Successful,66.4,100.0,63.4,93.2,ThrowIn,False
Pass,0,37,93026,29,Successful,62.5,88.3,70.1,81.5,OpenPlay,False
Pass,0,39,297203,29,Successful,70.1,86.2,72.8,96.9,OpenPlay,False
Clearance,0,42,239872,13,Successful,20.9,4.0,20.9,4,OpenPlay,False
Pass,0,42,68049,29,Unsuccessful,74.1,97.7,79.6,94.2,OpenPlay,False
Pass,0,53,68049,29,Successful,72.3,100.0,70.9,92.3,ThrowIn,False
BallTouch,0,54,93026,29,Unsuccessful,70.3,92.1,,,OpenPlay,False
BallRecovery,0,55,13756,13,Successful,27.7,9.5,,,OpenPlay,False
Foul,0,56,93026,29,Unsuccessful,71.3,91.2,,,OpenPlay,False
Foul,0,56,13756,13,Successful,28.7,8.8,,,OpenPlay,False
Pass,1,5,89401,13,Successful,27.3,9.4,34.3,16.8,OpenPlay,False
Pass,1,9,13756,13,Successful,33.7,10.1,27.6,28,OpenPlay,False
Pass,1,13,89401,13,Successful,26.1,32.2,22.3,70.3,OpenPlay,False
Pass,1,16,22210,13,Successful,22.3,73.2,18.9,34.3,OpenPlay,False
