Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,13,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,161,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,0,108186,161,Successful,50.1,50.1,35.2,41.5,OpenPlay,False
Pass,0,2,238244,161,Successful,35.2,41.5,30.2,24.3,OpenPlay,False
Pass,0,6,97587,161,Successful,30.2,24.3,15.4,54.9,OpenPlay,False
Pass,0,7,97710,161,Successful,15.4,54.9,11,83.6,OpenPlay,False
Pass,0,10,236519,161,Successful,12.6,96.2,61.5,67.8,OpenPlay,False
Pass,0,15,108186,161,Successful,66.5,54.3,84.7,49.7,BigChanceCreated,False
SavedShot,0,17,140088,161,Successful,84.0,49.9,,,OpenPlay,False
Save,0,17,102248,13,Successful,14.3,50.3,,,OpenPlay,False
BallRecovery,0,19,80921,13,Successful,24.4,44.2,,,OpenPlay,False
Pass,0,19,80921,13,Successful,24.4,44.2,14.7,48.1,OpenPlay,False
Pass,0,21,102248,13,Unsuccessful,14.7,48.1,56,75.9,OpenPlay,False
BallRecovery,0,23,97587,161,Successful,43.4,26.1,,,OpenPlay,False
Pass,0,25,97587,161,Successful,44.7,34.6,56,46.1,OpenPlay,False
Pass,0,27,16161,161,Successful,56.0,47.2,55.8,26,OpenPlay,False
Pass,0,30,124106,161,Successful,56.8,15.8,63.7,5.5,OpenPlay,False
Pass,0,32,94042,161,Successful,63.7,5.5,46.2,31.2,OpenPlay,False
Pass,0,35,238244,161,Successful,45.7,30.9,30.5,55.4,OpenPlay,False
Pass,0,36,97710,161,Successful,30.5,55.4,35,93.5,OpenPlay,False
Pass,0,39,236519,161,Successful,34.8,94.4,44.6,97.1,OpenPlay,False
Pass,0,40,115917,161,Successful,44.6,97.1,42,76.3,OpenPlay,False
Pass,0,42,238244,161,Successful,42.9,74.4,37.3,51.3,OpenPlay,False
Pass,0,48,97710,161,Successful,43.7,38.5,65.5,25,OpenPlay,False
Pass,0,50,124106,161,Unsuccessful,64.1,26.0,65.1,27.9,OpenPlay,False
