Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,151,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,120755,151,Successful,50.0,50.0,46.1,49.4,OpenPlay,False
Pass,0,2,6476,151,Successful,46.9,42.4,46.2,27.4,OpenPlay,False
Pass,0,3,110127,151,Successful,46.2,27.4,54.4,35.4,OpenPlay,False
Pass,0,4,6476,151,Unsuccessful,56.3,34.3,70.7,35.8,OpenPlay,False
Interception,0,5,117776,607,Successful,35.0,59.8,,,OpenPlay,False
BallRecovery,0,6,11895,607,Successful,29.6,66.9,,,OpenPlay,False
Pass,0,7,11895,607,Successful,28.7,70.3,29,93.5,OpenPlay,False
Pass,0,9,328968,607,Successful,27.5,94.7,36,97.1,OpenPlay,False
Dispossessed,0,12,241019,607,Successful,37.0,97.3,,,OpenPlay,False
Tackle,0,12,100599,151,Successful,63.0,2.7,,,OpenPlay,False
Pass,0,17,328968,607,Successful,29.6,100.0,31,93.5,ThrowIn,False
Pass,0,18,329409,607,Successful,27.3,93.0,29.1,98,OpenPlay,False
Pass,0,19,328968,607,Unsuccessful,29.5,98.0,60,83.8,OpenPlay,False
Clearance,0,23,128251,151,Successful,40.7,23.1,45.8,0,OpenPlay,False
Pass,0,36,328968,607,Successful,63.5,100.0,56.9,92.9,ThrowIn,False
Pass,0,37,329409,607,Successful,56.9,92.9,60.5,96.8,OpenPlay,False
Pass,0,39,328968,607,Successful,58.8,96.8,40.6,94.5,OpenPlay,False
Pass,0,41,11895,607,Successful,36.2,90.3,31.1,50,OpenPlay,False
Pass,0,47,19859,607,Successful,48.0,27.0,45.4,9.5,OpenPlay,False
Pass,0,49,117776,607,Successful,43.3,10.4,46.8,27.1,OpenPlay,False
Pass,0,51,19859,607,Successful,46.8,27.1,43.8,52.5,OpenPlay,False
Pass,0,53,329409,607,Successful,44.1,52.8,41.6,75.4,OpenPlay,False
