Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,614,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,23054,607,Successful,50.0,50.0,40,40.6,OpenPlay,False
Pass,0,2,329409,607,Successful,40.5,41.9,32.1,59.3,OpenPlay,False
Pass,0,4,11895,607,Successful,33.4,56.7,36,40.1,OpenPlay,False
Pass,0,11,329409,607,Successful,45.3,28.6,54,3.2,OpenPlay,False
Pass,0,14,136481,607,Successful,44.0,4.3,22,6.4,OpenPlay,False
Pass,0,17,19859,607,Successful,20.4,10.9,8.4,41.9,OpenPlay,False
Pass,0,20,141646,607,Successful,8.4,41.9,16.4,58.1,OpenPlay,False
Pass,0,31,11895,607,Successful,41.3,65.8,44.7,88.6,OpenPlay,False
Pass,0,34,248121,607,Successful,47.3,88.7,54.6,72.4,OpenPlay,False
Pass,0,36,322094,607,Successful,54.6,72.4,46.9,90.5,OpenPlay,False
Pass,0,39,248121,607,Successful,45.0,87.5,31.1,75.4,OpenPlay,False
Pass,0,42,11895,607,Successful,34.9,72.0,35.9,25.8,OpenPlay,False
Pass,0,49,19859,607,Successful,51.0,15.0,59.3,13.5,OpenPlay,False
Pass,0,52,23054,607,Successful,59.3,13.5,52.5,6.1,OpenPlay,False
Pass,0,54,19859,607,Successful,53.0,6.7,53.4,20.7,OpenPlay,False
Pass,0,56,329409,607,Successful,53.4,19.7,44.7,13.7,OpenPlay,False
Pass,0,58,19859,607,Successful,44.2,15.3,34.4,41.8,OpenPlay,False
Pass,1,0,11895,607,Successful,34.4,42.5,39.7,86,OpenPlay,False
Pass,1,2,248121,607,Successful,41.2,86.8,61.1,83.3,OpenPlay,False
Pass,1,4,241019,607,Successful,60.3,81.4,58.8,84.5,OpenPlay,False
Challenge,1,7,124837,614,Unsuccessful,43.0,10.9,,,OpenPlay,False
