Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,315,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,6890,315,Successful,50.0,50.0,44.8,52.4,OpenPlay,False
Pass,0,2,32166,315,Unsuccessful,46.3,50.3,76.8,0,OpenPlay,False
Pass,0,16,328968,607,Successful,21.1,100.0,43.9,94.7,ThrowIn,False
Aerial,0,19,362498,315,Unsuccessful,61.0,7.2,,,OpenPlay,False
Aerial,0,19,69742,607,Successful,39.0,92.8,,,OpenPlay,False
Pass,0,20,69742,607,Successful,46.9,97.1,48.1,91.1,OpenPlay,False
BallTouch,0,21,322094,607,Unsuccessful,47.4,94.6,,,OpenPlay,False
Pass,0,22,301019,315,Unsuccessful,42.6,4.2,90.2,26.8,OpenPlay,False
KeeperPickup,0,25,141646,607,Successful,13.6,67.9,,,OpenPlay,False
Pass,0,26,141646,607,Successful,13.7,67.0,19.8,43.9,OpenPlay,False
Pass,0,30,19859,607,Successful,23.6,35.5,32.8,24.1,OpenPlay,False
Pass,0,34,117776,607,Successful,44.5,20.4,60.4,3.1,OpenPlay,False
Pass,0,35,136481,607,Successful,60.4,3.1,54.3,15.5,OpenPlay,False
Pass,0,38,117776,607,Successful,54.9,14.0,59.8,4,OpenPlay,False
Pass,0,41,136481,607,Successful,62.5,4.6,40.6,19.6,OpenPlay,False
Pass,0,45,19859,607,Successful,40.5,26.7,35.9,63,OpenPlay,False
Pass,0,52,11895,607,Successful,46.6,73.2,37.5,48.8,OpenPlay,False
Pass,0,55,19859,607,Successful,36.8,45.7,44.6,30.3,OpenPlay,False
Pass,0,58,117776,607,Successful,54.2,27.0,63.4,33.9,OpenPlay,False
BallTouch,1,0,69742,607,Unsuccessful,60.7,29.8,,,OpenPlay,False
Foul,1,5,,315,Successful,39.0,69.8,,,OpenPlay,False
Foul,1,5,69742,607,Unsuccessful,61.0,30.2,,,OpenPlay,False
Pass,1,20,91779,315,Unsuccessful,37.2,63.6,61.1,7.7,OpenPlay,False
BallRecovery,1,25,241019,607,Successful,54.6,91.2,,,OpenPlay,False
Pass,1,29,241019,607,Successful,86.2,85.6,87.7,42.4,ShotAssist,False
SavedShot,1,33,239872,607,Successful,87.7,42.4,,,OpenPlay,False
Save,1,33,29586,315,Successful,3.5,50.3,,,OpenPlay,False
CornerAwarded,1,34,29586,315,Unsuccessful,0.0,38.5,,,OpenPlay,False
CornerAwarded,1,34,239872,607,Successful,100.0,61.5,,,OpenPlay,False
Pass,2,9,117776,607,Successful,99.5,99.5,90.6,3.4,CornerTaken,False
Pass,2,18,136481,607,Unsuccessful,85.4,7.7,90,41.5,OpenPlay,False
Clearance,2,20,91779,315,Successful,11.7,59.1,28.5,70.6,OpenPlay,False
Foul,2,24,6890,315,Successful,30.2,70.4,,,OpenPlay,False
Foul,2,24,19859,607,Unsuccessful,69.8,29.6,,,OpenPlay,False
Pass,2,49,91779,315,Unsuccessful,28.0,69.9,54.1,93.9,OpenPlay,False
Pass,2,52,115817,315,Successful,52.8,100.0,66.1,85.7,ThrowIn,False
Dispossessed,2,54,6890,315,Successful,59.2,90.7,,,OpenPlay,False
Tackle,2,54,117776,607,Successful,40.8,9.3,,,OpenPlay,False
