Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Start,0,0,,347,Successful,0.0,0.0,,,OpenPlay,False,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False,False
Pass,0,1,296342,347,Successful,49.9,50.1,44.2,46.9,OpenPlay,False,False
Pass,0,3,105026,347,Unsuccessful,44.2,46.9,77.6,78.8,OpenPlay,False,False
Pass,0,5,19859,607,Unsuccessful,22.2,23.4,38.7,27.4,OpenPlay,False,False
Pass,0,7,347639,347,Unsuccessful,58.4,80.9,67.9,86.5,OpenPlay,False,False
Pass,0,8,136481,607,Successful,29.8,7.0,47.3,3.2,OpenPlay,False,False
BallRecovery,0,11,239872,607,Successful,56.7,5.3,,,OpenPlay,False,False
Pass,0,16,239872,607,Unsuccessful,66.2,8.9,76.1,26.4,OpenPlay,False,False
BallRecovery,0,17,121711,347,Successful,23.7,77.3,,,OpenPlay,False,False
Pass,0,18,121711,347,Successful,23.7,77.3,24.2,90.5,OpenPlay,False,False
Pass,0,20,347639,347,Successful,24.4,88.1,7.7,57.2,OpenPlay,False,False
Pass,0,24,105198,347,Successful,8.7,55.2,44.7,32.1,OpenPlay,False,False
Aerial,0,26,143193,607,Unsuccessful,53.1,72.0,,,OpenPlay,False,False
Aerial,0,26,25599,347,Successful,46.9,28.0,,,OpenPlay,False,False
Pass,0,27,25599,347,Unsuccessful,44.7,32.1,48.3,49.4,OpenPlay,False,False
Pass,0,28,117776,607,Successful,54.0,47.6,64,57.9,OpenPlay,False,False
Pass,0,30,322094,607,Unsuccessful,64.7,57.9,66.8,59.6,OpenPlay,False,False
BallTouch,0,31,27756,347,Successful,31.8,45.4,,,OpenPlay,False,False
BallTouch,0,32,248121,607,Successful,59.5,75.7,,,OpenPlay,False,False
BallTouch,0,33,241019,607,Successful,63.8,60.4,,,OpenPlay,False,False
Pass,0,34,248121,607,Successful,59.5,75.7,57.4,81.4,OpenPlay,False,False
BallRecovery,0,35,143193,607,Successful,56.5,83.5,,,OpenPlay,False,False
Pass,0,36,143193,607,Successful,56.2,83.5,44.9,72,OpenPlay,False,False
Pass,0,37,11895,607,Successful,43.6,70.8,36,34.5,OpenPlay,False,False
Pass,0,43,19859,607,Successful,39.3,33.7,34.8,58.7,OpenPlay,False,False
Pass,0,48,11895,607,Successful,36.4,59.1,33.9,27.3,OpenPlay,False,False
Pass,0,49,19859,607,Successful,36.0,29.1,44.9,6.8,OpenPlay,False,False
Pass,0,55,117776,607,Unsuccessful,56.4,3.7,57.4,3.8,OpenPlay,False,False
BlockedPass,0,55,298542,347,Successful,45.4,94.4,,,OpenPlay,False,False
Foul,0,59,298542,347,Unsuccessful,50.4,95.0,,,OpenPlay,False,False
Foul,0,59,117776,607,Successful,49.6,5.0,,,OpenPlay,False,False
Pass,1,20,136481,607,Successful,47.4,3.2,34.7,40.4,OpenPlay,False,False
Pass,1,22,19859,607,Successful,34.7,40.4,34.1,67.5,OpenPlay,False,False
Pass,1,25,11895,607,Successful,35.2,67.2,29.7,27.3,OpenPlay,False,False
Pass,1,27,19859,607,Successful,29.7,27.3,40.7,7.1,OpenPlay,False,False
TakeOn,1,33,117776,607,Unsuccessful,43.6,26.6,,,OpenPlay,False,False
Tackle,1,33,142017,347,Successful,56.4,73.4,,,OpenPlay,False,False
BallRecovery,1,36,101521,347,Successful,51.6,80.9,,,OpenPlay,False,False
Pass,1,37,101521,347,Successful,51.6,80.9,61.2,88.9,OpenPlay,False,False
Pass,1,40,298542,347,Unsuccessful,88.0,76.6,99.7,1,OpenPlay,False,False
BallRecovery,1,46,143193,607,Successful,3.6,96.9,,,OpenPlay,False,False
Pass,1,47,143193,607,Successful,4.4,96.9,23.3,93.9,OpenPlay,False,False
Pass,1,49,241019,607,Unsuccessful,29.7,95.3,60,91.2,OpenPlay,False,False
BallRecovery,1,53,27756,347,Successful,32.1,17.3,,,OpenPlay,False,False
Pass,1,54,27756,347,Successful,32.1,17.3,8.5,43.3,OpenPlay,False,False
Pass,1,57,105198,347,Successful,7.6,44.6,22.4,65.1,OpenPlay,False,False
Pass,2,1,121711,347,Successful,37.1,68.2,41.9,96.2,OpenPlay,False,False
Pass,2,5,347639,347,Unsuccessful,45.6,96.6,63.5,100,OpenPlay,False,False
Pass,2,9,136481,607,Successful,35.6,0.0,27.1,7.9,ThrowIn,False,False
Pass,2,13,19859,607,Successful,26.5,18.3,20.2,58.4,OpenPlay,False,False
Pass,2,17,11895,607,Successful,24.1,63.6,28.6,92.7,OpenPlay,False,False
Pass,2,21,143193,607,Successful,35.2,93.5,30.8,74.7,OpenPlay,False,False
Pass,2,24,11895,607,Successful,30.4,69.7,29.6,35.7,OpenPlay,False,False
Pass,2,26,19859,607,Successful,30.0,33.4,40.1,2.8,OpenPlay,False,False
