Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Pass,0,0,23054,607,Successful,50.1,50.0,37.1,51,OpenPlay,False
Start,0,0,,1364,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,3,117776,607,Successful,38.2,44.0,28.4,31.2,OpenPlay,False
Pass,0,5,19859,607,Successful,28.4,31.2,28.1,62.7,OpenPlay,False
Pass,0,6,11895,607,Successful,29.9,66.4,36,91.5,OpenPlay,False
Pass,0,9,328968,607,Successful,38.3,93.2,44.8,94.2,OpenPlay,False
Pass,0,11,241019,607,Successful,44.8,92.0,43.2,84.5,OpenPlay,False
Pass,0,12,248121,607,Successful,42.6,84.1,34.4,93.6,OpenPlay,False
Pass,0,14,328968,607,Successful,33.8,96.6,42.7,97.1,OpenPlay,False
BallTouch,0,15,241019,607,Unsuccessful,40.6,98.5,,,OpenPlay,False
Pass,0,22,319388,1364,Successful,57.5,0.0,31.7,16.5,ThrowIn,False
Pass,0,26,19661,1364,Successful,31.6,27.3,29.8,70,OpenPlay,False
Pass,0,28,90117,1364,Successful,29.5,66.9,25.2,23.3,OpenPlay,False
Pass,0,31,19661,1364,Successful,25.2,23.3,16,48.5,OpenPlay,False
Pass,0,34,141841,1364,Successful,16.0,48.5,21.8,76.3,OpenPlay,False
Pass,0,36,90117,1364,Successful,22.8,73.9,20.7,25.8,OpenPlay,False
Pass,0,42,19661,1364,Successful,23.0,17.6,12.9,51.6,OpenPlay,False
Pass,0,45,141841,1364,Successful,12.9,51.6,22.8,73.8,OpenPlay,False
Pass,0,47,90117,1364,Successful,24.2,73.9,34.2,96.8,OpenPlay,False
Pass,0,51,275605,1364,Successful,28.4,93.9,16.7,84.7,OpenPlay,False
BallRecovery,0,52,90117,1364,Successful,24.4,88.4,,,OpenPlay,False
Pass,0,53,90117,1364,Unsuccessful,17.8,90.9,31.5,95.4,OpenPlay,False
BallRecovery,0,55,117776,607,Successful,59.1,11.6,,,OpenPlay,False
Pass,0,56,117776,607,Unsuccessful,59.1,11.6,67.2,24.7,OpenPlay,False
Pass,0,57,90117,1364,Successful,25.5,87.2,28.8,71.7,OpenPlay,False
Pass,0,59,356704,1364,Successful,29.7,72.3,27.3,67.9,OpenPlay,False
Pass,1,1,90117,1364,Successful,27.3,67.9,40.2,95.6,OpenPlay,False
Pass,1,7,109526,1364,Unsuccessful,64.1,78.8,88.3,54.6,OpenPlay,False
KeeperPickup,1,17,141646,607,Successful,10.4,44.2,,,OpenPlay,False
Pass,1,29,141646,607,Unsuccessful,23.9,38.5,67.7,93.8,OpenPlay,False
Aerial,1,32,241019,607,Unsuccessful,68.2,92.2,,,OpenPlay,False
Aerial,1,32,319388,1364,Successful,31.8,7.8,,,OpenPlay,False
Clearance,1,33,319388,1364,Successful,31.3,9.4,35.7,0,OpenPlay,False
Pass,1,46,328968,607,Unsuccessful,63.8,100.0,70.5,95.9,ThrowIn,False
Pass,1,48,70253,1364,Unsuccessful,27.0,3.4,38.9,4.6,OpenPlay,False
Pass,1,48,328968,607,Successful,55.6,92.6,60.4,96.8,OpenPlay,False
Challenge,1,50,70253,1364,Unsuccessful,33.4,2.7,,,OpenPlay,False
