Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,426,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,349207,607,Successful,50.0,50.0,38.5,44.9,OpenPlay,False
Pass,0,3,117776,607,Successful,38.3,45.2,32.6,85,OpenPlay,False
Pass,0,7,143193,607,Successful,32.9,80.3,21.7,69.6,OpenPlay,False
Pass,0,10,334087,607,Successful,26.4,64.9,30,35.4,OpenPlay,False
Pass,0,13,19859,607,Successful,34.4,26.8,41.5,4.7,OpenPlay,False
Pass,0,15,136481,607,Successful,41.7,5.3,30.6,22.1,OpenPlay,False
Pass,0,18,19859,607,Successful,30.8,23.6,28.7,64.2,OpenPlay,False
Pass,0,22,334087,607,Successful,33.5,57.5,39.4,44.6,OpenPlay,False
Pass,0,24,117776,607,Successful,39.4,44.6,37.2,27.4,OpenPlay,False
Pass,0,28,19859,607,Successful,36.6,24.4,33.5,56.5,OpenPlay,False
Pass,0,31,334087,607,Successful,34.0,68.4,37.5,94.2,OpenPlay,False
Pass,0,34,143193,607,Unsuccessful,37.5,94.2,64.6,84.2,OpenPlay,False
Pass,0,36,104235,426,Successful,34.1,18.3,54.5,14.4,OpenPlay,False
Aerial,0,38,143193,607,Unsuccessful,45.8,87.8,,,OpenPlay,False
Aerial,0,38,256539,426,Successful,54.2,12.2,,,OpenPlay,False
Pass,0,39,256539,426,Successful,54.5,14.4,51.9,3.2,OpenPlay,False
BallRecovery,0,40,361823,426,Successful,52.3,2.9,,,OpenPlay,False
Pass,0,41,361823,426,Unsuccessful,52.3,2.9,53.7,2.3,OpenPlay,False
Interception,0,42,143193,607,Successful,44.8,96.3,,,OpenPlay,False
Pass,0,51,361823,426,Successful,55.3,0.0,91.6,16.5,ThrowIn,False
Foul,0,56,288901,426,Successful,81.0,26.4,,,OpenPlay,False
Foul,0,56,334087,607,Unsuccessful,19.0,73.6,,,OpenPlay,False
SavedShot,2,2,322636,426,Successful,80.1,24.3,,,OpenPlay,False
Save,2,2,329409,607,Successful,12.4,64.5,,,OpenPlay,False
BallTouch,2,3,241019,607,Successful,13.2,65.3,,,OpenPlay,False
BallTouch,2,4,329409,607,Successful,12.7,67.4,,,OpenPlay,False
BallRecovery,2,5,239872,607,Successful,12.0,75.3,,,OpenPlay,False
