Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,151,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,349207,607,Successful,50.0,50.0,38.7,44.9,OpenPlay,False
Pass,0,7,117776,607,Successful,49.0,41.2,46.8,5.3,OpenPlay,False
Pass,0,8,42248,607,Successful,46.8,5.3,40.6,23.6,OpenPlay,False
Pass,0,12,19859,607,Successful,41.8,31.5,38.2,75,OpenPlay,False
Pass,0,17,248121,607,Successful,41.5,75.7,22.7,57.3,OpenPlay,False
Pass,0,20,141646,607,Successful,21.9,55.8,28,24,OpenPlay,False
Pass,0,26,19859,607,Successful,45.8,14.1,58.7,2.5,OpenPlay,False
Pass,0,28,42248,607,Successful,58.5,3.2,41.3,2.3,OpenPlay,False
Pass,0,31,19859,607,Successful,41.9,3.8,46.6,15.9,OpenPlay,False
Pass,0,33,117776,607,Successful,46.1,18.0,35.8,51.5,OpenPlay,False
Pass,0,39,11895,607,Successful,44.8,66.9,56,99.2,OpenPlay,False
Pass,0,42,248121,607,Unsuccessful,62.3,96.9,69.9,96.8,OpenPlay,False
Interception,0,43,334654,151,Successful,30.5,2.5,,,OpenPlay,False
Pass,0,51,143193,607,Unsuccessful,68.7,100.0,65.6,66.3,ThrowIn,False
BallRecovery,0,53,303677,151,Successful,31.8,26.2,,,OpenPlay,False
Challenge,0,54,349207,607,Unsuccessful,66.5,77.5,,,OpenPlay,False
TakeOn,0,54,303677,151,Successful,33.5,22.5,,,OpenPlay,False
Pass,0,56,303677,151,Successful,32.5,18.0,28.5,12,OpenPlay,False
Pass,1,1,110127,151,Successful,30.6,40.4,14.8,67.9,OpenPlay,False
Pass,1,5,361890,151,Successful,19.3,74.4,8.6,51,OpenPlay,False
Pass,1,8,32167,151,Successful,7.8,49.9,21.5,14.6,OpenPlay,False
Pass,1,11,101870,151,Successful,21.5,14.6,24.8,4.1,OpenPlay,False
Pass,1,12,100599,151,Successful,24.8,4.1,26.8,15.9,OpenPlay,False
Pass,1,14,256220,151,Successful,26.8,15.9,41.8,14.1,OpenPlay,False
BallTouch,1,16,303677,151,Unsuccessful,41.8,14.1,,,OpenPlay,False
BallRecovery,1,17,248121,607,Successful,57.9,79.6,,,OpenPlay,False
Pass,1,19,248121,607,Unsuccessful,60.8,86.2,96.4,68.2,OpenPlay,False
KeeperPickup,1,24,32167,151,Successful,4.6,33.0,,,OpenPlay,False
Pass,1,24,32167,151,Successful,4.6,33.0,18.9,73.5,OpenPlay,False
Pass,1,27,361890,151,Successful,20.3,76.6,26.2,92,OpenPlay,False
BallTouch,1,33,248278,151,Successful,26.6,93.5,,,OpenPlay,False
Pass,2,46,239872,607,Unsuccessful,67.7,0.0,93.6,24.3,ThrowIn,False
KeeperPickup,2,50,32167,151,Successful,12.2,61.2,,,OpenPlay,False
Pass,3,2,32167,151,Successful,10.9,53.9,20.1,31.2,OpenPlay,False
Pass,3,5,101870,151,Successful,20.3,27.7,24.8,5.2,OpenPlay,False
Pass,3,8,100599,151,Unsuccessful,25.4,5.2,31.6,7.5,OpenPlay,False
BallTouch,3,9,241019,607,Successful,71.1,94.2,,,OpenPlay,False
Pass,3,11,279539,151,Unsuccessful,46.5,13.4,44.7,9.7,OpenPlay,False
BallRecovery,3,12,248121,607,Successful,44.9,95.6,,,OpenPlay,False
Pass,3,13,248121,607,Successful,46.4,95.7,75.8,90.8,OpenPlay,False
TakeOn,3,18,322094,607,Unsuccessful,84.1,89.7,,,OpenPlay,False
Pass,3,42,32167,151,Successful,4.5,39.1,47.1,13.2,OpenPlay,False
Pass,3,48,110127,151,Unsuccessful,54.6,8.2,85.4,7.6,OpenPlay,False
BallRecovery,3,50,11895,607,Successful,14.1,89.1,,,OpenPlay,False
Pass,3,51,11895,607,Successful,14.1,89.1,7.9,55.7,OpenPlay,False
Pass,3,54,141646,607,Unsuccessful,9.0,50.6,60.7,37,OpenPlay,False
Aerial,3,57,349207,607,Unsuccessful,60.0,40.8,,,OpenPlay,False
Aerial,3,57,361890,151,Successful,40.0,59.2,,,OpenPlay,False
Pass,3,58,361890,151,Unsuccessful,40.6,55.5,52.5,57.9,OpenPlay,False
Pass,4,0,117776,607,Successful,45.0,42.5,60,60.6,OpenPlay,False
Pass,4,3,322094,607,Successful,72.3,66.0,79.1,61.8,OpenPlay,False
Pass,4,4,239872,607,Successful,79.1,61.8,75.5,58.7,OpenPlay,False
Dispossessed,4,6,322094,607,Successful,81.2,49.7,,,OpenPlay,False
Tackle,4,6,100869,151,Successful,18.8,50.3,,,OpenPlay,False
BallRecovery,4,7,110127,151,Successful,18.0,47.9,,,OpenPlay,False
Pass,4,10,110127,151,Successful,23.3,36.0,28.3,9.4,OpenPlay,False
Pass,4,11,334654,151,Successful,28.3,9.4,30.6,18.2,OpenPlay,False
Pass,4,16,100599,151,Successful,66.1,23.4,89.9,26.8,OpenPlay,False
Pass,4,24,303677,151,Successful,96.4,22.5,90.9,55.2,BigChanceCreated,True
Goal,4,26,334654,151,Successful,91.6,54.0,,,OpenPlay,False
Pass,5,32,349207,607,Successful,49.8,49.7,39.9,58.2,OpenPlay,False
Pass,5,34,248121,607,Successful,38.5,56.7,39.6,8,OpenPlay,False
Pass,5,37,42248,607,Successful,39.6,8.0,34.8,26.5,OpenPlay,False
Pass,5,44,19859,607,Successful,44.9,20.4,86.7,7.4,OpenPlay,False
Dispossessed,5,51,349207,607,Successful,88.4,3.0,,,OpenPlay,False
Tackle,5,51,248278,151,Successful,11.6,97.0,,,OpenPlay,False
Pass,5,57,42248,607,Successful,87.3,0.0,74.6,7.3,ThrowIn,False
Pass,5,59,117776,607,Successful,74.6,7.3,77.8,4.7,OpenPlay,False
OffsideGiven,6,,100869,151,Unsuccessful,55.8,97.5,,,OpenPlay,False
Pass,6,1,239872,607,Unsuccessful,74.1,4.4,74.1,5.8,OpenPlay,False
BlockedPass,6,1,100869,151,Successful,28.1,92.5,,,OpenPlay,False
BallTouch,6,3,303677,151,Successful,36.2,88.3,,,OpenPlay,False
TakeOn,6,4,100869,151,Unsuccessful,40.2,95.2,,,OpenPlay,False
Tackle,6,4,19859,607,Successful,59.8,4.8,,,OpenPlay,False
BallTouch,6,5,117776,607,Successful,60.8,11.8,,,OpenPlay,False
BallRecovery,6,6,110127,151,Successful,42.3,86.5,,,OpenPlay,False
Pass,6,7,110127,151,Successful,42.9,87.4,51.3,93.4,OpenPlay,False
OffsideProvoked,6,8,11895,607,Successful,43.0,20.7,,,OpenPlay,False
OffsidePass,6,8,303677,151,Successful,50.9,92.0,55.8,97.5,OpenPlay,False
Pass,6,45,42248,607,Successful,39.3,11.4,31.1,22.9,OpenPlay,False
Pass,6,46,19859,607,Successful,32.0,40.6,41,37.4,OpenPlay,False
Pass,6,53,117776,607,Successful,41.7,38.3,41.4,68.4,OpenPlay,False
Pass,6,54,248121,607,Successful,41.7,69.6,57,72.9,OpenPlay,False
Pass,6,56,241019,607,Successful,56.8,73.2,46.2,73.6,OpenPlay,False
Pass,6,57,248121,607,Successful,47.2,72.9,54.4,66,OpenPlay,False
Pass,7,0,241019,607,Successful,53.3,67.5,55.5,79.1,OpenPlay,False
Pass,7,2,248121,607,Unsuccessful,60.4,88.2,68.8,93.6,OpenPlay,False
Interception,7,3,334654,151,Successful,32.7,6.7,,,OpenPlay,False
Pass,7,8,241019,607,Successful,64.9,92.6,42.3,79.3,OpenPlay,False
Pass,7,9,11895,607,Successful,42.3,79.3,47.3,56.3,OpenPlay,False
Pass,7,10,117776,607,Successful,47.3,56.3,63.9,2.6,OpenPlay,False
Pass,7,15,42248,607,Successful,64.3,26.2,63.4,30.7,OpenPlay,False
Pass,7,17,117776,607,Unsuccessful,64.1,31.2,81.7,52.8,OpenPlay,False
Aerial,7,19,241019,607,Unsuccessful,82.4,52.0,,,OpenPlay,False
Aerial,7,19,101870,151,Successful,17.6,48.0,,,OpenPlay,False
Clearance,7,20,101870,151,Successful,16.8,48.7,27.3,74.7,OpenPlay,False
BallTouch,7,21,279539,151,Unsuccessful,27.3,74.7,,,OpenPlay,False
Pass,7,22,42248,607,Unsuccessful,70.9,17.9,78.1,34.3,OpenPlay,False
BallRecovery,7,24,361890,151,Successful,21.2,66.7,,,OpenPlay,False
Pass,7,25,361890,151,Successful,21.2,66.7,35,63,OpenPlay,False
Pass,7,26,100869,151,Successful,35.0,63.0,34.5,44.2,OpenPlay,False
Pass,7,27,110127,151,Successful,34.3,41.5,32.1,10.7,OpenPlay,False
Pass,7,30,334654,151,Successful,32.1,10.7,34.8,18.8,OpenPlay,False
Pass,7,33,110127,151,Successful,33.8,16.4,12.5,33.1,OpenPlay,False
Pass,7,36,101870,151,Successful,12.5,33.1,19.5,76.7,OpenPlay,False
Pass,7,40,361890,151,Successful,19.9,77.0,34.3,98.1,OpenPlay,False
Pass,7,42,248278,151,Successful,34.3,98.1,30.5,82.4,OpenPlay,False
Pass,7,45,256220,151,Successful,31.5,82.4,43,92.6,OpenPlay,False
Pass,7,47,100869,151,Successful,43.0,92.6,53.4,85.1,OpenPlay,False
Pass,7,48,279539,151,Successful,53.4,90.8,55.4,97.8,OpenPlay,False
Pass,7,51,248278,151,Unsuccessful,55.4,97.8,71.4,96.3,OpenPlay,False
BallRecovery,7,52,19859,607,Successful,28.5,2.9,,,OpenPlay,False
Pass,7,55,19859,607,Unsuccessful,26.0,2.9,40.9,5,OpenPlay,False
Pass,7,56,100869,151,Unsuccessful,56.2,93.5,64.8,73.2,OpenPlay,False
Pass,7,58,248121,607,Successful,32.0,26.1,8,46,OpenPlay,False
Pass,8,2,141646,607,Successful,14.8,50.1,27.8,56.7,OpenPlay,False
Pass,8,5,248121,607,Successful,31.7,58.1,37.1,88,OpenPlay,False
Pass,8,7,143193,607,Successful,37.2,88.1,35.7,65.5,OpenPlay,False
Pass,8,9,248121,607,Successful,35.8,65.5,41.8,36.7,OpenPlay,False
Pass,8,14,117776,607,Successful,46.5,31.9,60.9,3.7,OpenPlay,False
Pass,8,19,42248,607,Successful,61.9,4.4,58.8,19.8,OpenPlay,False
Dispossessed,8,23,117776,607,Successful,58.2,24.9,,,OpenPlay,False
Tackle,8,23,256220,151,Unsuccessful,41.8,75.1,,,OpenPlay,False
Pass,8,26,19859,607,Successful,54.6,18.2,44.7,48.4,OpenPlay,False
Pass,8,28,11895,607,Successful,44.7,48.4,54.2,75.1,OpenPlay,False
Pass,8,31,248121,607,Successful,58.5,77.2,66.6,78.7,OpenPlay,False
Pass,8,34,143193,607,Successful,64.1,85.6,62,91.2,OpenPlay,False
Pass,8,35,241019,607,Successful,62.0,91.2,62.8,86.2,OpenPlay,False
Pass,8,38,143193,607,Successful,55.8,88.1,54,81.5,OpenPlay,False
Pass,8,40,248121,607,Successful,53.2,78.2,55.4,44.6,OpenPlay,False
Pass,8,46,117776,607,Successful,56.4,32.8,57.8,15.5,OpenPlay,False
Pass,8,47,19859,607,Successful,62.9,9.5,75.1,2.9,OpenPlay,False
Pass,8,50,42248,607,Successful,71.5,4.1,59.2,10.9,OpenPlay,False
Pass,8,54,19859,607,Successful,58.8,12.0,53.5,24.3,OpenPlay,False
Pass,8,57,117776,607,Unsuccessful,58.6,25.3,73.3,29.7,OpenPlay,False
Interception,9,0,361890,151,Successful,22.5,65.1,,,OpenPlay,False
BallRecovery,9,1,248278,151,Successful,27.1,55.8,,,OpenPlay,False
Pass,9,2,248278,151,Successful,28.9,56.3,34.4,67.2,OpenPlay,False
Pass,9,4,100869,151,Successful,36.6,69.9,40,88.6,OpenPlay,False
Pass,9,6,256220,151,Successful,40.0,88.6,45.8,97.1,OpenPlay,False
Dispossessed,9,8,279539,151,Successful,46.8,95.9,,,OpenPlay,False
Tackle,9,8,42248,607,Unsuccessful,53.2,4.1,,,OpenPlay,False
Challenge,9,10,42248,607,Unsuccessful,52.2,3.6,,,OpenPlay,False
TakeOn,9,10,279539,151,Successful,47.8,96.4,,,OpenPlay,False
TakeOn,9,11,279539,151,Unsuccessful,47.5,93.8,,,OpenPlay,False
Tackle,9,11,117776,607,Unsuccessful,52.5,6.2,,,OpenPlay,False
Pass,9,13,303677,151,Unsuccessful,55.0,95.6,52.8,89.9,OpenPlay,False
Interception,9,15,117776,607,Successful,42.2,19.4,,,OpenPlay,False
BallRecovery,9,16,42248,607,Successful,34.0,22.5,,,OpenPlay,False
Pass,9,17,42248,607,Successful,34.0,22.5,31.5,46.7,OpenPlay,False
Pass,9,21,11895,607,Successful,33.8,46.9,38.6,45.5,OpenPlay,False
Pass,9,22,248121,607,Successful,44.9,52.2,44.5,82.4,OpenPlay,False
Pass,9,24,143193,607,Successful,44.5,82.4,58.2,94.8,OpenPlay,False
Pass,9,25,241019,607,Successful,58.8,94.7,45.6,81.8,OpenPlay,False
