Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,614,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,101904,614,Successful,50.0,50.0,46.6,45.5,OpenPlay,False
Pass,0,2,90061,614,Successful,46.6,45.5,41.5,62,OpenPlay,False
Pass,0,3,277239,614,Successful,41.5,62.0,32.5,92.3,OpenPlay,False
Pass,0,6,141154,614,Successful,32.5,92.3,23.8,69.7,OpenPlay,False
Pass,0,8,69683,614,Successful,24.0,67.5,24.4,36.3,OpenPlay,False
Pass,0,11,27356,614,Successful,24.4,36.3,25.9,4.9,OpenPlay,False
Pass,0,13,234365,614,Successful,25.9,4.9,39.1,4.3,OpenPlay,False
Pass,0,16,296316,614,Successful,37.5,8.2,25,24.9,OpenPlay,False
Pass,0,17,27356,614,Successful,25.0,24.9,29.4,4.1,OpenPlay,False
Pass,0,20,234365,614,Successful,29.4,4.1,54.7,15.8,OpenPlay,False
TakeOn,0,24,90061,614,Unsuccessful,58.0,15.5,,,OpenPlay,False
Tackle,0,24,334087,607,Successful,42.0,84.5,,,OpenPlay,False
Pass,0,40,234365,614,Successful,57.2,0.0,64.8,27.6,ThrowIn,False
Pass,0,43,296241,614,Unsuccessful,64.8,27.6,74.8,21,OpenPlay,False
Interception,0,44,143193,607,Successful,24.7,83.3,,,OpenPlay,False
BallRecovery,0,45,143193,607,Successful,24.7,82.3,,,OpenPlay,False
Pass,0,46,143193,607,Unsuccessful,26.9,78.1,37.6,65.1,OpenPlay,False
Pass,0,48,236558,614,Successful,63.3,37.3,70.3,54,ShotAssist,False
BallRecovery,0,49,296241,614,Successful,70.3,54.0,,,OpenPlay,False
Challenge,0,52,136481,607,Unsuccessful,24.2,46.6,,,OpenPlay,False
TakeOn,0,52,296241,614,Successful,75.8,53.4,,,OpenPlay,False
