Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,315,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,0,23054,607,Successful,50.1,49.7,36.2,54.5,OpenPlay,False
Pass,0,2,117776,607,Successful,36.4,52.7,39.6,12.8,OpenPlay,False
Pass,0,4,136481,607,Successful,39.7,11.4,23.5,35.2,OpenPlay,False
Pass,0,7,19859,607,Successful,23.6,36.9,7.4,59.3,OpenPlay,False
Pass,0,12,141646,607,Unsuccessful,6.9,60.5,61.7,82.6,OpenPlay,False
Aerial,0,14,23054,607,Unsuccessful,62.4,78.2,,,OpenPlay,False
Aerial,0,14,301019,315,Successful,37.6,21.8,,,OpenPlay,False
Clearance,0,15,301019,315,Successful,38.8,28.3,49.9,22.7,OpenPlay,False
BallRecovery,0,17,6508,315,Successful,49.9,22.7,,,OpenPlay,False
Pass,0,18,6508,315,Successful,49.9,22.7,44.9,3.4,OpenPlay,False
Pass,0,21,42002,315,Unsuccessful,44.9,3.4,56,0,OpenPlay,False
Pass,0,23,143193,607,Unsuccessful,40.1,100.0,53.2,96.2,ThrowIn,False
BallTouch,0,24,241019,607,Unsuccessful,43.0,96.3,,,OpenPlay,False
Pass,0,26,6508,315,Unsuccessful,52.4,3.1,58.8,0,OpenPlay,False
BlockedPass,0,26,143193,607,Successful,28.7,94.1,,,OpenPlay,False
Pass,0,40,42002,315,Successful,57.5,0.0,34.2,6.2,ThrowIn,False
Pass,0,42,301019,315,Successful,34.2,6.2,10.9,35.4,OpenPlay,False
Pass,0,45,29586,315,Successful,10.9,35.4,20.2,61.8,OpenPlay,False
Pass,0,48,91779,315,Successful,21.4,68.2,18.8,47,OpenPlay,False
Pass,0,51,146764,315,Successful,20.7,43.7,33.8,16.7,OpenPlay,False
Pass,0,54,301019,315,Successful,39.5,13.7,32.5,42.2,OpenPlay,False
Pass,0,56,146764,315,Successful,29.2,42.5,41,40.3,OpenPlay,False
Pass,0,59,6508,315,Successful,39.5,41.0,31.1,44.1,OpenPlay,False
Pass,1,1,146764,315,Successful,32.8,54.6,34,79.1,OpenPlay,False
Pass,1,2,91779,315,Successful,30.6,71.1,47.7,97.4,OpenPlay,False
Pass,1,3,115817,315,Unsuccessful,54.0,98.9,58.7,95.6,OpenPlay,False
BlockedPass,1,3,136481,607,Successful,44.0,4.1,,,OpenPlay,False
Pass,1,16,115817,315,Successful,48.1,100.0,58.5,96.5,ThrowIn,False
BallTouch,1,18,357811,315,Unsuccessful,63.3,96.8,,,OpenPlay,False
Pass,1,28,136481,607,Successful,37.7,0.0,44.8,3.5,ThrowIn,False
Dispossessed,1,30,239872,607,Successful,45.4,5.1,,,OpenPlay,False
Tackle,1,30,115817,315,Unsuccessful,54.6,94.9,,,OpenPlay,False
BallTouch,1,31,239872,607,Successful,44.8,3.5,,,OpenPlay,False
BallRecovery,1,32,357811,315,Successful,64.2,95.9,,,OpenPlay,False
Challenge,1,33,136481,607,Unsuccessful,36.1,8.1,,,OpenPlay,False
TakeOn,1,33,357811,315,Successful,63.9,91.9,,,OpenPlay,False
Pass,1,34,357811,315,Successful,67.0,80.3,72.7,73.8,OpenPlay,False
Pass,1,36,6890,315,Successful,68.9,73.3,66.6,94.7,OpenPlay,False
Pass,1,39,115817,315,Unsuccessful,66.6,94.7,100,88.7,OpenPlay,False
Pass,1,52,141646,607,Successful,5.1,50.3,9,19.8,OpenPlay,False
Pass,1,54,19859,607,Unsuccessful,25.2,10.1,69.5,13.4,OpenPlay,False
Pass,1,58,91779,315,Successful,31.9,87.5,38.1,66.3,OpenPlay,False
BallRecovery,2,1,146764,315,Successful,38.1,66.3,,,OpenPlay,False
Pass,2,2,146764,315,Successful,38.4,66.6,63.2,60.8,OpenPlay,False
Pass,2,8,343982,315,Successful,74.0,72.6,66,84.5,OpenPlay,False
Pass,2,10,357811,315,Unsuccessful,66.0,84.5,90.2,70.5,OpenPlay,False
BallRecovery,2,12,334087,607,Successful,8.2,16.2,,,OpenPlay,False
Pass,2,14,334087,607,Unsuccessful,9.5,3.8,26.8,2.9,OpenPlay,False
Interception,2,16,357811,315,Successful,73.5,97.4,,,OpenPlay,False
BallTouch,2,18,357811,315,Unsuccessful,87.3,97.8,,,OpenPlay,False
Pass,2,32,136481,607,Successful,9.2,0.0,20.9,6.5,ThrowIn,False
Pass,2,34,239872,607,Successful,20.9,6.5,10.5,4.9,OpenPlay,False
Pass,2,35,136481,607,Unsuccessful,10.5,4.9,33.4,16.8,OpenPlay,False
Pass,2,37,6508,315,Unsuccessful,67.2,75.6,78,75.4,OpenPlay,False
Pass,2,38,19859,607,Successful,24.1,23.3,34.9,19.5,OpenPlay,False
Aerial,2,40,6508,315,Unsuccessful,65.6,73.0,,,OpenPlay,False
Aerial,2,40,322094,607,Successful,34.4,27.0,,,OpenPlay,False
Pass,2,41,322094,607,Successful,34.9,19.5,38.8,30.3,OpenPlay,False
Pass,2,42,23054,607,Unsuccessful,38.8,30.3,40.9,40.6,OpenPlay,False
BallRecovery,2,45,42002,315,Successful,54.1,56.0,,,OpenPlay,False
Pass,2,46,42002,315,Successful,54.1,56.0,76.9,62,OpenPlay,False
Pass,2,47,6890,315,Successful,76.8,50.9,71.6,55.7,OpenPlay,False
Dispossessed,2,48,343982,315,Successful,78.0,66.6,,,OpenPlay,False
Tackle,2,48,117776,607,Successful,22.0,33.4,,,OpenPlay,False
BallRecovery,2,49,117776,607,Successful,24.2,29.7,,,OpenPlay,False
Pass,2,50,117776,607,Successful,24.2,29.7,37,28,OpenPlay,False
Foul,3,13,322094,607,Successful,52.1,6.3,,,OpenPlay,False
Foul,3,13,146764,315,Unsuccessful,47.9,93.7,,,OpenPlay,False
Pass,3,18,239872,607,Successful,49.0,10.6,32.9,28.8,OpenPlay,False
Pass,3,19,19859,607,Successful,32.9,28.8,31.6,68.4,OpenPlay,False
Pass,3,24,334087,607,Unsuccessful,37.1,72.9,72.7,11.7,OpenPlay,False
Interception,3,26,115817,315,Successful,30.9,89.7,,,OpenPlay,False
Pass,3,30,136481,607,Successful,72.2,0.0,59,10.7,ThrowIn,False
Pass,3,33,117776,607,Successful,57.9,11.3,39.6,19.8,OpenPlay,False
Pass,3,37,19859,607,Successful,36.0,15.0,39.8,4.3,OpenPlay,False
Pass,3,39,136481,607,Successful,38.6,2.8,63.6,3.4,OpenPlay,False
Pass,3,41,239872,607,Unsuccessful,63.6,3.4,67.8,13.2,OpenPlay,False
BallRecovery,3,42,146764,315,Successful,30.5,76.0,,,OpenPlay,False
Pass,3,43,146764,315,Successful,30.5,76.0,36.1,66.1,OpenPlay,False
BallTouch,3,45,6508,315,Successful,36.1,66.1,,,OpenPlay,False
BallRecovery,3,47,241019,607,Successful,67.2,30.3,,,OpenPlay,False
Pass,3,51,241019,607,Successful,66.8,3.5,61.1,15.9,OpenPlay,False
Pass,3,55,117776,607,Successful,54.9,11.6,60.6,29.5,OpenPlay,False
Pass,3,58,241019,607,Successful,60.6,36.9,69.1,30.7,OpenPlay,False
TakeOn,4,1,322094,607,Unsuccessful,64.8,32.8,,,OpenPlay,False
Tackle,4,1,146764,315,Successful,35.2,67.2,,,OpenPlay,False
BallRecovery,4,2,357811,315,Successful,44.7,74.5,,,OpenPlay,False
Pass,4,3,357811,315,Successful,44.7,74.5,44.1,56,OpenPlay,False
Pass,4,4,6890,315,Successful,44.1,56.0,35.3,54.9,OpenPlay,False
Pass,4,5,6508,315,Successful,35.3,54.9,43.7,29.7,OpenPlay,False
Pass,4,10,330832,315,Successful,66.8,21.8,75.7,6.1,ShotAssist,False
MissedShots,4,14,42002,315,Successful,77.5,32.5,,,OpenPlay,False
Pass,4,50,141646,607,Unsuccessful,5.0,37.0,53.8,7,OpenPlay,False
Aerial,4,51,136481,607,Unsuccessful,54.2,8.4,,,OpenPlay,False
Aerial,4,51,357811,315,Successful,45.8,91.6,,,OpenPlay,False
BallTouch,4,52,357811,315,Successful,45.5,90.2,,,OpenPlay,False
Pass,4,54,23054,607,Successful,64.8,6.1,68.9,12.9,OpenPlay,False
TakeOn,4,55,239872,607,Unsuccessful,68.4,16.4,,,OpenPlay,False
Tackle,4,55,146764,315,Successful,31.6,83.6,,,OpenPlay,False
BallRecovery,4,56,146764,315,Successful,34.6,89.1,,,OpenPlay,False
Pass,4,57,146764,315,Successful,35.0,89.6,47,85,OpenPlay,False
Dispossessed,4,58,343982,315,Successful,44.4,88.8,,,OpenPlay,False
Tackle,4,58,117776,607,Successful,55.6,11.2,,,OpenPlay,False
BallRecovery,4,59,136481,607,Successful,61.8,4.0,,,OpenPlay,False
Pass,5,0,136481,607,Successful,61.8,4.0,71.3,9.2,OpenPlay,False
BallTouch,5,1,23054,607,Successful,61.8,3.4,,,OpenPlay,False
Dispossessed,5,2,239872,607,Successful,65.6,27.6,,,OpenPlay,False
Tackle,5,2,6508,315,Unsuccessful,34.4,72.4,,,OpenPlay,False
BallTouch,5,3,239872,607,Successful,67.7,24.8,,,OpenPlay,False
Pass,5,4,345664,607,Successful,58.0,34.8,54.9,74.2,OpenPlay,False
Pass,5,7,143193,607,Successful,57.8,83.0,65.7,93.6,OpenPlay,False
Pass,5,11,241019,607,Successful,66.1,93.0,61.8,85.9,OpenPlay,False
Pass,5,15,345664,607,Successful,66.6,69.3,72.5,62.3,OpenPlay,False
TakeOn,5,18,239872,607,Unsuccessful,72.5,61.3,,,OpenPlay,False
Tackle,5,18,6508,315,Successful,27.5,38.7,,,OpenPlay,False
BallRecovery,5,19,6508,315,Successful,28.7,44.2,,,OpenPlay,False
Pass,5,20,6508,315,Successful,30.1,45.5,17.5,38.8,OpenPlay,False
Pass,5,22,301019,315,Successful,17.5,38.8,22.9,22.4,OpenPlay,False
Pass,5,23,42002,315,Successful,22.9,22.4,36.5,36.6,OpenPlay,False
Foul,5,29,345664,607,Unsuccessful,70.1,65.2,,,OpenPlay,False
Foul,5,29,6508,315,Successful,29.9,34.8,,,OpenPlay,False
Pass,5,36,301019,315,Successful,26.3,29.1,36.7,44.1,OpenPlay,False
Pass,5,39,6508,315,Successful,32.2,45.0,22.8,65.8,OpenPlay,False
Pass,5,43,146764,315,Successful,28.1,73.6,46.2,98.4,OpenPlay,False
Pass,5,49,115817,315,Successful,63.7,96.5,43.4,89.7,OpenPlay,False
Pass,5,52,91779,315,Successful,44.7,85.1,36.6,39.1,OpenPlay,False
Pass,5,57,301019,315,Successful,40.7,34.5,35,51,OpenPlay,False
Pass,5,58,146764,315,Successful,36.3,52.4,48,53.4,OpenPlay,False
Pass,6,1,6508,315,Successful,44.6,53.9,48.5,68.2,OpenPlay,False
Pass,6,3,357811,315,Successful,48.5,68.2,34.5,57.6,OpenPlay,False
Pass,6,4,146764,315,Successful,34.5,57.6,37,26.4,OpenPlay,False
Pass,6,10,301019,315,Successful,42.3,18.5,35.8,40,OpenPlay,False
Pass,6,13,146764,315,Successful,35.2,42.2,36.2,68.2,OpenPlay,False
Pass,6,16,91779,315,Successful,36.2,68.2,31.7,45.5,OpenPlay,False
Pass,6,17,146764,315,Successful,31.7,45.5,36.5,24,OpenPlay,False
Pass,6,19,301019,315,Unsuccessful,37.1,23.9,92,70,OpenPlay,False
KeeperPickup,6,23,141646,607,Successful,8.6,32.5,,,OpenPlay,False
Pass,6,30,141646,607,Successful,14.0,34.0,24.8,76.1,OpenPlay,False
Pass,6,32,334087,607,Successful,24.6,77.0,35.7,95,OpenPlay,False
Pass,6,33,143193,607,Successful,35.8,95.0,32.1,75.4,OpenPlay,False
Pass,6,36,345664,607,Unsuccessful,32.1,75.4,29.2,69.4,OpenPlay,False
BlockedPass,6,36,343982,315,Successful,65.5,20.6,,,OpenPlay,False
Pass,6,39,334087,607,Unsuccessful,21.9,96.2,59.3,80.5,OpenPlay,False
Pass,6,42,301019,315,Unsuccessful,41.5,17.1,41.9,21.5,OpenPlay,False
BallTouch,6,43,23054,607,Successful,58.5,72.9,,,OpenPlay,False
BallRecovery,6,45,91779,315,Successful,45.3,35.1,,,OpenPlay,False
Pass,6,46,91779,315,Successful,50.5,29.5,53.7,7.1,OpenPlay,False
Pass,6,48,42002,315,Successful,53.7,7.1,67.3,16.5,OpenPlay,False
Pass,6,52,343982,315,Successful,67.3,16.5,66.7,33.7,OpenPlay,False
Pass,6,55,42002,315,Successful,77.3,31.5,83.7,45.5,OpenPlay,False
BallTouch,6,56,6890,315,Unsuccessful,79.3,39.2,,,OpenPlay,False
BallRecovery,6,57,239872,607,Successful,28.4,48.8,,,OpenPlay,False
Pass,6,58,239872,607,Successful,28.4,51.2,44.5,65.8,OpenPlay,False
Pass,7,3,322094,607,Successful,58.7,77.9,66.8,94.4,OpenPlay,False
BallTouch,7,4,241019,607,Unsuccessful,66.8,94.4,,,OpenPlay,False
BallRecovery,7,6,330832,315,Successful,45.4,21.6,,,OpenPlay,False
Pass,7,7,330832,315,Successful,48.0,30.1,41.9,42.7,OpenPlay,False
Pass,7,11,6508,315,Successful,54.1,43.1,62.8,28.6,OpenPlay,False
Pass,7,19,330832,315,Successful,62.4,31.3,55.3,18.6,OpenPlay,False
Pass,7,22,301019,315,Successful,54.2,14.0,66.6,1.4,OpenPlay,False
Pass,7,23,42002,315,Successful,66.6,1.4,69.6,16.1,OpenPlay,False
Foul,7,28,241019,607,Unsuccessful,35.0,92.6,,,OpenPlay,False
Foul,7,28,330832,315,Successful,65.0,7.4,,,OpenPlay,False
Pass,7,59,6508,315,Successful,67.7,6.1,67.8,31.6,OpenPlay,False
Pass,8,0,146764,315,Successful,67.8,31.6,63.4,18.5,OpenPlay,False
Pass,8,6,6508,315,Unsuccessful,72.2,20.2,90.3,50.5,OpenPlay,False
Clearance,8,8,345664,607,Successful,9.9,44.2,16.3,54.8,OpenPlay,False
BallTouch,8,10,23054,607,Successful,16.3,54.8,,,OpenPlay,False
BallTouch,8,11,330832,315,Successful,80.9,27.7,,,OpenPlay,False
Challenge,8,13,241019,607,Unsuccessful,18.9,76.6,,,OpenPlay,False
TakeOn,8,13,357811,315,Successful,81.1,23.4,,,OpenPlay,False
TakeOn,8,15,357811,315,Unsuccessful,90.6,15.3,,,OpenPlay,False
Tackle,8,15,143193,607,Unsuccessful,9.4,84.7,,,OpenPlay,False
BallTouch,8,16,357811,315,Successful,90.1,16.4,,,OpenPlay,False
Pass,8,22,141646,607,Successful,4.3,48.2,25.8,7.1,OpenPlay,False
Pass,8,30,136481,607,Successful,45.8,27.4,63.6,90.8,OpenPlay,False
Pass,8,34,241019,607,Successful,65.6,80.9,59.2,72.6,OpenPlay,False
Pass,8,36,345664,607,Successful,58.7,81.2,65.3,94.7,OpenPlay,False
