Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Pass,0,0,138477,347,Successful,50.1,50.1,41.9,64.3,OpenPlay,False
Start,0,0,,347,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,2,105026,347,Successful,42.4,62.4,66.6,6.1,OpenPlay,False
Pass,0,6,25599,347,Successful,65.4,7.0,63.5,13.8,OpenPlay,False
Pass,0,10,345661,347,Successful,62.6,9.2,46,4.1,OpenPlay,False
Pass,0,12,260493,347,Successful,43.5,5.6,34.7,25.3,OpenPlay,False
Pass,0,15,27756,347,Successful,31.5,27.6,29.1,61.7,OpenPlay,False
Pass,0,16,121711,347,Successful,29.2,62.7,12.6,58.7,OpenPlay,False
Pass,0,19,105198,347,Unsuccessful,13.1,57.9,58.9,21.3,OpenPlay,False
Aerial,0,21,25599,347,Unsuccessful,57.6,21.8,,,OpenPlay,False
Aerial,0,21,328968,607,Successful,42.4,78.2,,,OpenPlay,False
Pass,0,22,328968,607,Unsuccessful,44.2,77.3,46,77.9,OpenPlay,False
BallTouch,0,23,25599,347,Successful,57.4,13.2,,,OpenPlay,False
Pass,0,24,329409,607,Successful,46.9,71.5,37.1,84.7,OpenPlay,False
BallRecovery,0,25,328968,607,Successful,37.1,84.7,,,OpenPlay,False
Pass,0,27,328968,607,Successful,37.3,85.3,44.2,91.1,OpenPlay,False
Dispossessed,0,30,241019,607,Successful,41.1,89.2,,,OpenPlay,False
Tackle,0,30,345661,347,Successful,58.9,10.8,,,OpenPlay,False
BallRecovery,0,31,345661,347,Successful,60.1,8.8,,,OpenPlay,False
Pass,0,33,345661,347,Successful,62.4,8.3,79.7,3.1,OpenPlay,False
Pass,0,37,138477,347,Successful,76.8,4.3,97,4.3,OpenPlay,False
Pass,0,39,25599,347,Unsuccessful,97.0,4.3,91.8,44,OpenPlay,False
Clearance,0,41,19859,607,Successful,7.8,52.8,6.3,73.8,OpenPlay,False
Clearance,0,42,11895,607,Successful,6.3,73.8,29.3,58.5,OpenPlay,False
Pass,0,44,33223,347,Successful,61.6,35.2,65,27,OpenPlay,False
Pass,0,46,345661,347,Successful,65.0,27.0,36.4,62.1,OpenPlay,False
Pass,0,49,121711,347,Successful,35.3,63.3,14.9,65.5,OpenPlay,False
KeeperPickup,0,52,105198,347,Successful,14.9,65.5,,,OpenPlay,False
Pass,0,53,105198,347,Successful,15.7,66.7,27,82.7,OpenPlay,False
Pass,0,55,121711,347,Successful,29.4,84.2,31.6,95.1,OpenPlay,False
Pass,0,58,40921,347,Successful,32.0,94.4,33.3,74.5,OpenPlay,False
Pass,0,59,33223,347,Successful,34.9,76.6,30.4,95,OpenPlay,False
Pass,1,1,40921,347,Successful,30.4,95.0,43.9,94.8,OpenPlay,False
Pass,1,8,105026,347,Successful,60.7,91.5,65.5,83,OpenPlay,False
Pass,1,14,138477,347,Successful,63.1,79.6,55.3,90.5,OpenPlay,False
Pass,1,18,105026,347,Successful,55.4,90.3,42.4,27.9,OpenPlay,False
Pass,1,21,27756,347,Successful,55.3,21.6,98.9,82.6,OpenPlay,False
BallTouch,1,35,298542,347,Unsuccessful,78.1,80.8,,,OpenPlay,False
BallRecovery,1,35,117776,607,Successful,24.5,19.2,,,OpenPlay,False
Pass,1,35,117776,607,Successful,24.5,19.2,22.4,21.3,OpenPlay,False
Pass,1,36,136481,607,Successful,22.4,21.3,30.9,31.8,OpenPlay,False
Foul,1,45,322094,607,Successful,47.8,39.3,,,OpenPlay,False
