Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,1364,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,349207,607,Successful,50.0,50.0,38.5,48.2,OpenPlay,False
Pass,0,3,117776,607,Successful,35.7,48.2,36.6,53.1,OpenPlay,False
Pass,0,4,329409,607,Successful,36.6,53.1,27.9,30.4,OpenPlay,False
Pass,0,6,19859,607,Successful,27.9,30.4,21.3,60,OpenPlay,False
Pass,0,10,334087,607,Successful,24.1,62.3,34.8,92.7,OpenPlay,False
Pass,0,14,143193,607,Successful,34.7,89.7,25,51.8,OpenPlay,False
Pass,0,17,19859,607,Successful,25.0,50.0,34.5,8.3,OpenPlay,False
Pass,0,19,136481,607,Successful,34.5,8.2,29.2,28,OpenPlay,False
Pass,0,21,19859,607,Unsuccessful,29.9,27.3,55.2,15.3,OpenPlay,False
BallRecovery,0,24,275605,1364,Successful,43.3,82.0,,,OpenPlay,False
Pass,0,25,275605,1364,Successful,43.3,82.0,54.7,85.4,OpenPlay,False
Pass,0,26,296226,1364,Successful,54.7,85.4,44.9,87.4,OpenPlay,False
Pass,0,31,275605,1364,Successful,41.5,85.0,34.9,63.3,OpenPlay,False
Pass,0,33,90117,1364,Successful,34.7,58.8,36.4,27.3,OpenPlay,False
Pass,0,35,248098,1364,Successful,36.4,27.3,56.2,3.4,OpenPlay,False
TakeOn,0,38,236500,1364,Unsuccessful,56.8,3.6,,,OpenPlay,False
Tackle,0,38,317743,607,Unsuccessful,43.2,96.4,,,OpenPlay,False
BallTouch,0,39,236500,1364,Successful,58.4,2.6,,,OpenPlay,False
BallRecovery,0,40,317743,607,Successful,46.3,94.5,,,OpenPlay,False
Pass,0,41,317743,607,Successful,46.3,94.5,39.1,82.3,OpenPlay,False
Pass,0,42,329409,607,Unsuccessful,40.8,79.4,45.9,78.5,OpenPlay,False
Interception,0,44,236559,1364,Successful,55.4,28.0,,,OpenPlay,False
BallRecovery,0,45,236559,1364,Successful,54.7,33.9,,,OpenPlay,False
Pass,0,46,236559,1364,Successful,54.6,39.1,43.1,69.3,OpenPlay,False
Pass,0,51,275605,1364,Successful,52.0,78.7,57.2,96.8,OpenPlay,False
Pass,0,56,296226,1364,Successful,54.0,74.7,39.8,29.7,OpenPlay,False
