Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,426,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,329620,607,Successful,50.0,50.0,38.1,61.4,OpenPlay,False
Pass,0,2,329409,607,Successful,38.1,61.4,35,32.4,OpenPlay,False
Pass,0,4,117776,607,Successful,35.0,32.4,22.2,26.7,OpenPlay,False
Pass,0,6,19859,607,Successful,28.1,30.1,24.1,55.1,OpenPlay,False
Pass,0,10,11895,607,Successful,28.6,59.0,34.7,81.7,OpenPlay,False
Pass,0,13,329409,607,Successful,31.9,79.4,26.6,59.6,OpenPlay,False
Pass,0,14,11895,607,Successful,26.2,55.1,28.6,22.8,OpenPlay,False
Pass,0,21,19859,607,Unsuccessful,54.0,12.9,59.3,38.6,OpenPlay,False
Interception,0,23,6776,426,Successful,41.1,72.4,,,OpenPlay,False
BallTouch,0,24,117776,607,Successful,55.9,36.4,,,OpenPlay,False
TakeOn,0,27,322094,607,Successful,69.0,50.9,,,OpenPlay,False
Challenge,0,27,256539,426,Unsuccessful,31.0,49.1,,,OpenPlay,False
Pass,0,28,322094,607,Unsuccessful,74.8,57.5,93.2,60.6,OpenPlay,False
KeeperPickup,0,31,43912,426,Successful,6.9,39.7,,,OpenPlay,False
Pass,0,49,43912,426,Successful,16.6,34.6,73.6,23.1,OpenPlay,False
Aerial,0,50,329409,607,Unsuccessful,27.2,75.4,,,OpenPlay,False
Aerial,0,50,68277,426,Successful,72.8,24.6,,,OpenPlay,False
Pass,0,52,68277,426,Successful,73.6,23.1,76.7,33.3,ShotAssist,False
MissedShots,0,53,44609,426,Successful,76.7,33.3,,,OpenPlay,False
Pass,1,24,141646,607,Successful,4.3,50.0,66.3,80.9,OpenPlay,False
BallTouch,1,29,329620,607,Unsuccessful,66.3,80.9,,,OpenPlay,False
BallRecovery,1,30,35562,426,Successful,33.4,33.9,,,OpenPlay,False
Pass,1,32,35562,426,Successful,37.0,45.2,34.5,81.2,OpenPlay,False
Pass,1,35,322636,426,Successful,35.3,88.6,42.4,96.3,OpenPlay,False
Pass,1,37,296322,426,Successful,42.4,96.3,32.9,75.3,OpenPlay,False
Pass,1,42,322636,426,Successful,32.4,79.6,28,71.5,OpenPlay,False
Pass,1,43,342544,426,Successful,28.8,67.5,27.5,32.5,OpenPlay,False
Pass,1,45,104235,426,Successful,27.5,32.5,27.1,72.6,OpenPlay,False
Pass,1,49,342544,426,Successful,32.8,74.1,41.3,96.9,OpenPlay,False
Pass,1,50,322636,426,Successful,41.3,96.9,50.3,83.8,OpenPlay,False
Challenge,1,54,136481,607,Unsuccessful,47.8,21.2,,,OpenPlay,False
TakeOn,1,54,296322,426,Successful,52.2,78.8,,,OpenPlay,False
Pass,1,55,296322,426,Successful,56.4,83.5,71.8,96,OpenPlay,False
Pass,1,58,35562,426,Unsuccessful,84.3,98.9,84.9,92.9,OpenPlay,False
Clearance,1,58,117776,607,Successful,14.2,10.6,14.2,10.6,OpenPlay,False
Clearance,2,0,19859,607,Successful,4.5,33.1,29.3,3.2,OpenPlay,False
Pass,2,3,322636,426,Successful,69.1,96.0,77.3,92.4,OpenPlay,False
Pass,2,4,35562,426,Unsuccessful,77.3,92.4,78,97.2,OpenPlay,False
Pass,2,5,136481,607,Successful,25.1,2.8,37.3,10.7,OpenPlay,False
BallTouch,2,8,239872,607,Unsuccessful,39.3,9.1,,,OpenPlay,False
Challenge,2,14,136481,607,Unsuccessful,22.7,8.1,,,OpenPlay,False
TakeOn,2,14,296322,426,Successful,77.3,91.9,,,OpenPlay,False
Pass,2,16,296322,426,Successful,88.6,81.5,86.8,59.6,ShotAssist,False
SavedShot,2,18,44609,426,Successful,86.3,61.6,,,OpenPlay,False
Save,2,18,141646,607,Successful,2.8,45.5,,,OpenPlay,False
KeeperPickup,2,19,141646,607,Successful,2.8,45.5,,,OpenPlay,False
Pass,2,20,141646,607,Successful,10.6,51.6,24.9,74.1,OpenPlay,False
BallTouch,2,23,241019,607,Unsuccessful,36.9,90.0,,,OpenPlay,False
BallRecovery,2,26,68277,426,Successful,64.1,3.4,,,OpenPlay,False
Pass,2,26,68277,426,Successful,64.1,3.4,86.8,8.5,OpenPlay,False
Pass,2,32,256539,426,Unsuccessful,89.5,14.7,100,33.3,OpenPlay,False
Pass,3,3,141646,607,Unsuccessful,4.7,51.0,55.8,72,OpenPlay,False
Aerial,3,9,329620,607,Unsuccessful,57.7,74.9,,,OpenPlay,False
Pass,3,9,6776,426,Unsuccessful,40.4,22.2,51.3,0,OpenPlay,False
Aerial,3,9,6776,426,Successful,42.3,25.1,,,OpenPlay,False
Pass,3,19,328968,607,Successful,47.9,100.0,41.5,62.6,ThrowIn,False
Pass,3,21,117776,607,Successful,41.2,62.0,35,37.1,OpenPlay,False
Pass,3,26,19859,607,Successful,37.6,35.1,44.6,73,OpenPlay,False
Pass,3,33,329409,607,Successful,47.5,67.2,48.1,23.7,OpenPlay,False
Pass,3,37,19859,607,Successful,55.0,23.3,55.1,35.8,OpenPlay,False
Pass,3,39,117776,607,Successful,54.9,35.2,55.1,18,OpenPlay,False
Pass,3,43,19859,607,Successful,57.9,15.2,47.7,24.3,OpenPlay,False
Pass,3,45,117776,607,Successful,46.6,25.2,53.3,33.1,OpenPlay,False
