Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,228,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,23054,607,Successful,50.0,50.0,47.8,52.8,OpenPlay,False
Pass,0,2,322094,607,Successful,47.8,52.8,29,41,OpenPlay,False
Pass,0,5,19859,607,Successful,30.1,42.4,24.4,68.7,OpenPlay,False
Pass,0,9,345261,607,Successful,24.0,70.2,24.8,44.9,OpenPlay,False
Pass,0,13,19859,607,Successful,30.5,44.6,29.6,69,OpenPlay,False
Pass,0,15,345261,607,Successful,31.5,70.2,32.3,96.6,OpenPlay,False
Pass,0,19,328968,607,Successful,33.3,93.8,19.2,71.5,OpenPlay,False
Pass,0,23,345261,607,Unsuccessful,18.8,60.0,61.8,49.6,OpenPlay,False
Aerial,0,25,23054,607,Unsuccessful,60.8,49.0,,,OpenPlay,False
Pass,0,25,27761,228,Successful,40.6,51.9,55.6,55.4,OpenPlay,False
Aerial,0,25,27761,228,Successful,39.2,51.0,,,OpenPlay,False
Aerial,0,29,329409,607,Unsuccessful,44.3,51.6,,,OpenPlay,False
Aerial,0,29,110154,228,Successful,55.7,48.4,,,OpenPlay,False
Pass,0,30,110154,228,Unsuccessful,55.1,46.3,52.7,41.3,OpenPlay,False
Pass,0,31,241019,607,Unsuccessful,44.2,59.9,47,67.8,OpenPlay,False
BallRecovery,0,33,321389,228,Successful,54.9,33.4,,,OpenPlay,False
Pass,0,34,321389,228,Successful,54.9,33.4,64.4,28.5,OpenPlay,False
Pass,0,36,109807,228,Successful,64.7,28.3,58.7,3.1,OpenPlay,False
Pass,0,37,145996,228,Successful,62.9,4.3,69.9,20.7,OpenPlay,False
Pass,0,40,109807,228,Unsuccessful,71.7,26.8,82.3,66.1,OpenPlay,False
BallRecovery,0,43,136481,607,Successful,19.3,33.6,,,OpenPlay,False
Pass,0,44,136481,607,Unsuccessful,20.4,29.8,48.8,50,OpenPlay,False
Pass,0,46,27761,228,Unsuccessful,54.0,52.5,69.7,46.7,OpenPlay,False
Aerial,0,46,23054,607,Unsuccessful,47.4,48.8,,,OpenPlay,False
Aerial,0,46,27761,228,Successful,52.6,51.2,,,OpenPlay,False
Pass,0,48,345261,607,Successful,31.2,51.8,37.5,53.9,OpenPlay,False
Pass,0,50,329409,607,Successful,36.7,53.4,26.4,54.5,OpenPlay,False
BallRecovery,0,52,345261,607,Successful,28.4,56.0,,,OpenPlay,False
Pass,0,53,345261,607,Successful,28.3,53.7,19.6,29.5,OpenPlay,False
Pass,0,56,19859,607,Successful,21.8,25.0,25,7.1,OpenPlay,False
BallTouch,0,59,296337,228,Successful,67.1,97.2,,,OpenPlay,False
Pass,0,59,136481,607,Unsuccessful,26.6,7.4,29.8,6.7,OpenPlay,False
OffsideGiven,1,,109807,228,Unsuccessful,90.1,3.1,,,OpenPlay,False
Pass,1,11,136481,607,Successful,30.3,0.0,43.9,8.5,ThrowIn,False
Pass,1,12,239872,607,Successful,45.6,8.0,36.4,5.9,OpenPlay,False
Pass,1,14,136481,607,Unsuccessful,38.2,8.2,38.3,11.9,OpenPlay,False
BlockedPass,1,14,110154,228,Successful,64.4,96.9,,,OpenPlay,False
Pass,1,17,329409,607,Unsuccessful,47.4,49.9,34.7,100,OpenPlay,False
Pass,1,34,145996,228,Successful,64.2,0.0,87.6,4.3,ThrowIn,False
Pass,1,38,109807,228,Successful,92.4,4.9,86.8,2.6,OpenPlay,False
OffsidePass,1,41,145996,228,Successful,87.2,2.8,90.1,3.1,OpenPlay,False
OffsideProvoked,1,41,328968,607,Successful,13.4,93.2,,,OpenPlay,False
Pass,2,9,141646,607,Successful,14.8,85.1,62.3,87.2,OpenPlay,False
Aerial,2,12,145996,228,Unsuccessful,38.8,21.1,,,OpenPlay,False
Aerial,2,12,23054,607,Successful,61.2,78.9,,,OpenPlay,False
Pass,2,12,23054,607,Successful,62.3,87.2,73.6,65.2,OpenPlay,False
Pass,2,17,241019,607,Successful,54.2,71.1,34.5,40.3,OpenPlay,False
Pass,2,21,19859,607,Unsuccessful,46.4,29.5,69.6,100,OpenPlay,False
Pass,2,37,145996,228,Successful,29.9,0.0,43.5,7.1,ThrowIn,False
Pass,2,39,109807,228,Successful,42.5,13.2,38.1,25,OpenPlay,False
Pass,2,42,321389,228,Successful,40.5,29.7,36.5,6.4,OpenPlay,False
Pass,2,43,145996,228,Successful,36.5,6.4,25.6,38.8,OpenPlay,False
Pass,2,46,27761,228,Successful,26.7,51.6,30.1,78.8,OpenPlay,False
Pass,2,49,121718,228,Successful,34.6,77.2,19.4,69.7,OpenPlay,False
Pass,2,53,27761,228,Successful,19.2,66.1,24.3,23.6,OpenPlay,False
Pass,2,55,243511,228,Successful,28.1,21.5,45,1,OpenPlay,False
Pass,2,58,145996,228,Successful,52.9,2.3,60.8,17.4,OpenPlay,False
Pass,3,0,109807,228,Successful,61.8,23.7,58,31.5,OpenPlay,False
Pass,3,2,110154,228,Unsuccessful,58.6,31.2,100,11.4,OpenPlay,False
Pass,3,37,141646,607,Unsuccessful,4.9,46.4,59.6,24.6,OpenPlay,False
Aerial,3,40,23054,607,Unsuccessful,58.0,21.3,,,OpenPlay,False
Aerial,3,40,121718,228,Successful,42.0,78.7,,,OpenPlay,False
Pass,3,41,121718,228,Unsuccessful,41.9,84.5,44,96.5,OpenPlay,False
Pass,3,43,136481,607,Unsuccessful,61.3,8.5,69.8,15,OpenPlay,False
Pass,3,44,296337,228,Unsuccessful,30.2,86.9,37.1,84.2,OpenPlay,False
Foul,3,48,322096,228,Successful,37.3,85.4,,,OpenPlay,False
Foul,3,48,23054,607,Unsuccessful,62.7,14.6,,,OpenPlay,False
Pass,4,2,121718,228,Successful,36.2,86.2,33.7,42.1,OpenPlay,False
Pass,4,7,243511,228,Successful,54.5,20.7,62.3,3.7,OpenPlay,False
Pass,4,10,145996,228,Successful,63.2,4.4,41.5,13.2,OpenPlay,False
Pass,4,15,243511,228,Successful,41.2,15.8,37.6,29.4,OpenPlay,False
Pass,4,16,27761,228,Successful,37.4,31.8,37.2,77.2,OpenPlay,False
Pass,4,21,121718,228,Successful,39.1,78.2,42.4,76,OpenPlay,False
Pass,4,22,322096,228,Successful,42.8,75.9,56.2,97.4,OpenPlay,False
Pass,4,24,296337,228,Successful,54.7,97.1,44.9,92,OpenPlay,False
Pass,4,27,121718,228,Successful,46.2,85.7,39.3,62.1,OpenPlay,False
Pass,4,30,27761,228,Unsuccessful,40.3,59.0,83.3,0,OpenPlay,False
Pass,4,45,328968,607,Successful,11.4,100.0,21.6,94.8,ThrowIn,False
Pass,4,46,241019,607,Successful,21.6,94.8,3.2,89.9,OpenPlay,False
Pass,4,48,328968,607,Unsuccessful,1.4,88.1,39.9,87.4,OpenPlay,False
Pass,4,50,243511,228,Successful,59.4,22.2,63,31.3,OpenPlay,False
BallRecovery,4,51,322096,228,Successful,63.3,30.7,,,OpenPlay,False
Pass,4,51,322096,228,Successful,63.3,30.7,64,23.1,OpenPlay,False
BallTouch,4,53,321389,228,Unsuccessful,64.0,23.1,,,OpenPlay,False
BallRecovery,4,54,241019,607,Successful,37.5,95.1,,,OpenPlay,False
BallTouch,4,54,241019,607,Unsuccessful,37.5,95.1,,,OpenPlay,False
Pass,5,2,145996,228,Successful,61.7,0.0,55.4,5.2,ThrowIn,False
Pass,5,3,243511,228,Successful,55.3,5.2,58.3,21.5,OpenPlay,False
