Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist
Start,0,0,,607,Successful,0.0,0.0,,,OpenPlay,False
Start,0,0,,249,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,1,99143,249,Successful,50.0,50.0,35.2,39.4,OpenPlay,False
Pass,0,3,331790,249,Unsuccessful,35.2,39.4,83.8,100,OpenPlay,False
ShieldBallOpp,0,9,136481,607,Successful,0.0,0.0,,,OpenPlay,False
Pass,0,18,136481,607,Successful,18.0,0.0,38,3.1,ThrowIn,False
BallTouch,0,20,23054,607,Unsuccessful,38.0,3.1,,,OpenPlay,False
Pass,0,29,62108,249,Successful,62.3,100.0,67.2,90.2,ThrowIn,False
Pass,0,34,99143,249,Unsuccessful,67.1,90.2,75.2,93.2,OpenPlay,False
Foul,0,36,136481,607,Successful,25.5,5.7,,,OpenPlay,False
Foul,0,36,115587,249,Unsuccessful,74.5,94.3,,,OpenPlay,False
Pass,0,50,345261,607,Successful,31.0,4.9,35.6,15.6,OpenPlay,False
Pass,0,52,117776,607,Successful,35.6,15.5,29.1,9.1,OpenPlay,False
Pass,0,54,345261,607,Successful,24.2,4.8,34.3,11,OpenPlay,False
Pass,0,56,117776,607,Successful,33.9,14.3,41.7,4.9,OpenPlay,False
Dispossessed,0,58,239872,607,Successful,58.4,6.9,,,OpenPlay,False
Tackle,0,58,35954,249,Successful,41.6,93.1,,,OpenPlay,False
BallRecovery,0,59,62108,249,Successful,39.1,92.3,,,OpenPlay,False
Pass,1,0,62108,249,Successful,39.1,92.3,47.5,88.1,OpenPlay,False
Pass,1,1,99143,249,Unsuccessful,58.8,87.2,64,94.4,OpenPlay,False
Clearance,1,2,117776,607,Successful,40.5,7.1,42.1,0,OpenPlay,False
Pass,1,10,62108,249,Unsuccessful,60.0,100.0,75.3,91.5,ThrowIn,False
Interception,1,12,117776,607,Successful,24.8,14.6,,,OpenPlay,False
BallRecovery,1,16,345261,607,Successful,4.9,9.2,,,OpenPlay,False
Pass,1,17,345261,607,Unsuccessful,3.7,8.3,40.1,5.2,OpenPlay,False
Pass,1,19,62108,249,Unsuccessful,67.6,96.2,74.5,94.2,OpenPlay,False
Interception,1,20,117776,607,Successful,30.4,4.6,,,OpenPlay,False
Pass,1,24,62108,249,Successful,72.1,100.0,98.3,91.5,ThrowIn,False
BallTouch,1,30,93917,249,Unsuccessful,97.2,97.9,,,OpenPlay,False
Pass,1,43,136481,607,Successful,5.5,0.0,11.7,8.3,ThrowIn,False
Pass,1,44,117776,607,Successful,11.7,8.3,2.6,5,OpenPlay,False
Pass,1,46,136481,607,Successful,4.1,4.4,15,6.1,OpenPlay,False
Pass,1,48,117776,607,Unsuccessful,14.4,4.6,72.2,53.1,OpenPlay,False
BallRecovery,1,53,331790,249,Successful,27.1,44.6,,,OpenPlay,False
Pass,1,56,331790,249,Successful,18.4,47.9,31.6,46.4,OpenPlay,False
Pass,1,59,44883,249,Successful,29.2,33.4,30.2,13.5,OpenPlay,False
Pass,2,2,104747,249,Successful,27.4,21.8,19.8,37.7,OpenPlay,False
Pass,2,4,331790,249,Successful,19.0,44.6,5,52.7,OpenPlay,False
Pass,2,8,29545,249,Unsuccessful,4.3,58.7,52.8,88.7,OpenPlay,False
Pass,2,12,136481,607,Unsuccessful,47.0,8.9,52.8,0,OpenPlay,False
Pass,2,20,62108,249,Successful,54.1,100.0,72.1,85.1,ThrowIn,False
Pass,2,22,35954,249,Unsuccessful,72.3,85.1,77.5,92.3,OpenPlay,False
Pass,2,24,136481,607,Successful,23.5,6.2,20,13.7,OpenPlay,False
Pass,2,26,345261,607,Successful,20.0,13.7,36.2,6.7,OpenPlay,False
Pass,2,28,239872,607,Successful,36.3,6.7,34,11.3,OpenPlay,False
BallTouch,2,29,117776,607,Unsuccessful,32.3,19.5,,,OpenPlay,False
Pass,2,30,35954,249,Successful,65.8,79.1,61.2,85.1,OpenPlay,False
Pass,2,32,62108,249,Unsuccessful,61.3,85.1,63.6,79.1,OpenPlay,False
BallRecovery,2,34,329409,607,Successful,34.9,40.0,,,OpenPlay,False
Pass,2,35,329409,607,Successful,36.0,40.8,46.4,51.3,OpenPlay,False
Pass,2,37,241019,607,Successful,48.7,46.9,63.8,47.2,OpenPlay,False
Pass,2,38,239872,607,Unsuccessful,66.7,53.3,68.7,56.4,OpenPlay,False
BallTouch,2,39,331790,249,Successful,33.6,44.5,,,OpenPlay,False
BallRecovery,2,40,43369,249,Successful,31.2,41.8,,,OpenPlay,False
Pass,2,41,43369,249,Unsuccessful,31.2,41.8,51.6,40.9,OpenPlay,False
Pass,2,42,19859,607,Unsuccessful,48.0,59.4,54.1,58.3,OpenPlay,False
Interception,2,43,99143,249,Successful,47.2,41.0,,,OpenPlay,False
Pass,2,47,43369,249,Successful,41.0,76.7,46.9,91.2,OpenPlay,False
Pass,2,50,115587,249,Successful,40.7,92.4,32,94.2,OpenPlay,False
Pass,2,52,62108,249,Successful,30.4,93.2,15.5,57.6,OpenPlay,False
Pass,2,57,29545,249,Successful,15.4,49.3,31.6,6.8,OpenPlay,False
Pass,3,2,104747,249,Unsuccessful,40.9,5.3,100,6.4,OpenPlay,False
Pass,3,35,141646,607,Unsuccessful,5.1,54.6,59.8,63,OpenPlay,False
Aerial,3,37,23054,607,Unsuccessful,60.4,63.0,,,OpenPlay,False
Aerial,3,37,331790,249,Successful,39.6,37.0,,,OpenPlay,False
Pass,3,38,331790,249,Successful,39.0,37.0,44.9,23.1,OpenPlay,False
Pass,3,40,302441,249,Successful,44.9,23.1,54.5,25.9,OpenPlay,False
Pass,3,41,93917,249,Successful,54.5,26.1,53.4,26.4,OpenPlay,False
BallRecovery,3,42,99143,249,Successful,54.6,21.3,,,OpenPlay,False
Pass,3,43,99143,249,Successful,59.4,9.1,74.7,3.7,OpenPlay,False
Pass,3,45,93917,249,Unsuccessful,75.0,3.7,75.6,4.9,OpenPlay,False
BlockedPass,3,45,19859,607,Successful,22.7,91.8,,,OpenPlay,False
BallRecovery,3,47,19859,607,Successful,22.7,91.8,,,OpenPlay,False
